kind,number,file_number,title,date,date_precision,date_source,collection,duration,speakers,youtube_id,youtube_url,transcript_file,transcript_rows,toc_entries,description,notes
Video,1,1,What is Life All About?,-,-,-,-,23:26,Dr. Rashad Khalifa,tNqQJR5LyXo,https://www.youtube.com/watch?v=tNqQJR5LyXo,01 - What is Life All About.csv,219,23,"In this program Dr. Rashad Khalifa argues that the world's biggest problem is neither war, disease nor poverty but that people do not know who they are, mistaking the body they see in a mirror for the self. He distinguishes body from soul, calls the body a garment worn for fifty or a hundred years, and observes that people feed the body three meals a day while giving the real person nothing, describing the soul as literally a piece of the breath God breathed into Adam and claiming it can grow to immense size when nourished. He says the nourishment is a specific method rather than vague spirituality or ordinary supplication: five daily contacts with God following what he compares to the numerical combination of a safe, with fasting as a further practice, and he offers newly obtained mathematically coded evidence as his authority. Citing the Barbara Hutton story and Eddie Murphy's interview with Barbara Walters as cases of wealth without happiness, he closes by inviting viewers to examine the physical evidence free of charge, giving an address on East 6th Street in Tucson and a telephone number.",-
Video,1.5,2,Who is GOD?,1988-08-04,day,same-recording-as-38,-,18:40,Dr. Rashad Khalifa,HngIrz8xHTw,https://www.youtube.com/watch?v=HngIrz8xHTw,02 - Who is GOD.csv,161,17,"Dr. Rashad Khalifa argues that idol worship persists because people do not grasp the greatness of God, and devotes the sermon to establishing that scale from what he presents as established scientific facts. He works outward from the solar system, whose sunlight reaches Earth in four minutes and whose span runs to billions of miles, to the Milky Way, which light would take a hundred thousand years to cross, to a neighboring galaxy two million light years away, to a universe of a billion galaxies and a billion trillion stars measuring some 26 billion light years across, pausing to calculate that merely counting a quintillion stars at one per second would take 32 billion years. He then states, on the authority of the Quran and its mathematical code, that this universe is the smallest and innermost of seven, so that no number can express the circumference of the outermost, and cites Sura 39:67 on the heavens held in God's hand as an allegory for that greatness. He concludes that against this scale it is blasphemous to attribute to God a son, wife or mother, or to idolize Muhammad, Jesus, Mary or a saint, asking what role any of them played in setting the synchronized rotation of the moon or the precision of the orbits. Related recording: this carries the same audio as ""38 - Friday Sermon Who is GOD Understanding Our Universe (08-04-1988)"" in this collection. The two transcripts align to within about a second of each other across their whole length, and differ only in that this one also transcribes the opening takbirs from 00:01:19. They are two uploads of one recording, published once as a video program and once as a dated Friday sermon.","Same recording as 38. Verified: 0.9630 word similarity, median timestamp offset +0.01s across 1,994 aligned words. Packaged as a program; 38 is the sermon cut."
Video,2,3,Witness a Miracle,1986-01,month,description,-,37:19,Dr. Rashad Khalifa,cMwCbqfE7ks,https://www.youtube.com/watch?v=cMwCbqfE7ks,03 - Witness a Miracle.csv,304,34,"Recorded in January 1986, this program opens from Carl Sagan's novel Contact, quoting its account of a decoded message from outer space and Sagan's own hope that the book would be made obsolete by real scientific discovery, which Dr. Rashad Khalifa claims has now happened. He traces one message delivered through Adam, Noah, Abraham, Moses, David, Jesus and Muhammad, all mathematically coded in their original languages, cites Studies in Jewish Mysticism and Rabbi Judah the Pious on a numerical harmony in the prayer text and on nineteen occurrences of the divine name in the morning prayer, and presents the Quran as the only original scripture still intact. He walks through the counts of the Quranic initials, Q in chapters 50 and 42, N in chapter 68, Y and S in chapter 36, and explains that 19 is the numerical value of the Arabic word for one. The program closes with the scale of the universe, the seven universes he says the Quran describes as held in God's hand, and his Tucson address and telephone number for questions.",Trimmed: the World News Bulletin segment was removed (it is published separately as 14). Cut at 00:37:49.990.
Video,3,4,Mathematical Miracle of Quran,-,-,-,-,56:08,Dr. Rashad Khalifa,NWUt_bESl0c,https://www.youtube.com/watch?v=NWUt_bESl0c,04 - Mathematical Miracle of Quran.csv,328,48,"Dr. Rashad Khalifa narrates how he came to the Quran's mathematical code and then walks through the findings one by one with a printed Quran in hand. He recounts arriving in the United States in 1968, disliking every English translation he read, and beginning his own for his children with a pledge not to pass a verse until he understood it, which stopped him at the initials A.L.M. of Sura 2; finding no scholar who could explain them, he entered the whole Quran into a computer and after four years of counting found 19 binding all fourteen sets of initials. The body of the program presents the counts in sequence: nineteen letters in the opening verse, 114 chapters, the first revelation positioned above the last nineteen chapters with nineteen words and 76 letters, the four words of the Bismillah occurring 19, 2698, 57 and 114 times, the missing Bismillah of Sura 9 restored by an extra one in Sura 27 exactly nineteen chapters later whose numbers total 342, matching the count of words between them, 6346 verses in all, and 5263 verses between the first and last initials. He continues through the words for Quran, for God being one, and for the five pillars, then the individual initial groups, Q in Suras 50 and 42, N in Sura 68, Saad across three chapters, Ya Seen in Sura 36, the seven H.M. chapters totalling 2147, and the A.L.M. and A.L.R. groups. The program closes with his answer to why the number is 19: that it is the numerical value of the Arabic word for one, in the system where alphabet letters served as numerals before Arabic numbers existed.",-
Video,4,16,Essentials of Submission (Islam),-,-,-,-,51:35,Dr. Rashad Khalifa,U31-USHFRZM,https://www.youtube.com/watch?v=U31-USHFRZM,16 - Essentials of Submission (Islam).csv,455,46,"A compilation program in which Dr. Rashad Khalifa sets out the essentials of Islam as he understands them, followed by three shorter appended segments. He presents Islam as beginning with Adam, with Abraham as the founder who delivered every religious practice and Muhammad contributing only the Quran, which he says was placed in the prophet's heart in one night and released over twenty-three years to aid memorization. He then goes through the five pillars: the shahada of Sura 3:18 with no name added beside God's, the five contact prayers and their units, the fasting of Ramadan whose movement through the seasons he reads as a test that sifts out those who will only fast on short cool days, the zakat of 2.5 percent of net worth following the Quran's order of recipients, and the hajj, whose steps he lists while advising against the visit to Medina and against going before one's faith is settled. The program covers the prohibitions, four forbidden meats, intoxicants and gambling, and closes with three appended segments: a correction to how zakat is timed, an emphasis on the Dawn Prayer, and a 1987 appeal to form Universal Unity through devotion to God alone by rising above the human figures that divide believers who all already believe in God. Related recordings: the zakat and Dawn Prayer segments also appear in ""45 - Friday Sermon Purpose of Messengers, The Advent of the Pure Quran (03-17-1989)"" and ""43 - Friday Sermon Revelation of Quran to Revelation of Miracle, Importance of Dawn Prayer (02-03-1989)""; the Universal Unity appeal is developed in ""23 - Friday Sermon Universal Unity Through Devotion to GOD Alone.""","Mostly original. Quotes two sermon passages: 00:37:39-00:39:42 from 45, and 00:39:32-00:43:34 from 43. No overlap with 23. Cannot be earlier than 1989-03-17, the date of sermon 45, whose audio it quotes."
Video,5,17,Principles of Contact Prayers Salat,-,-,-,-,1:27:51,Dr. Rashad Khalifa,tbxOH3KNOvA,https://www.youtube.com/watch?v=tbxOH3KNOvA,17 - Principles of Contact Prayers Salat.csv,797,26,"Dr. Rashad Khalifa presents an instructional program on the Contact Prayers (Salat), explaining that the word derives from an Arabic root meaning connection and locating all five daily prayer times in the Quran through Suras 11:114, 17:78, 2:238 and 24:58. He argues that the practices of Islam originated with Abraham rather than Muhammad, which is why the Quran does not specify the number of units, and describes the prayers as five daily meals that nourish the soul and make the real person master over the body. The second half removes what he identifies as later innovations from the Azan, the ablution and the prayer itself, insisting on four ablution steps, the recitation of Al-Fatehah alone, and the mention of no name besides God. The program closes with word-by-word transliteration of the Arabic, guidance on menstruation, group prayer and missed prayers, and filmed demonstrations of the morning, four-unit and sunset prayers. Related recording: the companion tape on the Friday congregational prayer is ""18 - Principles of Friday Prayer"" in this collection.",-
Video,6,18,Principles of Friday Prayer,-,-,-,-,56:55,Dr. Rashad Khalifa,K7suTQM7fno,https://www.youtube.com/watch?v=K7suTQM7fno,18 - Principles of Friday Prayer.csv,539,26,"Dr. Rashad Khalifa explains the procedure for the Friday congregational prayer, citing Sura 62:9 as an obligation on both men and women, and walks through each required element: an Azan mentioning God's name alone, two sermons that each open with ""Alhamdu Lillah, La Elaha Ella Allah,"" a pause for repentance after the first, the closing call ""Aqem Al-Salah,"" and a two-unit prayer in place of the usual four. The second half of the tape presents sample sermons, the first on seeking God's kingship, which opens from Luke 12:29-31 and covers religious priorities, the order of Zakat recipients, Hajj, and God as Al-Razaq the provider who gifts the prayers themselves to the believer. A further sermon treats marriage in Islam, which he says requires love built on real acquaintance and a dowry serving as the wife's security, then extends into self-discipline, the soul's strength over the body, polygamy in light of Muhammad's long monogamous marriage, and the argument that God hates divorce and protects the rights of women. Related recordings: the two sample sermons in the second half of this tape also appear separately as ""32 - Friday Sermon Seek GOD's Kingship Over You and Everything Else Follows (03-25-1988)"" and ""33 - Friday Sermon Marriage Importance of Love, Muhammad's Example (04-08-1988)""; the companion tape on the five daily prayers referred to here is ""17 - Principles of Contact Prayers Salat.""","Compilation. First ~16 minutes are unique to this video (the instructional section). Then sermon 32 in full (00:17:32-00:31:33, constant -17:25) and sermon 33 in full (00:34:17-00:56:33, constant -34:07). Cannot be earlier than 1988-04-08, the date of sermon 33, which it contains in full."
Video,7,5,"Old Message, New Messenger",1988,year,description,-,1:19:31,Reciter; Dr. Rashad Khalifa,f7doI2Z4o4M,https://www.youtube.com/watch?v=f7doI2Z4o4M,"05 - Old Message, New Messenger.csv",635,56,"A compilation of two 1988 sermons on Dr. Rashad Khalifa's claim to messengership, each opening with a recitation of Sura 36. The first announces the commission he says he had known of since 1980 and avoided declaring for eight years, and argues from Sura 18, Sura 39:65, Sura 21:28 and Sura 49:13 that a messenger holds no rank, is not guaranteed Heaven and takes no money, then from Sura 33:40, Sura 3:81 and Sura 7:35 that messengers can follow Muhammad; the signs he offers include the mathematical code, the root rashada appearing nineteen times in a Quran index printed the year before his birth, the verse numbers containing the word Allah totalling 118123, and the names Abraham, Muhammad and Rashad totalling 855. The second sermon gives his detailed account of the night in April when he repeatedly opened the Quran at random, across several copies and by pointing a letter opener into a stack, and each time read that he was fired and doomed for cowardice, until he wept, prostrated and resolved to announce regardless of cost, after which the same procedure began returning messages of forgiveness. It closes with corrections he proposes to zakat under Sura 6:141, to fasting and to hajj, and with the argument from the mention of Joseph in Sura 40 that people have wrongly declared each messenger to be the last. Related recordings: these two sermons also appear separately in this collection as ""34 - Friday Sermon Proclaiming Messengership, Abraham's Religion (04-15-1988)"" and ""35 - Friday Sermon Rashad Explains His Messengership Details (05-16-1988)."" Note also that the segment on zakat, fasting and hajj is repeated a second time in the closing minutes of this recording.","Compilation. Contains sermon 34 in full (00:02:33-00:33:28, zero offset) then sermon 35 in full (00:36:11-01:11:30, constant -33:36 offset). Also repeats itself: 00:57:56-01:02:45 replays at 01:14:39-01:19:15 (~4m49s)."
Video,8,6,The Great Debate: Dr. Rashad Khalifa vs Dr. Abdel Rahman,1987,year,description,-,1:28:48,Dr. Rashad Khalifa; Abdel Rahman; A woman,GQE2xUWudR4,https://www.youtube.com/watch?v=GQE2xUWudR4,06 - The Great Debate Dr. Rashad Khalifa vs Dr. Abdel Rahman.csv,1200,63,"A 1987 televised interview and debate between Dr. Rashad Khalifa and his host Abdel Rahman Salem, opening with a recitation of Sura 36 and an introduction to the mathematical code. Khalifa argues that the code is the first indisputable, physical miracle of the Quran and lists the five purposes he reads in Sura 74, after which the exchange turns adversarial as Abdel Rahman presses him on rejecting hadith and on omitting Muhammad's name from the shahada and the call to prayer. Khalifa answers from Sura 3:18 that God's own testimony contains no other name, from Sura 2:285 that no distinction may be made among messengers, and from Sura 75:16-19, Sura 69:38-47 and Sura 5:99 that the prophet was forbidden to explain the Quran and charged only with delivering it, holding that hadith was attributed to Muhammad rather than spoken by him and first recorded some 250 years after his death. The middle of the debate covers his claim that two verses at the end of Sura 9 are human additions, which he supports from the printed Quran's own note that the chapter is Medinan except its final two verses, from the single witness named in the collection account, and from the counts of the words for God being thrown off by one, while maintaining that God's promise of preservation holds precisely because the errors are detectable. The closing section measures his practices against Abdel Rahman's, four steps of ablution against eight, audible rather than silent prayer, the words said in the sitting position, and zakat paid on receipt rather than annually, and ends with his claim to messengership, the root rashada occurring nineteen times in a Quran index, and his statement that Islam as practiced has nothing to do with the prophet Muhammad.",-
Video,9,7,In Defense of the Bible,-,-,-,-,22:56,Dr. Rashad Khalifa,4GWZfsL97cU,https://www.youtube.com/watch?v=4GWZfsL97cU,07 - In Defense of the Bible.csv,173,18,"Dr. Rashad Khalifa argues that the Bible is the word of God but that human interference has injected contradictions which drive intelligent readers away from it. He opens with the discrepancy Carl Sagan notes on page 30 of Contact, between Matthew's 28 generations from David to Jesus and Luke's 43, and treats the deification of Jesus as the largest distortion, reading the cry from the cross in Matthew 27:46 as incompatible both with Jesus being God and with the doctrine that he came to die for sins. He reads at length from The Myth of God Incarnate, naming its seven contributing theologians and their posts at Cambridge, Oxford and Birmingham and their thesis that Jesus was a man approved by God, as in Acts 2:21, and that the incarnation is a poetic rather than a literal claim. Estimating that ninety percent of the printed Bible is divine truth which readers abandon on account of the remainder, he presents the Quran as a mathematically composed final edition with four functions: exposing the injected contradictions, confirming the Bible's genuine content, settling controversies such as the crucifixion, which he says was inflicted on Jesus' body after the soul had been raised, and confirming earlier miracles such as the parting of the Red Sea. He illustrates the crucifixion argument with the case of artificial-heart recipient Bill Schroeder and closes by giving his Tucson address and telephone number for questions.",-
Video,10,8,Evolution or Creation: The Final Argument by Dr. Rashad Khalifa,-,-,-,-,55:30,Dr. Rashad Khalifa,6vwJfbVseP0,https://www.youtube.com/watch?v=6vwJfbVseP0,08 - Evolution or Creation The Final Argument by Dr. Rashad Khalifa.csv,456,46,"Dr. Rashad Khalifa, a biochemist, examines the evolution-creation debate as it reached the Supreme Court in 1987, arguing that mathematics can settle which events are probable. He summarizes Darwin's proposal and the modifications science has since imposed on it, punctuated equilibrium replacing gradual evolution and the abandonment of Lamarck, and offers the navel orange as an instance of real evolution within a kind. He then develops a probability argument from five cubes yielding 120 permutations up to 84 cubes, where the chance of one specific arrangement is effectively zero, and applies it to the 30 billion nucleotides of the human genome, the complexity of the so-called simple cell, and the eye, asking what told the dragonfly to stop at 30,000 lenses. Turning to creation, he argues that a mathematically coded message would constitute proof, quotes Duane Gish conceding that creation cannot be tested, cites Rabbi Judah the Pious on nineteen occurrences in the morning prayer, and describes putting the Quran into a computer and finding 19 across the initialed chapters and the four words of the opening statement, noting the finding's mention in Scientific American in September 1981. He concludes that the document confirms life beginning in water and presents evolution as a divinely guided process still underway, so that science and religion need not conflict, while correcting popular creationist claims about the age of the Earth, Noah's ark and the extent of the flood, which he blames for Darwin's own loss of faith.",Trimmed: the radio debate segment was removed (it is published separately as 13). Cut at 00:55:49.240.
Video,11,9,King of Chaos,-,-,-,-,1:03:23,Dr. Rashad Khalifa,cAvmtN9gUU4,https://www.youtube.com/watch?v=cAvmtN9gUU4,09 - King of Chaos.csv,426,42,"The second in a series of programs, in which Dr. Rashad Khalifa addresses why a world governed by a loving God contains famine, disease and war. He first establishes scale, working from the 93 million miles between Earth and the Sun through the Milky Way, a universe of a billion galaxies spanning 26 billion light years, and the seven nested universes he says the Quran describes as held in God's hand. He then narrates the origin of the arrangement: angels created with immense powers, one of them, Satan, concluding privately that he could be a god in his own right; God choosing to expose him rather than destroy him by creating Adam from mud and commanding the angels to prostrate; and then granting Satan the planet Earth as a dominion, with those humans who accept his view that God alone is not enough serving as his constituents. On this account the misery in the world is the visible result of Satan's incompetence, while those who side with God's view belong to a kingdom he describes as free of illness, financial trouble and even headaches. He sets out how to switch, citing Sura 29:2 on being tested and the trial of Job, distinguishes four kinds of disaster, admission tests, educational disasters, blessings in disguise and retributive disaster, and closes on repentance turning past sins into credits, the suffering of children, and idolatry as the one sin unforgivable at death.",-
Video,12,20,Friday Sermon: Knowing GOD: GOD is Doing Everything (06/05/1987),1987-06-05,day,title,-,32:58,Dr. Rashad Khalifa,pHVYKB7wnCY,https://www.youtube.com/watch?v=pHVYKB7wnCY,20 - Friday Sermon Knowing GOD GOD is Doing Everything (06-05-1987).csv,341,20,"Dr. Rashad Khalifa delivers what he calls the most important sermon he has given, arguing that belief in God is not sufficient because the Quran repeatedly states that the majority of believers will go to Hell. Drawing on Sura 12:106, Sura 23:84-90 and Sura 29:61-63, he contends that real belief requires recognizing that God runs everything, and he prescribes a new zikr, the constant repetition of ""God is running everything,"" to be kept up throughout the day. He illustrates the point with Joseph's dream preceding his brothers' apparent decision, his own recent trip to Egypt, a printing error at the Muslim Perspective, and an analogy of foreknowledge as travel in time, concluding that to think anyone else acts independently is shirk. The second sermon warns that anger, complaint and even private suspicion backfire because they amount to objecting to God, and closes with reflections on moderation in eating and on the scale of a universe containing a billion trillion stars.",-
Video,13,21,"Friday Sermon: GOD is Doing Everything, Rearranging Our Priorities (07/1987 No. 2)",1987-07,month,title,-,35:16,Dr. Rashad Khalifa,Kk-DvqUSJ1M,https://www.youtube.com/watch?v=Kk-DvqUSJ1M,"21 - Friday Sermon GOD is Doing Everything, Rearranging Our Priorities (07-1987 No. 2).csv",429,20,"Dr. Rashad Khalifa continues the previous sermon's conclusion that God is doing everything and turns to the rearranging of priorities, diagramming the human being as a body that lasts perhaps a hundred years and a soul that lasts forever. He argues that people devote schooling, careers and money to the vanishing body while starving the real person, citing Rock Hudson and Liberace as cases of fame and wealth that left the soul undeveloped, and reads Sura 18:45-47 on this world as vegetation turning to hay and on money and children as its adornments. The second sermon contrasts a believer's morning with a neighbor's and stresses commemorating God throughout the day, then presents a passage he asks the congregation to identify, which argues that no letter of a prayer text may be added or omitted because any change destroys an inherent numerical harmony. He applies that argument to the addition of ""Amen"" to Al-Fatehah and to the Quranic warning addressed to those who are heedless of their prayers.",-
Video,14,22,"Friday Sermon: Quran vs Bible Code, End of the World Revealed 2280AD (07/1987)",1987-07,month,title,-,26:42,Dr. Rashad Khalifa,MR6UI5rp8OM,https://www.youtube.com/watch?v=MR6UI5rp8OM,"22 - Friday Sermon Quran vs Bible Code, End of the World Revealed 2280AD (07-1987).csv",278,21,"Dr. Rashad Khalifa contrasts the Quran's mathematical structure with a computer study of the Torah conducted at the Hebrew University, playing a clip in which Professor Richard Elliott Friedman dismisses that work on Larry King as statistically bogus because the letter interval was chosen by trial until a word appeared. He argues that the Quran's case is different because its initials were fixed in the text, walking through counts of Q, N and Saad, the seven H.M. chapters, ALM in Sura 2 and the five initials of Sura 19, each a multiple of 19, and notes that he has offered to abandon the entire finding if a single error is produced. The second sermon defends his claim that the Quran dates the end of the world, deriving 1709 years from the numerical total of the fourteen initial sets in light of the ""seven pairs"" mentioned in Sura 15, corresponding to 1710 AH and 2280 AD, and citing the 309 years of the people of the cave in Sura 18 as confirmation. He stresses that this dating is a piece of information rather than a condition of salvation, since he reads the Quran's minimum requirements as belief in God, belief in the Hereafter and a righteous life under any religious name.",-
