index,id,title,pdf_filename,source_url,section_index,section_type,heading_level,content
1,appendix-1,1. One of the Great Miracles [74:35],appendix_1.pdf,https://www.masjidtucson.org/quran/appendices/appendix1.html,1,heading,1,One of the Great Miracles [74:35]
2,appendix-1,1. One of the Great Miracles [74:35],appendix_1.pdf,https://www.masjidtucson.org/quran/appendices/appendix1.html,2,table,,"The Quran is characterized by a unique phenomenon never found in any human authored book. Every element of the Quran is mathematically composed — the suras, the verses, the words, the number of certain letters, the number of words from the same root, the number and variety of divine names, the unique spelling of certain words, the absence or deliberate alteration of certain letters within certain words, and many other elements of the Quran besides its content. There are two major facets of the Quran's mathematical system: (1) The mathematical literary composition, and (2) The mathematical structure involving the numbers of suras and verses. Because of this comprehensive mathematical coding, the slightest distortion of the Quran's text or physical arrangement is immediately exposed."
3,appendix-1,1. One of the Great Miracles [74:35],appendix_1.pdf,https://www.masjidtucson.org/quran/appendices/appendix1.html,3,heading,2,Simple to Understand Impossible to Imitate
4,appendix-1,1. One of the Great Miracles [74:35],appendix_1.pdf,https://www.masjidtucson.org/quran/appendices/appendix1.html,4,paragraph,,For the first time in history we have a scripture with built-in proof of divine authorship — a superhuman mathematical composition.
5,appendix-1,1. One of the Great Miracles [74:35],appendix_1.pdf,https://www.masjidtucson.org/quran/appendices/appendix1.html,5,paragraph,,"Any reader of this book can easily verify the Quran's mathematical miracle. The word ""God” (Allah) is written in bold capital letters throughout the text. The frequency of occurrence of the word ""God” is noted at the bottom of each page. The last page of the text, Page 372, shows that the total occurrence of the word ""God” is 2698, or 19x142."
6,appendix-1,1. One of the Great Miracles [74:35],appendix_1.pdf,https://www.masjidtucson.org/quran/appendices/appendix1.html,6,paragraph,,"Furthermore, when we add the numbers of all the verses where the word “God” occurs, we obtain a total of 118123, also a multiple of 19 (118123 = 19x6217). Nineteen is the common denominator throughout the Quran’s mathematical system."
7,appendix-1,1. One of the Great Miracles [74:35],appendix_1.pdf,https://www.masjidtucson.org/quran/appendices/appendix1.html,7,paragraph,,"This phenomenon alone suffices as incontrovertible proof that the Quran is God's message to the world. No human being(s) could have kept track of 2698 occurrences of the word “God,” and the numbers of verses where they occur. This is especially impossible in view of (1) the age of ignorance during which the Quran was revealed, and (2) the fact that the suras and verses were widely separated in time and place of revelation. The chronological order of revelation was vastly different from the final format (Appendix 23). However, the Quran's mathematical system is not limited to the word “God;” it is extremely vast, extremely intricate, and totally comprehensive."
8,appendix-1,1. One of the Great Miracles [74:35],appendix_1.pdf,https://www.masjidtucson.org/quran/appendices/appendix1.html,8,heading,2,The Simple Facts
9,appendix-1,1. One of the Great Miracles [74:35],appendix_1.pdf,https://www.masjidtucson.org/quran/appendices/appendix1.html,9,paragraph,,"Like the Quran itself, the Quran's mathematical coding ranges from the very simple, to the very complex. The Simple Facts are those observations that can be ascertained without using any tools. The complex facts require the assistance of a calculator or a computer. The following facts do not require any tools to be verified:"
10,appendix-1,1. One of the Great Miracles [74:35],appendix_1.pdf,https://www.masjidtucson.org/quran/appendices/appendix1.html,10,table,,"1. The first verse (1:1), known as ""Basmalah,” consists of 19 letters. 2. The Quran consists of 114 suras, which is 19 x 6. 3. The total number of verses in the Quran is 6346, or 19 x 334. [6234 numbered verses & 112 un-numbered verses (Basmalahs) 6234+112 = 6346] Note that 6+3+4+6= 19. 4. The Basmalah occurs 114 times, despite its conspicuous absence from Sura 9 (it occurs twice in Sura 27) & 114= 19 x 6. 5. From the missing Basmalah of Sura 9 to the extra Basmalah of Sura 27, there are precisely 19 suras. 6. It follows that the total of the sura numbers from 9 to 27 (9+10+11+12+...+26+27) is 342, or 19 x 18. 7. This total (342) also equals the number of words between the two Basmalahs of Sura 27, and 342 = 19 x 18. 8. The famous first revelation (96:1-5) consists of 19 words. 9. This 19-worded first revelation consists of 76 letters 19 x 4. 10. Sura 96, first in the chronological sequence, consists of 19 verses. 11. This first chronological sura is placed atop the last 19 suras. 12. Sura 96 consists of 304 Arabic letters, and 304 equals 19 x 16. 13. The last revelation (Sura 110) consists of 19 words. 14. The first verse of the last revelation (110:1) consists of 19 letters. 15. 14 different Arabic letters, form 14 different sets of ""Quranic Initials” (such as A.L.M. of 2:1), and prefix 29 suras. These numbers add up to 14+14+29=57= 19 x 3. 16. The total of the 29 sura numbers where the Quranic Initials occur is 2+3+7+...+50+68 = 822, and 822+14 (14 sets of initials) equals 836, or 19 x 44. 17. Between the first initialed sura (Sura 2) and the last initialed sura (Sura 68) there are 38 un-initialed suras 19 x 2. 18. Between the first and last initialed sura there are 19 sets of alternating ""initialed” and ""uninitialed” suras. 19. The Quran mentions 30 different numbers: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 19, 20, 30, 40, 50, 60, 70, 80, 99, 100, 200, 300, 1000, 2000, 3000, 5000, 50,000, & 100,000. The sum of these numbers is 162146, which equals 19x8534."
11,appendix-1,1. One of the Great Miracles [74:35],appendix_1.pdf,https://www.masjidtucson.org/quran/appendices/appendix1.html,11,paragraph,,This is a condensed summary of the Simple Facts.
12,appendix-1,1. One of the Great Miracles [74:35],appendix_1.pdf,https://www.masjidtucson.org/quran/appendices/appendix1.html,12,heading,2,The Literary Mathematical Composition
13,appendix-1,1. One of the Great Miracles [74:35],appendix_1.pdf,https://www.masjidtucson.org/quran/appendices/appendix1.html,13,paragraph,,"The Quran is characterized by a unique phenomenon never found in any other book; 29 suras are prefixed with 14 different sets of ""Quranic Initials,” consisting of one to five letters per set. Fourteen letters, half the Arabic alphabet, participate in these initials. The significance of the Quranic initials remained a divinely guarded secret for 14 centuries."
14,appendix-1,1. One of the Great Miracles [74:35],appendix_1.pdf,https://www.masjidtucson.org/quran/appendices/appendix1.html,14,paragraph,,"The Quran states in 10:20 and 25:4-6 that its miracle, i.e., proof of divine authorship, was destined to remain secret for a specific predetermined interim:"
15,appendix-1,1. One of the Great Miracles [74:35],appendix_1.pdf,https://www.masjidtucson.org/quran/appendices/appendix1.html,15,table,,"They said, ""Why hasn't a miracle come down to him from his Lord?” Say, ""Only God knows the future. Therefore, wait, and I will wait along with you.” [10:20] ****** Those who disbelieved said, ""This is no more than a fabrication by him, with the help of other people.” Indeed, they uttered a blasphemy; a falsehood. Others said, ""Tales from the past that he wrote down; they were dictated to him day and night.” Say, ""This was sent down from the One who knows `the secret' in the heavens and the earth.” Surely, He is Forgiving, Most Merciful. [25:4-6]"
16,appendix-1,1. One of the Great Miracles [74:35],appendix_1.pdf,https://www.masjidtucson.org/quran/appendices/appendix1.html,16,paragraph,,The Quranic Initials constitute a major portion of the Quran's 19-based mathematical miracle.
17,appendix-1,1. One of the Great Miracles [74:35],appendix_1.pdf,https://www.masjidtucson.org/quran/appendices/appendix1.html,17,paragraph,,Table 1: List of the Quranic Initials and Their Suras
18,appendix-1,1. One of the Great Miracles [74:35],appendix_1.pdf,https://www.masjidtucson.org/quran/appendices/appendix1.html,18,table,,No. Sura No. Sura Title Quranic Initials 1. 2 The Heifer A.L.M. 2. 3 The Amramites A.L.M. 3. 7 The Purgatory A.L.M.S. 4. 10 Jonah A.L.R. 5. 11 Hûd A.L.R. 6. 12 Joseph A.L.R. 7. 13 Thunder A.L.M.R. 8. 14 Abraham A.L.R. 9. 15 Al-Hijr Valley A.L.R. 10. 19 Mary K.H.Y.‘A.S. 11. 20 T.H. T.H. 12. 26 The Poets T.S.M. 13. 27 The Ant T.S. 14. 28 History T.S.M. 15. 29 The Spider A.L.M. 16. 30 The Romans A.L.M. 17. 31 Luqmaan A.L.M. 18. 32 Prostration A.L.M. 19. 36 Y.S. Y.S. 20. 38 S. S. 21. 40 Forgiver H.M. 22. 41 Elucidated H.M. 23. 42 Consultation H.M. ‘A.S.Q 24. 43 Ornaments H.M. 25. 44 Smoke H.M. 26. 45 Kneeling H.M. 27. 46 The Dunes H.M. 28. 50 Q. Q. 29. 68 The Pen NuN
19,appendix-1,1. One of the Great Miracles [74:35],appendix_1.pdf,https://www.masjidtucson.org/quran/appendices/appendix1.html,19,heading,3,Historical Background
20,appendix-1,1. One of the Great Miracles [74:35],appendix_1.pdf,https://www.masjidtucson.org/quran/appendices/appendix1.html,20,paragraph,,"In 1968, I realized that the existing English translations of the Quran did not present the truthful message of God's Final Testament. For example, the two most popular translators, Yusuf Ali and Marmaduke Pickthall, could not overcome their corrupted religious traditions when it came to the Quran's great criterion in 39:45."
21,appendix-1,1. One of the Great Miracles [74:35],appendix_1.pdf,https://www.masjidtucson.org/quran/appendices/appendix1.html,21,table,,"When God ALONE is mentioned, the hearts of those who do not believe in the Hereafter shrink with aversion. But when others are mentioned beside Him, they rejoice. [39:45]"
22,appendix-1,1. One of the Great Miracles [74:35],appendix_1.pdf,https://www.masjidtucson.org/quran/appendices/appendix1.html,22,paragraph,,"Yusuf Ali omitted the crucial word ""ALONE” from his translation, and altered the rest of the verse by inserting the word ""(gods).” Thus, he utterly destroyed this most important Quranic criterion. He translated 39:45 as follows:"
23,appendix-1,1. One of the Great Miracles [74:35],appendix_1.pdf,https://www.masjidtucson.org/quran/appendices/appendix1.html,23,table,,"When God, the One and Only, is mentioned, the hearts of those who believe not in the Hereafter are filled with disgust and horror; but when (gods) other than He are mentioned, behold, they are filled with joy. [39:45] (according to A. Yusuf Ali)"
24,appendix-1,1. One of the Great Miracles [74:35],appendix_1.pdf,https://www.masjidtucson.org/quran/appendices/appendix1.html,24,paragraph,,"The expression ""When God, the One and Only, is mentioned,” is not the same as saying, ""When God alone is mentioned.” One can mention ""God, the One and Only,” and also mention Muhammad or Jesus, and no one will be upset. But if ""God ALONE is mentioned,” you cannot mention anyone else, and a lot of people — those who idolize Muhammad or Jesus — will be upset. Thus, Yusuf Ali could not bring himself to present the truth of the Quran, if it exposed his corrupted belief."
25,appendix-1,1. One of the Great Miracles [74:35],appendix_1.pdf,https://www.masjidtucson.org/quran/appendices/appendix1.html,25,paragraph,,"Marmaduke Pickthall translated ""ALONE” correctly, but destroyed the criterion by inserting his personal belief in parentheses; he translated 39:45 as follows:"
26,appendix-1,1. One of the Great Miracles [74:35],appendix_1.pdf,https://www.masjidtucson.org/quran/appendices/appendix1.html,26,table,,"And when Allah alone is mentioned, the hearts of those who believe not in the Hereafter are repelled, and when those (whom they worship) beside Him are mentioned, behold! they are glad. [39:45] (according to Marmaduke Pickthal)"
27,appendix-1,1. One of the Great Miracles [74:35],appendix_1.pdf,https://www.masjidtucson.org/quran/appendices/appendix1.html,27,paragraph,,"When I saw the truth of God's word thus distorted, I decided to translate the Quran, at least for the benefit of my own children. Since I was a chemist by profession, and despite my extensive religious background — my father was a renowned Sufi leader in Egypt — I vowed to God that I would not move from one verse to the next unless I fully understood it."
28,appendix-1,1. One of the Great Miracles [74:35],appendix_1.pdf,https://www.masjidtucson.org/quran/appendices/appendix1.html,28,paragraph,,"I purchased all the available books of Quranic translations and exegeses (Tafseer) I could find, placed them on a large table, and began my translation. The first sura, The Key, was completed in a few days. The first verse in Sura 2 is ""A.L.M.” The translation of this verse took four years, and coincided with the divine unveiling of ""the secret,” the great mathematical Miracle of the Quran."
29,appendix-1,1. One of the Great Miracles [74:35],appendix_1.pdf,https://www.masjidtucson.org/quran/appendices/appendix1.html,29,paragraph,,"The books of Quranic exegeses unanimously agreed that ""no one knows the meaning or significance of the Quranic Initials A.L.M., or any other initials.” I decided to write the Quran into the computer, analyze the whole text, and see if there were any mathematical correlations among these Quranic initials."
30,appendix-1,1. One of the Great Miracles [74:35],appendix_1.pdf,https://www.masjidtucson.org/quran/appendices/appendix1.html,30,paragraph,,"I used a time-share terminal, connected by telephone to a giant computer. To test my hypothesis, I decided to look at the single-lettered Quranic Initials — ""Q” (Qaaf) of Suras 42 and 50, ""S” (Saad) of Suras 7, 19, and 38, and ""N” (Noon) of Sura 68. As detailed in my first book MIRACLE OF THE QURAN: SIGNIFICANCE OF THE MYSTERIOUS ALPHABETS (Islamic Productions, 1973), many previous attempts to unravel the mystery had failed."
31,appendix-1,1. One of the Great Miracles [74:35],appendix_1.pdf,https://www.masjidtucson.org/quran/appendices/appendix1.html,31,heading,2,"The Quranic Initial ""Q” (Qaaf)"
32,appendix-1,1. One of the Great Miracles [74:35],appendix_1.pdf,https://www.masjidtucson.org/quran/appendices/appendix1.html,32,paragraph,,"The computer data showed that the text of the only Q-initialed suras, 42 and 50, contained the same number of Q's, 57 and 57. That was the first hint that a deliberate mathematical system may exist in the Quran."
33,appendix-1,1. One of the Great Miracles [74:35],appendix_1.pdf,https://www.masjidtucson.org/quran/appendices/appendix1.html,33,paragraph,,"Sura 50 is entitled ""Q,” prefixed with ""Q,” and the first verse reads, ""Q, and the glorious Quran.” This indicated that ""Q” stands for ""Quran,” and the total number of Q's in the two Q-initialed suras represents the Quran's 114 suras (57+57 = 114 = 19x6). This idea was strengthened by the fact that ""the Quran” occurs in the Quran 57 times."
34,appendix-1,1. One of the Great Miracles [74:35],appendix_1.pdf,https://www.masjidtucson.org/quran/appendices/appendix1.html,34,paragraph,,"The Quran is described in Sura ""Q” as ""Majid” (glorious), and the Arabic word ""Majid” has a gematrical value of 57: M (40)+J (3)+I (10)+D (4) = 57."
35,appendix-1,1. One of the Great Miracles [74:35],appendix_1.pdf,https://www.masjidtucson.org/quran/appendices/appendix1.html,35,paragraph,,"Sura 42 consists of 53 verses, and 42+53 = 95 = 19x5."
36,appendix-1,1. One of the Great Miracles [74:35],appendix_1.pdf,https://www.masjidtucson.org/quran/appendices/appendix1.html,36,paragraph,,"Sura 50 consists of 45 verses, and 50+45 = 95, same total as in Sura 42."
37,appendix-1,1. One of the Great Miracles [74:35],appendix_1.pdf,https://www.masjidtucson.org/quran/appendices/appendix1.html,37,paragraph,,"By counting the letter ""Q” in every ""Verse 19” throughout the Quran, the total count comes to 76, 19x4. Here is a summary of the Q-related data:"
38,appendix-1,1. One of the Great Miracles [74:35],appendix_1.pdf,https://www.masjidtucson.org/quran/appendices/appendix1.html,38,list,,"The frequency of occurrence of ""Q"" in Sura ""Q"" (No. 50) is 57, 19x3. The letter ""Q"" occurs in the other Q-initialed sura (No. 42) exactly the same number of times, 57. The total occurrence of the letter ""Q"" in the two Q-initialed suras is 114, which equals the number of suras in the Quran. ""The Quran"" is mentioned in the Quran 57 times. The description of the Quran as ""Majid"" (Glorious) is correlated with the frequency of occurrence of the letter ""Q"" in each of the Q-initialed suras. The word ""Majid"" has a gematrical value of 57. Sura 42 consists of 53 verses, and 42+53 is 95, or 19x5. Sura 50 consists of 45 verses, and 50+45 is also 95, 19x5. The number of Q's in all verses numbered ""19"" throughout the Quran is 76, 19x4."
39,appendix-1,1. One of the Great Miracles [74:35],appendix_1.pdf,https://www.masjidtucson.org/quran/appendices/appendix1.html,39,paragraph,,"Glimpses of the Quran's mathematical composition began to emerge. For example, it was observed that the people who disbelieved in Lot are mentioned in 50:13 and occur in the Quran 13 times — 7:80; 11:70, 74, 89; 21:74; 22:43; 26:160; 27:54, 56; 29:28; 38:13; 50:13; and 54:33. Consistently, they are referred to as “Qawm,” with the single exception of the Q-initialed Sura 50 where they are referred to as “Ikhwaan.” Obviously, if the regular, Q-containing word “Qawm” were used, the count of the letter “Q” in Sura 50 would have become 58, and this whole phenomenon would have disappeared. With the recognized absolute accuracy of mathematics, the alteration of a single letter destroys the system."
40,appendix-1,1. One of the Great Miracles [74:35],appendix_1.pdf,https://www.masjidtucson.org/quran/appendices/appendix1.html,40,paragraph,,"Another relevant example is the reference to Mecca in 3:96 as “Becca!"" This strange spelling of the renowned city has puzzled Islamic scholars for many centuries. Although Mecca is mentioned in the Quran properly spelled in 48:24, the letter “M” is substituted with a “B” in 3:96. It turns out that Sura 3 is an M-initialed sura, and the count of the letter “M” would have deviated from the Quran's code if “Mecca” was spelled correctly in 3:96."
41,appendix-1,1. One of the Great Miracles [74:35],appendix_1.pdf,https://www.masjidtucson.org/quran/appendices/appendix1.html,41,heading,2,NuN (Noon)
42,appendix-1,1. One of the Great Miracles [74:35],appendix_1.pdf,https://www.masjidtucson.org/quran/appendices/appendix1.html,42,paragraph,,"This initial is unique; it occurs in one sura, 68, and the name of the letter is spelled out as three letters — Noon Wow Noon — in the original text, and is therefore counted as two N's. The total count of this letter in the N-initialed sura is 133, 19x7."
43,appendix-1,1. One of the Great Miracles [74:35],appendix_1.pdf,https://www.masjidtucson.org/quran/appendices/appendix1.html,43,paragraph,,"The fact that ""N” is the last Quranic Initial (see Table 1) brings out a number of special observations. For example, the number of verses from the first Quranic Initial (A.L.M. of 2:1) to the last initial (N. of 68:1) is 5263, or 19x277."
44,appendix-1,1. One of the Great Miracles [74:35],appendix_1.pdf,https://www.masjidtucson.org/quran/appendices/appendix1.html,44,paragraph,,"The word ""God” (Allah) occurs 2641 (19x139) times between the first initial and the last initial. Since the total occurrence of the word ""God” is 2698, it follows that its occurrence outside the initials ""A.L.M.” of 2:1 on one side, and the initial ""N” of 68:1 on the other side, is 57, 19x3. Tables 9 to 18 prove that the initial ""NuN” must be spelled out to show two N's."
45,appendix-1,1. One of the Great Miracles [74:35],appendix_1.pdf,https://www.masjidtucson.org/quran/appendices/appendix1.html,45,heading,2,S (Saad)
