source_class,document_id,title,date,author_or_speakers,genre,canonical_file,record_count,source_priority,note
audio-transcript,audio-01,01 Quran Study From Azhar 1 Sura 72;19 28 & Sura 73 By Kathryn Jinns 05 26 1989,,Dr. Khalifa:367 | Catherine:274 | Edip:43 | A man:25 | A woman:22 | Douglas:16 | Martha:15 | Robert:11 | Beth:7 | Dr. Sabahi:6 | Apamea:4 | Hamid:2 | Ali:1 | Audience:1 | Abdullah:1,spoken recording,transcripts/audio/01 - Quran Study From Azhar 1 Sura 72_19 28 & Sura 73 By Kathryn Jinns 05 26 1989(2).csv,795,canonical_transcript,original transcript unchanged
video-transcript,video-01,01 What is Life All About,,blank:219,spoken recording,transcripts/video/01 - What is Life All About.csv,219,canonical_transcript,original transcript unchanged
audio-transcript,audio-02,02 Quran Study From Azhar 2 Sura 95 & Sura 96 By M Sabahi Two Verses Of Sura 9 Dropped Out To Demons,,Dr. Sabahi:319 | Dr. Khalifa:211 | Ali:59 | A man:59 | Hamid:51 | David:37 | Dan:30 | Robert:21 | Douglas:19 | A woman:15 | Phillip:8 | Lisa:3 | Amir:1 | Mahmoud Abib:1 | Edip:1,spoken recording,transcripts/audio/02 - Quran Study From Azhar 2 Sura 95 & Sura 96 By M Sabahi Two Verses Of Sura 9 Dropped Out To Demons.csv,835,canonical_transcript,original transcript unchanged
video-transcript,video-02,01b Who is GOD,,blank:161,spoken recording,transcripts/video/02 - Who is GOD.csv,161,canonical_transcript,original transcript unchanged
audio-transcript,audio-03,03 Quran Study From Azhar 3 Sura 10;79 92 & Sura 23 By Rashad's Khutba 01 19 1990 Sura 3;110 117 By,,Dr. Khalifa:607 | Dr. Sabahi:210 | Ismail Barakat:96 | Mahmoud Abib:43 | A woman:26 | Behrouz:25 | A man:14 | Shakira:12 | Lydia:10 | Abdullah:9 | Emily:6 | Edip:1 | Beth:1,spoken recording,transcripts/audio/03 - Quran Study From Azhar 3 Sura 10_79 92 & Sura 23 By Rashad_s Khutba 01 19 1990 Sura 3_110 117 By.csv,1060,canonical_transcript,original transcript unchanged
video-transcript,video-03,02 Witness a Miracle & World News Bulletin,,blank:382,spoken recording,transcripts/video/03 - Witness a Miracle & World News Bulletin.csv,382,canonical_transcript,original transcript unchanged
video-transcript,video-04,03 Mathematical Miracle of Quran,,Quran:298 | blank:30,spoken recording,transcripts/video/04 - Mathematical Miracle of Quran.csv,328,canonical_transcript,original transcript unchanged
audio-transcript,audio-04,04 Quran Study From Azhar 4 Sura 37 By Rashad Shakira Present Astroid 01 21 1990 Sura 3;118 129 By S,,Dr. Khalifa:731 | Shakira:194 | Dr. Sabahi:166 | Ismail Barakat:119 | Mahmoud Abib:56 | Behrouz:55 | A woman:53 | Douglas:16 | A man:11 | Abdullah:9 | Beth:8 | Edip:6 | Feroz:2 | Soad Khalifa:2 | Mahmoud:1,spoken recording,transcripts/audio/04 - Quran Study From Azhar 4 Sura 37 By Rashad Shakira Present Astroid 01 21 1990 Sura 3_118 129 By S.csv,1429,canonical_transcript,original transcript unchanged
video-transcript,video-05,"07. Old Message, New Messenger",,Dr. Khalifa:404 | blank:227 | Carole:2 | Audience:2,spoken recording,"transcripts/video/05 - Old Message, New Messenger.csv",635,canonical_transcript,original transcript unchanged
audio-transcript,audio-05,05 Quran Study From Azhar 5 Sura 56;75 & Sura 57 By Lisa 02 17 1989,,Dr. Khalifa:304 | Lisa:221 | A woman:23 | Catherine:9 | A man:4 | Farhad:2 | Abdullah:1 | Hussein:1,spoken recording,transcripts/audio/05 - Quran Study From Azhar 5 Sura 56_75 & Sura 57 By Lisa 02 17 1989.csv,565,canonical_transcript,original transcript unchanged
audio-transcript,audio-06,06 Quran Study From Azhar 6 Sura 59 By Donna PRA Invisible Giants Hypocrites 03 10 1989,,Dr. Khalifa:394 | Donna:203 | Hamid:54 | A man:26 | Abdullah:25 | Parivash:23 | Robert:18 | Farhad:16 | A woman:9,spoken recording,transcripts/audio/06 - Quran Study From Azhar 6 Sura 59 By Donna PRA Invisible Giants Hypocrites 03 10 1989.csv,768,canonical_transcript,original transcript unchanged
video-transcript,video-06,08.The Great Debate: Dr. Rashad Khalifa vs Dr. Abdel Rahman,,Dr. Khalifa:741 | Abdel Rahman:432 | blank:19 | Everything Is Wrong:5 | Dr Khalifa:1 | D. Khalifa:1 | A Woman:1,spoken recording,transcripts/video/06 - The Great Debate Dr. Rashad Khalifa vs Dr. Abdel Rahman.csv,1200,canonical_transcript,original transcript unchanged
video-transcript,video-07,09 In Defence of the Bible,,blank:173,spoken recording,transcripts/video/07 - In Defense of the Bible.csv,173,canonical_transcript,original transcript unchanged
audio-transcript,audio-07,07 Quran Study From Azhar 7 Sura 62 & Sura 63 By Kathryn God's Religion Will Dominate In 20 To 50 Yr,,Dr. Khalifa:484 | Catherine:254 | Hamid:118 | A woman:59 | A man:50 | Farhad:16 | Martha:12 | Douglas:11 | Abdullah:7 | Dr. Sabahi:4 | Apamea:3 | Mahmoud:2 | Naghmeh:1 | A person:1,spoken recording,transcripts/audio/07 - Quran Study From Azhar 7 Sura 62 & Sura 63 By Kathryn God_s Religion Will Dominate In 20 To 50 Yr.csv,1022,canonical_transcript,original transcript unchanged
