document_id,short_id,title,date,date_precision,author,genre,role,source_priority,page_count,blank_pages,low_confidence_pages,mean_ocr_confidence,source_pdf,package_file,note
written/W01,W01,Miracle of the Quran: Significance of the Mysterious Alphabets,1973,year,Rashad Khalifa,research monograph,earliest major numerical-code publication,historical_primary,216,5,,,Miracle of Quran - Significance of the Mysterious Alphabets.pdf,written/originals/W01.json,Use for the origin and early form of the mysterious-initial calculations.
written/W02,W02,"ISLAM, Volume 1, Number 1",1974-04,month,Multiple contributors; Rashad Khalifa was an editor and contributor,multi-author journal issue,early institutional and intellectual context,historical_context,90,1,,,"ISLAM - Volume 1, Number 1 (April 1974).pdf",written/originals/W02.json,Never attribute the whole issue to Rashad. Determine the author of each article before quoting.
written/W03,W03,"ISLAM, Volume 1, Number 2",1974-07,month,Multiple contributors; Rashad Khalifa was an editor and contributor,multi-author journal issue,early institutional and intellectual context,historical_context,92,0,,,"ISLAM - Volume 1, Number 2 (July 1974).pdf",written/originals/W03.json,Never attribute the whole issue to Rashad. Determine the author of each article before quoting.
written/W04,W04,"ISLAM, Volume 1, Numbers 3 and 4",1975-01,month,Multiple contributors; Rashad Khalifa was an editor and contributor,multi-author journal issue,early institutional and intellectual context,historical_context,139,2,,,"ISLAM - Volume 1, Number 3 & 4 (January 1975).pdf",written/originals/W04.json,Never attribute the whole issue to Rashad. Determine the author of each article before quoting.
written/W05,W05,English Meanings of the Quran,1974,year,Rashad Khalifa,early Quran translation installment,historical translation development,historical_secondary,16,0,,,English Meanings of the Quran(1).pdf,written/originals/W05.json,This early rendering is superseded by the 1992 final English edition for final-translation questions.
written/W06,W06,The Perpetual Miracle of Muhammad,,unknown,Rashad Khalifa,lecture booklet or presentation text,concise public presentation of the numerical miracle,historical_primary,16,0,,,The Perpetual Miracle of Muhammad.pdf,written/originals/W06.json,The text repeatedly describes a sixty-minute presentation. Exact publication date requires verification.
written/W07,W07,The Computer Speaks: God's Message to the World,1981,probable_year,Rashad Khalifa,numerical research compilation,large data-rich presentation of the Quranic code,published_primary,280,10,,,The Computer Speaks God's Message to the World.pdf,written/originals/W07.json,The title-page OCR is imperfect. Treat 1981 as the working date until the scan is visually confirmed.
written/W08,W08,"Quran, Hadith, and Islam",1982,year,Rashad Khalifa,doctrinal monograph,formal published Quran-alone argument,published_primary,92,0,,,"Quran, Hadith, and Islam(1).pdf",written/originals/W08.json,High-priority source for Rashad's official 1982 Quran-alone position.
written/W09,W09,Quran: Visual Presentation of the Miracle,1982,year,Rashad Khalifa,visual numerical research monograph,published visual presentation of Code 19 evidence,published_primary,252,1,,,Quran - Visual Presentation of the Miracle.pdf,written/originals/W09.json,Many pages are tables or facsimiles. Use the original page JSON and review low-quality OCR before quoting.
written/W10,W10,ETERNITY,1983,year,Rashad Khalifa,screenplay,creative narrative expression of theological themes,creative_context,94,0,,,ETERNITY - Screenplay(1).pdf,written/originals/W10.json,Do not treat fictional dialogue as a formal doctrinal ruling unless corroborated by a doctrinal source.
written/W11,W11,The Contact Prayers,,unknown,United Submitters International / Rashad Khalifa movement,ritual instruction booklet,dedicated published Salat procedure,procedural_primary,8,0,,,The Contact Prayers.pdf,written/originals/W11.json,"Give this source priority over casual spoken answers for step-by-step prayer procedure, while preserving later final-edition notes if they conflict."
