verse_index,verse_id,english,chapter_number,verse_number
1,1:1,The Hebrew word rendered “God” is “ אֱלֹהִ֑ים ” (Elohim).,1,1
29,1:29,"“Behold”, from “ הִנֵּה ”, means look at, take notice, observe, see, or gaze at. It is often used as an interjection.",1,29
35,2:4,"When rendered in ALL CAPITAL LETTERS, “LORD” or “GOD” is the translation of God’s Proper Name (Hebrew “ יהוה ”, usually pronounced Yahweh).",2,4
43,2:12,"or, aromatic resin",2,12
49,2:18,"or, suitable for, or appropriate for.",2,18
80,3:24,"cherubim are powerful angelic creatures, messengers of God with wings. See Ezekiel 10.",3,24
81,4:1,"or, lay with, or, had relations with or, became pregnant",4,1
108,5:2,"“Adam” and “Man” are spelled with the exact same consonants in Hebrew, so this can be correctly translated either way.",5,2
142,6:4,"or, giants",6,4
153,6:15,"A cubit is the length from the tip of the middle finger to the elbow on a man’s arm, or about 18 inches or 46 centimeters.",6,15
180,7:20,"A cubit is the length from the tip of the middle finger to the elbow on a man’s arm, or about 18 inches or 46 centimeters.",7,20
269,11:2,LXX reads “from the east”.,11,2
306,12:7,"or, seed",12,7
307,12:8,LORD or GOD in all caps is from the Hebrew יהוה Yahweh except when otherwise noted as being from the short form יה Yah.,12,8
363,15:2,The word translated “Lord” is “Adonai”.,15,2
396,16:14,Beer Lahai Roi means “well of the one who lives and sees me”.,16,14
417,17:19,Isaac means “he laughs”.,17,19
431,18:6,1 seah is about 7 liters or 1.9 gallons or 0.8 pecks,18,6
480,19:22,Zoar means “little”.,19,22
517,21:3,Isaac means “He laughs”.,21,3
545,21:31,Beersheba can mean “well of the oath” or “well of seven”.,21,31
547,21:33,LORD or GOD in all caps is from the Hebrew יהוה Yahweh except when otherwise noted as being from the short form יה Yah.,21,33
562,22:14,"or, the LORD Jireh, or, the LORD Seeing",22,14
587,23:15,"A shekel is about 10 grams, so 400 shekels would be about 4 kg. or 8.8 pounds.",23,15
614,24:22,A shekel is about 10 grams or about 0.35 ounces.,24,22
689,25:30,“Edom” means “red”.,25,30
712,26:19,"Or, living. Or, fresh.",26,19
713,26:20,“Esek” means “contention”.,26,20
714,26:21,“Sitnah” means “hostility”.,26,21
715,26:22,“Rehoboth” means “broad places”.,26,22
726,26:33,Shibah means “oath” or “seven”. Beersheba means “well of the oath” or “well of the seven”,26,33
855,30:24,Joseph means “may he add”.,30,24
893,31:19,teraphim were household idols that may have been associated with inheritance rights to the household property.,31,19
921,31:47,“Jegar Sahadutha” means “Witness Heap” in Aramaic. “Galeed” means “Witness Heap” in Hebrew.,31,47
931,32:2,“Mahanaim” means “two camps”.,32,2
959,32:30,Peniel means “face of God”.,32,30
978,33:17,succoth means shelters or booths.,33,17
981,33:20,"El Elohe Israel means “God, the God of Israel” or “The God of Israel is mighty”.",33,20
998,34:17,"Hebrew has, literally, “daughter”",34,17
1030,35:18,“Benoni” means “son of my trouble”. “Benjamin” means “son of my right hand”.,35,18
1119,37:35,Sheol is the place of the dead.,37,35
1149,38:29,Perez means “breaking out”.,38,29
1150,38:30,Zerah means “scarlet” or “brightness”.,38,30
1247,41:51,“Manasseh” sounds like the Hebrew for “forget”.,41,51
1248,41:52,“Ephraim” sounds like the Hebrew for “twice fruitful”.,41,52
1291,42:38,Sheol is the place of the dead.,42,38
1354,44:29,Sheol is the place of the dead.,44,29
1356,44:31,Sheol is the place of the dead.,44,31
1542,1:9,"“Behold”, from “ הִנֵּה ”, means look at, take notice, observe, see, or gaze at. It is often used as an interjection.",51,9
1550,1:17,The Hebrew word rendered “God” is “ אֱלֹהִ֑ים ” (Elohim).,51,17
1565,2:10,“Moses” sounds like the Hebrew for “draw out”.,52,10
