document_slug,document_title,pdf_page,printed_page,english_confidence,text_length,reason
english_meanings_of_the_quran,English Meanings of the Quran,2,,36.38,99,low OCR confidence or sparse text
english_meanings_of_the_quran,English Meanings of the Quran,7,,34.36,99,low OCR confidence or sparse text
english_meanings_of_the_quran,English Meanings of the Quran,9,,,99,low OCR confidence or sparse text
english_meanings_of_the_quran,English Meanings of the Quran,11,,30.8,99,low OCR confidence or sparse text
miracle_of_quran_mysterious_alphabets,Miracle of the Quran - Significance of the Mysterious Alphabets,1,,,86,low OCR confidence or sparse text
miracle_of_quran_mysterious_alphabets,Miracle of the Quran - Significance of the Mysterious Alphabets,2,,,0,low OCR confidence or sparse text
miracle_of_quran_mysterious_alphabets,Miracle of the Quran - Significance of the Mysterious Alphabets,6,,,0,low OCR confidence or sparse text
miracle_of_quran_mysterious_alphabets,Miracle of the Quran - Significance of the Mysterious Alphabets,8,,,0,low OCR confidence or sparse text
miracle_of_quran_mysterious_alphabets,Miracle of the Quran - Significance of the Mysterious Alphabets,24,8,59.74,2346,low OCR confidence or sparse text
miracle_of_quran_mysterious_alphabets,Miracle of the Quran - Significance of the Mysterious Alphabets,28,,52.59,1445,low OCR confidence or sparse text
miracle_of_quran_mysterious_alphabets,Miracle of the Quran - Significance of the Mysterious Alphabets,34,18,62.33,892,low OCR confidence or sparse text
miracle_of_quran_mysterious_alphabets,Miracle of the Quran - Significance of the Mysterious Alphabets,35,,61.55,1199,low OCR confidence or sparse text
miracle_of_quran_mysterious_alphabets,Miracle of the Quran - Significance of the Mysterious Alphabets,36,,62.36,875,low OCR confidence or sparse text
miracle_of_quran_mysterious_alphabets,Miracle of the Quran - Significance of the Mysterious Alphabets,49,33,55.16,75,low OCR confidence or sparse text
miracle_of_quran_mysterious_alphabets,Miracle of the Quran - Significance of the Mysterious Alphabets,52,36,53.34,3256,low OCR confidence or sparse text
miracle_of_quran_mysterious_alphabets,Miracle of the Quran - Significance of the Mysterious Alphabets,53,37,25.73,2710,low OCR confidence or sparse text
miracle_of_quran_mysterious_alphabets,Miracle of the Quran - Significance of the Mysterious Alphabets,61,5,62.28,49,low OCR confidence or sparse text
miracle_of_quran_mysterious_alphabets,Miracle of the Quran - Significance of the Mysterious Alphabets,62,30,60.13,613,low OCR confidence or sparse text
miracle_of_quran_mysterious_alphabets,Miracle of the Quran - Significance of the Mysterious Alphabets,65,2000,43.97,2947,low OCR confidence or sparse text
miracle_of_quran_mysterious_alphabets,Miracle of the Quran - Significance of the Mysterious Alphabets,66,50,49.04,2851,low OCR confidence or sparse text
miracle_of_quran_mysterious_alphabets,Miracle of the Quran - Significance of the Mysterious Alphabets,67,31,30.52,3126,low OCR confidence or sparse text
miracle_of_quran_mysterious_alphabets,Miracle of the Quran - Significance of the Mysterious Alphabets,68,3,47.89,2755,low OCR confidence or sparse text
miracle_of_quran_mysterious_alphabets,Miracle of the Quran - Significance of the Mysterious Alphabets,70,2528,64.52,2591,low OCR confidence or sparse text
miracle_of_quran_mysterious_alphabets,Miracle of the Quran - Significance of the Mysterious Alphabets,71,57,56.33,2684,low OCR confidence or sparse text
miracle_of_quran_mysterious_alphabets,Miracle of the Quran - Significance of the Mysterious Alphabets,72,226,53.25,2541,low OCR confidence or sparse text
miracle_of_quran_mysterious_alphabets,Miracle of the Quran - Significance of the Mysterious Alphabets,73,14,50.24,3145,low OCR confidence or sparse text
miracle_of_quran_mysterious_alphabets,Miracle of the Quran - Significance of the Mysterious Alphabets,78,64,62.47,2217,low OCR confidence or sparse text
miracle_of_quran_mysterious_alphabets,Miracle of the Quran - Significance of the Mysterious Alphabets,101,87,60.15,2016,low OCR confidence or sparse text
miracle_of_quran_mysterious_alphabets,Miracle of the Quran - Significance of the Mysterious Alphabets,102,88,59.48,2210,low OCR confidence or sparse text
miracle_of_quran_mysterious_alphabets,Miracle of the Quran - Significance of the Mysterious Alphabets,103,89,63.71,2722,low OCR confidence or sparse text
miracle_of_quran_mysterious_alphabets,Miracle of the Quran - Significance of the Mysterious Alphabets,112,xLI,62.59,2080,low OCR confidence or sparse text
miracle_of_quran_mysterious_alphabets,Miracle of the Quran - Significance of the Mysterious Alphabets,113,Lvl,62.77,1223,low OCR confidence or sparse text
miracle_of_quran_mysterious_alphabets,Miracle of the Quran - Significance of the Mysterious Alphabets,114,L,59.78,1159,low OCR confidence or sparse text
miracle_of_quran_mysterious_alphabets,Miracle of the Quran - Significance of the Mysterious Alphabets,116,LxI,52.69,259,low OCR confidence or sparse text
miracle_of_quran_mysterious_alphabets,Miracle of the Quran - Significance of the Mysterious Alphabets,121,107,63.23,1998,low OCR confidence or sparse text
miracle_of_quran_mysterious_alphabets,Miracle of the Quran - Significance of the Mysterious Alphabets,124,110,64.75,1478,low OCR confidence or sparse text
miracle_of_quran_mysterious_alphabets,Miracle of the Quran - Significance of the Mysterious Alphabets,125,111,63.7,1624,low OCR confidence or sparse text
miracle_of_quran_mysterious_alphabets,Miracle of the Quran - Significance of the Mysterious Alphabets,129,115,62.5,1771,low OCR confidence or sparse text
miracle_of_quran_mysterious_alphabets,Miracle of the Quran - Significance of the Mysterious Alphabets,143,,63.71,1591,low OCR confidence or sparse text
miracle_of_quran_mysterious_alphabets,Miracle of the Quran - Significance of the Mysterious Alphabets,144,130,63.92,1141,low OCR confidence or sparse text
miracle_of_quran_mysterious_alphabets,Miracle of the Quran - Significance of the Mysterious Alphabets,145,131,56.47,1544,low OCR confidence or sparse text
miracle_of_quran_mysterious_alphabets,Miracle of the Quran - Significance of the Mysterious Alphabets,157,143,62.8,1201,low OCR confidence or sparse text
miracle_of_quran_mysterious_alphabets,Miracle of the Quran - Significance of the Mysterious Alphabets,166,152,64.27,1836,low OCR confidence or sparse text
miracle_of_quran_mysterious_alphabets,Miracle of the Quran - Significance of the Mysterious Alphabets,171,157,63.45,1784,low OCR confidence or sparse text
miracle_of_quran_mysterious_alphabets,Miracle of the Quran - Significance of the Mysterious Alphabets,172,158,61.09,1381,low OCR confidence or sparse text
miracle_of_quran_mysterious_alphabets,Miracle of the Quran - Significance of the Mysterious Alphabets,178,164,58.0,1041,low OCR confidence or sparse text
miracle_of_quran_mysterious_alphabets,Miracle of the Quran - Significance of the Mysterious Alphabets,179,,63.92,473,low OCR confidence or sparse text
miracle_of_quran_mysterious_alphabets,Miracle of the Quran - Significance of the Mysterious Alphabets,185,LI,62.89,1172,low OCR confidence or sparse text
miracle_of_quran_mysterious_alphabets,Miracle of the Quran - Significance of the Mysterious Alphabets,192,178,63.55,1772,low OCR confidence or sparse text
miracle_of_quran_mysterious_alphabets,Miracle of the Quran - Significance of the Mysterious Alphabets,193,179,58.72,1168,low OCR confidence or sparse text
miracle_of_quran_mysterious_alphabets,Miracle of the Quran - Significance of the Mysterious Alphabets,211,,,0,low OCR confidence or sparse text
miracle_of_quran_mysterious_alphabets,Miracle of the Quran - Significance of the Mysterious Alphabets,215,,,0,low OCR confidence or sparse text
islam_volume_1,Islam - Volume 1,2,,29.14,195,low OCR confidence or sparse text
islam_volume_1,Islam - Volume 1,17,,48.05,346,low OCR confidence or sparse text
islam_volume_1,Islam - Volume 1,18,,39.99,1191,low OCR confidence or sparse text
islam_volume_1,Islam - Volume 1,42,3,35.79,21,low OCR confidence or sparse text
islam_volume_1,Islam - Volume 1,43,,,0,low OCR confidence or sparse text
islam_volume_1,Islam - Volume 1,45,,27.89,163,low OCR confidence or sparse text
islam_volume_1,Islam - Volume 1,50,1,49.61,245,low OCR confidence or sparse text
islam_volume_1,Islam - Volume 1,52,1,31.04,173,low OCR confidence or sparse text
islam_volume_1,Islam - Volume 1,54,,20.34,302,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,1,,45.58,74,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,10,6,57.07,252,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,12,8,64.31,597,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,16,12,58.1,794,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,18,14,58.78,629,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,19,15,64.45,842,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,27,23,63.75,756,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,28,24,57.13,506,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,46,42,58.08,730,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,51,7,61.9,543,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,53,49,64.81,550,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,54,58,60.63,733,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,79,7,64.48,780,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,87,63,64.76,657,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,89,8,63.15,604,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,92,8,55.74,661,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,93,8,59.95,583,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,112,168,64.47,1442,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,116,112,63.13,566,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,117,,63.51,2095,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,120,116,49.99,339,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,121,117,58.15,701,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,122,118,62.19,316,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,123,119,53.02,592,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,124,120,64.83,667,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,125,121,55.89,682,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,127,123,55.36,586,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,130,126,50.52,835,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,132,128,51.06,822,low OCR confidence or sparse text
