pdf_page,printed_page,blank_page,english_ocr_confidence,arabic_ocr_confidence,quran_references_detected,arabic_segment_count,transcription_text,arabic_text
1,,False,95.9,,1:1; 1:2; 1:3; 1:4; 1:5; 1:6; 1:7,0,"English Meanings
 of the Qur’an : 1
 A true understanding of Islam requires, as a minimum, a reasonable
 understanding of its message, the Qur’an. While many people acquire a
 distorted picture of the religion by observing some aspects of the actions,
 history, or personal conduct of its professed followers, the readers of this
 series are presented with an opportunity to grasp the basic principles of
 true Islam. Readers who are familiar with the various Qur’anic translations
 will appreciate the fact that this is the first English rendering of the qur'an
 meanings by a Muslim Arab. It is being printed for the first time.
 Sura Al-Fatihah (The Opener) 1:1-7
 Al-Fatihah (The Opener)
 REVEALED IN MECCA
 1 In the Name of God, the Compassionate, the Merci-
 ful. 2 Praise be to God, the Lord of all beings, 3 The
 Compassionate, the Merciful, 4 Master of the day of
 judgment. 5 Only You do we worship, and only You do
 we implore for help. 6 Guide us along the right path,
 7 The path of those upon whom You bestow Your grace;
 not of those who incur indignation, nor of the strayers.
 40 ISLAM 1394/1974, 1(1): 40-56",
2,,False,36.38,48.67,1:1; 1:2; 1:3; 1:4; 1:5; 1:6; 1:7,1,[Arabic Quran facsimile page. The complete Arabic text is transcribed in the Arabic section above.],بِسۡمِ ٱللَّهِ ٱلرَّحۡمَـٰنِ ٱلرَّحِیمِ ﴿١﴾ ٱلۡحَمۡدُ لِلَّهِ رَبِّ ٱلۡعَـٰلَمِینَ ﴿٢﴾ ٱلرَّحۡمَـٰنِ ٱلرَّحِیمِ ﴿٣﴾ مَـٰلِكِ یَوۡمِ ٱلدِّینِ ﴿٤﴾ إِیَّاكَ نَعۡبُدُ وَإِیَّاكَ نَسۡتَعِینُ ﴿٥﴾ ٱهۡدِنَا ٱلصِّرَ ٰ⁠طَ ٱلۡمُسۡتَقِیمَ ﴿٦﴾ صِرَ ٰ⁠طَ ٱلَّذِینَ أَنۡعَمۡتَ عَلَیۡهِمۡ غَیۡرِ ٱلۡمَغۡضُوبِ عَلَیۡهِمۡ وَلَا ٱلضَّاۤلِّینَ ﴿٧﴾
3,,False,93.69,,,0,"ENGLISH MEANINGS OF THE QUR’AN : 1
 Furthermore, the word “Al-Rahman” is an exclusive name of God which equals
 the name “Allah” in every respect. Why then should we translate
 “Al-Rahman,” and not “Allah?” The same principle applies to the divine
 name “Al-Rakim.”
 The practice of partially translating “Bismillahir Rahman Rakim,” and
 using the Arabic (but not necessarily Islamic) word ‘‘Allah” without
 translation, has led to a number of unfortunate misunderstandings. One such
 misunderstanding is the impression upon certain people, especially those
 accustomed to deification of human beings, that “Allah” is the name of
 a man. Even highly respectable circles, such as Webster’s Dictionaries, were
 led to believe that “Allah” is the “Supreme Being of the Muslims” (2). Allah,
 of course, is “THE GOD” of all beings, whether they realize it or not.
 The Source of Anger
 Sura Al-Fatikah, as the reader realizes, is generally self-explanatory. The last
 verse, however, has been invariably mistranslated. Thus, most translators,
 if not all of them, have erroneously identified the source of “ghadab Caz, >
 i.e., anger, or wrath, or indignation, to be God Almighty (3, 4, 5, 6, 7, 8). The
 term “ghayril maghdibi ‘alayhim Stet goal Ac ,” however, does not iden-
 tiny the source of anger. The source of anger or indignation incurred by
 the sinners could be God, the angels, or the people. Whatever the case
 may be, the source of anger is NOT identified in sura Al-Fatihah. Putting
 this fact in perspective may be significant for those who wish to study the
 question, “Is anger a quality of God?”
 ISLAM 1394/1074, 1(1)",
4,,False,94.46,,16:98,0,"Rashad Khalifa
 chance of coincidence highly unlikely, and confirms that the opening
 statement is not exogenous to the divine revelation.
 3. Aside from the observations on the first and the last suras, one sura in
 the middle of the Qur’an deliberately omits the opening statement “In
 the name of God . . .”* As mentioned above, this one sura is Al-Tawbah
 (No. 9).
 While “Bismillahir Rahmanir Rahim” is the first verse of Al-Fatihah, it
 is not assigned a specific number in the other suras. In the humble opinion
 of this commentator, the opening statement, “In the name of God,” takes
 on the number of any verse wherever we start a Qur’anic recitation. Thus,
 when we recite any sura, with the exception of Al-Tawbah (No. 9), the
 opening statement, “In the name of God, the Compassionate, the Merciful,”
 becomes part of the first verse if we start the recitation at the beginning
 of the sura; it becomes part of verse number 15 if we start the recitation
 at verse 15, and so forth. Since the opening statement is shown to be
 an integral part of each sura (except Al-Tawbah), this discussion emphasizes
 that is must be included whenever we recite the Qur’an. When the recitation
 is not part of a salat prayer, Muslims are enjoined to begin the recitation
 with a statement whereby they ask God’s protection from the influence
 of Satan (Qur’an 16:98).
 God vs. Allah
 Some translators have apparently considered the word “Allah” to be the
 proper name of God in Islam. Consequently, they did not translate this
 “name” into other languages. According to them, the opening words
 “Bismillah”? are rendered into “in the name of Allah.” However, the word
 “Allah” is not THE Islamic name of God, as erroneously believed by some.
 It is merely the Arabic counterpart of the English words “the God.” The
 syllable “Al” in the word “Allah” means “the.” A god or a deity is called
 “alah” in the Arabic language. Thus, the words “the God” would be equivalent
 to the Arabic “A/-7lah,” which is rather awkward phonetically. To overcome
 this awkwardness, the Arabs simply dropped the letter “i” from “Al-ilah,”
 which made it “Allah”. The literal translation of the word “Allah,” therefore,
 would be “The God”. Support for the statement that “Allah” is not necessarily
 THE Islamic name of God comes from the fact that all Arabs use this word,
 regardless of their religion, to mean God. Additionally, the word “Allah”
 has been used in pre-Islamic Arabia. The Prophet’s father, for example, was
 named “‘Abdullah (servant of God).”
 Translating “Bismillahir Rahmanir Rahim” into “In the name of Allah,
 the Compassionate, the Merciful” constitutes an incomplete translation.
 ISLAM 1394/1974, 1(1) 43",
5,,False,94.45,,,0,"ENGLISH MEANINGS OF THE QUR’AN : 1
 COMMENTARY
 This sura, properly entitled “The Opener,” was the first sura revealed in
 its entirety. It was described by the prophet Muhammad (may God bestow
 blessings and peace upon him) as ‘‘the essence of the Qur’an = ummul Kitab
 = semi zi .” This description can be appreciated if we recount the major
 Islamic principles which are stated in this short sura. Thus, in the seven
 verses of Al-Fatihah we are told:
 1. To believe in God; that He is One.
 2. That God is characterized by compassion and mercy.
 3. That God is the Lord, cherished, and sustainer of all beings.
 4. That there shall be a day of judgment, hence resurrection and the eternal
 hereafter.
 5. That only God deserves to be worshiped; He alone is capable of helping
 us.
 The importance of Al-Fatihah is manifested in the fact that all Muslim
 men and women are enjoined to recite it a minimum of 17 times per day
 as part of the salat prayers.
 The Opening Statement
 The opening statement “Bismillahir Rahmanir Rahim = In the name of God,
 the Compassionate, the Merciful” precedes every sura in the Qur’an with
 one exception, namely, sura Al-Tawbah (Repentance) (No. 9). There is a
 general consensus among the leading mufassirs (Qur’anic commentators) that
 this statement is an integral part of each sura (except Al-Tawbah). This is
 supported by a number of observations:
 1. The opening statement constitutes the first verse of the first sura. In a
 strongly documented Hadith, the prophet Muhammad (God’s blessings
 and peace be upon him) specifically designated Bismillahir Rahmanir Hakim
 as the first verse of Al-Fatihah (Al-Bukhan, Muslim).
 2. Recent computerized analysis of the alphabetical structure of the Qur’an
 (1) has provided new and conclusive evidence to supplement the already
 convincing historical evidence and prophetic traditions. The physical
 evidence indicated by the computerized study shows clearly that each
 letter in the qur'an composition was accurately and deliberately cal-
 curated. For example, computed without excluding the opening statement
 “Bismillah ...” the final sura of the Qur’an, Al-Nas, was found to consist
 of 99 alphabetic letters — the same number as God’s ninety-nine
 magnificent names. The fact that this particular number of alphabetic
 letters does not occur in any other sura but the closing sura renders the
 42 ISLAM 1394/1974, 1(1)",
6,,False,95.14,,,0,"ENGLISH MEANINGS OF THE QUR’AN : 1
 Sura Al-Baqarah (The Heifer) 2:1-29
 Al-Baqarah (The Heifer)
 REVEALED IN MEDINA
 In the Name of God, the Compassionate, the Merciful
 1 A.L.M. 2 This scripture is without a doubt; providing
 guidance for the righteous, 3 Who believe in the unseen,
 observe the salat prayers, and from My provisions to them
 they spend. 4 They believe in what was sent down to you
 (O Muhammad), and in what was sent down before you,
 and they firmly believe in the hereafter.
 ISLAM 1394/1974, 1(1)",
7,,False,34.36,39.6,2:1; 2:2; 2:3; 2:4,1,[Arabic Quran facsimile page. The complete Arabic text is transcribed in the Arabic section above.],بِسۡمِ ٱللَّهِ ٱلرَّحۡمَـٰنِ ٱلرَّحِیمِ الۤمۤ ﴿١﴾ ذَ ٰ⁠لِكَ ٱلۡكِتَـٰبُ لَا رَیۡبَۛ فِیهِۛ هُدࣰى لِّلۡمُتَّقِینَ ﴿٢﴾ ٱلَّذِینَ یُؤۡمِنُونَ بِٱلۡغَیۡبِ وَیُقِیمُونَ ٱلصَّلَوٰةَ وَمِمَّا رَزَقۡنَـٰهُمۡ یُنفِقُونَ ﴿٣﴾ وَٱلَّذِینَ یُؤۡمِنُونَ بِمَاۤ أُنزِلَ إِلَیۡكَ وَمَاۤ أُنزِلَ مِن قَبۡلِكَ وَبِٱلۡـَٔاخِرَةِ هُمۡ یُوقِنُونَ ﴿٤﴾
8,,False,93.93,,,0,"5 Share the followers of guidance from their Lord. Such
 are the winners.
 6 As for those who disbelieve, it is the same for them;
 whether you warn them or not, they do not believe. 7 God
 seals their hearts, and their hearing, and their visions are
 veiled. Theirs is a grievous punishment. 8 And there are
 those who say, ‘‘We believe in God and the hereafter,”
 while they are not believers. 9 In attempting to deceive
 God and the believers, they deceive only themselves,
 without perceiving. 10 In their hearts is skepticism.
 Consequently, God augments their skepticism. Theirs is
 a painful punishment for their lying. 11 When they are
 told, ‘‘Do not corrupt the earth,’”’ they say, ““We are but
 reformers.”’ 12 Indeed, they are the corruptors, but they
 do not perceive. 13 And when they are told, ‘‘You shall
 believe as the people have believed,’’ they say, ““Shall we
 believe as the fools have believed?’’ Indeed, it is they who
 are fools, but they do not know. 14 Whenever they meet
 the believers, they say, ‘‘We believe.’’ But when alone with
 their devils, they say, ‘‘We are with you. We were only
 mocking.’’ 15 God mocks them by allowing them to
 continue their transgressions blindly. 16 These have
 traded away guidance for straying. Thus, their trade never
 profits, nor do they find guidance. 17 Their allegory is
 like one who kindles a fire to provide light. As it begins
 to shed light around him, God takes away their light,
 leaving them in total darkness, unable to see. 18 Deaf,
 dumb, and blind; they fail to reform.",
9,,False,,,2:5; 2:6; 2:7; 2:8; 2:9; 2:10; 2:11; 2:12; 2:13; 2:14; 2:15; 2:16; 2:17; 2:18,1,[Arabic Quran facsimile page. The complete Arabic text is transcribed in the Arabic section above.],أُو۟لَـٰۤىِٕكَ عَلَىٰ هُدࣰى مِّن رَّبِّهِمۡۖ وَأُو۟لَـٰۤىِٕكَ هُمُ ٱلۡمُفۡلِحُونَ ﴿٥﴾ إِنَّ ٱلَّذِینَ كَفَرُوا۟ سَوَاۤءٌ عَلَیۡهِمۡ ءَأَنذَرۡتَهُمۡ أَمۡ لَمۡ تُنذِرۡهُمۡ لَا یُؤۡمِنُونَ ﴿٦﴾ خَتَمَ ٱللَّهُ عَلَىٰ قُلُوبِهِمۡ وَعَلَىٰ سَمۡعِهِمۡۖ وَعَلَىٰۤ أَبۡصَـٰرِهِمۡ غِشَـٰوَةࣱۖ وَلَهُمۡ عَذَابٌ عَظِیمࣱ ﴿٧﴾ وَمِنَ ٱلنَّاسِ مَن یَقُولُ ءَامَنَّا بِٱللَّهِ وَبِٱلۡیَوۡمِ ٱلۡـَٔاخِرِ وَمَا هُم بِمُؤۡمِنِینَ ﴿٨﴾ یُخَـٰدِعُونَ ٱللَّهَ وَٱلَّذِینَ ءَامَنُوا۟ وَمَا یَخۡدَعُونَ إِلَّاۤ أَنفُسَهُمۡ وَمَا یَشۡعُرُونَ ﴿٩﴾ فِی قُلُوبِهِم مَّرَضࣱ فَزَادَهُمُ ٱللَّهُ مَرَضࣰاۖ وَلَهُمۡ عَذَابٌ أَلِیمُۢ بِمَا كَانُوا۟ یَكۡذِبُونَ ﴿١٠﴾ وَإِذَا قِیلَ لَهُمۡ لَا تُفۡسِدُوا۟ فِی ٱلۡأَرۡضِ قَالُوۤا۟ إِنَّمَا نَحۡنُ مُصۡلِحُونَ ﴿١١﴾ أَلَاۤ إِنَّهُمۡ هُمُ ٱلۡمُفۡسِدُونَ وَلَـٰكِن لَّا یَشۡعُرُونَ ﴿١٢﴾ وَإِذَا قِیلَ لَهُمۡ ءَامِنُوا۟ كَمَاۤ ءَامَنَ ٱلنَّاسُ قَالُوۤا۟ أَنُؤۡمِنُ كَمَاۤ ءَامَنَ ٱلسُّفَهَاۤءُۗ أَلَاۤ إِنَّهُمۡ هُمُ ٱلسُّفَهَاۤءُ وَلَـٰكِن لَّا یَعۡلَمُونَ ﴿١٣﴾ وَإِذَا لَقُوا۟ ٱلَّذِینَ ءَامَنُوا۟ قَالُوۤا۟ ءَامَنَّا وَإِذَا خَلَوۡا۟ إِلَىٰ شَیَـٰطِینِهِمۡ قَالُوۤا۟ إِنَّا مَعَكُمۡ إِنَّمَا نَحۡنُ مُسۡتَهۡزِءُونَ ﴿١٤﴾ ٱللَّهُ یَسۡتَهۡزِئُ بِهِمۡ وَیَمُدُّهُمۡ فِی طُغۡیَـٰنِهِمۡ یَعۡمَهُونَ ﴿١٥﴾ أُو۟لَـٰۤىِٕكَ ٱلَّذِینَ ٱشۡتَرَوُا۟ ٱلضَّلَـٰلَةَ بِٱلۡهُدَىٰ فَمَا رَبِحَت تِّجَـٰرَتُهُمۡ وَمَا كَانُوا۟ مُهۡتَدِینَ ﴿١٦﴾ مَثَلُهُمۡ كَمَثَلِ ٱلَّذِی ٱسۡتَوۡقَدَ نَارࣰا فَلَمَّاۤ أَضَاۤءَتۡ مَا حَوۡلَهُۥ ذَهَبَ ٱللَّهُ بِنُورِهِمۡ وَتَرَكَهُمۡ فِی ظُلُمَـٰتࣲ لَّا یُبۡصِرُونَ ﴿١٧﴾ صُمُّۢ بُكۡمٌ عُمۡیࣱ فَهُمۡ لَا یَرۡجِعُونَ ﴿١٨﴾
10,,False,95.01,49.27,2:19,0,"SURA AL-BAQARAH 2:19.25
 ee ee 27 ججح‎ eee
 19 Or, like a storm from the sky, with darkness, thunder,
 and lightning. They place their fingers in their ears, as
 if to evade death by the thunder bolts. God thus encom-
 passes the disbelievers. 20 The lightning intermittently
 snatches away their eyesight. Whenever it lights for them,
 they walk therein. And when it turns dark, they stand still.
 If God wills, He can deprive them of their hearing, and
 their sight. Surely, God is Omnipotent.
 21 O mankind, you shall worship your Lord, who
 created you, and those before you, that you may be de-
 vout. 22 It is He Who rendered the earth habitable for
 you, and He rendered the sky a structure. He sends down
 water from the sky to produce fruits for your sustenance.
 Therefore, you shall not set up rivals to rank with God,
 despite this knowledge. 23 If you have any doubts con-
 cerning what We have revealed herein to our servant
 (Muhammad), then produce one sura like these, and invite
 your idols, whom you worship instead of God, to do the
 same, if you are right. 24 If you fail to do this, and most
 certainly you shall fail, then beware of the hellfire whose
 fuel shall be people and rocks. It awaits the disbe-
 levers. 25 As for those who believe, and do good works,
 give them the good news that they shall enjoy Gardens
 with flowing streams. Whenever they are provided with
 fruits therein, they shall say, “‘This was provided for us
 previously.”” They shall be given similar provisions, and
 they shall have pure spouses therein. They shall abide
 therein eternally. 26 Thus, God is not ashamed to cite
 any kind of allegory, from as lowly as a mosquito, and
 higher. As for those who believe, they shall know that it
 is the truth from their Lord. As for those who disbelieve,
 they shall say, ‘‘What did God mean by such an allegory ?”
 Thus, He misleads many thereby, and He guides many
 thereby. But he never misleads any thereby except the
 wicked.
 50 ISLAM 1394/1974, 1(1)",
