pdf_page,printed_page,segment,raw_text,quran_reference,confidence,status
1,,1,بسم الله الرحمن الرحيم,,high,unverified_arabic
2,,1,حسبنا الله ونعم الوكيل,,high,unverified_arabic
2,,2,لا حول ولا قوة إلا بالله العلي العظيم,,high,unverified_arabic
2,,3,وصل الله على سيدنا محمد النبي الأمي وعلى آله وصحبه وسلم,,medium,unverified_arabic
3,,1,"بسم الله الرحمن الرحيم
قل لو كان البحر مدادا لكلمات ربي لنفد البحر قبل أن تنفد كلمات ربي ولو جئنا بمثله مددا",18:109,high,canonical_quran_match
5,v,1,ا ب ت ث ج ح خ د ذ ر ز س ش ص ض ط ظ ع غ ف ق ك ل م ن ه و ي,,high,unverified_arabic
6,vi,1,بسم الله الرحمن الرحيم,,high,unverified_arabic
7,vii,1,بسم الله الرحمن الرحيم,,high,unverified_arabic
10,87,1,وإذا قيل لهم اتبعوا ما أنزل الله قالوا بل نتبع ما ألفينا عليه آباءنا أولو كان آباؤهم لا يعقلون شيئا ولا يهتدون ومثل الذين كفروا كمثل الذي ينعق بما لا يسمع إلا دعاء ونداء صم بكم عمي فهم لا يعقلون,2:170-171,high,canonical_quran_match
11,88,1,وإذا قيل لهم تعالوا إلى ما أنزل الله وإلى الرسول قالوا حسبنا ما وجدنا عليه آباءنا أولو كان آباؤهم لا يعلمون شيئا ولا يهتدون,5:104,high,canonical_quran_match
11,88,2,هل عندكم من علم فتخرجوه لنا,6:148,high,canonical_quran_match
11,88,3,ائتوني بكتاب من قبل هذا أو أثارة من علم إن كنتم صادقين,46:4,high,canonical_quran_match
12,89,1,الذين اتبعوا وتبرأ الذين اتبعوا كما رأوا العذاب وتقطعت بهم الأسباب,2:166-167,medium,canonical_quran_match
12,89,2,قال ادخلوا في أمم قد خلت من قبلكم من الجن والإنس في النار كلما دخلت أمة لعنت أختها حتى إذا اداركوا فيها جميعا قالت أخراهم لأولاهم ربنا هؤلاء أضلونا فآتهم عذابا ضعفا من النار قال لكل ضعف ولكن لا تعلمون وقالت أولاهم لأخراهم فما كان لكم علينا من فضل فذوقوا العذاب بما كنتم تكسبون,7:38-39,high,canonical_quran_match
12,89,3,قال هذا فوج مقتحم معكم لا مرحبا بهم إنهم صالوا النار قالوا بل أنتم لا مرحبا بكم أنتم قدمتموه لنا فبئس القرار,38:59-60,medium,canonical_quran_match
15,92,1,الحروف النورانية,,high,unverified_arabic
15,92,2,الحروف الظلمانية,,high,unverified_arabic
18,95,1,ق,,high,unverified_arabic
19,96,1,ق,,high,unverified_arabic
28,105,1,وَإِذْ قَالَ اللَّهُ يَا عِيسَى ابْنَ مَرْيَمَ أَأَنتَ قُلْتَ لِلنَّاسِ اتَّخِذُونِي وَأُمِّيَ إِلَٰهَيْنِ مِن دُونِ اللَّهِ قَالَ سُبْحَانَكَ مَا يَكُونُ لِي أَنْ أَقُولَ مَا لَيْسَ لِي بِحَقٍّ إِن كُنتُ قُلْتُهُ فَقَدْ عَلِمْتَهُ تَعْلَمُ مَا فِي نَفْسِي وَلَا أَعْلَمُ مَا فِي نَفْسِكَ إِنَّكَ أَنتَ عَلَّامُ الْغُيُوبِ مَا قُلْتُ لَهُمْ إِلَّا مَا أَمَرْتَنِي بِهِ أَنِ اعْبُدُوا اللَّهَ رَبِّي وَرَبَّكُمْ وَكُنتُ عَلَيْهِمْ شَهِيدًا مَّا دُمْتُ فِيهِمْ فَلَمَّا تَوَفَّيْتَنِي كُنتَ أَنتَ الرَّقِيبَ عَلَيْهِمْ وَأَنتَ عَلَىٰ كُلِّ شَيْءٍ شَهِيدٌ,7:116-117,medium,canonical_quran_match
41,118,1,"بسم الله الرحمن الرحيم
محمد رسول الله والذين معه أشداء على الكفار رحماء بينهم",48:29,medium,canonical_quran_match
41,118,2,"Circular border text in small script surrounding the central calligraphy, partially illegible due to script density and small size",,low,unverified_arabic
42,119,1,"بسم الله الرحمن الرحيم
الله نور السماوات والأرض مثل نوره كمشكاة فيها مصباح",24:35,medium,canonical_quran_match
