pdf_page,printed_page,blank_page,transcription_text,arabic_text
1,,False,"VOLUME 1  •  Jumādā II, 1394 / July, 1974  •  NUMBER 2

ISLAM

An International Journal Expressing the Islamic Point of View

EDITORS
Dr. Muḥammad 'Abdul-Rauf (Washington, D.C., U.S.A.)
Dr. Mujāhid Al-Ṣawwāf (Mecca, Saudi Arabia)
Dr. Rashād Khalīfa (St. Louis, Missouri, U.S.A.)
S. Shāhid Mufassir (Palmer Park, Maryland, U.S.A.)
Dr. Hārūn Nasution (Jakarta, Indonesia)
Dr. Altān Necioĝlu (Ankara, Turkey)
Dr. Aḥmad H. Ṣaqr (Lombard, Illinois U.S.A.)
Muḥammad Sirājuddīn (Hyderabad, India)
Dr. Yūsuf Amīn Wālī (Cairo, Egypt)

PUBLISHED QUARTERLY by Islamic Productions International, Inc.
COPYRIGHT © 1974, ISLAMIC PRODUCTIONS INTERNATIONAL, INC.
PRINTED IN THE UNITED STATES OF AMERICA",بسم الله الرحمن الرحيم
2,,False,"IN TH[E NAME OF...] (text bleeding through from the following page, only a fragment visible at the right edge)","حسبنا الله ونعم الوكيل

لا حول ولا قوة إلا بالله العلي العظيم

وصل الله على سيدنا محمد النبي الأمي وعلى آله وصحبه وسلم"
3,,False,"IN THE NAME OF GOD, THE COMPASSIONATE, THE MERCIFUL

Say, ""If the ocean were an ink-well for the words of my Lord, the ocean would run out before the words of my Lord run out, even if twice as much ink were provided.""

(Qur'an 18:109)","بسم الله الرحمن الرحيم
قل لو كان البحر مدادا لكلمات ربي لنفد البحر قبل أن تنفد كلمات ربي ولو جئنا بمثله مددا"
4,,False,"Notes to Authors

It the policy of this Journal to publish articles in English in all fields of ISLAM provided they are of a high caliber and contribute to the fundamental knowledge of the religion. In keeping with the universal nature of Islam, this journal is not intended to reflect any political, regional, or nationalistic bias. Articles containing unwarranted attacks, direct or implied, against any other religion, sect, belief, or ideology, shall not be accepted for publication. The journal's sole objective is to work within the framework of ISLAM towards a full appreciation of God's message to all humanity.

The journal recognizes the sources of Islamic knowledge to be the Qur'an, the Sunna, analogy (Qiyas), consensus (Ijma'), and personal thought (Ijtihad). However, THE QUR'AN shall be the ultimate reference. Only statements in full agreement with the Qur'an shall represent the journal's official stand. All other statements, or statements subject to various interpretations shall represent only the author's personal viewpoint.

Manuscripts submitted for publication should be typed, double spaced. Only one copy is required. All Qur'anic quotations must be accompanied by the number(s) of sura(s), and the number(s) of verse(s). Colons should separate the number of sura from the number(s) of verse(s) (e.g. 17:28-33). A group of verses from the same sura should be separated from each other by commas (e.g. 17:28-33, 51, 60-62). When more than one sura are involved, a semi-colon should separate the different suras (e.g. 17:28-33, 51, 60-62; 23:16; 36:9-11, 19-25, 44). The journal will undertake to add the Arabic text to all Qur'anic translations. This is to avoid the inadvertent mental re-translation to an Arabic composition which is different from the original.

Every Hadith should be accompanied by its sources (transmitters) and the reference book where it may be found. If the transmitter(s) and/or the reference book were not known, this should be stated clearly.",
5,v,False,"Transliteration of Arabic words and names should follow the convention shown below. The only vowels should be: i (as in ibn), a (as in Ahmad), u (as in ummah), i-long (as in tafsir), a-long (as in ayat), and u-long (as in Hud).

A Convention for the Pronunciation and Transliteration of the Arabic Alphabet

Alphabet / Pronunciation / English Equivalent
Alif — A
Ba — B
Ta — T (as in Table)
Tha — Th (as in Think)
Jim — G, J
Ha (emphatic) — H
Kha — Kh
Dal — D (as in Doubt)
Dhal — Th (as in Then)
Ra — R
Zayn — Z (as in Zoo)
Sin — S (as in Sit)
Shin — Sh
Sad (emphatic) — S (as in Sun)
Dad (emphatic) — D (as in Double)
Ta (emphatic) — T (as in Tub)
Za (emphatic) — Z (as in Zombi)
'Ayn — 'A, 'U, 'I
Ghayn — Gh (French R)
Fa — F
Qaf — Q
Kaf — K
Lam — L
Mim — M
Nun — N
Ha — H
Wow — W
Ya — Y",ا ب ت ث ج ح خ د ذ ر ز س ش ص ض ط ظ ع غ ف ق ك ل م ن ه و ي
6,vi,False,"ISLAM
An International Journal Expressing the Islamic Point of View

Manuscripts should be sent to one of the following editors:

Dr. Muhammad Abdul-Rauf, Director, The Islamic Center, 2551 Massachusetts Ave., N.W., Washington, D.C. 20008

Dr. Mujahid Al-Sawwaf, Professor of Qur'anic Science, College of Islamic Law, Mecca, Saudi Arabia

Dr. Rashad Khalifa, Islamic Productions International, P.O. Box 12202, St. Louis, Missouri 63157

S. Shahid Mufassir, 8411 Barlowe Road, Palmer Park, Maryland 20785

Dr. Harun Nasution, Chancellor, State Islamic Institute, Ciputat Kebajoram Lama, Jakarta, Indonesia

Dr. Altan Necioglu, Middle East Technical University, Ankara, Turkey

Dr. Ahmad H. Saqr, Founder, Muslim Students Association of USA & Canada, P.O. Box 140, Lombard, Illinois 60148

Muhammad Sirajuddin, 5-6-266-1 New Aghabura Road, Hyderabad, India

Dr. Yusuf Amin Wali, University of 'Ain Shams, Shubral Khaima, Cairo, Egypt

The Editorial Office, ISLAM, P.O. Box 12202, St. Louis, Mo. 63157

PUBLISHED BY
Islamic Productions International, Inc.
P.O. BOX 12202, ST. LOUIS, MISSOURI 63157

Annual Subscription Rates:
U.S.A. & Canada / All Other Countries
Institutional Subscription: $18.00 / $22.00
Personal Subscription: $12.00 / $14.00",بسم الله الرحمن الرحيم
7,vii,False,"ISLAM
A publication of Islamic Productions International, Inc.

VOLUME 1  •  Jumādā II, 1394 / July, 1974  •  NUMBER 2

CONTENTS

Islam: Its Mission in the World .......... 85
Professor M. Farid Wajdi

God's Message to Humanity .......... 91
Dr. Yusuf Amin Wali

Race, Racism and Islam.......... 106
S. Shahid Mufassir

English Meanings of the Qur'an .......... 120
Rashad Khalifa

The Origin of Islamic Jurisprudence .......... 138
Dr. 'Abdul-Halim Mahmud

Islamic Concentrates:
The Aphorisms of Salamah Al-Radi .......... 142
The Invocations of 'Abdullah Ansari .......... 145
Index to the Qur'an .......... 151
The Islamic Calendar Conversion Table .......... 155

Book Review .......... 160",بسم الله الرحمن الرحيم
8,85,False,"ISLAM: Its Mission in the World
2. CONDEMNATION OF THE PRINCIPLE OF BLIND IMITATION
by Professor M. Farid Wajdi

Of all his achievements as writer, editor of Nour-el-Islam, and Professor at Al-Azhar University, Dr. Wajdi is better known for his famous Qur'anic commentary. This series of articles, which were written by him in Arabic, promises to be a most cherished feature by ALL readers of Islam.

In all ages throughout the human history, reformers were never confronted with a stronger obstacle than that of blind imitation of forefathers and leaders of old religions. This inaction has been the cause of the persistence to this day of corrupted religions whose survival in our times is a slur on the human intellect. It was equally responsible for the continual existence of certain sects which exploited the ignorance of people who were otherwise well-fitted to take their place among the rising nations but have for this reason remained in stygian darkness down to the present day.

Only one who has made a thorough study of the religions professed by the majority of contemporary nations as well as of the few hundred minor divisions derived therefrom, could appreciate the pernicious influence exercised by blind imitation over the life of people and the harm involved in the consequent antagonism to learning and reason. Next to the establishment of its principal beliefs, Islam has striven against the tendency of blind imitation into which people have long lapsed without having it examined or assayed by reason.

Indeed, this rational idea could never have been conceived by minds in those dark and remote times when humanity was yet under age. But when humanity attained maturity in the generations that followed, this idea became an essential element of the universal religion which was ordained by the Lord in His last dispensation, not only to conform with the momentous intellectual development that took place, but also to rouse the religious sentiment in the hearts of men and inspire them to still greater and higher attainments.

Those interested in the investigation of human affairs of recent times will find out that souls have discarded all moral restraints and have fallen an easy prey to unbridled passion and wickedness while the religious sentiment

ISLAM 1394/1974, 1(2): 85-90",
9,86,False,"ISLAM: ITS MISSION IN THE WORLD

which constitutes the supreme moral power mitigating those excesses, has become incapable to discharge its function in many a nation. It was on account of this that other agents were sought to counteract those excesses. Some have sought such agents in science, in the power of public opinion or in some human instinct. But the investigator who goes deeply into the initial causes of things, will soon realize that, of all human instincts, the religious sentiment is best suited to counteract those excesses and to wield the most beneficial influence over the souls of men. If, however, it has become unequal to the task in certain nations, it is only on account of the weakness which affected their religions and which was the outcome of what was impressed on the people as being traditional matters to be followed or disregarded as a whole. But if they knew that a religion existed which severely censures imitation and imitators, and insists on reasoning and consideration, a religion whose beliefs are founded on evidence and truth, and is withal framed in a system which surpasses that of modern scientific investigation in reasoning and accuracy, their hopes in regaining the influence of religion will be roused again. For once this influence is regained the religious sentiment is awakened and its power will once more be felt in the guidance of men and in setting up a virtuous civilization for the world.

It was for this reason that Islam has striven hard to overcome the obstacle of blind imitation and has attempted to do this by different ways of reasoning aiming thereby at three objects:
1. To spread its life-giving principles calculated to revive humanity in its later days.
2. To conserve for the religious sentiment its intrinsic power which enables it to restrain the human passions and safeguard the people from being carried away by wickedness.
3. To render the system of religious investigation more advanced and more accurate than that of scientific investigation so that the latter may not overwhelm the former and put it into insignificance.

This is a great objective at which Islam aimed so that reason may not hold undisputed sway over souls independent of the religious sentiment which the Lord has set to mitigate the brutal tendencies attendant on the human state and which no intellectual culture could restrain.

This could only come about by convincing reason, by proof, to give due regard to that sentiment and to admit the power exercised by it. Thus, reason will not concede unless that sentiment is established on a like system of research and investigation and is equally free of any traces of imitation unsupported by material or mental evidence.

ISLAM 1394/1974, 1(2)",
10,87,False,"M. Farid Wajdi

By so doing, Islam has succeeded to associate reason with the religious sentiment for the first time in the history of religions. It has succeeded, on the strength of these two great principles, to raise a nation which attained to the height of human progress and took the lead in both moral and scientific culture as well as in the religious leadership of the world. Islam was thus rendered equal to establish the highest civilization on earth without the conflict between religion and reason and without people degenerating in their morals and propensities as is the case in the present day civilization.

Let us now consider how far has Islam succeeded to fulfill this great project.

Islam was revealed at a time when people were the slaves of false and corrupted religions which they inherited from their forefathers and from which they could not be moved. Any one who wished to move them therefrom was regarded by them as a bitter enemy merely because he attempted to bring about a reform.

The campaign was first opened by admonitions and threats thus awakening in men the instinct of reasoning and urging them to reflection and consideration of the sad end to which past nations have come. This done, Islam began to attack the main cause which prevented them to consider any reform viz. the blind imitation of their forefathers even though they were completely in the wrong. In this connection the Lord says:

And when they are told, ""You shall follow what God has sent down,"" they say, ""We follow only what we found our forefathers doing."" What if their forefathers lacked both knowledge and guidance?
The allegory of those who disbelieve is like those who parrot whatever they hear without any understanding. They are deaf, dumb, and blind. Thus, they fail to understand. (2:170-171)

In the preceding verses, the Lord has given a representation of the state of those who were blinded by imitation. He who calls them to righteousness is likened to one who parrots whatever he hears without any comprehension. They are deaf, dumb, blind and devoid of understanding on account of their holding fast to the practices of their forefathers and refusing to put them to the test of reason.

ISLAM 1394/1974, 1(2)",وإذا قيل لهم اتبعوا ما أنزل الله قالوا بل نتبع ما ألفينا عليه آباءنا أولو كان آباؤهم لا يعقلون شيئا ولا يهتدون ومثل الذين كفروا كمثل الذي ينعق بما لا يسمع إلا دعاء ونداء صم بكم عمي فهم لا يعقلون
