pdf_page,printed_page,segment,bbox_normalized,raw_ocr,normalized_text,quran_reference,match_score,ocr_confidence,status
35,,1,"[0.271146, 0.287532, 0.822436, 0.306192]",(A.L.M.R.) 85 Mim مقا‎ Alif دمسععه 13 مه هه‎ 80-----,فَمَا كَانَ دَعۡوَىٰهُمۡ إِذۡ جَاۤءَهُم بَأۡسُنَاۤ إِلَّاۤ أَن قَالُوۤا۟ إِنَّا كُنَّا ظَـٰلِمِینَ,7:5,48.0,52.92,canonical_quran_match
40,24,1,"[0.326935, 0.052587, 0.35093, 0.176421]",ع ع ص ع عا يي اي ييا,ع ع ص ع عا يي اي ييا,,0,60.53,ocr_unverified_arabic
40,24,2,"[0.65087, 0.667515, 0.726455, 0.684054]",.أ 'هااديوه‎,.أ 'هااديوه‎,,0,25.41,ocr_unverified_arabic
52,36,1,"[0.138572, 0.572519, 0.809238, 0.608142]","5662 110071076117605 لالز‎
317 0 407 50 40920127 71١2571711 118s 520 7842 120 كنز‎","5662 110071076117605 لالز‎
317 0 407 50 40920127 71١2571711 118s 520 7842 120 كنز‎",,0,29.73,ocr_unverified_arabic
53,37,1,"[0.184163, 0.053859, 0.684463, 0.071247]","120267264 4625701215118 13062530 1082330 2340232 ,لازنا","120267264 4625701215118 13062530 1082330 2340232 ,لازنا",,0,37.99,ocr_unverified_arabic
53,37,2,"[0.182364, 0.814673, 0.54889, 0.829092]",منغ ه١2م22م611‏,منغ ه١2م22م611‏,,0,6.2,ocr_unverified_arabic
53,37,3,"[0.179364, 0.867684, 0.54829, 0.885072]",06 مم 1170 اهم,06 مم 1170 اهم,,0,34.68,ocr_unverified_arabic
58,,1,"[0.172765, 0.556404, 0.853629, 0.581425]",360 70 157 291 93 12 الاققة”‎,360 70 157 291 93 12 الاققة”‎,,0,80.29,ocr_unverified_arabic
58,,2,"[0.175165, 0.647583, 0.856029, 0.723494]","346 74 182 292 6) 19 آناا‎
326 84a 220 326 61 17 1 مالا‎
219 a3 112 15 36 9 لكوم‎","346 74 182 292 6) 19 آناا‎
326 84a 220 326 61 17 1 مالا‎
219 a3 112 15 36 9 لكوم‎",,0,77.14666666666666,ocr_unverified_arabic
59,120,1,"[0.361128, 0.126378, 0.85003, 0.846056]","ل سم سن سس صن بن زم زو اح عن حجن نم جر ت ع افد د اا نت انم نم الت ات نه جح ات م لج نع حت عن الم 6 الج صن ان ع6 ع 90 << 2 نه عمس ان بن ات يي لس
39 الك‎ 15
ا ع ن ن ن ب wu‏ 00 لها ال لز نم لط لى مسرا سم اع مما ان لاه شر بى
سس سمه","ل سم سن سس صن بن زم زو اح عن حجن نم جر ت ع افد د اا نت انم نم الت ات نه جح ات م لج نع حت عن الم 6 الج صن ان ع6 ع 90 << 2 نه عمس ان بن ات يي لس
39 الك‎ 15
ا ع ن ن ن ب wu‏ 00 لها ال لز نم لط لى مسرا سم اع مما ان لاه شر بى
سس سمه",,0,50.7175,ocr_unverified_arabic
60,483,1,"[0.157768, 0.036472, 0.809838, 0.219254]","المر
كن نم لظ كا نه اج ديد ته","المر
كن نم لظ كا نه اج ديد ته",,0,58.43,ocr_unverified_arabic
65,2000,1,"[0.24835, 0.085666, 0.282543, 0.094572]",1الانا‎,1الانا‎,,0,53.74,ocr_unverified_arabic
65,2000,2,"[0.239952, 0.162002, 0.282543, 0.170908]",الالرقى‎,الالرقى‎,,0,0.0,ocr_unverified_arabic
65,2000,3,"[0.24955, 0.252757, 0.285543, 0.278202]","لكلا‎
1 للا","لكلا‎
1 للا",,0,37.835,ocr_unverified_arabic
65,2000,4,"[0.724055, 0.69084, 0.805639, 0.703138]",الألألالءاآ‎,الألألالءاآ‎,,0,6.17,ocr_unverified_arabic
68,3,1,"[0.132573, 0.061493, 0.289142, 0.776506]","طسمه
م نممو د 5 2 5 585 8 0 OR‏ 2 555522 5 همات 3157 51925 25585
سم ROR‏ سم لس سح 80 60 60 20 63 60 20 انبا الما الب انمع نيا الا لما اتنا اننا لنه
aa‏ ي يا ين",ٱهۡدِنَا ٱلصِّرَ ٰ⁠طَ ٱلۡمُسۡتَقِیمَ,1:6,50.0,57.23,canonical_quran_match
69,0,1,"[0.34853, 0.811281, 0.439712, 0.832485]","6 وال‎
444ددةه. وه‎","6 وال‎
444ددةه. وه‎",,0,51.005,ocr_unverified_arabic
72,226,1,"[0.146371, 0.110263, 0.580684, 0.222646]","داواي وه ناه اي
لات",یَـٰۤأَیُّهَا ٱلَّذِینَ ءَامَنُوۤا۟ إِذَا قُمۡتُمۡ إِلَى ٱلصَّلَوٰةِ فَٱغۡسِلُوا۟ وُجُوهَكُمۡ وَأَیۡدِیَكُمۡ إِلَى ٱلۡمَرَافِقِ وَٱمۡسَحُوا۟ بِرُءُوسِكُمۡ وَأَرۡجُلَكُمۡ إِلَى ٱلۡكَعۡبَیۡنِۚ وَإِن كُنتُمۡ جُنُبࣰا فَٱطَّهَّرُوا۟ۚ وَإِن كُنتُم مَّرۡضَىٰۤ أَوۡ عَلَىٰ سَفَرٍ أَوۡ جَاۤءَ أَحَدࣱ مِّنكُم مِّنَ ٱلۡغَاۤىِٕطِ أَوۡ لَـٰمَسۡتُمُ ٱلنِّسَاۤءَ فَلَمۡ تَجِدُوا۟ مَاۤءࣰ فَتَیَمَّمُوا۟ صَعِیدࣰا طَیِّبࣰا فَٱمۡسَحُوا۟ بِوُجُوهِكُمۡ وَأَیۡدِیكُم مِّنۡهُۚ مَا یُرِیدُ ٱللَّهُ لِیَجۡعَلَ عَلَیۡكُم مِّنۡ حَرَجࣲ وَلَـٰكِن یُرِیدُ لِیُطَهِّرَكُمۡ وَلِیُتِمَّ نِعۡمَتَهُۥ عَلَیۡكُمۡ لَعَلَّكُمۡ تَشۡكُرُونَ,5:6,54.55,38.155,canonical_quran_match
72,226,2,"[0.209358, 0.433842, 0.302939, 0.443172]",اللتيديين‎,اللتيديين‎,,0,25.54,ocr_unverified_arabic
80,,1,"[0.218356, 0.424936, 0.856029, 0.447413]",تج ييه بيجن بويد (©) مة©‎ ----- --- 102666667 L,تج ييه بيجن بويد (©) مة©‎ ----- --- 102666667 L,,0,47.88,ocr_unverified_arabic
