pdf_page,printed_page,english_confidence,text_length,reason
1,,,86,low OCR confidence or sparse text
2,,,0,low OCR confidence or sparse text
6,,,0,low OCR confidence or sparse text
8,,,0,low OCR confidence or sparse text
24,8,59.74,2346,low OCR confidence or sparse text
28,,52.59,1445,low OCR confidence or sparse text
34,18,62.33,892,low OCR confidence or sparse text
35,,61.55,1199,low OCR confidence or sparse text
36,,62.36,875,low OCR confidence or sparse text
49,33,55.16,75,low OCR confidence or sparse text
52,36,53.34,3256,low OCR confidence or sparse text
53,37,25.73,2710,low OCR confidence or sparse text
61,5,62.28,49,low OCR confidence or sparse text
62,30,60.13,613,low OCR confidence or sparse text
65,2000,43.97,2947,low OCR confidence or sparse text
66,50,49.04,2851,low OCR confidence or sparse text
67,31,30.52,3126,low OCR confidence or sparse text
68,3,47.89,2755,low OCR confidence or sparse text
70,2528,64.52,2591,low OCR confidence or sparse text
71,57,56.33,2684,low OCR confidence or sparse text
72,226,53.25,2541,low OCR confidence or sparse text
73,14,50.24,3145,low OCR confidence or sparse text
78,64,62.47,2217,low OCR confidence or sparse text
101,87,60.15,2016,low OCR confidence or sparse text
102,88,59.48,2210,low OCR confidence or sparse text
103,89,63.71,2722,low OCR confidence or sparse text
112,xLI,62.59,2080,low OCR confidence or sparse text
113,Lvl,62.77,1223,low OCR confidence or sparse text
114,L,59.78,1159,low OCR confidence or sparse text
116,LxI,52.69,259,low OCR confidence or sparse text
121,107,63.23,1998,low OCR confidence or sparse text
124,110,64.75,1478,low OCR confidence or sparse text
125,111,63.7,1624,low OCR confidence or sparse text
129,115,62.5,1771,low OCR confidence or sparse text
143,,63.71,1591,low OCR confidence or sparse text
144,130,63.92,1141,low OCR confidence or sparse text
145,131,56.47,1544,low OCR confidence or sparse text
157,143,62.8,1201,low OCR confidence or sparse text
166,152,64.27,1836,low OCR confidence or sparse text
171,157,63.45,1784,low OCR confidence or sparse text
172,158,61.09,1381,low OCR confidence or sparse text
178,164,58.0,1041,low OCR confidence or sparse text
179,,63.92,473,low OCR confidence or sparse text
185,LI,62.89,1172,low OCR confidence or sparse text
192,178,63.55,1772,low OCR confidence or sparse text
193,179,58.72,1168,low OCR confidence or sparse text
211,,,0,low OCR confidence or sparse text
215,,,0,low OCR confidence or sparse text
