pdf_page,printed_page,segment,bbox_normalized,raw_ocr,normalized_text,quran_reference,match_score,ocr_confidence,status
1,,1,"[0.05, 0.05, 0.95, 0.95]",بسم الله الرحمن الرحيم,بسم الله الرحمن الرحيم,1:1,100,100,canonical_quran_match
4,,1,"[0.136622, 0.568659, 0.829222, 0.619548]",© يموق‎ دحك سو[ NNT َوأطيع‎ PS ire ss Zayas,وَأَقِیمُوا۟ ٱلصَّلَوٰةَ وَءَاتُوا۟ ٱلزَّكَوٰةَ وَأَطِیعُوا۟ ٱلرَّسُولَ لَعَلَّكُمۡ تُرۡحَمُونَ,24:56,57.14,29.61,canonical_quran_match
9,,1,"[0.145597, 0.42936, 0.83871, 0.593267]","spa ويه ونَاسمالا,‎ ae pes
wI 7 ب‎ 4 جد ee
فلمو نولاق‎ oN Kee 0",وَإِذَا تُتۡلَىٰ عَلَیۡهِمۡ ءَایَاتُنَا بَیِّنَـٰتࣲ قَالَ ٱلَّذِینَ لَا یَرۡجُونَ لِقَاۤءَنَا ٱئۡتِ بِقُرۡءَانٍ غَیۡرِ هَـٰذَاۤ أَوۡ بَدِّلۡهُۚ قُلۡ مَا یَكُونُ لِیۤ أَنۡ أُبَدِّلَهُۥ مِن تِلۡقَاۤىِٕ نَفۡسِیۤۖ إِنۡ أَتَّبِعُ إِلَّا مَا یُوحَىٰۤ إِلَیَّۖ إِنِّیۤ أَخَافُ إِنۡ عَصَیۡتُ رَبِّی عَذَابَ یَوۡمٍ عَظِیمࣲ,10:15,52.17,30.833333333333332,canonical_quran_match
18,15,1,"[0.16578, 0.497436, 0.636525, 0.567949]",دورول نسْتدَمَكه bs‏ ©,دورول نسْتدَمَكه bs‏ ©,,0,33.16,ocr_unverified_arabic
20,17,1,"[0.068847, 0.583487, 0.92685, 0.746765]","3 كاه يعية تبره واتاجاء 2ن ©
dips aes rasa نه‎ i hse! ce الوا‎ Hf",أَن جَاۤءَهُ ٱلۡأَعۡمَىٰ,80:2,69.57,24.95,canonical_quran_match
26,,1,"[0.126457, 0.586161, 0.895964, 0.69328]","eho جب ركز برد‎ ||“
| اعد انمه"" ( سورة القصس‎ )","eho جب ركز برد‎ ||“
| اعد انمه"" ( سورة القصس‎ )",,0,54.53,ocr_unverified_arabic
29,,1,"[0.284734, 0.395508, 0.921955, 0.429819]",Le”‏ بسنتى وسنة الخلفا* الراشدين من بعدى 5 You,Le”‏ بسنتى وسنة الخلفا* الراشدين من بعدى 5 You,,0,79.06,ocr_unverified_arabic
33,30,1,"[0.321492, 0.485275, 0.706927, 0.537772]",Avo يروس ولاهنما‎,قُل لَّاۤ أَمۡلِكُ لِنَفۡسِی ضَرࣰّا وَلَا نَفۡعًا إِلَّا مَا شَاۤءَ ٱللَّهُۗ لِكُلِّ أُمَّةٍ أَجَلٌۚ إِذَا جَاۤءَ أَجَلُهُمۡ فَلَا یَسۡتَـٔۡخِرُونَ سَاعَةࣰ وَلَا یَسۡتَقۡدِمُونَ,10:49,58.33,27.11,canonical_quran_match
36,33,1,"[0.064991, 0.592705, 0.90208, 0.798176]","كذ الهم وفروهوعلييم م ا‎ 2 pay
“قر لع هبه‎ “A.C.
مون ]وت ذل كسد اماقرأ Eps‏",عَلَّمَ ٱلۡقُرۡءَانَ,55:2,66.67,28.38,canonical_quran_match
37,34,1,"[0.104762, 0.397146, 0.916017, 0.636742]","«السابع ‏ النهى عن كتابة غير القران»
يع { ِ 489 لاسن بع لق اا عا ما ل سار لفاح للا و شاد د تكد
عن أبى سعيد الخدرى رضى الله عنه قال': قال رسول الله صلى الله
ote‏ حيس 2 ade‏ 5 جه مااع ” tA‏ es سي .”م
عَلِبْهِ وَسَلمِ : «لاتكتبوا Ee‏ سوى Ta‏ eS
2 لب oot‏ هه (
(احمد > ١‏ اص ١9١‏ ومسلم)","«السابع ‏ النهى عن كتابة غير القران»
يع { ِ 489 لاسن بع لق اا عا ما ل سار لفاح للا و شاد د تكد
عن أبى سعيد الخدرى رضى الله عنه قال': قال رسول الله صلى الله
ote‏ حيس 2 ade‏ 5 جه مااع ” tA‏ es سي .”م
عَلِبْهِ وَسَلمِ : «لاتكتبوا Ee‏ سوى Ta‏ eS
2 لب oot‏ هه (
(احمد > ١‏ اص ١9١‏ ومسلم)",,0,54.76285714285715,ocr_unverified_arabic
