pdf_page,printed_page,segment,bbox_normalized,raw_ocr,normalized_text,quran_reference,match_score,ocr_confidence,status
1,,1,"[0.05, 0.05, 0.95, 0.95]",بسم الله الرحمن الرحيم,بسم الله الرحمن الرحيم,,100,100,canonical_quran_match
1,,2,"[0.05, 0.05, 0.95, 0.95]",مسجد توسان,مسجد توسان,,100,100,canonical_quran_match
8,,1,"[0.197358, 0.37863, 0.794385, 0.507945]","CLS re جاه‎
. كنا درفي © از يتنا‎ iNet ne eA",وَقَالُوا۟ لَوۡلَاۤ أُنزِلَ عَلَیۡهِ ءَایَـٰتࣱ مِّن رَّبِّهِۦۚ قُلۡ إِنَّمَا ٱلۡـَٔایَـٰتُ عِندَ ٱللَّهِ وَإِنَّمَاۤ أَنَا۠ نَذِیرࣱ مُّبِینٌ,29:50,50.0,21.185,canonical_quran_match
12,,1,"[0.424394, 0.5427, 0.652464, 0.555923]",——— صُسُلْبجبجحبحمح‎ ll,——— صُسُلْبجبجحبحمح‎ ll,,0,0.0,ocr_unverified_arabic
14,10,1,"[0.128099, 0.707785, 0.832231, 0.756579]",3 سوير اها ىسوم ضذوراقاسه Ny‏,3 سوير اها ىسوم ضذوراقاسه Ny‏,,0,30.48,ocr_unverified_arabic
26,22,1,"[0.092127, 0.295604, 0.195142, 0.303297]",ححصصخد,ححصصخد,,0,12.27,ocr_unverified_arabic
30,,1,"[0.540017, 0.827093, 0.768324, 0.864537]",الم د يي,الم د يي,,0,41.38,ocr_unverified_arabic
48,44,1,"[0.180624, 0.112939, 0.838259, 0.13432]",و ووو ووو فووووووووةووووقةةدوووويووووةدوددوةء,و ووو ووو فووووووووةووووقةةدوووويووووةدوددوةء,,0,21.93,ocr_unverified_arabic
53,49,1,"[0.167364, 0.130315, 0.841841, 0.152402]",4 ةد ةةودودءدةددوءءةودوددودةدة.:ةودددوددوودوددوةء,4 ةد ةةودودءدةددوءءةودوددودةدة.:ةودددوددوودوددوةء,,0,2.22,ocr_unverified_arabic
69,65,1,"[0.170976, 0.13245, 0.846539, 0.15011]",وقي فق ةدو دوقو ددوةدوةددوءةووةوودةةةدفءةةدة.ةةة:ةةوةةدددة..,وقي فق ةدو دوقو ددوةدوةددوءةووةوودةةةدفءةةدة.ةةة:ةةوةةدددة..,,0,0.0,ocr_unverified_arabic
74,70,1,"[0.170549, 0.546307, 0.8802, 0.655458]","س- 60 رع ,g0=4',70=‏ = 3,90 =100, 200=4
ش 3002 رات -400, %=500, اخ =600, 3 =700
ض 8002 , 5 -900, ثم =1000","س- 60 رع ,g0=4',70=‏ = 3,90 =100, 200=4
ش 3002 رات -400, %=500, اخ =600, 3 =700
ض 8002 , 5 -900, ثم =1000",,0,67.58666666666666,ocr_unverified_arabic
83,,1,"[0.161506, 0.183425, 0.52636, 0.198895]",ووو وهة معدو دوق دة وو دودوود ةد‎,ووو وهة معدو دوق دة وو دودوود ةد‎,,0,39.77,ocr_unverified_arabic
84,,1,"[0.192982, 0.659304, 0.771094, 0.71397]","هه كدير انك الي‎ Ey
لسلس‎ 2
سعد‎ 3","هه كدير انك الي‎ Ey
لسلس‎ 2
سعد‎ 3",,0,38.45666666666667,ocr_unverified_arabic
87,82,1,"[0.291222, 0.784658, 0.645611, 0.846575]",اندوز واسزاكيره |,اندوز واسزاكيره |,,0,37.99,ocr_unverified_arabic
92,87,1,"[0.092451, 0.23026, 0.905004, 0.252347]",ae‏ i I عد بانجلا جد عبد جل جلا بإ ل دع علا RR‏ بأد جلا عل جل د علد جلا لاحل يد علا إد علا ب عاد seo‏ مد علا ب عله بذ لد جل af‏ ROR د جلا اد اد,ae‏ i I عد بانجلا جد عبد جل جلا بإ ل دع علا RR‏ بأد جلا عل جل د علد جلا لاحل يد علا إد علا ب عاد seo‏ مد علا ب عله بذ لد جل af‏ ROR د جلا اد اد,,0,41.0,ocr_unverified_arabic
94,89,1,"[0.207814, 0.847383, 0.9202, 0.969146]",Delis = رك‎ Js! ge وضم للناس‎,إِنَّ أَوَّلَ بَیۡتࣲ وُضِعَ لِلنَّاسِ لَلَّذِی بِبَكَّةَ مُبَارَكࣰا وَهُدࣰى لِّلۡعَـٰلَمِینَ,3:96,58.33,61.61,canonical_quran_match
95,90,1,"[0.186299, 0.298178, 0.806182, 0.3291]",شتت تت ووو,شتت تت ووو,,0,23.3,ocr_unverified_arabic
109,104,1,"[0.309091, 0.522026, 0.777686, 0.560022]",| تأت عبر لفرت‎ © ١ لاك كاف كذ‎ Kou |,| تأت عبر لفرت‎ © ١ لاك كاف كذ‎ Kou |,,0,44.86,ocr_unverified_arabic
