pdf_page,printed_page,english_confidence,text_length,reason
1,,45.58,74,low OCR confidence or sparse text
10,6,57.07,252,low OCR confidence or sparse text
12,8,64.31,597,low OCR confidence or sparse text
16,12,58.1,794,low OCR confidence or sparse text
18,14,58.78,629,low OCR confidence or sparse text
19,15,64.45,842,low OCR confidence or sparse text
27,23,63.75,756,low OCR confidence or sparse text
28,24,57.13,506,low OCR confidence or sparse text
46,42,58.08,730,low OCR confidence or sparse text
51,7,61.9,543,low OCR confidence or sparse text
53,49,64.81,550,low OCR confidence or sparse text
54,58,60.63,733,low OCR confidence or sparse text
79,7,64.48,780,low OCR confidence or sparse text
87,63,64.76,657,low OCR confidence or sparse text
89,8,63.15,604,low OCR confidence or sparse text
92,8,55.74,661,low OCR confidence or sparse text
93,8,59.95,583,low OCR confidence or sparse text
112,168,64.47,1442,low OCR confidence or sparse text
116,112,63.13,566,low OCR confidence or sparse text
117,,63.51,2095,low OCR confidence or sparse text
120,116,49.99,339,low OCR confidence or sparse text
121,117,58.15,701,low OCR confidence or sparse text
122,118,62.19,316,low OCR confidence or sparse text
123,119,53.02,592,low OCR confidence or sparse text
124,120,64.83,667,low OCR confidence or sparse text
125,121,55.89,682,low OCR confidence or sparse text
127,123,55.36,586,low OCR confidence or sparse text
130,126,50.52,835,low OCR confidence or sparse text
132,128,51.06,822,low OCR confidence or sparse text
134,130,63.29,836,low OCR confidence or sparse text
135,131,60.39,751,low OCR confidence or sparse text
136,132,56.28,823,low OCR confidence or sparse text
137,133,60.94,830,low OCR confidence or sparse text
138,134,59.8,791,low OCR confidence or sparse text
141,137,30.63,471,low OCR confidence or sparse text
143,139,53.4,770,low OCR confidence or sparse text
144,140,52.23,847,low OCR confidence or sparse text
145,141,56.63,831,low OCR confidence or sparse text
146,142,44.97,919,low OCR confidence or sparse text
148,144,46.08,943,low OCR confidence or sparse text
150,146,47.99,796,low OCR confidence or sparse text
151,147,58.16,831,low OCR confidence or sparse text
152,148,50.04,886,low OCR confidence or sparse text
153,149,57.67,921,low OCR confidence or sparse text
155,151,58.58,217,low OCR confidence or sparse text
156,152,51.06,260,low OCR confidence or sparse text
157,153,45.55,374,low OCR confidence or sparse text
159,55,61.62,640,low OCR confidence or sparse text
160,156,41.24,234,low OCR confidence or sparse text
161,157,58.54,700,low OCR confidence or sparse text
162,58,42.79,562,low OCR confidence or sparse text
163,159,53.51,806,low OCR confidence or sparse text
164,160,60.23,813,low OCR confidence or sparse text
166,162,56.78,776,low OCR confidence or sparse text
168,164,41.27,784,low OCR confidence or sparse text
169,165,55.45,805,low OCR confidence or sparse text
170,166,64.64,786,low OCR confidence or sparse text
171,167,62.65,306,low OCR confidence or sparse text
172,168,45.85,447,low OCR confidence or sparse text
173,169,46.35,671,low OCR confidence or sparse text
174,176,63.5,799,low OCR confidence or sparse text
175,171,61.96,868,low OCR confidence or sparse text
176,172,56.46,818,low OCR confidence or sparse text
177,173,43.86,888,low OCR confidence or sparse text
178,174,52.71,917,low OCR confidence or sparse text
179,175,48.36,980,low OCR confidence or sparse text
180,176,64.76,936,low OCR confidence or sparse text
182,178,63.16,683,low OCR confidence or sparse text
183,179,31.02,635,low OCR confidence or sparse text
184,160,44.69,991,low OCR confidence or sparse text
187,163,63.11,430,low OCR confidence or sparse text
189,185,48.33,487,low OCR confidence or sparse text
190,186,52.74,815,low OCR confidence or sparse text
191,167,60.57,626,low OCR confidence or sparse text
192,188,49.48,832,low OCR confidence or sparse text
193,169,60.66,1000,low OCR confidence or sparse text
194,8,48.81,858,low OCR confidence or sparse text
195,191,53.68,884,low OCR confidence or sparse text
196,192,63.36,822,low OCR confidence or sparse text
200,196,59.12,413,low OCR confidence or sparse text
214,,,0,low OCR confidence or sparse text
216,,,0,low OCR confidence or sparse text
222,476,61.05,1619,low OCR confidence or sparse text
246,,39.93,70,low OCR confidence or sparse text
268,522,44.1,629,low OCR confidence or sparse text
272,,,0,low OCR confidence or sparse text
273,,,0,low OCR confidence or sparse text
274,,,0,low OCR confidence or sparse text
275,,,0,low OCR confidence or sparse text
276,,,0,low OCR confidence or sparse text
277,,,0,low OCR confidence or sparse text
278,,,0,low OCR confidence or sparse text
279,,78.76,31,low OCR confidence or sparse text
280,,,0,low OCR confidence or sparse text
