pdf_page,printed_page,blank_page,english_ocr_confidence,arabic_ocr_confidence,quran_references_detected,arabic_segment_count,transcription_text,arabic_text
1,,False,96.06,,,0,"THE
PERPETUAL MIRACLE
OF
MUHAMMAD

(peace be upon him)",
2,,False,94.23,60.03,,2,"The Qur’anic verse given above is from sura number 17, AL-
ISRAA’, verse 88, states that, “If all the humans and all jinns
banded together in order to produce a Qur’an like this, they will
surely fail; no matter how much assistance they lend one
another.” During the next 60 minutes, you will hear, see, and
touch miraculous features in the Qur’an representing
indisputable proof that this verse is a fact. You will witness
physical, touchable, exam in able, and perpetual miracles, which
prove that the Qur’an is indeed word of God, and that it comes to
use perfectly preserved.

As most of you know, all the messengers of God were supported
by miracles, supernatural phenomena which proved that they
were indeed sent by the Almighty God to deliver his message.
For example. when Moses went to Pharaoh, he was supported by
miracles such as the turning of his staff into a serpent. The
Prophet Jesus was supported by miracles such as the healing of
the leprous and the hopelessly blind, reviving the dead, and
creating birds from clay.

Since the Prophet Muhammad was the last messenger from
God, it is only logical that his miracle, which is consequently the
last miracle, should be eternal, and perpetual, in order to be
witnessed by all the generations of human beings from the time
of Muhammad's mission to the end of the world. This
presentation is a manifestation of this logical conclusion; right
here and now, you will witness the perpetual miracle of
Muhammad. As you know, the miracles of all previous","بسم الله الرحمن الرحيم

قل لئن اجتمعت الإنس والجن على أن يأتوا بمثل هذا القرآن لا يأتون بمثله ولو كان بعضهم لبعض ظهيرا"
3,,False,96.14,,,0,"messengers were limited by time and place. None of us witnessed
Moses when he turned his staff into a serpent, none of us saw
Jesus revive the dead. Only the people who were present in a
specific place. at a specific time, did witness those miracles. But
the miracle of Muhammad was witnessed by all the past
generations, it is being witnessed by our generation, it will be
witnessed by you right here and now, and it will be witnessed by
all future generations.

What is the miracle of Muhammad? The divine message
delivered by Muhammad, the Qur'an states in sura 29, verses 49,
50 that Muhammad's miracle is the Qur'an itself. Indeed, we find
that the Qur'an, the last divine miracle manifested through the
last messenger of God, we find it perpetual. Every generation
during the last 1400 years did witness miraculous manifestations
in the Qur'an. As the mysteries of the universe we unveiled by
advancing science and technology, the people discovered that the
new discoveries were already revealed in the Qur'an. For
example, when the rotation movement of the planet earth was
discovered, the students of Qur'an noted that this was already
stated in sura 27, verse 88, ""When you look at the mountains, you
may think they are standing still. But they are moving, similar to
the movements of the clouds. Such is the skillful creation of God,
who perfected everything."" When it was discovered that the sun
is a ""Source"" of light, and the moon a mere reflection, we learned
that these discoveries were as old as the Qur'an. In sura 10, verse
5; sura 25. verse 61; and sura 71, verse 16, we find that the sun
is consistently called a lamp ""SIRAJ"" and the moon described as
a lighted object.

It will take me hours to point out all the miraculous features
manifested in the Qur'an over the past 1400 years. But this
presentation deals with the Qur'anic miracles being manifested to
our generation. Together we will witness Muhammad's perpetual
miracle, you will see it, touch it, and witness it just as physically",
4,,False,95.97,86.25,,0,"as Pharaoh, the magicians, and the Israelites witnessed the
miracles of Moses, and just as physically as the disciples of Jesus
saw him revive the dead. You will undeniably appreciate the
perpetuity of Muhammad’s miracle. الرحيم الرحمن هللا بد

The key to Muhammad's perpetual, eternal, miracle is found in
the very first verse of Qur'an which says, ""IN THE NAME. OF
GOD, THE COMPASSIONATE, THE MERCIFUL"" ( ِبِسْمِّٰللاه
يمِالرَّح۪ الرَّ نِحْمٰ ) When we count the letters that make up this verse,
we find them 19. As you see, this is a physical fact. No one can
argue with you about it. And it was discovered that every word
in this verse is mentioned in the whole Qur'an a number of times
which is always multiples of 19. Let me repeat this observation;
the first verse in the Qur'an, consists of 19 letters, and every word
in this first verse is mentioned in the Qur'an a number of times
which is consistently multiples of 19. The first word اسم ""NAME""
is found in the whole Qur'an exactly 19 times; the second word
""ALLAH"" is ِهاللّٰ mentioned in the Qur'an 2,698 times and this
number is a multiple 19, it equals 19 x 142; the third word of the
verse,"" نِالرَّحْمٰ ""AL-RAHMAN"" is found repeated in the Qur'an
57 times, 3 multiples of 19, and finally, the fourth word in the
first Qur'anic verse يمِالرَّح۪ ""AL-RAHIM"" is mentioned in the
whole Qur'an 114 times, 6 multiples of 19.

At this early stage, I am sure that Satan will interfere, and will
whisper in your heart saying. ""How do you know he is stating
correct numbers? How do you know he is not making up these
numbers? To eliminate this Satanic influence once and for all
from the beginning, let me remind you that all these numbers
have been documented many times in the past, before any of us
was born. The words of Qur'an have been counted by many
scholars in the past, and their findings are documented in many
great classic books. One such reference that I carry with me
everywhere is the book entitled المفهرين المعجم الحكيم القرآن اْللفاظ
""INDEX TO THE WORDS OF QUR’AN"" by Muhammad Faud",
5,,False,95.85,93.73,,0,"Abdul-Baqi, and published by the People's Press الشعب دار of
Cairo, Egypt. All the numbers I mentioned here, though they
were discovered independently through the use of electronic
computers, are also found in this book, and many other books as
well.

As you note, we are dealing with strict physical facts; and they
are facts that do not require knowledge of the Arabic language to
be appreciated. This proves to us that the Qur'an was not revealed
only for the Arabs, but for all the people on earth. For example,
you do not need to know Arabic to count the letters in the first
Qur'anic verse and confirm that they arc 19. And this is of course
a physical fact; no guesswork, interpretation, or conjecture is
involved. The number 19 itself is a special number; it contains
the beginning and the end, the numeral 1 which is the beginning
of the mathematical system and the numeral 9 which is the end.
Also, we note that the number 19 is not divisible by any other
number. For example, while the number 20 is divisible by 2,4,5,
and 10; and the number 18 is divisible by 2, 3, 6, and 9, the
number 19 is not divisible.

What do these observations mean? These are physical facts that
no one can argue about. The first factual observation is that the
first verse of the Qur'an consists of 19 letters. The second factual
observation is that every word in this verse is mentioned in the
Qur'an in multiples of 19, the word اسم NAME is mentioned
throughout the Qur'an 19 times, the word ALLAH is mentioned
2,698, 19 x 142, the word AL-RAHMAN is mentioned 57 times,
19 x 3; and the word AL-RAHIM is mentioned 114 times. WHAT
DO THESE FACTUAL OBSERVATIONS MEAN? There are
only 3 possible explanations, or conclusions, to be derived from
these facts. THE FIRST EXPLANATION is that this
phenomenon happened by sheer accident; by coincidence.
However, this explanation can easily be rejected. since
coincidence may happen once or twice but not 3 times: certainly",
6,,False,96.32,,,0,"not 4 times as we see here. in other words, if you pick up any
man-made book and if the letters in the first sentence, the
possibility that the one word in this sentence is repeated in the
whole book in a manner related to the number of letters in the
sentence, this possibility is there; may be. But the possibility that
2 words in this sentence arc repeated in whole book relative to
the number of letters which make up the sentence, this possibility
is very slim. And the chance that 3 words are repeated in this
manner by sheer coincidence is considered impossible. Here we.
find all 4 words of the first Qur'anic verse mentioned in the whole
Qur'an multiples of 19, the number of letters which make up the
verse. And this could never happen by coincidence.

THE SECOND POSSIBLE EXPLANATION is that the
Prophet Muhammad himself designed and wrote the Qur'an in
this numerical system. This of course what all the non-Muslims
claim. For if they thought or believed that the Qur'an is God's
message to them, they would have become Muslims. In effect
what this second conclusion says is that an illiterate man who
lived in the seventh century, and possessed no sophisticated
mathematical knowledge, said to himself. ""I am going to write a
book, a large book, where the first sentence consists of 19 letters,
and every word in this sentence shall be repeated in the whole
book in multiples of 19. Then he proceeded to write the book
following this design, over a period of 23 years. You can see how
absurd this conclusion is. Even now, some of those opponents
may still insist that Muhammad wrote the Qur'an. To these
stubborn disbelievers, we can ask the question. ""If Muhammad
designed and wrote the Qur'an in this unique manner, why then
didn't he reap the fruits of his efforts? If he were an imposter, why
didn't he boast and pride himself on this remarkable
achievement? We do not know of any book in history with a
numerical system like this. Why didn’t the Prophet show off
among his companions? All these findings were never known
prior to June 1975.",
7,,False,95.44,67.99,,0,"THE ONLY POSSIBLE EXPLANATION LEFT is that a
SUPER BEING did write the Qur'an, with its complicated
mathematical design. The inescapable conclusion is that the
Qur'an was authored by the Omnipotent, Omniscient, and
Omnipresent Almighty God. For, as you will witness before the
end of these 60 minutes what we discussed so far is only the tin
of the iceberg, only a minute portion of the total mathematical
system of the Qur'an.

This is the first verse of sura 10, and it says, ""A.L.R. This is a
scripture whose verses have been perfectly designed, then
elucidated. It comes from the most Wise, most Cognizant"".

Not only do these facts prove that the Qur'an is the word of God,
but also do they prove that the Qur'an was never distorted, nor
altered in any way, nor was any part of it lost, deleted, or added.
You see, when you recite, ""Qul Huwallahu Ahad"" اَحَد ّٰللاه هُوَ قُلْ the
word ALLAH here is counted and perfectly placed in this specific
position. It is one of the 2,698 ALLAH words found in the
ُالصَّمَدQur'an.this And word when ALLAH you continue also is perfectly by saying.designed""Allahu s and Samad""counted.ُّٰللاَ
Thus, the 2 important conclusions to be remembered here are (1)
THE QUR'AN IS GOD'S MESSAGE TO ALL HUMANITY,
and (2) THE QUR'AN HAS BEEN PROTECTED AND
PRESERVED; it is God's unaltered, final, and eternal message.

This is verse 9 sura 15, stating, ""Surely, we did reveal this
scripture, and surely we will preserve it"".

Does the number 19 itself have any explicit mention or
significance in the Qur'an? YES INDEED. We find the number
19 in verse 30 of sura 74, sura AL-MUDDATHIR. And we find
it mentioned as the answer to those who claim that the Qur'an is
man-made. Thus, when we read verses 11 through 37 of this sura,
we find them stating that anyone who reaches the conclusion or
the belief that the Qur'an is man-made, not the word of God, this",
8,,False,91.06,61.77,,0,"person will have the number 19 imposed on him; he will have the
number 19 to reckon with. The old interpretation of this verse
(verse 30 of sura 74) is that 19 are the angels guarding Hell. But
in view of these new findings, and in the new light being shed on
the verse immediately following this verse, we find that the
number 19 was mentioned in verse 30 for 5 distinct reasons; (1)
to cause a great disturbance ( فتنة ) to the disbelievers (and
certainly these findings about the number 19 will disbelievers),
(2) to assure the good Christians and the good Jews who see
nothing wrong with the Qur'an, but they are not quite sure
whether or not it is a scripture from God, to assure them that it is
God's message to them; and that it constitutes the finalization and
consummation of their own scriptures, (3) to augment and
strengthen the faith of the believers, who already believe that the
Qur'an is the word of God, (4) to eliminate any doubts that may
linger in the hearts of the believers and/or the good Christians
and finally, (5) to expose the hypocrites and the disbelievers, and
to stamp them once and for all as unfortunate fanatics whom God
wills to send astray.

In addition to these 5 reasons stated in verse 31, as to why the
number 19 was selected in verse 30, we find that verse 31 also
states that only God knows the real number of His soldiers.
Therefore, the number 19 is not the number of angels, guardians
of Hell, and we have to accept a new interpretation of the number
19 of verse 30, in view of these new Qur'anic findings.",
9,,False,94.55,76.93,,0,"A historical fact that supports the identification of the number
19 in sura AL-MUDDATHIR as the letters of BIS MILLAHIR
RAHMANIR RAHIM يمِبِسْمِح۪ الرَّ نِحْمٰ الرَّ ّٰللاه comes from reviewing
the sequence of revelation of Qur'an. As most of you know, the
first time when the angel Gabriel. came to the Prophet
Muhammad, he brought the first few verses of sura AL-ALAQ
نزلت which is by the way sura number 19 from the end of Qur'an,
and consists of 19 verses. In the second visit, the angel brought
the first few verses of sura AL'QALAM, number 68. In the third
visit, Gabriel brought to the Prophet the first few verses of sura
AL-MUZZAMIL, number 73. In the fourth visit, Gabriel brought
the first verses of sura AL-MUDDATHIR, up to verse 30 stating
the number 19. Do you know what the angel brought
immediately following this number 19? HE BROUGHT THE 19
LETTERS. BISMILLAHIR RAHMANIR RAHIM ( نِبِسْمِحْمٰ الرَّ ّٰللاه
يمِالرَّح۪ ). In the fifth visit, the angel Gabriel brought the first
COMPLETE sura, and it was sura AL-FATHIHA, the opening
sura, which begins with BISMILLAHIR RAHMANIR RAHIM.
Therefore, it would seem reasonable to interpret the number 19
of sura AL MUDD A THIR as the letter of BISMILLAHIR
RAHMANIR RAHIM as you will see throughout this
presentation, the 19 letters of BISMILLAHIR RAHIMANIR
RAHIM do bear the indisputable proof that the Quran can never
be man-made, and in this most profound way they offer the
perfect answer to those who claim that the Qur'an is man-made.
As you now know, the number 19 of sura AL MUDD A THIR is
mentioned in connection with those who claim that the Qur'an is
man-made.

Although what we have seen so far provides ample proof that
the Qur'an must be the word of God, that it can never be manmade, and that is God's unaltered message to all the people. Arabs
and non-Arabs, as I mentioned before, this is only the tip of
Iceberg. It seems that the almighty God wills that the evidence
supporting His divine message shall be no less than",
10,,False,95.11,,,0,"overwhelming. Thus, the greater portion of this physical,
touchable, exam in able and indisputable evidence is found in the
mysterious letters which open certain suras.

One of the Qur'an's unique properties is the existence of
alphabetical letters at the beginning of some suras. These letters,
let us call them our ""Qur’anic initials"", are prefixed to 29 suras,
and they bear no apparent meaning. For example, we find that
sura number 1, AL-BAQARAH, starts with a verse that consists
of 3 letters A.L.M. Alif Lam Mim. What do these letters mean?
What is their significance? As you will see here and now, they
bear indisputable evidence that the Qur'an is God's unaltered final
message to all Humanity. These previously mysterious letters
carry to us overwhelming proof that every letter in the Qur'an
was placed according to a complex interlocking system that is far
beyond human ability.

We find exactly half the Arabic alphabets, 14 letters,
participating in the make-up of exactly 14 different sets of
Qur'anic initials and these initials prefix 29 suras. The 14 letters
are Alif, Ha, Ra, Sin, Sad, Ta, ' Ayn, Qaf, Lam, Mim, Nun, Ha and
Ya. The 14 sets of initials are Qaf, Nun, Sad, Ta, Ha, Ya, Sin, Ta
Sin, Ha mim:, Alif Lam Mim, Alif Lam Ra, Ta Sin Mim, Ayn Sin
Qaf, Alif Lam Mim Sad and Kaf Ha Ya Ayn' Sad. The 29 suras
that begin with Qur'anic initials are suras number 2, 3, 7, 10, 11,
12, 13, 14, 15, 19, 20, 26, 27, 28, 29, 30, 31, 32, 36, 38, 40, 41,
42, 43, 44, 45, 46, 50, & 68. These Qur'anic initials are unique
having a consistent and direct relationship to the number 19 of
the letters of BISMILLAHIR RAHMANIR RAHIM. To begin
with as you see in physically indisputable numbers, 14 letters,
participate in forming 14 sets of initials, and these are found in
29 suras. When you add up 14+14+29, you find the total 57, 19x",
