Video Title,Link,Start Time,End Time,Text,Speaker,SplitFromRow,VerseRefs,VerseLang
01 Quran Study From Azhar 1 Sura 72;19 28 & Sura 73 By Kathryn Jinns 05 26 1989,https://www.youtube.com/watch?v=XKeWeiYcQOA,00:00:00.000,00:00:01.653,Dr. Khalifa: Our teacher is Catherine.,Dr. Khalifa,,,
01 Quran Study From Azhar 1 Sura 72;19 28 & Sura 73 By Kathryn Jinns 05 26 1989,https://www.youtube.com/watch?v=XKeWeiYcQOA,00:00:03.193,00:00:05.612,"Dr. Khalifa: The new translation, page 573.",Dr. Khalifa,,,
01 Quran Study From Azhar 1 Sura 72;19 28 & Sura 73 By Kathryn Jinns 05 26 1989,https://www.youtube.com/watch?v=XKeWeiYcQOA,00:00:06.866,00:00:12.482,"Catherine: And if you don't have your new translation, it's page 415 in the, in the Quran.",Catherine,,,
01 Quran Study From Azhar 1 Sura 72;19 28 & Sura 73 By Kathryn Jinns 05 26 1989,https://www.youtube.com/watch?v=XKeWeiYcQOA,00:00:15.789,00:00:17.333,Bism Allah Arrahman Arraheem,Catherine,,,
01 Quran Study From Azhar 1 Sura 72;19 28 & Sura 73 By Kathryn Jinns 05 26 1989,https://www.youtube.com/watch?v=XKeWeiYcQOA,00:00:18.925,00:00:24.307,"[72:19]  When GOD's servant advocated Him alone, almost all of them banded together to oppose him.",Catherine,,72:19,en
01 Quran Study From Azhar 1 Sura 72;19 28 & Sura 73 By Kathryn Jinns 05 26 1989,https://www.youtube.com/watch?v=XKeWeiYcQOA,00:00:25.048,00:00:29.158,"[72:20]  Say, ""I worship only my Lord; I never set up any idols besides Him.""",Catherine,,72:20,en
01 Quran Study From Azhar 1 Sura 72;19 28 & Sura 73 By Kathryn Jinns 05 26 1989,https://www.youtube.com/watch?v=XKeWeiYcQOA,00:00:29.500,00:00:33.049,"[72:21]  Say, ""I possess no power to harm you, nor to guide you.""",Catherine,,72:21,en
01 Quran Study From Azhar 1 Sura 72;19 28 & Sura 73 By Kathryn Jinns 05 26 1989,https://www.youtube.com/watch?v=XKeWeiYcQOA,00:00:34.018,00:00:39.496,"[72:22]  Say, ""No one can protect me from GOD, nor can I find any other refuge besides Him.",Catherine,,72:22,en
01 Quran Study From Azhar 1 Sura 72;19 28 & Sura 73 By Kathryn Jinns 05 26 1989,https://www.youtube.com/watch?v=XKeWeiYcQOA,00:00:40.405,00:00:50.312,"[72:23]  ""I'm here to deliver proclamations from God as well as His messages."" Those who disobey GOD and His messenger incur the fire of Hell, wherein they abide forever.",Catherine,,72:23,en
01 Quran Study From Azhar 1 Sura 72;19 28 & Sura 73 By Kathryn Jinns 05 26 1989,https://www.youtube.com/watch?v=XKeWeiYcQOA,00:00:51.110,00:00:56.741,"[72:24]  Once they see what is awaiting them, they will find out who is really weaker in power, and fewer in number.",Catherine,,72:24,en
