Video Title,Link,Start Time,End Time,Text,Speaker,SplitFromRow,VerseRefs,VerseLang,HasArabic,Description,TOC Time,TOC Title
02 Quran Study From Azhar 2 Sura 95 & Sura 96 By M Sabahi Two Verses Of Sura 9 Dropped Out To Demons,https://www.youtube.com/watch?v=7UVcPz5KQDY,00:00:00.000,00:00:01.795,Dr. Khalifa: أعوذ بِٱللَّهِ مِنَ ٱلشَّيْطَـٰنِ ٱلرَّجِيمِ,Dr. Khalifa,,,,true,"Dr. Rashad Khalifa opens with a warning about Satan targeting believers on the straight path before introducing Dr. Mahmoud Sabahi to lead the study of Sura 95 (Al-Tin) and Sura 96 (Al-Alaq), assisted by Dan, Ali, and Amir. Sabahi categorizes twelve suras where God swears by natural phenomena and plants, prompting Khalifa to explain the symbolic connections between the fig (Adam), olive (Jesus), Mount Sinai (Moses), and Mecca (Abraham and Muhammad). Hamid and Khalifa detail botanical and nutritional aspects of figs and olive oil, including cholesterol reduction and alternate crop bearing. Khalifa uses a jar and human balance mechanisms to illustrate divine physical design in 95:4, while Sabahi and Dan discuss the spiritual descent into the ""lowliest of the lowly"" (95:5). Addressing a printing omission of verse 5, Khalifa presents mathematical evidence based on the number 19 to argue that the Quran's preservation rests in the heart rather than physical paper. Sabahi draws on his background in organic chemistry to explain plant molecular synthesis, anti-cancer compounds, and chemical chirality using a hand glove metaphor. Robert questions why God created human beings knowing most would choose Hell, which Khalifa answers by asserting that Earth serves as a second chance to nullify excuses. Turning to Sura 96, Sabahi outlines traditional accounts of Gabriel's first revelation to Muhammad, which Khalifa rejects as untrue. David, Lisa, Douglas, and Ali debate whether 'alaq in 96:2 should be translated as 'embryo' or 'clot,' with Khalifa citing Maurice Bucaille to reject 'clot.' Sabahi and Ali reflect on human transgression through wealth (96:6–7) and mandatory versus forbidden prayer, citing experiences in post-revolutionary Iran. Khalifa concludes with administrative updates and leads the recitation of Al-Fatiha.",,
02 Quran Study From Azhar 2 Sura 95 & Sura 96 By M Sabahi Two Verses Of Sura 9 Dropped Out To Demons,https://www.youtube.com/watch?v=7UVcPz5KQDY,00:00:01.795,00:00:08.094,The messenger: We seek refuge in God from Satan. He's after us. We are his main targets.,Dr. Khalifa,,,,false,,00:00:01.795,Seeking Refuge From Satan
02 Quran Study From Azhar 2 Sura 95 & Sura 96 By M Sabahi Two Verses Of Sura 9 Dropped Out To Demons,https://www.youtube.com/watch?v=7UVcPz5KQDY,00:00:09.099,00:00:20.000,He doesn't care about the people who are out there drinking and gambling. They are disobeying God. He doesn't care about them. He doesn't bother with them. He's after us. God tells us so in the Quran.,Dr. Khalifa,,,,false,,,
02 Quran Study From Azhar 2 Sura 95 & Sura 96 By M Sabahi Two Verses Of Sura 9 Dropped Out To Demons,https://www.youtube.com/watch?v=7UVcPz5KQDY,00:00:20.799,00:00:23.804,"It says ""I will sit on their straight path, the right path.""",Dr. Khalifa,,,,false,,,
02 Quran Study From Azhar 2 Sura 95 & Sura 96 By M Sabahi Two Verses Of Sura 9 Dropped Out To Demons,https://www.youtube.com/watch?v=7UVcPz5KQDY,00:00:24.921,00:00:26.837,We seek refuge in God from him.,Dr. Khalifa,,,,false,,,
02 Quran Study From Azhar 2 Sura 95 & Sura 96 By M Sabahi Two Verses Of Sura 9 Dropped Out To Demons,https://www.youtube.com/watch?v=7UVcPz5KQDY,00:00:28.345,00:00:31.406,"In the name of God, Most Gracious, Most Merciful.",Dr. Khalifa,,,,false,,,
02 Quran Study From Azhar 2 Sura 95 & Sura 96 By M Sabahi Two Verses Of Sura 9 Dropped Out To Demons,https://www.youtube.com/watch?v=7UVcPz5KQDY,00:00:32.299,00:00:37.817,"Dr. Khalifa: Our teacher tonight is Dr. Sabahi and his assistants are Dan, Ali and Amir.",Dr. Khalifa,,,,false,,00:00:32.299,Introduction of Tonight's Teachers
02 Quran Study From Azhar 2 Sura 95 & Sura 96 By M Sabahi Two Verses Of Sura 9 Dropped Out To Demons,https://www.youtube.com/watch?v=7UVcPz5KQDY,00:00:37.817,00:00:39.003,A woman: No way!,A woman,,,,false,,,
02 Quran Study From Azhar 2 Sura 95 & Sura 96 By M Sabahi Two Verses Of Sura 9 Dropped Out To Demons,https://www.youtube.com/watch?v=7UVcPz5KQDY,00:00:44.028,00:00:45.870,Dr. Khalifa: And we started with Surah...,Dr. Khalifa,,,,false,,,
02 Quran Study From Azhar 2 Sura 95 & Sura 96 By M Sabahi Two Verses Of Sura 9 Dropped Out To Demons,https://www.youtube.com/watch?v=7UVcPz5KQDY,00:00:47.043,00:00:49.728,"Dr. Sabahi: 97. No, sorry, sorry.",Dr. Mahmoud Sabahi,,,,false,,,
02 Quran Study From Azhar 2 Sura 95 & Sura 96 By M Sabahi Two Verses Of Sura 9 Dropped Out To Demons,https://www.youtube.com/watch?v=7UVcPz5KQDY,00:00:49.728,00:00:50.444,Ali: 95.,Ali,,,,false,,,
02 Quran Study From Azhar 2 Sura 95 & Sura 96 By M Sabahi Two Verses Of Sura 9 Dropped Out To Demons,https://www.youtube.com/watch?v=7UVcPz5KQDY,00:00:50.444,00:00:51.495,Amir: 95.,Amir,,,,false,,,
02 Quran Study From Azhar 2 Sura 95 & Sura 96 By M Sabahi Two Verses Of Sura 9 Dropped Out To Demons,https://www.youtube.com/watch?v=7UVcPz5KQDY,00:00:51.942,00:00:52.993,"Dr. Sabahi: Hey, I was just checking.",Dr. Mahmoud Sabahi,,,,false,,,
02 Quran Study From Azhar 2 Sura 95 & Sura 96 By M Sabahi Two Verses Of Sura 9 Dropped Out To Demons,https://www.youtube.com/watch?v=7UVcPz5KQDY,00:00:52.993,00:00:53.820,"Ali: No, no.",Ali,,,,false,,,
02 Quran Study From Azhar 2 Sura 95 & Sura 96 By M Sabahi Two Verses Of Sura 9 Dropped Out To Demons,https://www.youtube.com/watch?v=7UVcPz5KQDY,00:00:54.155,00:00:54.993,Ali: I was just...,Ali,,,,false,,,
02 Quran Study From Azhar 2 Sura 95 & Sura 96 By M Sabahi Two Verses Of Sura 9 Dropped Out To Demons,https://www.youtube.com/watch?v=7UVcPz5KQDY,00:00:54.993,00:00:55.932,I was just checking.,Dr. Mahmoud Sabahi,02-1,,,false,,,
02 Quran Study From Azhar 2 Sura 95 & Sura 96 By M Sabahi Two Verses Of Sura 9 Dropped Out To Demons,https://www.youtube.com/watch?v=7UVcPz5KQDY,00:00:54.993,00:00:55.932,(unintelligible),A man,02-1,,,false,,,
02 Quran Study From Azhar 2 Sura 95 & Sura 96 By M Sabahi Two Verses Of Sura 9 Dropped Out To Demons,https://www.youtube.com/watch?v=7UVcPz5KQDY,00:00:56.993,00:00:58.267,"Dr. Sabahi: Yeah, yeah, yeah.",Dr. Mahmoud Sabahi,,,,false,,,
02 Quran Study From Azhar 2 Sura 95 & Sura 96 By M Sabahi Two Verses Of Sura 9 Dropped Out To Demons,https://www.youtube.com/watch?v=7UVcPz5KQDY,00:00:58.271,00:01:00.427,Dr. Khalifa: Their assistants are on the ball.,Dr. Khalifa,,,,false,,,
02 Quran Study From Azhar 2 Sura 95 & Sura 96 By M Sabahi Two Verses Of Sura 9 Dropped Out To Demons,https://www.youtube.com/watch?v=7UVcPz5KQDY,00:01:01.544,00:01:03.321,Dr. Sabahi: In his (unintelligible),Dr. Mahmoud Sabahi,,,,false,,,
02 Quran Study From Azhar 2 Sura 95 & Sura 96 By M Sabahi Two Verses Of Sura 9 Dropped Out To Demons,https://www.youtube.com/watch?v=7UVcPz5KQDY,00:01:09.686,00:01:10.793,Dr. Sabahi: Edip.,Dr. Mahmoud Sabahi,,,,false,,,
02 Quran Study From Azhar 2 Sura 95 & Sura 96 By M Sabahi Two Verses Of Sura 9 Dropped Out To Demons,https://www.youtube.com/watch?v=7UVcPz5KQDY,00:01:21.756,00:01:23.957,أعوذ بِٱللَّهِ مِنَ ٱلشَّيْطَـٰنِ ٱلرَّجِيمِ,Dr. Mahmoud Sabahi,,,,true,,,
02 Quran Study From Azhar 2 Sura 95 & Sura 96 By M Sabahi Two Verses Of Sura 9 Dropped Out To Demons,https://www.youtube.com/watch?v=7UVcPz5KQDY,00:01:23.957,00:01:25.566,Bism Allah Arrahman Arraheem,Dr. Mahmoud Sabahi,,,,false,,,
02 Quran Study From Azhar 2 Sura 95 & Sura 96 By M Sabahi Two Verses Of Sura 9 Dropped Out To Demons,https://www.youtube.com/watch?v=7UVcPz5KQDY,00:01:26.415,00:01:30.000,"In the name of God, Most Gracious, Most Merciful.",Dr. Mahmoud Sabahi,,,,false,,,
02 Quran Study From Azhar 2 Sura 95 & Sura 96 By M Sabahi Two Verses Of Sura 9 Dropped Out To Demons,https://www.youtube.com/watch?v=7UVcPz5KQDY,00:01:31.317,00:01:41.358,"The Surahs that we're covering tonight are, start with 95, The Fig or Al-Teen.",Dr. Mahmoud Sabahi,,,,false,,00:01:31.317,Overview of Sura Ninety Five
02 Quran Study From Azhar 2 Sura 95 & Sura 96 By M Sabahi Two Verses Of Sura 9 Dropped Out To Demons,https://www.youtube.com/watch?v=7UVcPz5KQDY,00:01:42.809,00:01:53.816,"And this consisted of 8 Ayas, overall. And one of the short Surahs of the later, the latest parts of the Quran.",Dr. Mahmoud Sabahi,,,,false,,,
02 Quran Study From Azhar 2 Sura 95 & Sura 96 By M Sabahi Two Verses Of Sura 9 Dropped Out To Demons,https://www.youtube.com/watch?v=7UVcPz5KQDY,00:01:55.993,00:02:05.244,"When I was looking at this Surah and the previous Surahs that we covered,",Dr. Mahmoud Sabahi,,,,false,,,
02 Quran Study From Azhar 2 Sura 95 & Sura 96 By M Sabahi Two Verses Of Sura 9 Dropped Out To Demons,https://www.youtube.com/watch?v=7UVcPz5KQDY,00:02:05.244,00:02:12.168,I realized that there are quite a few Surahs that God starts with,Dr. Mahmoud Sabahi,,,,false,,00:02:05.244,Divine Oaths in the Quran
02 Quran Study From Azhar 2 Sura 95 & Sura 96 By M Sabahi Two Verses Of Sura 9 Dropped Out To Demons,https://www.youtube.com/watch?v=7UVcPz5KQDY,00:02:12.168,00:02:22.846,"different things that He's swearing by them. And I tried to see what are those and thus far,",Dr. Mahmoud Sabahi,,,,false,,,
02 Quran Study From Azhar 2 Sura 95 & Sura 96 By M Sabahi Two Verses Of Sura 9 Dropped Out To Demons,https://www.youtube.com/watch?v=7UVcPz5KQDY,00:02:22.846,00:02:32.343,"we have covered up to Surah 93 which was ""The Forenoon,"" which is the one that God starts with",Dr. Mahmoud Sabahi,,,,false,,,
02 Quran Study From Azhar 2 Sura 95 & Sura 96 By M Sabahi Two Verses Of Sura 9 Dropped Out To Demons,https://www.youtube.com/watch?v=7UVcPz5KQDY,00:02:32.343,00:02:33.460,[93:1] By the forenoon.,Dr. Mahmoud Sabahi,,93:1,en,false,,,
02 Quran Study From Azhar 2 Sura 95 & Sura 96 By M Sabahi Two Verses Of Sura 9 Dropped Out To Demons,https://www.youtube.com/watch?v=7UVcPz5KQDY,00:02:33.460,00:02:33.960,"And then,",Dr. Mahmoud Sabahi,,,,false,,,
02 Quran Study From Azhar 2 Sura 95 & Sura 96 By M Sabahi Two Verses Of Sura 9 Dropped Out To Demons,https://www.youtube.com/watch?v=7UVcPz5KQDY,00:02:33.960,00:02:34.843,[92:1] By the night.,Dr. Mahmoud Sabahi,,92:1,en,false,,,
02 Quran Study From Azhar 2 Sura 95 & Sura 96 By M Sabahi Two Verses Of Sura 9 Dropped Out To Demons,https://www.youtube.com/watch?v=7UVcPz5KQDY,00:02:34.843,00:02:39.467,"And then, I went back and tried to check, see what other Surahs God has done this.",Dr. Mahmoud Sabahi,,,,false,,,
02 Quran Study From Azhar 2 Sura 95 & Sura 96 By M Sabahi Two Verses Of Sura 9 Dropped Out To Demons,https://www.youtube.com/watch?v=7UVcPz5KQDY,00:02:39.467,00:02:46.894,"At least the ones that I came up with, there were 12 Surahs that God starts with",Dr. Mahmoud Sabahi,,,,false,,,
