Video Title,Link,Start Time,End Time,Text,Speaker
04 Quran Study From Azhar 4 Sura 37 By Rashad Shakira Present Astroid 01 21 1990 Sura 3;118 129 By S,https://www.youtube.com/watch?v=F-SIuoPwqbs,00:00:02.379,00:00:07.002,"Shakira: My God, you guys eat too many sweets. Can't
you think about your cholesterol?",Shakira
04 Quran Study From Azhar 4 Sura 37 By Rashad Shakira Present Astroid 01 21 1990 Sura 3;118 129 By S,https://www.youtube.com/watch?v=F-SIuoPwqbs,00:00:07.002,00:00:09.638,Dr. Khalifa: Whose fault is it? Who got these?,Dr. Khalifa
04 Quran Study From Azhar 4 Sura 37 By Rashad Shakira Present Astroid 01 21 1990 Sura 3;118 129 By S,https://www.youtube.com/watch?v=F-SIuoPwqbs,00:00:10.313,00:00:11.576,Shakira: But that is one.,Shakira
04 Quran Study From Azhar 4 Sura 37 By Rashad Shakira Present Astroid 01 21 1990 Sura 3;118 129 By S,https://www.youtube.com/watch?v=F-SIuoPwqbs,00:00:13.234,00:00:14.620,Dr. Khalifa: Whose fault is this?,Dr. Khalifa
04 Quran Study From Azhar 4 Sura 37 By Rashad Shakira Present Astroid 01 21 1990 Sura 3;118 129 By S,https://www.youtube.com/watch?v=F-SIuoPwqbs,00:00:18.120,00:00:21.041,"Dr. Khalifa: You need sweets, Shakira.",Dr. Khalifa
04 Quran Study From Azhar 4 Sura 37 By Rashad Shakira Present Astroid 01 21 1990 Sura 3;118 129 By S,https://www.youtube.com/watch?v=F-SIuoPwqbs,00:00:21.306,00:00:22.891,Shakira: I am sweet (unintelligible) to sweet.,Shakira
04 Quran Study From Azhar 4 Sura 37 By Rashad Shakira Present Astroid 01 21 1990 Sura 3;118 129 By S,https://www.youtube.com/watch?v=F-SIuoPwqbs,00:00:22.891,00:00:25.566,Dr. Khalifa: But we still need sweets from you.,Dr. Khalifa
04 Quran Study From Azhar 4 Sura 37 By Rashad Shakira Present Astroid 01 21 1990 Sura 3;118 129 By S,https://www.youtube.com/watch?v=F-SIuoPwqbs,00:00:27.988,00:00:29.769,Ismail Barakat: (unintelligible),Ismail Barakat
04 Quran Study From Azhar 4 Sura 37 By Rashad Shakira Present Astroid 01 21 1990 Sura 3;118 129 By S,https://www.youtube.com/watch?v=F-SIuoPwqbs,00:00:29.769,00:00:30.961,Dr. Khalifa: You haven't seen this before?,Dr. Khalifa
04 Quran Study From Azhar 4 Sura 37 By Rashad Shakira Present Astroid 01 21 1990 Sura 3;118 129 By S,https://www.youtube.com/watch?v=F-SIuoPwqbs,00:00:30.961,00:00:31.821,A man: (unintelligible),A man
04 Quran Study From Azhar 4 Sura 37 By Rashad Shakira Present Astroid 01 21 1990 Sura 3;118 129 By S,https://www.youtube.com/watch?v=F-SIuoPwqbs,00:00:31.821,00:00:32.961,Ismail Barakat: There is something there.,Ismail Barakat
04 Quran Study From Azhar 4 Sura 37 By Rashad Shakira Present Astroid 01 21 1990 Sura 3;118 129 By S,https://www.youtube.com/watch?v=F-SIuoPwqbs,00:00:32.961,00:00:35.084,"Dr. Khalifa: Documented, documented proof.",Dr. Khalifa
04 Quran Study From Azhar 4 Sura 37 By Rashad Shakira Present Astroid 01 21 1990 Sura 3;118 129 By S,https://www.youtube.com/watch?v=F-SIuoPwqbs,00:00:35.084,00:00:35.979,A woman: (unintelligible),A woman
04 Quran Study From Azhar 4 Sura 37 By Rashad Shakira Present Astroid 01 21 1990 Sura 3;118 129 By S,https://www.youtube.com/watch?v=F-SIuoPwqbs,00:00:35.979,00:00:37.304,Dr. Khalifa: I cannot believe he's a liar.,Dr. Khalifa
04 Quran Study From Azhar 4 Sura 37 By Rashad Shakira Present Astroid 01 21 1990 Sura 3;118 129 By S,https://www.youtube.com/watch?v=F-SIuoPwqbs,00:00:39.304,00:00:42.102,Shakira: I know. Can we believe this? Where did they take the picture?,Shakira
04 Quran Study From Azhar 4 Sura 37 By Rashad Shakira Present Astroid 01 21 1990 Sura 3;118 129 By S,https://www.youtube.com/watch?v=F-SIuoPwqbs,00:00:43.085,00:00:44.471,"Ismail Barakat: Yeah, I don't know. Imagine
Dr. Khalifa: God knows.",Ismail Barakat
04 Quran Study From Azhar 4 Sura 37 By Rashad Shakira Present Astroid 01 21 1990 Sura 3;118 129 By S,https://www.youtube.com/watch?v=F-SIuoPwqbs,00:00:44.471,00:00:46.471,Shakira: They have to be in front of something.,Shakira
04 Quran Study From Azhar 4 Sura 37 By Rashad Shakira Present Astroid 01 21 1990 Sura 3;118 129 By S,https://www.youtube.com/watch?v=F-SIuoPwqbs,00:00:46.471,00:00:47.705,Ismail Barakat: The scale of the lies.,Ismail Barakat
04 Quran Study From Azhar 4 Sura 37 By Rashad Shakira Present Astroid 01 21 1990 Sura 3;118 129 By S,https://www.youtube.com/watch?v=F-SIuoPwqbs,00:00:48.073,00:00:49.240,Shakira: I can't believe it.,Shakira
04 Quran Study From Azhar 4 Sura 37 By Rashad Shakira Present Astroid 01 21 1990 Sura 3;118 129 By S,https://www.youtube.com/watch?v=F-SIuoPwqbs,00:00:49.240,00:00:51.223,"Dr. Khalifa: I know. Have you, did you read the details?",Dr. Khalifa
04 Quran Study From Azhar 4 Sura 37 By Rashad Shakira Present Astroid 01 21 1990 Sura 3;118 129 By S,https://www.youtube.com/watch?v=F-SIuoPwqbs,00:00:51.223,00:00:52.731,Shakira: Yeah. Such a baloney.,Shakira
04 Quran Study From Azhar 4 Sura 37 By Rashad Shakira Present Astroid 01 21 1990 Sura 3;118 129 By S,https://www.youtube.com/watch?v=F-SIuoPwqbs,00:00:52.731,00:00:54.731,Dr. Khalifa: I have the English translation though.,Dr. Khalifa
04 Quran Study From Azhar 4 Sura 37 By Rashad Shakira Present Astroid 01 21 1990 Sura 3;118 129 By S,https://www.youtube.com/watch?v=F-SIuoPwqbs,00:00:54.977,00:00:56.977,"A man: Oh, my...",A man
04 Quran Study From Azhar 4 Sura 37 By Rashad Shakira Present Astroid 01 21 1990 Sura 3;118 129 By S,https://www.youtube.com/watch?v=F-SIuoPwqbs,00:00:57.433,00:01:00.968,"Dr. Khalifa: They say they came to, they went to Rashad Khalifa's mosque and investigated him and...",Dr. Khalifa
