Video Title,Link,Start Time,End Time,Text,Speaker,SplitFromRow,VerseRefs,VerseLang
06 Quran Study From Azhar 6 Sura 59 By Donna PRA Invisible Giants Hypocrites 03 10 1989,https://www.youtube.com/watch?v=GnBtwwvgjPk,00:00:05.734,00:00:14.179,"Okay. So, so, in verse 5, it goes along with that idea.",Donna,,,
06 Quran Study From Azhar 6 Sura 59 By Donna PRA Invisible Giants Hypocrites 03 10 1989,https://www.youtube.com/watch?v=GnBtwwvgjPk,00:00:14.179,00:00:21.494,"Whatever you do is, as long as you submit it to God, you're doing what God wants you to do.",Donna,,,
06 Quran Study From Azhar 6 Sura 59 By Donna PRA Invisible Giants Hypocrites 03 10 1989,https://www.youtube.com/watch?v=GnBtwwvgjPk,00:00:25.093,00:00:33.284,"Okay, and, and God doesn't even allow the disbelievers to do things, do things that He doesn't will.",Donna,,,
06 Quran Study From Azhar 6 Sura 59 By Donna PRA Invisible Giants Hypocrites 03 10 1989,https://www.youtube.com/watch?v=GnBtwwvgjPk,00:00:34.150,00:00:37.383,"He's in control of the actions of the disbelievers, too.",Donna,,,
06 Quran Study From Azhar 6 Sura 59 By Donna PRA Invisible Giants Hypocrites 03 10 1989,https://www.youtube.com/watch?v=GnBtwwvgjPk,00:00:45.842,00:00:53.843,"One of the ways He does that is that He sends angels to protect, protect the believers from the disbelievers' actions.",Donna,,,
06 Quran Study From Azhar 6 Sura 59 By Donna PRA Invisible Giants Hypocrites 03 10 1989,https://www.youtube.com/watch?v=GnBtwwvgjPk,00:00:53.843,00:01:03.847,"Okay, so if He knows that something needs to be protected, He'll send angels, and it says that in verse 6.",Donna,,,
06 Quran Study From Azhar 6 Sura 59 By Donna PRA Invisible Giants Hypocrites 03 10 1989,https://www.youtube.com/watch?v=GnBtwwvgjPk,00:01:04.280,00:01:05.803,"Then, we go on to verse 7.",Donna,,,
06 Quran Study From Azhar 6 Sura 59 By Donna PRA Invisible Giants Hypocrites 03 10 1989,https://www.youtube.com/watch?v=GnBtwwvgjPk,00:01:05.803,00:01:18.319,"[59:7]  The spoils of war that GOD bestows upon His messenger from the banished inhabitants of the town shall go to GOD and the messenger (in the form of charity) to the relatives, the needy, and the alien. ...",Donna,,59:7,en
06 Quran Study From Azhar 6 Sura 59 By Donna PRA Invisible Giants Hypocrites 03 10 1989,https://www.youtube.com/watch?v=GnBtwwvgjPk,00:01:18.319,00:01:35.448,"[59:7]  ... In this way, it will not be monopolized by the rich among you. Any gains will the messenger gives you, you shall accept, and whatever he forbids you, you shall leave. Beware of GOD. GOD is the most strict in imposing punishment.",Donna,,59:7,en
06 Quran Study From Azhar 6 Sura 59 By Donna PRA Invisible Giants Hypocrites 03 10 1989,https://www.youtube.com/watch?v=GnBtwwvgjPk,00:01:36.231,00:01:49.144,"[59:8]  The spoils shall also go to the poor immigrants who were evicted from their homes and deprived of their properties in seeking GOD's grace and pleasure, and supporting GOD and His messenger. These are the truthful.",Donna,,59:8,en
06 Quran Study From Azhar 6 Sura 59 By Donna PRA Invisible Giants Hypocrites 03 10 1989,https://www.youtube.com/watch?v=GnBtwwvgjPk,00:01:50.510,00:01:52.621,Okay. I'll stop there.,Donna,,,
06 Quran Study From Azhar 6 Sura 59 By Donna PRA Invisible Giants Hypocrites 03 10 1989,https://www.youtube.com/watch?v=GnBtwwvgjPk,00:01:53.329,00:02:08.917,"What shifts the gears again. We read about the spoils of war and how we shouldn't make the, the spoils of war shouldn't be given to the rich to make them richer and more powerful, you know.",Donna,,,
06 Quran Study From Azhar 6 Sura 59 By Donna PRA Invisible Giants Hypocrites 03 10 1989,https://www.youtube.com/watch?v=GnBtwwvgjPk,00:02:08.917,00:02:15.844,"There are people that need things, and they should be given to them so that, you know, to be fair.",Donna,,,
06 Quran Study From Azhar 6 Sura 59 By Donna PRA Invisible Giants Hypocrites 03 10 1989,https://www.youtube.com/watch?v=GnBtwwvgjPk,00:02:15.844,00:02:22.152,"It's, you know, I think about, like in World War II again, how",Donna,,,
06 Quran Study From Azhar 6 Sura 59 By Donna PRA Invisible Giants Hypocrites 03 10 1989,https://www.youtube.com/watch?v=GnBtwwvgjPk,00:02:22.152,00:02:28.679,"Donna: Hitler and all the people, they were, they were taking all the riches from the places that they",Donna,,,
06 Quran Study From Azhar 6 Sura 59 By Donna PRA Invisible Giants Hypocrites 03 10 1989,https://www.youtube.com/watch?v=GnBtwwvgjPk,00:02:28.679,00:02:29.590,Dr. Khalifa: invaded.,Dr. Khalifa,,,
06 Quran Study From Azhar 6 Sura 59 By Donna PRA Invisible Giants Hypocrites 03 10 1989,https://www.youtube.com/watch?v=GnBtwwvgjPk,00:02:29.590,00:02:30.501,Donna: invaded.,Donna,,,
06 Quran Study From Azhar 6 Sura 59 By Donna PRA Invisible Giants Hypocrites 03 10 1989,https://www.youtube.com/watch?v=GnBtwwvgjPk,00:02:30.501,00:02:41.312,"And, you know, the richer just got, rich got richer and more powerful, and, you know, the poor were left on their own.",Donna,,,
06 Quran Study From Azhar 6 Sura 59 By Donna PRA Invisible Giants Hypocrites 03 10 1989,https://www.youtube.com/watch?v=GnBtwwvgjPk,00:02:42.768,00:02:49.116,"And God is most fair, and so He says ""give it to the poor and those who need it.""",Donna,,,
