Video Title,Link,Start Time,End Time,Text,Speaker
08 Quran Study From Azhar 8 Sura 65 & Sura 66 By Lori Encourage Children To Do Salat Hamid Argues 04,https://www.youtube.com/watch?v=D5EfbKdo8F8,00:00:00.040,00:00:10.294,"Lori: [65:10]  GOD has prepared for them a severe retribution. Therefore, you shall reverence GOD, O you who possess intelligence and believed. GOD has sent to you a reminder—*",Lori
08 Quran Study From Azhar 8 Sura 65 & Sura 66 By Lori Encourage Children To Do Salat Hamid Argues 04,https://www.youtube.com/watch?v=D5EfbKdo8F8,00:00:10.294,00:00:16.016,"Okay, these verses, again, the words, every
word in the Quran is specific and is there for a reason.",Lori
08 Quran Study From Azhar 8 Sura 65 & Sura 66 By Lori Encourage Children To Do Salat Hamid Argues 04,https://www.youtube.com/watch?v=D5EfbKdo8F8,00:00:16.016,00:00:20.000,It's not just there to take up space.,Lori
08 Quran Study From Azhar 8 Sura 65 & Sura 66 By Lori Encourage Children To Do Salat Hamid Argues 04,https://www.youtube.com/watch?v=D5EfbKdo8F8,00:00:20.711,00:00:30.631,Here the past tense is used because we know that the decision was made before we ever came into this dimension.,Lori
08 Quran Study From Azhar 8 Sura 65 & Sura 66 By Lori Encourage Children To Do Salat Hamid Argues 04,https://www.youtube.com/watch?v=D5EfbKdo8F8,00:00:30.631,00:00:36.798,"So, we possess, those of us who possess intelligence,
even though we blew it because we wavered, we weren't",Lori
08 Quran Study From Azhar 8 Sura 65 & Sura 66 By Lori Encourage Children To Do Salat Hamid Argues 04,https://www.youtube.com/watch?v=D5EfbKdo8F8,00:00:36.798,00:00:45.148,"absolute, we didn't take an absolute stand for God,
still we didn't do what the jinns did and just totally disbelieve.",Lori
08 Quran Study From Azhar 8 Sura 65 & Sura 66 By Lori Encourage Children To Do Salat Hamid Argues 04,https://www.youtube.com/watch?v=D5EfbKdo8F8,00:00:45.148,00:00:48.369,"So, we just showed some intelligence and we believed.",Lori
08 Quran Study From Azhar 8 Sura 65 & Sura 66 By Lori Encourage Children To Do Salat Hamid Argues 04,https://www.youtube.com/watch?v=D5EfbKdo8F8,00:00:49.317,00:00:57.407,"And God sends us reminders. He sends us the
messages. He sends us the scriptures and the messengers to",Lori
08 Quran Study From Azhar 8 Sura 65 & Sura 66 By Lori Encourage Children To Do Salat Hamid Argues 04,https://www.youtube.com/watch?v=D5EfbKdo8F8,00:00:57.407,00:01:02.658,"recite the scriptures and 
to clarify things as reminders because",Lori
08 Quran Study From Azhar 8 Sura 65 & Sura 66 By Lori Encourage Children To Do Salat Hamid Argues 04,https://www.youtube.com/watch?v=D5EfbKdo8F8,00:01:02.658,00:01:06.838,"just because we made that initial decision, doesn't guarantee",Lori
08 Quran Study From Azhar 8 Sura 65 & Sura 66 By Lori Encourage Children To Do Salat Hamid Argues 04,https://www.youtube.com/watch?v=D5EfbKdo8F8,00:01:06.838,00:01:15.605,"that we're not going to make mistakes and, and go out of God's Kingdom. So, we have to be constantly reminded",Lori
08 Quran Study From Azhar 8 Sura 65 & Sura 66 By Lori Encourage Children To Do Salat Hamid Argues 04,https://www.youtube.com/watch?v=D5EfbKdo8F8,00:01:15.605,00:01:25.661,"about God's laws, about how to exhort each other to, to be righteous. We have to remind each other to do certain things, to give charity.",Lori
08 Quran Study From Azhar 8 Sura 65 & Sura 66 By Lori Encourage Children To Do Salat Hamid Argues 04,https://www.youtube.com/watch?v=D5EfbKdo8F8,00:01:25.661,00:01:29.271,We have to remind each other and ourselves because,Lori
08 Quran Study From Azhar 8 Sura 65 & Sura 66 By Lori Encourage Children To Do Salat Hamid Argues 04,https://www.youtube.com/watch?v=D5EfbKdo8F8,00:01:29.271,00:01:36.522,it's really easy to forget in your day-to-day life when you're out in the environment where people disbelieve.,Lori
08 Quran Study From Azhar 8 Sura 65 & Sura 66 By Lori Encourage Children To Do Salat Hamid Argues 04,https://www.youtube.com/watch?v=D5EfbKdo8F8,00:01:36.522,00:01:42.503,"And it's very easy to fall into that and to
forget and we need that constant reminder.",Lori
08 Quran Study From Azhar 8 Sura 65 & Sura 66 By Lori Encourage Children To Do Salat Hamid Argues 04,https://www.youtube.com/watch?v=D5EfbKdo8F8,00:01:44.872,00:01:47.478,Lori: Are there any questions so far to this point?,Lori
08 Quran Study From Azhar 8 Sura 65 & Sura 66 By Lori Encourage Children To Do Salat Hamid Argues 04,https://www.youtube.com/watch?v=D5EfbKdo8F8,00:01:48.568,00:02:04.586,A man: (unintelligible),A man
08 Quran Study From Azhar 8 Sura 65 & Sura 66 By Lori Encourage Children To Do Salat Hamid Argues 04,https://www.youtube.com/watch?v=D5EfbKdo8F8,00:02:04.586,00:02:05.507,Dr. Khalifa: Yes.,Dr. Khalifa
08 Quran Study From Azhar 8 Sura 65 & Sura 66 By Lori Encourage Children To Do Salat Hamid Argues 04,https://www.youtube.com/watch?v=D5EfbKdo8F8,00:02:06.076,00:02:09.631,A man: (unintelligible),A man
08 Quran Study From Azhar 8 Sura 65 & Sura 66 By Lori Encourage Children To Do Salat Hamid Argues 04,https://www.youtube.com/watch?v=D5EfbKdo8F8,00:02:09.631,00:02:13.027,"Dr. Khalifa: No, it says provide, you pay, because it's your responsibility.",Dr. Khalifa
08 Quran Study From Azhar 8 Sura 65 & Sura 66 By Lori Encourage Children To Do Salat Hamid Argues 04,https://www.youtube.com/watch?v=D5EfbKdo8F8,00:02:13.027,00:02:15.690,"A man: Yeah, but it is (unintelligible)",A man
08 Quran Study From Azhar 8 Sura 65 & Sura 66 By Lori Encourage Children To Do Salat Hamid Argues 04,https://www.youtube.com/watch?v=D5EfbKdo8F8,00:02:15.690,00:02:20.332,A man: Here's then something (unintelligible),A man
08 Quran Study From Azhar 8 Sura 65 & Sura 66 By Lori Encourage Children To Do Salat Hamid Argues 04,https://www.youtube.com/watch?v=D5EfbKdo8F8,00:02:20.332,00:02:21.783,"Dr. Khalifa: A nursing mother?
A man: (unintelligible)",Dr. Khalifa
08 Quran Study From Azhar 8 Sura 65 & Sura 66 By Lori Encourage Children To Do Salat Hamid Argues 04,https://www.youtube.com/watch?v=D5EfbKdo8F8,00:02:22.753,00:02:28.825,"Dr. Khalifa: Because, because see, the divorced, a divorced wife may want to refuse to nurse the children, say",Dr. Khalifa
08 Quran Study From Azhar 8 Sura 65 & Sura 66 By Lori Encourage Children To Do Salat Hamid Argues 04,https://www.youtube.com/watch?v=D5EfbKdo8F8,00:02:28.825,00:02:31.962,"""I'm not gonna do anything anymore. You take care of the baby.""",Dr. Khalifa
08 Quran Study From Azhar 8 Sura 65 & Sura 66 By Lori Encourage Children To Do Salat Hamid Argues 04,https://www.youtube.com/watch?v=D5EfbKdo8F8,00:02:33.023,00:02:37.103,"Then, you can hire a nursing mother. So, you have to think of the circumstances of divorce.",Dr. Khalifa
08 Quran Study From Azhar 8 Sura 65 & Sura 66 By Lori Encourage Children To Do Salat Hamid Argues 04,https://www.youtube.com/watch?v=D5EfbKdo8F8,00:02:39.601,00:02:41.398,"Dr. Khalifa: They're really, they are straightforward",Dr. Khalifa
08 Quran Study From Azhar 8 Sura 65 & Sura 66 By Lori Encourage Children To Do Salat Hamid Argues 04,https://www.youtube.com/watch?v=D5EfbKdo8F8,00:02:41.398,00:02:42.971,"A man: Yeah, (unintelligible)
Dr. Khalifa: instructions.",A man
08 Quran Study From Azhar 8 Sura 65 & Sura 66 By Lori Encourage Children To Do Salat Hamid Argues 04,https://www.youtube.com/watch?v=D5EfbKdo8F8,00:02:42.971,00:02:47.701,A man: (unintelligible) when she's pregnant and she starts (unintelligible),A man
08 Quran Study From Azhar 8 Sura 65 & Sura 66 By Lori Encourage Children To Do Salat Hamid Argues 04,https://www.youtube.com/watch?v=D5EfbKdo8F8,00:02:47.701,00:02:48.529,Dr. Khalifa: Yes.,Dr. Khalifa
08 Quran Study From Azhar 8 Sura 65 & Sura 66 By Lori Encourage Children To Do Salat Hamid Argues 04,https://www.youtube.com/watch?v=D5EfbKdo8F8,00:02:48.529,00:02:51.145,"A man: For example, (unintelligible)",A man
08 Quran Study From Azhar 8 Sura 65 & Sura 66 By Lori Encourage Children To Do Salat Hamid Argues 04,https://www.youtube.com/watch?v=D5EfbKdo8F8,00:02:51.145,00:02:54.181,"Dr. Khalifa: Because you're telling her ""don't, you cannot get married."" You're telling her",Dr. Khalifa
08 Quran Study From Azhar 8 Sura 65 & Sura 66 By Lori Encourage Children To Do Salat Hamid Argues 04,https://www.youtube.com/watch?v=D5EfbKdo8F8,00:02:54.181,00:02:56.560,"""since you're carrying my baby, you cannot get married.""",Dr. Khalifa
08 Quran Study From Azhar 8 Sura 65 & Sura 66 By Lori Encourage Children To Do Salat Hamid Argues 04,https://www.youtube.com/watch?v=D5EfbKdo8F8,00:02:57.168,00:03:02.082,"Dr. Khalifa: When you say that, then you have to put your
money where your mouth is. This is how we say the expression.",Dr. Khalifa
08 Quran Study From Azhar 8 Sura 65 & Sura 66 By Lori Encourage Children To Do Salat Hamid Argues 04,https://www.youtube.com/watch?v=D5EfbKdo8F8,00:03:04.956,00:03:05.456,A woman: Right.,A woman
08 Quran Study From Azhar 8 Sura 65 & Sura 66 By Lori Encourage Children To Do Salat Hamid Argues 04,https://www.youtube.com/watch?v=D5EfbKdo8F8,00:03:05.456,00:03:07.854,"Dr. Khalifa: When you say that, you have to provide for them.",Dr. Khalifa
08 Quran Study From Azhar 8 Sura 65 & Sura 66 By Lori Encourage Children To Do Salat Hamid Argues 04,https://www.youtube.com/watch?v=D5EfbKdo8F8,00:03:09.276,00:03:14.543,A man: All the time that she (unintelligible),A man
08 Quran Study From Azhar 8 Sura 65 & Sura 66 By Lori Encourage Children To Do Salat Hamid Argues 04,https://www.youtube.com/watch?v=D5EfbKdo8F8,00:03:14.543,00:03:20.481,"Dr. Khalifa: Yeah, she may be doing a favor because she, maybe she can't stand the circumstances, or you, or the house, or,",Dr. Khalifa
08 Quran Study From Azhar 8 Sura 65 & Sura 66 By Lori Encourage Children To Do Salat Hamid Argues 04,https://www.youtube.com/watch?v=D5EfbKdo8F8,00:03:20.481,00:03:22.481,"you know, and she may go on strike.",Dr. Khalifa
08 Quran Study From Azhar 8 Sura 65 & Sura 66 By Lori Encourage Children To Do Salat Hamid Argues 04,https://www.youtube.com/watch?v=D5EfbKdo8F8,00:03:23.178,00:03:24.041,It's her right.,Dr. Khalifa
08 Quran Study From Azhar 8 Sura 65 & Sura 66 By Lori Encourage Children To Do Salat Hamid Argues 04,https://www.youtube.com/watch?v=D5EfbKdo8F8,00:03:28.167,00:03:34.301,"Thus, we're coming to, which verses did you finish, 11? Why don't you finish the whole Surah and then I have a couple of comments.",Dr. Khalifa
08 Quran Study From Azhar 8 Sura 65 & Sura 66 By Lori Encourage Children To Do Salat Hamid Argues 04,https://www.youtube.com/watch?v=D5EfbKdo8F8,00:03:34.301,00:03:36.301,"Dr. Khalifa: This is Surah 65, folks.",Dr. Khalifa
08 Quran Study From Azhar 8 Sura 65 & Sura 66 By Lori Encourage Children To Do Salat Hamid Argues 04,https://www.youtube.com/watch?v=D5EfbKdo8F8,00:03:36.301,00:03:37.969,Lori: Verse 11.,Lori
