Video Title,Link,Start Time,End Time,Text,Speaker
09 Quran Study From Azhar 9 Sura 70 By Edip Chastity Worry Edip Wanted Rashad To Change Rich Believe,https://www.youtube.com/watch?v=_ssb0acolWQ,00:00:05.230,00:00:07.112,"Dr. Khalifa: 
أعوذ بِٱللَّهِ مِنَ ٱلشَّيْطَـٰنِ ٱلرَّجِيمِ",Dr. Khalifa
09 Quran Study From Azhar 9 Sura 70 By Edip Chastity Worry Edip Wanted Rashad To Change Rich Believe,https://www.youtube.com/watch?v=_ssb0acolWQ,00:00:07.112,00:00:14.925,"We seek refuge in God from Satan, whose end
is nearing, IN SHAA ALLAH.",Dr. Khalifa
09 Quran Study From Azhar 9 Sura 70 By Edip Chastity Worry Edip Wanted Rashad To Change Rich Believe,https://www.youtube.com/watch?v=_ssb0acolWQ,00:00:17.151,00:00:18.659,Bism Allah Arrahman Arraheem,Dr. Khalifa
09 Quran Study From Azhar 9 Sura 70 By Edip Chastity Worry Edip Wanted Rashad To Change Rich Believe,https://www.youtube.com/watch?v=_ssb0acolWQ,00:00:18.659,00:00:21.124,"In the name of God, Most Gracious, Most Merciful.",Dr. Khalifa
09 Quran Study From Azhar 9 Sura 70 By Edip Chastity Worry Edip Wanted Rashad To Change Rich Believe,https://www.youtube.com/watch?v=_ssb0acolWQ,00:00:22.348,00:00:34.745,"Dr. Khalifa: Tonight, we start with Surah 70, and maybe
beyond, depending on our teacher, Edip Yuksel. Take it away.",Dr. Khalifa
09 Quran Study From Azhar 9 Sura 70 By Edip Chastity Worry Edip Wanted Rashad To Change Rich Believe,https://www.youtube.com/watch?v=_ssb0acolWQ,00:00:36.680,00:00:39.040,"Edip: Should I read the Arabic or you want me to
read the English?",Edip
09 Quran Study From Azhar 9 Sura 70 By Edip Chastity Worry Edip Wanted Rashad To Change Rich Believe,https://www.youtube.com/watch?v=_ssb0acolWQ,00:00:39.040,00:00:40.253,"Dr. Khalifa: No, no Arabic.",Dr. Khalifa
09 Quran Study From Azhar 9 Sura 70 By Edip Chastity Worry Edip Wanted Rashad To Change Rich Believe,https://www.youtube.com/watch?v=_ssb0acolWQ,00:00:42.754,00:00:44.253,Edip: [70:1] A questioner may question...,Edip
09 Quran Study From Azhar 9 Sura 70 By Edip Chastity Worry Edip Wanted Rashad To Change Rich Believe,https://www.youtube.com/watch?v=_ssb0acolWQ,00:00:44.259,00:00:49.176,"Dr. Khalifa: Surah 26 prohibits reading Quran in Arabic
for non-Arabic people.",Dr. Khalifa
09 Quran Study From Azhar 9 Sura 70 By Edip Chastity Worry Edip Wanted Rashad To Change Rich Believe,https://www.youtube.com/watch?v=_ssb0acolWQ,00:00:50.234,00:00:51.426,"Dr. Khalifa: Surah 26.
Edip: What?!",Dr. Khalifa
09 Quran Study From Azhar 9 Sura 70 By Edip Chastity Worry Edip Wanted Rashad To Change Rich Believe,https://www.youtube.com/watch?v=_ssb0acolWQ,00:00:51.426,00:00:52.483,Edip: 26?,Edip
09 Quran Study From Azhar 9 Sura 70 By Edip Chastity Worry Edip Wanted Rashad To Change Rich Believe,https://www.youtube.com/watch?v=_ssb0acolWQ,00:00:52.483,00:00:54.233,Dr. Khalifa: Yep. You didn't know that?,Dr. Khalifa
09 Quran Study From Azhar 9 Sura 70 By Edip Chastity Worry Edip Wanted Rashad To Change Rich Believe,https://www.youtube.com/watch?v=_ssb0acolWQ,00:00:55.569,00:00:58.014,Edip: Oh. (unintelligible) Yes.,Edip
09 Quran Study From Azhar 9 Sura 70 By Edip Chastity Worry Edip Wanted Rashad To Change Rich Believe,https://www.youtube.com/watch?v=_ssb0acolWQ,00:00:58.335,00:01:00.238,"Dr. Khalifa: Alhamdu Lillah. He knows everything, this is why.",Dr. Khalifa
09 Quran Study From Azhar 9 Sura 70 By Edip Chastity Worry Edip Wanted Rashad To Change Rich Believe,https://www.youtube.com/watch?v=_ssb0acolWQ,00:01:04.078,00:01:06.507,"Yeah. Surah 26, remember this.",Dr. Khalifa
09 Quran Study From Azhar 9 Sura 70 By Edip Chastity Worry Edip Wanted Rashad To Change Rich Believe,https://www.youtube.com/watch?v=_ssb0acolWQ,00:01:06.507,00:01:13.732,"It says do not... prohibits the reading of Quran
in the language other than what the people understand.",Dr. Khalifa
09 Quran Study From Azhar 9 Sura 70 By Edip Chastity Worry Edip Wanted Rashad To Change Rich Believe,https://www.youtube.com/watch?v=_ssb0acolWQ,00:01:14.494,00:01:17.363,"Because it said that, in fact it says,",Dr. Khalifa
09 Quran Study From Azhar 9 Sura 70 By Edip Chastity Worry Edip Wanted Rashad To Change Rich Believe,https://www.youtube.com/watch?v=_ssb0acolWQ,00:01:20.000,00:01:21.363,"no, it doesn't say that.",Dr. Khalifa
09 Quran Study From Azhar 9 Sura 70 By Edip Chastity Worry Edip Wanted Rashad To Change Rich Believe,https://www.youtube.com/watch?v=_ssb0acolWQ,00:01:21.425,00:01:23.632,I was gonna say it sounds Chinese to them.,Dr. Khalifa
09 Quran Study From Azhar 9 Sura 70 By Edip Chastity Worry Edip Wanted Rashad To Change Rich Believe,https://www.youtube.com/watch?v=_ssb0acolWQ,00:01:24.418,00:01:25.848,It sounds like a different...,Dr. Khalifa
09 Quran Study From Azhar 9 Sura 70 By Edip Chastity Worry Edip Wanted Rashad To Change Rich Believe,https://www.youtube.com/watch?v=_ssb0acolWQ,00:01:26.516,00:01:32.192,"God says, they, they will not, they will not be blamed if they don't believe if you read it to them in a different language.",Dr. Khalifa
09 Quran Study From Azhar 9 Sura 70 By Edip Chastity Worry Edip Wanted Rashad To Change Rich Believe,https://www.youtube.com/watch?v=_ssb0acolWQ,00:01:32.192,00:01:33.832,"Dr. Khalifa: Ok, back to Edip.",Dr. Khalifa
09 Quran Study From Azhar 9 Sura 70 By Edip Chastity Worry Edip Wanted Rashad To Change Rich Believe,https://www.youtube.com/watch?v=_ssb0acolWQ,00:01:34.444,00:01:38.816,Edip: [70:1] A questioner may question the inevitable retribution.,Edip
09 Quran Study From Azhar 9 Sura 70 By Edip Chastity Worry Edip Wanted Rashad To Change Rich Believe,https://www.youtube.com/watch?v=_ssb0acolWQ,00:01:40.000,00:01:43.336,"[70:2] For the disbelievers, none can stop it.",Edip
09 Quran Study From Azhar 9 Sura 70 By Edip Chastity Worry Edip Wanted Rashad To Change Rich Believe,https://www.youtube.com/watch?v=_ssb0acolWQ,00:01:44.492,00:01:47.659,[70:3] From GOD; Possessor of the highest Height.,Edip
09 Quran Study From Azhar 9 Sura 70 By Edip Chastity Worry Edip Wanted Rashad To Change Rich Believe,https://www.youtube.com/watch?v=_ssb0acolWQ,00:01:47.993,00:01:48.713,Dr. Khalifa: Height.,Dr. Khalifa
09 Quran Study From Azhar 9 Sura 70 By Edip Chastity Worry Edip Wanted Rashad To Change Rich Believe,https://www.youtube.com/watch?v=_ssb0acolWQ,00:01:48.713,00:01:50.000,Edip: Height.,Edip
09 Quran Study From Azhar 9 Sura 70 By Edip Chastity Worry Edip Wanted Rashad To Change Rich Believe,https://www.youtube.com/watch?v=_ssb0acolWQ,00:01:50.000,00:01:56.664,"[70:4] The angels, with their reports, climb to Him in a day that equals fifty thousand years.",Edip
09 Quran Study From Azhar 9 Sura 70 By Edip Chastity Worry Edip Wanted Rashad To Change Rich Believe,https://www.youtube.com/watch?v=_ssb0acolWQ,00:02:06.267,00:02:18.391,"This question has always has been questioned to every messengers and about the Last Day, about the end of the world.",Edip
09 Quran Study From Azhar 9 Sura 70 By Edip Chastity Worry Edip Wanted Rashad To Change Rich Believe,https://www.youtube.com/watch?v=_ssb0acolWQ,00:02:18.836,00:02:30.000,"And always people has been ridiculed this day, but in the future,",Edip
09 Quran Study From Azhar 9 Sura 70 By Edip Chastity Worry Edip Wanted Rashad To Change Rich Believe,https://www.youtube.com/watch?v=_ssb0acolWQ,00:02:30.000,00:02:39.001,"when we be close to the end of the world, for example, about 200 or 250 years later,",Edip
09 Quran Study From Azhar 9 Sura 70 By Edip Chastity Worry Edip Wanted Rashad To Change Rich Believe,https://www.youtube.com/watch?v=_ssb0acolWQ,00:02:39.001,00:02:46.043,"this question will be very
widespread and everybody will ask this question.",Edip
