Video Title,Link,Start Time,End Time,Text,Speaker
11 Quran Study From Behrouz 111 Sura 23;60 88 & Sura 16 01 18 199001 23 1990 Morning Before 01 31 19,https://www.youtube.com/watch?v=6O6brIx2BtE,00:00:00.930,00:00:02.022,A man: Wow!,A man
11 Quran Study From Behrouz 111 Sura 23;60 88 & Sura 16 01 18 199001 23 1990 Morning Before 01 31 19,https://www.youtube.com/watch?v=6O6brIx2BtE,00:00:02.022,00:00:03.560,Dr. Khalifa: Yeah. (unintelligible). Right.,Dr. Khalifa
11 Quran Study From Behrouz 111 Sura 23;60 88 & Sura 16 01 18 199001 23 1990 Morning Before 01 31 19,https://www.youtube.com/watch?v=6O6brIx2BtE,00:00:03.560,00:00:05.932,"A man: Look at this whole place!
Dr. Khalifa: (unintelligible) millions.",A man
11 Quran Study From Behrouz 111 Sura 23;60 88 & Sura 16 01 18 199001 23 1990 Morning Before 01 31 19,https://www.youtube.com/watch?v=6O6brIx2BtE,00:00:05.932,00:00:08.271,A man: What (unintelligible) is wrong? (unintelligible),A man
11 Quran Study From Behrouz 111 Sura 23;60 88 & Sura 16 01 18 199001 23 1990 Morning Before 01 31 19,https://www.youtube.com/watch?v=6O6brIx2BtE,00:00:10.000,00:00:10.663,A man: (unintelligible),A man
11 Quran Study From Behrouz 111 Sura 23;60 88 & Sura 16 01 18 199001 23 1990 Morning Before 01 31 19,https://www.youtube.com/watch?v=6O6brIx2BtE,00:00:10.663,00:00:11.958,Dr. Khalifa: It's too late for Russia.,Dr. Khalifa
11 Quran Study From Behrouz 111 Sura 23;60 88 & Sura 16 01 18 199001 23 1990 Morning Before 01 31 19,https://www.youtube.com/watch?v=6O6brIx2BtE,00:00:11.958,00:00:13.712,A man: (Unintelligible).,A man
11 Quran Study From Behrouz 111 Sura 23;60 88 & Sura 16 01 18 199001 23 1990 Morning Before 01 31 19,https://www.youtube.com/watch?v=6O6brIx2BtE,00:00:13.712,00:00:14.299,Dr. Khalifa: Oh yeah.,Dr. Khalifa
11 Quran Study From Behrouz 111 Sura 23;60 88 & Sura 16 01 18 199001 23 1990 Morning Before 01 31 19,https://www.youtube.com/watch?v=6O6brIx2BtE,00:00:14.299,00:00:15.922,Dr. Khalifa: This is why they have the picture like that.,Dr. Khalifa
11 Quran Study From Behrouz 111 Sura 23;60 88 & Sura 16 01 18 199001 23 1990 Morning Before 01 31 19,https://www.youtube.com/watch?v=6O6brIx2BtE,00:00:15.922,00:00:16.744,A man: Yeah.,A man
11 Quran Study From Behrouz 111 Sura 23;60 88 & Sura 16 01 18 199001 23 1990 Morning Before 01 31 19,https://www.youtube.com/watch?v=6O6brIx2BtE,00:00:17.038,00:00:19.502,Dr. Khalifa: Look at that! Yes. Millions of people!,Dr. Khalifa
11 Quran Study From Behrouz 111 Sura 23;60 88 & Sura 16 01 18 199001 23 1990 Morning Before 01 31 19,https://www.youtube.com/watch?v=6O6brIx2BtE,00:00:20.579,00:00:23.340,A man: (unintelligible) Butterflies. (unintelligible).,A man
11 Quran Study From Behrouz 111 Sura 23;60 88 & Sura 16 01 18 199001 23 1990 Morning Before 01 31 19,https://www.youtube.com/watch?v=6O6brIx2BtE,00:00:25.249,00:00:26.130,Dr. Khalifa: Yes.,Dr. Khalifa
11 Quran Study From Behrouz 111 Sura 23;60 88 & Sura 16 01 18 199001 23 1990 Morning Before 01 31 19,https://www.youtube.com/watch?v=6O6brIx2BtE,00:00:26.766,00:00:30.507,"Dr. Khalifa: This is... I mean, Gorbachev, Gorbachev cannot fill all these.",Dr. Khalifa
11 Quran Study From Behrouz 111 Sura 23;60 88 & Sura 16 01 18 199001 23 1990 Morning Before 01 31 19,https://www.youtube.com/watch?v=6O6brIx2BtE,00:00:30.507,00:00:32.507,A man: (unintelligible),A man
11 Quran Study From Behrouz 111 Sura 23;60 88 & Sura 16 01 18 199001 23 1990 Morning Before 01 31 19,https://www.youtube.com/watch?v=6O6brIx2BtE,00:00:32.507,00:00:33.730,Dr. Khalifa: (unintelligible),Dr. Khalifa
11 Quran Study From Behrouz 111 Sura 23;60 88 & Sura 16 01 18 199001 23 1990 Morning Before 01 31 19,https://www.youtube.com/watch?v=6O6brIx2BtE,00:00:33.730,00:00:34.778,Dr. Khalifa: 21st century.,Dr. Khalifa
11 Quran Study From Behrouz 111 Sura 23;60 88 & Sura 16 01 18 199001 23 1990 Morning Before 01 31 19,https://www.youtube.com/watch?v=6O6brIx2BtE,00:00:34.778,00:00:36.052,A woman: (unintelligible),A woman
11 Quran Study From Behrouz 111 Sura 23;60 88 & Sura 16 01 18 199001 23 1990 Morning Before 01 31 19,https://www.youtube.com/watch?v=6O6brIx2BtE,00:00:36.492,00:00:38.396,Dr. Khalifa: People in Russia are revolting.,Dr. Khalifa
11 Quran Study From Behrouz 111 Sura 23;60 88 & Sura 16 01 18 199001 23 1990 Morning Before 01 31 19,https://www.youtube.com/watch?v=6O6brIx2BtE,00:00:39.375,00:00:41.585,"Dr. Khalifa: (unintelligible) It's the most (unintelligible)
A man: (unintelligible)",Dr. Khalifa
11 Quran Study From Behrouz 111 Sura 23;60 88 & Sura 16 01 18 199001 23 1990 Morning Before 01 31 19,https://www.youtube.com/watch?v=6O6brIx2BtE,00:00:41.928,00:00:44.466,A woman: (unintelligible),A woman
11 Quran Study From Behrouz 111 Sura 23;60 88 & Sura 16 01 18 199001 23 1990 Morning Before 01 31 19,https://www.youtube.com/watch?v=6O6brIx2BtE,00:00:44.717,00:00:48.766,"Dr. Khalifa: Yeah, and you know, when they have a great number
of people like this, they always encourage each other.",Dr. Khalifa
11 Quran Study From Behrouz 111 Sura 23;60 88 & Sura 16 01 18 199001 23 1990 Morning Before 01 31 19,https://www.youtube.com/watch?v=6O6brIx2BtE,00:00:48.766,00:00:50.000,A man: Oh yes. (unintelligible),A man
11 Quran Study From Behrouz 111 Sura 23;60 88 & Sura 16 01 18 199001 23 1990 Morning Before 01 31 19,https://www.youtube.com/watch?v=6O6brIx2BtE,00:00:50.000,00:00:51.200,Dr. Khalifa: They'll become (unintelligible),Dr. Khalifa
11 Quran Study From Behrouz 111 Sura 23;60 88 & Sura 16 01 18 199001 23 1990 Morning Before 01 31 19,https://www.youtube.com/watch?v=6O6brIx2BtE,00:00:51.200,00:00:52.674,A man: Yeah. No fear.,A man
11 Quran Study From Behrouz 111 Sura 23;60 88 & Sura 16 01 18 199001 23 1990 Morning Before 01 31 19,https://www.youtube.com/watch?v=6O6brIx2BtE,00:00:53.114,00:00:53.695,Dr. Khalifa: Yes.,Dr. Khalifa
11 Quran Study From Behrouz 111 Sura 23;60 88 & Sura 16 01 18 199001 23 1990 Morning Before 01 31 19,https://www.youtube.com/watch?v=6O6brIx2BtE,00:00:55.800,00:00:56.723,A woman: (unintelligible),A woman
11 Quran Study From Behrouz 111 Sura 23;60 88 & Sura 16 01 18 199001 23 1990 Morning Before 01 31 19,https://www.youtube.com/watch?v=6O6brIx2BtE,00:00:57.323,00:01:01.514,"Dr. Khalifa: In fact, they were in Moscow, then they're gonna occupy Moscow.",Dr. Khalifa
11 Quran Study From Behrouz 111 Sura 23;60 88 & Sura 16 01 18 199001 23 1990 Morning Before 01 31 19,https://www.youtube.com/watch?v=6O6brIx2BtE,00:01:01.514,00:01:02.859,A man: Where do we start?,A man
11 Quran Study From Behrouz 111 Sura 23;60 88 & Sura 16 01 18 199001 23 1990 Morning Before 01 31 19,https://www.youtube.com/watch?v=6O6brIx2BtE,00:01:02.859,00:01:03.978,Dr. Khalifa: 346.,Dr. Khalifa
11 Quran Study From Behrouz 111 Sura 23;60 88 & Sura 16 01 18 199001 23 1990 Morning Before 01 31 19,https://www.youtube.com/watch?v=6O6brIx2BtE,00:01:06.425,00:01:08.425,Dr. Khalifa: It is (unintelligible),Dr. Khalifa
11 Quran Study From Behrouz 111 Sura 23;60 88 & Sura 16 01 18 199001 23 1990 Morning Before 01 31 19,https://www.youtube.com/watch?v=6O6brIx2BtE,00:01:11.459,00:01:13.704,Dr. Khalifa: (unintelligible),Dr. Khalifa
11 Quran Study From Behrouz 111 Sura 23;60 88 & Sura 16 01 18 199001 23 1990 Morning Before 01 31 19,https://www.youtube.com/watch?v=6O6brIx2BtE,00:01:18.618,00:01:20.528,أعوذ بِٱللَّهِ مِنَ ٱلشَّيْطَـٰنِ ٱلرَّجِيمِ,Dr. Khalifa
11 Quran Study From Behrouz 111 Sura 23;60 88 & Sura 16 01 18 199001 23 1990 Morning Before 01 31 19,https://www.youtube.com/watch?v=6O6brIx2BtE,00:01:20.528,00:01:22.234,Bism Allah Arrahman Arraheem,Dr. Khalifa
11 Quran Study From Behrouz 111 Sura 23;60 88 & Sura 16 01 18 199001 23 1990 Morning Before 01 31 19,https://www.youtube.com/watch?v=6O6brIx2BtE,00:01:23.416,00:01:25.190,Descriptions of The Believers,Dr. Khalifa
11 Quran Study From Behrouz 111 Sura 23;60 88 & Sura 16 01 18 199001 23 1990 Morning Before 01 31 19,https://www.youtube.com/watch?v=6O6brIx2BtE,00:01:25.630,00:01:31.251,"[23:60] And they give their charities, while their minds know full well. For they will be summoned before their Lord,",Dr. Khalifa
11 Quran Study From Behrouz 111 Sura 23;60 88 & Sura 16 01 18 199001 23 1990 Morning Before 01 31 19,https://www.youtube.com/watch?v=6O6brIx2BtE,00:01:31.789,00:01:36.553,[23:61] These are the ones who hasten to work righteousness; they're always far ahead.,Dr. Khalifa
11 Quran Study From Behrouz 111 Sura 23;60 88 & Sura 16 01 18 199001 23 1990 Morning Before 01 31 19,https://www.youtube.com/watch?v=6O6brIx2BtE,00:01:36.847,00:01:38.336,The Disbelievers Unappreciative,Dr. Khalifa
11 Quran Study From Behrouz 111 Sura 23;60 88 & Sura 16 01 18 199001 23 1990 Morning Before 01 31 19,https://www.youtube.com/watch?v=6O6brIx2BtE,00:01:39.168,00:01:46.102,"[23:62] We never burden any soul beyond its means, and we keep a record that presents the truth. No one will suffer injustice.",Dr. Khalifa
11 Quran Study From Behrouz 111 Sura 23;60 88 & Sura 16 01 18 199001 23 1990 Morning Before 01 31 19,https://www.youtube.com/watch?v=6O6brIx2BtE,00:01:46.837,00:01:54.237,"[23:63] Because their minds are oblivious to this, they commit works that do not conform with this; such are their works.",Dr. Khalifa
11 Quran Study From Behrouz 111 Sura 23;60 88 & Sura 16 01 18 199001 23 1990 Morning Before 01 31 19,https://www.youtube.com/watch?v=6O6brIx2BtE,00:01:54.971,00:01:59.082,"[23:64] Then, when we afflict their leaders with retribution, they complain.",Dr. Khalifa
11 Quran Study From Behrouz 111 Sura 23;60 88 & Sura 16 01 18 199001 23 1990 Morning Before 01 31 19,https://www.youtube.com/watch?v=6O6brIx2BtE,00:02:01.187,00:02:04.647,"[23:65] Do not complain; today, you cannot receive any help.",Dr. Khalifa
11 Quran Study From Behrouz 111 Sura 23;60 88 & Sura 16 01 18 199001 23 1990 Morning Before 01 31 19,https://www.youtube.com/watch?v=6O6brIx2BtE,00:02:05.283,00:02:10.000,"[23:66] My revelations were recited to you, but you turned back on your heels.",Dr. Khalifa
