Video Title,Link,Start Time,End Time,Text,Speaker
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:00:00.361,00:00:00.861,A man: Yes.,A man
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:00:00.861,00:00:01.657,Dr. Khalifa: Hmm?,Dr. Khalifa
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:00:01.657,00:00:02.337,Dr. Khalifa: (unintelligible),Dr. Khalifa
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:00:04.409,00:00:08.997,"Behrouz: Alhamdu Lillah, Wa Ash-hadu Alla Elaha Ella Allah Wahdahu La Shareeka Lah.",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:00:11.585,00:00:17.773,"Behrouz: The reason for this Khutba is because we had
a visitor from San Francisco. And",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:00:17.773,00:00:24.902,"she came by to check us out and unfortunately she got
shocked because the way we were treating the God's messenger.",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:00:26.875,00:00:33.514,"According from Quran, the verse is 6:8 says",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:00:33.514,00:00:47.673,"[6:8]  They also said, ""If only an angel could come down with him!"" Had we sent an angel, the whole matter would have been terminated, and they would not have been respited.",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:00:47.673,00:00:48.884,6,Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:00:48.884,00:00:52.011,"Chapter 6, verse 9 says,",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:00:52.011,00:01:00.271,"[6:9]  Had we sent an angel, we would have sent him in the form of a man, and we would have kept them confused.",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:01:00.933,00:01:04.731,"43:53 and 6:50 say the same thing,",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:01:04.731,00:01:24.333,"[6:50]  Say, ""I do not say to you that I possess the treasures of GOD. Nor do I know the future. Nor do I say to you that I am an angel. I simply follow what is revealed to me."" Say, ""Is the blind the same as the seer? Do you not think?""",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:01:24.333,00:01:25.967,"6:158 says,",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:01:25.967,00:01:45.843,"[6:158]  Are they waiting for the angels to come to them, or your Lord, or some manifestations of your Lord? The day this happens, no soul will benefit from believing if it did not believe before that. So, ""Keep on waiting; we too will wait.""",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:01:49.560,00:02:08.781,"[2:210]  Are they waiting until GOD comes down to them in dense clouds, with the angels? The whole matter will then be terminated, and to GOD everything will be returned.*",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:02:09.307,00:02:10.763,[16:33]  They are waiting for the angels ...,Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:02:10.763,00:02:26.337,"[16:33]  They are waiting for the angels to come to them, or until your Lord's judgment comes to pass. Those before them did the same thing. GOD is not the One who wronged them; they are the ones who wronged themselves.",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:02:27.481,00:02:28.906,11:12,Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:02:28.906,00:02:47.482,"[11:12]  You may tend to disregard some of that which is revealed to you, and you may be annoyed by it. When they may say, ""How come no treasure comes down to him, or an angel?"" You are only a warner; GOD controls all things.",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:02:51.250,00:02:52.847,"15:7 says,",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:02:52.847,00:02:57.495,"[15:7]  ""Why do you not bring down the angels, if you are truthful?""",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:02:57.495,00:02:58.661,"15:8 says,",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:02:58.661,00:03:05.462,"[15:8]  We do not send down the angels except for specific purpose. Otherwise, no one will be respited.",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:03:05.763,00:03:07.533,"17:92 says,",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:03:07.870,00:03:17.555,"[17:92]  ""Or unless we cause masses from the sky to fall on us, as you claimed. Or unless you bring GOD and the angels before our eyes.",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:03:17.555,00:03:19.153,"17:95 says,",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:03:19.300,00:03:26.884,"[17:95]  ""If the earth were inhabited by angels, we could have sent down to them from the sky an angel messenger.""",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:03:27.727,00:03:38.895,"[25:22]  The day they see the angels, it will not be good news for the guilty; they will say, ""We are irreversibly confused.""",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:03:38.895,00:03:45.614,"[43:60]  If we willed, we could have made you angels colonizing the earth.",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:03:48.225,00:03:53.675,"Behrouz: I wish to God that among us there would be
anyone that would not believe in God's messenger",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:03:53.675,00:04:04.320,"because God's messenger, Alhamdu Lillah, is live and well among us and we just have to obey.",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:04:05.199,00:04:11.406,"And constantly, Quran repeated, you have
to believe in God and obey His messenger.",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:04:11.406,00:04:14.352,"Right after ""God"" comes the word of ""messenger.""",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:04:14.352,00:04:16.053,You have to follow the messenger.,Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:04:17.236,00:04:18.135,Excuse me.,Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:04:18.135,00:04:19.204,Obey the messenger.,Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:04:24.401,00:04:31.289,"Now, a couple of weeks ago, our brother Muhtesem
talked about the responsibility, but today,",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:04:31.289,00:04:38.962,"God willing, I'm gonna specify our responsibilities,
which is God's will that's the time we are in this world now.",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:04:39.750,00:04:44.421,"And believe me, anything happens in this Masjid,
I have seen it with my own eyes.",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:04:45.000,00:04:51.816,"Just last week, in computer room, Dr.
Khalifa was writing the new perspective,",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:04:51.816,00:04:54.957,"and there was a word, it would not go to the computer.",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:04:55.258,00:04:56.918,That was not God's will.,Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:04:57.302,00:05:00.556,"It took some time, either it was shorter or a long.",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:05:00.556,00:05:04.839,That it took some times till it eventually (unintelligible). That was God's will. Alhamdu Lillah.,Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:05:04.839,00:05:12.696,"So, anything happening over here, Alhamdu Lillah, it's just like God is looking at us, all of us, right in here, and it's a very, very",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:05:12.696,00:05:14.335,crucial moment.,Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:05:16.432,00:05:22.325,"Now, so, we have to obey this responsibility.",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:05:22.325,00:05:27.354,"Now, God is telling us how to fulfill this
responsibility about our messenger.",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:05:29.325,00:05:31.650,We shall not argue with the messenger.,Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:05:32.202,00:05:35.873,"There is no way whatsoever we can argue with
the messenger.",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:05:35.873,00:05:39.508,"That's arguing with the word of God, with
God's messenger.",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:05:40.382,00:05:49.547,"And when a verse says that after, if you die
before age of 40, you go to Heaven, that's it.",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:05:49.547,00:05:51.719,We cannot ask him why.,Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:05:51.719,00:05:57.446,"If you have any problem, you can ask God,
because his job is to just deliver the message.",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:05:58.966,00:06:00.304,"6:33 says,",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:06:00.304,00:06:12.115,[6:33]  We know that you may sadden by what they say. You should know that it is not you that they reject; it is GOD's revelations that the wicked disregard.,Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:06:14.001,00:06:22.598,"Unfortunately, last week, that is fortunate
actually, Dr. Shakira came from San Francisco,",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:06:22.598,00:06:28.510,"and she was, she is a beautiful, Mã Shã Allãh,
a very, very strong believer.",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:06:28.510,00:06:35.644,"If she was not, she would have left the message, Masjid
because she actually said it herself that",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:06:35.644,00:06:38.850,"""I'm confused"", the way we are treating the
messenger.",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:06:41.499,00:06:44.899,We cannot have any opinion or any suggestions.,Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:06:45.862,00:06:47.640,It's just the word of God.,Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:06:48.301,00:06:55.461,"And if you all remember the story of Moses
and his teacher, he kept interrupting him,",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:06:55.461,00:07:00.000,"Why did you kill that? Why did you take the, made a
hole in the ship?",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:07:00.000,00:07:02.587,"We, we are not supposed to ask these questions.",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:07:02.587,00:07:06.061,"When the right time comes, we will find out
ourselves, IN SHAA ALLAH.",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:07:08.890,00:07:09.987,"49:1 says,",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:07:09.987,00:07:19.511,"[49:1]  O you who believe, do not place your opinion above that of GOD and His messenger. You shall reverence GOD. GOD is Hearer, Omniscient.",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:07:20.885,00:07:23.523,The reason is because we might help the messenger.,Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:07:23.523,00:07:25.162,9:61 says,Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:07:25.162,00:07:36.852,"[9:61]  ... He is a mercy for those among you who believe."" Those who hurt GOD's messenger have incurred a painful retribution.",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:07:38.658,00:07:40.017,"33:57 says,",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:07:40.017,00:07:48.578,"[33:57]  Surely, those who oppose GOD and His messenger, GOD condemns them in this life, and in the Hereafter; ...",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:07:49.601,00:08:03.639,"[33:69]  O you who believe, do not be like those who hurt Moses, then GOD absolved him of what they said. He was, in the sight of GOD, honorable.",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:08:04.421,00:08:05.648,"61:5 says,",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:08:05.648,00:08:24.621,"[61:5]  Recall that Moses said to his people, ""O my people, why do you hurt me, even though you know that I am GOD's messenger?"" When they deviated, GOD diverted their hearts. For GOD does not guide the wicked people.",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:08:25.163,00:08:42.972,"[49:2]  O you who believe, do not raise your voices above the voice of the prophet,* nor shall you shout at him as you shout at each other, lest your works become nullified while you do not perceive.",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:08:45.861,00:08:48.764,"[49:3]  Surely, those who lower ...",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:08:48.764,00:08:50.222,"This is 49:3,",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:08:50.222,00:09:04.320,[49:3]  ... who lower their voices at the messenger of GOD are the ones whose hearts are prepared by GOD to become righteous.* They deserve forgiveness and a great recompense.,Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:09:06.908,00:09:16.287,"[49:4]  As for those who call on you from outside the walls, most of them do not understand.",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:09:16.651,00:09:23.939,"We cannot call ""Dr. Khalifa, come over here. We wanna go, let's do the prayer.""",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:09:23.939,00:09:25.219,We cannot do that.,Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:09:25.821,00:09:33.544,"This is, it doesn't bother him personally,
but this is, it's gonna nullify our, our work, whatever we have done.",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:09:36.132,00:09:38.132,"God says on 49:5,",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:09:38.132,00:09:45.248,"[49:5]  Had they been patient until you came out to them, it would have been better for them. GOD is Forgiver, Most Merciful.",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:09:48.348,00:09:54.969,"As for any communities, this community, we
have to have discipline,",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:09:54.969,00:09:58.926,"disciplines according to the God's law that
we have to follow.",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:10:00.551,00:10:07.988,"Now, I'm just gonna give you an example,
that is outside example.",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:10:07.988,00:10:19.565,"It's probably the human and devil kingdom,
but you cannot and you will not call President Bush by his first name.",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:10:19.856,00:10:22.358,"Have you seen anyone call him by his first
name?",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:10:22.720,00:10:26.962,"If he was here right now with us, we would
wear all suit and tie,",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:10:26.962,00:10:31.054,"he had millions of bodyguards, and you would come and sit just
like that.",Behrouz
12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,https://www.youtube.com/watch?v=jYTRnyx-9L0,00:10:31.361,00:10:41.846,"Now, but messenger is a position that God
has given, and this is the highest point, position in this world.",Behrouz
