Video Title,Link,Start Time,End Time,Text,Speaker,SplitFromRow
14 Quran Study From Behrouz 414 Night Of Destiny Zikr By Rashad,https://www.youtube.com/watch?v=_m-_aeqgaXA,00:00:04.241,00:00:10.226,"The equivalence of going from a baby to a young person, a teenager.",Dr. Khalifa,
14 Quran Study From Behrouz 414 Night Of Destiny Zikr By Rashad,https://www.youtube.com/watch?v=_m-_aeqgaXA,00:00:10.226,00:00:15.316,"We are now... If, if we started out as babies, we are now teenagers.",Dr. Khalifa,
14 Quran Study From Behrouz 414 Night Of Destiny Zikr By Rashad,https://www.youtube.com/watch?v=_m-_aeqgaXA,00:00:16.305,00:00:18.722,That's how powerful the Zikr (ذکر) is.,Dr. Khalifa,
14 Quran Study From Behrouz 414 Night Of Destiny Zikr By Rashad,https://www.youtube.com/watch?v=_m-_aeqgaXA,00:00:20.590,00:00:26.527,"It's, it's God's absolutely most beloved form of worship, according to the Quran.",Dr. Khalifa,
14 Quran Study From Behrouz 414 Night Of Destiny Zikr By Rashad,https://www.youtube.com/watch?v=_m-_aeqgaXA,00:00:27.022,00:00:34.838,"Dr. Khalifa: And it is the most, it is the steak and lobster dinner for the soul.",Dr. Khalifa,
14 Quran Study From Behrouz 414 Night Of Destiny Zikr By Rashad,https://www.youtube.com/watch?v=_m-_aeqgaXA,00:00:34.838,00:00:35.959,A woman: Subhan Allah.,A woman,
14 Quran Study From Behrouz 414 Night Of Destiny Zikr By Rashad,https://www.youtube.com/watch?v=_m-_aeqgaXA,00:00:40.000,00:00:46.112,"And if we are to visualize the importance of Zikr (ذکر), you can imagine the Day of Resurrection",Dr. Khalifa,
14 Quran Study From Behrouz 414 Night Of Destiny Zikr By Rashad,https://www.youtube.com/watch?v=_m-_aeqgaXA,00:00:46.112,00:00:48.848,and people being resurrected as babies.,Dr. Khalifa,
14 Quran Study From Behrouz 414 Night Of Destiny Zikr By Rashad,https://www.youtube.com/watch?v=_m-_aeqgaXA,00:00:51.051,00:00:59.643,"Imagine, imagine a person staying a baby all their lives not, because of not feeding the soul.",Dr. Khalifa,
14 Quran Study From Behrouz 414 Night Of Destiny Zikr By Rashad,https://www.youtube.com/watch?v=_m-_aeqgaXA,00:01:00.412,00:01:01.938,That is very important.,Dr. Khalifa,
14 Quran Study From Behrouz 414 Night Of Destiny Zikr By Rashad,https://www.youtube.com/watch?v=_m-_aeqgaXA,00:01:07.214,00:01:12.825,"I was gonna say, too bad that, that we don't see the, what happens to the soul because it's obscured",Dr. Khalifa,
14 Quran Study From Behrouz 414 Night Of Destiny Zikr By Rashad,https://www.youtube.com/watch?v=_m-_aeqgaXA,00:01:12.825,00:01:15.458,"by the body, but you can imagine it.",Dr. Khalifa,
14 Quran Study From Behrouz 414 Night Of Destiny Zikr By Rashad,https://www.youtube.com/watch?v=_m-_aeqgaXA,00:01:15.843,00:01:17.987,Not too bad because this is God's design.,Dr. Khalifa,
14 Quran Study From Behrouz 414 Night Of Destiny Zikr By Rashad,https://www.youtube.com/watch?v=_m-_aeqgaXA,00:01:19.414,00:01:24.347,The test requires that things be obscured and hidden.,Dr. Khalifa,
14 Quran Study From Behrouz 414 Night Of Destiny Zikr By Rashad,https://www.youtube.com/watch?v=_m-_aeqgaXA,00:01:25.063,00:01:31.149,"So, you rely completely on your logic and your belief, your faith.",Dr. Khalifa,
14 Quran Study From Behrouz 414 Night Of Destiny Zikr By Rashad,https://www.youtube.com/watch?v=_m-_aeqgaXA,00:01:33.200,00:01:45.141,"So, each one of us deserves congratulations for coming to this fantastic meal, feeding the soul, commemorating our God.",Dr. Khalifa,
14 Quran Study From Behrouz 414 Night Of Destiny Zikr By Rashad,https://www.youtube.com/watch?v=_m-_aeqgaXA,00:01:46.603,00:01:49.439,A'uzu Billahi Mina Shaytani Rajim أعوذ بِٱللَّهِ مِنَ ٱلشَّيْطَـٰنِ ٱلرَّجِيمِ (We seek refuge in God from Satan the rejected),Dr. Khalifa,
14 Quran Study From Behrouz 414 Night Of Destiny Zikr By Rashad,https://www.youtube.com/watch?v=_m-_aeqgaXA,00:01:49.439,00:01:52.098,"Bism Allah Arrahman Arraheem بِسْمِ اللهِ الرَّحْمٰنِ الرَّحِيْمِ (In the name of God, Most Gracious, Most Merciful)",Dr. Khalifa,
14 Quran Study From Behrouz 414 Night Of Destiny Zikr By Rashad,https://www.youtube.com/watch?v=_m-_aeqgaXA,00:01:52.098,00:01:54.483,"Qul Huwallahu Ahad (112:1) قُلْ هُوَ ٱللَّهُ أَحَدٌ [112:1] Proclaim, ""He is the One and only GOD.",Dr. Khalifa,
