Video Title,Link,Start Time,End Time,Text,Speaker,SplitFromRow,VerseRefs,VerseLang,HasArabic
15 Quran Study From Behrouz 515 Sura 54;23 By Rashad Sura 55 & Sura 56 & Sura 51 Age  40 & First Gen,https://www.youtube.com/watch?v=dkW9QphWF3Y,00:00:00.841,00:00:01.841,Dr. Khalifa: 23.,Dr. Khalifa,,,,false
15 Quran Study From Behrouz 515 Sura 54;23 By Rashad Sura 55 & Sura 56 & Sura 51 Age  40 & First Gen,https://www.youtube.com/watch?v=dkW9QphWF3Y,00:00:02.889,00:00:04.928,[54:23]  Thamûd ...,Dr. Khalifa,,54:23,en,false
15 Quran Study From Behrouz 515 Sura 54;23 By Rashad Sura 55 & Sura 56 & Sura 51 Age  40 & First Gen,https://www.youtube.com/watch?v=dkW9QphWF3Y,00:00:04.928,00:00:06.004,another group of disbelievers,Dr. Khalifa,,,,false
15 Quran Study From Behrouz 515 Sura 54;23 By Rashad Sura 55 & Sura 56 & Sura 51 Age  40 & First Gen,https://www.youtube.com/watch?v=dkW9QphWF3Y,00:00:06.004,00:00:07.265,[54:23]  ... rejected the warnings.,Dr. Khalifa,,54:23,en,false
15 Quran Study From Behrouz 515 Sura 54;23 By Rashad Sura 55 & Sura 56 & Sura 51 Age  40 & First Gen,https://www.youtube.com/watch?v=dkW9QphWF3Y,00:00:07.884,00:00:13.338,"[54:24]  They said, ""Shall we follow a man like us? We will then be wrong and stupid.",Dr. Khalifa,,54:24,en,false
15 Quran Study From Behrouz 515 Sura 54;23 By Rashad Sura 55 & Sura 56 & Sura 51 Age  40 & First Gen,https://www.youtube.com/watch?v=dkW9QphWF3Y,00:00:15.320,00:00:16.670,25.,Dr. Khalifa,,,,false
15 Quran Study From Behrouz 515 Sura 54;23 By Rashad Sura 55 & Sura 56 & Sura 51 Age  40 & First Gen,https://www.youtube.com/watch?v=dkW9QphWF3Y,00:00:16.670,00:00:23.452,"[54:25] ""Was he chosen out of all of us to receive the message? He is a flagrant liar.""",Dr. Khalifa,,54:25,en,false
15 Quran Study From Behrouz 515 Sura 54;23 By Rashad Sura 55 & Sura 56 & Sura 51 Age  40 & First Gen,https://www.youtube.com/watch?v=dkW9QphWF3Y,00:00:24.059,00:00:25.069,26.,Dr. Khalifa,,,,false
15 Quran Study From Behrouz 515 Sura 54;23 By Rashad Sura 55 & Sura 56 & Sura 51 Age  40 & First Gen,https://www.youtube.com/watch?v=dkW9QphWF3Y,00:00:25.069,00:00:28.610,[54:26] They will find out tomorrow who the flagrant liar is.,Dr. Khalifa,,54:26,en,false
15 Quran Study From Behrouz 515 Sura 54;23 By Rashad Sura 55 & Sura 56 & Sura 51 Age  40 & First Gen,https://www.youtube.com/watch?v=dkW9QphWF3Y,00:00:29.240,00:00:29.870,27.,Dr. Khalifa,,,,false
15 Quran Study From Behrouz 515 Sura 54;23 By Rashad Sura 55 & Sura 56 & Sura 51 Age  40 & First Gen,https://www.youtube.com/watch?v=dkW9QphWF3Y,00:00:29.870,00:00:35.129,[54:27]  We sent the camel as a test for them. Just watch them and be patient.,Dr. Khalifa,,54:27,en,false
15 Quran Study From Behrouz 515 Sura 54;23 By Rashad Sura 55 & Sura 56 & Sura 51 Age  40 & First Gen,https://www.youtube.com/watch?v=dkW9QphWF3Y,00:00:35.820,00:00:36.511,28.,Dr. Khalifa,,,,false
