Video Title,Link,Start Time,End Time,Text,Speaker,SplitFromRow,VerseRefs,VerseLang
16 Quran Study From Behrouz 616 Sura 64 By Rashad Nothing Happens Except Sura 70 By Edip Worry Chast,https://www.youtube.com/watch?v=Lrqb3N6b6gY,00:00:00.000,00:00:04.590,"For the benefit of the people outside of Tucson, I'm gonna repeat that we seek refuge in God",Dr. Khalifa,,,
16 Quran Study From Behrouz 616 Sura 64 By Rashad Nothing Happens Except Sura 70 By Edip Worry Chast,https://www.youtube.com/watch?v=Lrqb3N6b6gY,00:00:04.590,00:00:10.830,"from Satan. Bism Allah Arrahman Arraheem. In the name of God, Most Gracious, Most Merciful. We're",Dr. Khalifa,,,
16 Quran Study From Behrouz 616 Sura 64 By Rashad Nothing Happens Except Sura 70 By Edip Worry Chast,https://www.youtube.com/watch?v=Lrqb3N6b6gY,00:00:10.830,00:00:17.637,"starting today on Surah 64. And, where is, where is Lisa? She's over there.",Dr. Khalifa,,,
16 Quran Study From Behrouz 616 Sura 64 By Rashad Nothing Happens Except Sura 70 By Edip Worry Chast,https://www.youtube.com/watch?v=Lrqb3N6b6gY,00:00:17.637,00:00:21.185,(unintelligible),Dr. Khalifa,,,
16 Quran Study From Behrouz 616 Sura 64 By Rashad Nothing Happens Except Sura 70 By Edip Worry Chast,https://www.youtube.com/watch?v=Lrqb3N6b6gY,00:00:21.185,00:00:35.603,"Oh. See there. Just go around. Go around with us. See, they raised their hands. First, I wanna welcome Salim and his wife.",Dr. Khalifa,,,
16 Quran Study From Behrouz 616 Sura 64 By Rashad Nothing Happens Except Sura 70 By Edip Worry Chast,https://www.youtube.com/watch?v=Lrqb3N6b6gY,00:00:35.603,00:00:41.147,"She's here for the first time, and he was here last week. So, I'm glad you came. Thanks, Stephanie.",Dr. Khalifa,,,
16 Quran Study From Behrouz 616 Sura 64 By Rashad Nothing Happens Except Sura 70 By Edip Worry Chast,https://www.youtube.com/watch?v=Lrqb3N6b6gY,00:00:43.686,00:00:51.000,"And also, I didn't get a chance to welcome Philip's wife. She was here two or three times,",Dr. Khalifa,,,
16 Quran Study From Behrouz 616 Sura 64 By Rashad Nothing Happens Except Sura 70 By Edip Worry Chast,https://www.youtube.com/watch?v=Lrqb3N6b6gY,00:00:51.000,00:00:59.670,"and I was wondering who she was. Finally, he told me. So, welcome to the group. You notice",Dr. Khalifa,,,
16 Quran Study From Behrouz 616 Sura 64 By Rashad Nothing Happens Except Sura 70 By Edip Worry Chast,https://www.youtube.com/watch?v=Lrqb3N6b6gY,00:00:59.670,00:01:07.590,"in the new translation, the word ""GOD"" is written in bold, big letters. And at the bottom of the page,",Dr. Khalifa,,,
16 Quran Study From Behrouz 616 Sura 64 By Rashad Nothing Happens Except Sura 70 By Edip Worry Chast,https://www.youtube.com/watch?v=Lrqb3N6b6gY,00:01:07.590,00:01:13.950,"on the left side, you see the number 9? This is the number of occurrences of the word ""God"" on",Dr. Khalifa,,,
16 Quran Study From Behrouz 616 Sura 64 By Rashad Nothing Happens Except Sura 70 By Edip Worry Chast,https://www.youtube.com/watch?v=Lrqb3N6b6gY,00:01:13.950,00:01:23.040,"this page. If you count them easily, 1, 2, 3, 4, 5, 6, 7, 8, 9. This is the total, the word",Dr. Khalifa,,,
16 Quran Study From Behrouz 616 Sura 64 By Rashad Nothing Happens Except Sura 70 By Edip Worry Chast,https://www.youtube.com/watch?v=Lrqb3N6b6gY,00:01:23.040,00:01:28.470,"""God"" on this page. And on the right side is the total up to this page, from the beginning of the",Dr. Khalifa,,,
16 Quran Study From Behrouz 616 Sura 64 By Rashad Nothing Happens Except Sura 70 By Edip Worry Chast,https://www.youtube.com/watch?v=Lrqb3N6b6gY,00:01:28.470,00:01:36.645,"Quran. The objective of this is to let the reader participate in the mathematical code of the Quran,",Dr. Khalifa,,,
16 Quran Study From Behrouz 616 Sura 64 By Rashad Nothing Happens Except Sura 70 By Edip Worry Chast,https://www.youtube.com/watch?v=Lrqb3N6b6gY,00:01:36.645,00:01:42.840,which proves to the person that he is looking at God's message to him or her. And this is not a,Dr. Khalifa,,,
16 Quran Study From Behrouz 616 Sura 64 By Rashad Nothing Happens Except Sura 70 By Edip Worry Chast,https://www.youtube.com/watch?v=Lrqb3N6b6gY,00:01:42.840,00:01:50.820,"human-made book. Muhammad didn't just invent it and make it up. You are reading God's message,",Dr. Khalifa,,,
16 Quran Study From Behrouz 616 Sura 64 By Rashad Nothing Happens Except Sura 70 By Edip Worry Chast,https://www.youtube.com/watch?v=Lrqb3N6b6gY,00:01:50.820,00:01:56.834,"and this mathematical code gives you the confidence that God is speaking to you,",Dr. Khalifa,,,
16 Quran Study From Behrouz 616 Sura 64 By Rashad Nothing Happens Except Sura 70 By Edip Worry Chast,https://www.youtube.com/watch?v=Lrqb3N6b6gY,00:01:56.834,00:02:03.840,"not any human being who's trying to fool you. The total number of the word God in the Quran,",Dr. Khalifa,,,
16 Quran Study From Behrouz 616 Sura 64 By Rashad Nothing Happens Except Sura 70 By Edip Worry Chast,https://www.youtube.com/watch?v=Lrqb3N6b6gY,00:02:03.840,00:02:11.610,"as you know, is 2,698, which is a multiple of 19. 19 being the common denominator throughout the",Dr. Khalifa,,,
16 Quran Study From Behrouz 616 Sura 64 By Rashad Nothing Happens Except Sura 70 By Edip Worry Chast,https://www.youtube.com/watch?v=Lrqb3N6b6gY,00:02:11.610,00:02:20.880,Quran. And I'm using just this word as an example. But every letter in the Quran is mathematically,Dr. Khalifa,,,
16 Quran Study From Behrouz 616 Sura 64 By Rashad Nothing Happens Except Sura 70 By Edip Worry Chast,https://www.youtube.com/watch?v=Lrqb3N6b6gY,00:02:20.880,00:02:28.249,"coded, mathematically composed, and the whole system is easily superhuman, as all of you know.",Dr. Khalifa,,,
16 Quran Study From Behrouz 616 Sura 64 By Rashad Nothing Happens Except Sura 70 By Edip Worry Chast,https://www.youtube.com/watch?v=Lrqb3N6b6gY,00:02:30.000,00:02:34.410,"So, this is one observation I want to make about the translation. Of course, the Arabic will go",Dr. Khalifa,,,
16 Quran Study From Behrouz 616 Sura 64 By Rashad Nothing Happens Except Sura 70 By Edip Worry Chast,https://www.youtube.com/watch?v=Lrqb3N6b6gY,00:02:34.410,00:02:43.590,"in the empty rectangle here. We don't have the Arabic yet. So IN SHAA ALLAH, we'll be sending it to",Dr. Khalifa,,,
16 Quran Study From Behrouz 616 Sura 64 By Rashad Nothing Happens Except Sura 70 By Edip Worry Chast,https://www.youtube.com/watch?v=Lrqb3N6b6gY,00:02:43.590,00:02:55.260,"the press around mid, the end of April, towards the end of April. No, towards the end of May,",Dr. Khalifa,,,
16 Quran Study From Behrouz 616 Sura 64 By Rashad Nothing Happens Except Sura 70 By Edip Worry Chast,https://www.youtube.com/watch?v=Lrqb3N6b6gY,00:02:55.260,00:03:01.350,"or the beginning of May. I'm trying to calculate when the night of power is. We're gonna send it off,",Dr. Khalifa,,,
16 Quran Study From Behrouz 616 Sura 64 By Rashad Nothing Happens Except Sura 70 By Edip Worry Chast,https://www.youtube.com/watch?v=Lrqb3N6b6gY,00:03:01.350,00:03:11.010,"IN SHAA ALLAH, on the night of power, which is April. May 3. Right, okay, there we go. I was adding",Dr. Khalifa,,,
16 Quran Study From Behrouz 616 Sura 64 By Rashad Nothing Happens Except Sura 70 By Edip Worry Chast,https://www.youtube.com/watch?v=Lrqb3N6b6gY,00:03:11.010,00:03:27.450,"April 7 plus 27. It comes to April 34th. So, that's very late in April, or very early in May. It will",Dr. Khalifa,,,
16 Quran Study From Behrouz 616 Sura 64 By Rashad Nothing Happens Except Sura 70 By Edip Worry Chast,https://www.youtube.com/watch?v=Lrqb3N6b6gY,00:03:27.450,00:03:32.850,"take six or seven weeks to print, and then we'll have the Arabic and the complete book with us.",Dr. Khalifa,,,
16 Quran Study From Behrouz 616 Sura 64 By Rashad Nothing Happens Except Sura 70 By Edip Worry Chast,https://www.youtube.com/watch?v=Lrqb3N6b6gY,00:03:34.027,00:03:36.527,"In the name of God, Most Gracious, Most Merciful.",Dr. Khalifa,,,
16 Quran Study From Behrouz 616 Sura 64 By Rashad Nothing Happens Except Sura 70 By Edip Worry Chast,https://www.youtube.com/watch?v=Lrqb3N6b6gY,00:03:36.527,00:03:46.557,"[64:1]  Glorifying God is everything in the heavens and everything on earth. To Him belongs all kingship, and to Him belongs all praise, and He is Omnipotent.",Dr. Khalifa,,64:1,en
16 Quran Study From Behrouz 616 Sura 64 By Rashad Nothing Happens Except Sura 70 By Edip Worry Chast,https://www.youtube.com/watch?v=Lrqb3N6b6gY,00:03:47.796,00:03:55.020,This is a heavy verse right there. Glorifying God is everything in the heavens,Dr. Khalifa,,,
16 Quran Study From Behrouz 616 Sura 64 By Rashad Nothing Happens Except Sura 70 By Edip Worry Chast,https://www.youtube.com/watch?v=Lrqb3N6b6gY,00:03:55.020,00:04:04.380,"and every thing on earth. And this includes things, includes the bodies of the disbelievers. Because",Dr. Khalifa,,,
16 Quran Study From Behrouz 616 Sura 64 By Rashad Nothing Happens Except Sura 70 By Edip Worry Chast,https://www.youtube.com/watch?v=Lrqb3N6b6gY,00:04:04.380,00:04:11.190,the disbeliever does not control his heartbeats. There's a specific number of heartbeats. And the,Dr. Khalifa,,,
16 Quran Study From Behrouz 616 Sura 64 By Rashad Nothing Happens Except Sura 70 By Edip Worry Chast,https://www.youtube.com/watch?v=Lrqb3N6b6gY,00:04:11.190,00:04:17.190,"disbeliever does not control that. God controls that. So, the human body is glorifying God. Every",Dr. Khalifa,,,
