Video Title,Link,Start Time,End Time,Text,Speaker,SplitFromRow
17 Quran Study From Behrouz 717 Sura 90 & Sura 91 By Rashad Sura 82 & Sura 83 By Edip 07 21 1989No 7,https://www.youtube.com/watch?v=ZGqIH1KtgQk,00:00:03.666,00:00:05.666,أعوذ بِٱللَّهِ مِنَ ٱلشَّيْطَـٰنِ ٱلرَّجِيمِ,,
17 Quran Study From Behrouz 717 Sura 90 & Sura 91 By Rashad Sura 82 & Sura 83 By Edip 07 21 1989No 7,https://www.youtube.com/watch?v=ZGqIH1KtgQk,00:00:09.189,00:00:11.189,Bism Allah Arrahman Arraheem,,
17 Quran Study From Behrouz 717 Sura 90 & Sura 91 By Rashad Sura 82 & Sura 83 By Edip 07 21 1989No 7,https://www.youtube.com/watch?v=ZGqIH1KtgQk,00:00:11.189,00:00:13.484,"In the name of God, Most Gracious, Most Merciful.",,
17 Quran Study From Behrouz 717 Sura 90 & Sura 91 By Rashad Sura 82 & Sura 83 By Edip 07 21 1989No 7,https://www.youtube.com/watch?v=ZGqIH1KtgQk,00:00:17.246,00:00:22.010,"Dr. Khalifa: This morning about 9 o'clock, Lisa asked me ""do you know that you're giving the Khutba?",Dr. Khalifa,
17 Quran Study From Behrouz 717 Sura 90 & Sura 91 By Rashad Sura 82 & Sura 83 By Edip 07 21 1989No 7,https://www.youtube.com/watch?v=ZGqIH1KtgQk,00:00:23.264,00:00:26.188,It was quite a surprise as you realize.,Dr. Khalifa,
17 Quran Study From Behrouz 717 Sura 90 & Sura 91 By Rashad Sura 82 & Sura 83 By Edip 07 21 1989No 7,https://www.youtube.com/watch?v=ZGqIH1KtgQk,00:00:26.427,00:00:31.904,"Then after the Khutbah, Lydia came to me and said ""do you know you're giving the Quranic study?""",Dr. Khalifa,
17 Quran Study From Behrouz 717 Sura 90 & Sura 91 By Rashad Sura 82 & Sura 83 By Edip 07 21 1989No 7,https://www.youtube.com/watch?v=ZGqIH1KtgQk,00:00:32.904,00:00:34.951,And she took the beating on behalf of Lisa.,Dr. Khalifa,
17 Quran Study From Behrouz 717 Sura 90 & Sura 91 By Rashad Sura 82 & Sura 83 By Edip 07 21 1989No 7,https://www.youtube.com/watch?v=ZGqIH1KtgQk,00:00:34.951,00:00:37.681,"Actually, Lisa sent her to tell me that.",Dr. Khalifa,
17 Quran Study From Behrouz 717 Sura 90 & Sura 91 By Rashad Sura 82 & Sura 83 By Edip 07 21 1989No 7,https://www.youtube.com/watch?v=ZGqIH1KtgQk,00:00:39.890,00:00:41.260,"So, here I am.",Dr. Khalifa,
17 Quran Study From Behrouz 717 Sura 90 & Sura 91 By Rashad Sura 82 & Sura 83 By Edip 07 21 1989No 7,https://www.youtube.com/watch?v=ZGqIH1KtgQk,00:00:41.809,00:00:44.059,"First of all, we welcome a new member to our masjid.",Dr. Khalifa,
