Video Title,Link,Start Time,End Time,Text,Speaker,SplitFromRow
19 Quran Study From Behrouz 919 Sura 2;89 119 Witchcraft Reverting Intro To Blue Quran No 13,https://www.youtube.com/watch?v=qgNByS6nWbM,00:00:00.070,00:00:04.501,Dr. Khalifa: [2:89] ...They rejected it. God's condemnation thus afflicts the disbelievers.,Dr. Khalifa,
19 Quran Study From Behrouz 919 Sura 2;89 119 Witchcraft Reverting Intro To Blue Quran No 13,https://www.youtube.com/watch?v=qgNByS6nWbM,00:00:06.402,00:00:10.662,"This is something that we talked about at noon today, the ego.",Dr. Khalifa,
19 Quran Study From Behrouz 919 Sura 2;89 119 Witchcraft Reverting Intro To Blue Quran No 13,https://www.youtube.com/watch?v=qgNByS6nWbM,00:00:16.355,00:00:24.870,"As you see at the beginning of this book, if you open the cover and go a few sheets,",Dr. Khalifa,
19 Quran Study From Behrouz 919 Sura 2;89 119 Witchcraft Reverting Intro To Blue Quran No 13,https://www.youtube.com/watch?v=qgNByS6nWbM,00:00:24.870,00:00:27.779,you see that once God alone is mentioned.,Dr. Khalifa,
19 Quran Study From Behrouz 919 Sura 2;89 119 Witchcraft Reverting Intro To Blue Quran No 13,https://www.youtube.com/watch?v=qgNByS6nWbM,00:00:27.779,00:00:36.600,"Across from that, you see verses from the Old Testament and the New Testament prophesying",Dr. Khalifa,
19 Quran Study From Behrouz 919 Sura 2;89 119 Witchcraft Reverting Intro To Blue Quran No 13,https://www.youtube.com/watch?v=qgNByS6nWbM,00:00:36.600,00:00:41.250,"the advent of the Prophet Muhammad, the final prophet.",Dr. Khalifa,
19 Quran Study From Behrouz 919 Sura 2;89 119 Witchcraft Reverting Intro To Blue Quran No 13,https://www.youtube.com/watch?v=qgNByS6nWbM,00:00:41.734,00:00:51.887,"You see Moses in Deuteronomy 18:15 says ""a prophet like me,"" meaning a message-bearing messenger.",Dr. Khalifa,
19 Quran Study From Behrouz 919 Sura 2;89 119 Witchcraft Reverting Intro To Blue Quran No 13,https://www.youtube.com/watch?v=qgNByS6nWbM,00:00:51.887,00:00:55.635,"""...will the Lord, your God, raise up for you from among your kinsmen;""",Dr. Khalifa,
19 Quran Study From Behrouz 919 Sura 2;89 119 Witchcraft Reverting Intro To Blue Quran No 13,https://www.youtube.com/watch?v=qgNByS6nWbM,00:00:57.149,00:00:59.384,The Arabs and Jews are kinsmen.,Dr. Khalifa,
19 Quran Study From Behrouz 919 Sura 2;89 119 Witchcraft Reverting Intro To Blue Quran No 13,https://www.youtube.com/watch?v=qgNByS6nWbM,00:01:00.000,00:01:01.557,"""to him you shall listen.""",Dr. Khalifa,
