Video Title,Link,Start Time,End Time,Text,Speaker,SplitFromRow,VerseRefs,VerseLang
20 Quran Study From Behrouz 1020 Sura 3 By M Sabahi Insurance Fear Worry,https://www.youtube.com/watch?v=jlYvG8mSkGs,00:00:00.220,00:00:02.112,أعوذ بِٱللَّهِ مِنَ ٱلشَّيْطَـٰنِ ٱلرَّجِيمِ,Dr. Khalifa,,,
20 Quran Study From Behrouz 1020 Sura 3 By M Sabahi Insurance Fear Worry,https://www.youtube.com/watch?v=jlYvG8mSkGs,00:00:02.112,00:00:05.024,We seek refuge in God from Satan,Dr. Khalifa,,,
20 Quran Study From Behrouz 1020 Sura 3 By M Sabahi Insurance Fear Worry,https://www.youtube.com/watch?v=jlYvG8mSkGs,00:00:05.328,00:00:07.328,I ask God to keep him away from us.,Dr. Khalifa,,,
20 Quran Study From Behrouz 1020 Sura 3 By M Sabahi Insurance Fear Worry,https://www.youtube.com/watch?v=jlYvG8mSkGs,00:00:08.038,00:00:09.633,We are his prime targets.,Dr. Khalifa,,,
20 Quran Study From Behrouz 1020 Sura 3 By M Sabahi Insurance Fear Worry,https://www.youtube.com/watch?v=jlYvG8mSkGs,00:00:12.877,00:00:14.066,Bism Allah Arrahman Arraheem,Dr. Khalifa,,,
20 Quran Study From Behrouz 1020 Sura 3 By M Sabahi Insurance Fear Worry,https://www.youtube.com/watch?v=jlYvG8mSkGs,00:00:14.066,00:00:16.671,"In the name of GOD, Most Gracious, Most Merciful.",Dr. Khalifa,,,
20 Quran Study From Behrouz 1020 Sura 3 By M Sabahi Insurance Fear Worry,https://www.youtube.com/watch?v=jlYvG8mSkGs,00:00:20.219,00:00:21.719,We're on page 51.,Dr. Khalifa,,,
20 Quran Study From Behrouz 1020 Sura 3 By M Sabahi Insurance Fear Worry,https://www.youtube.com/watch?v=jlYvG8mSkGs,00:00:24.660,00:00:26.876,"Surah number 3, starting at verse 10.",Dr. Khalifa,,,
20 Quran Study From Behrouz 1020 Sura 3 By M Sabahi Insurance Fear Worry,https://www.youtube.com/watch?v=jlYvG8mSkGs,00:00:28.042,00:00:30.410,And our teacher is Dr. Mahmoud Sabahi.,Dr. Khalifa,,,
20 Quran Study From Behrouz 1020 Sura 3 By M Sabahi Insurance Fear Worry,https://www.youtube.com/watch?v=jlYvG8mSkGs,00:00:34.363,00:00:36.667,أعوذ بِٱللَّهِ مِنَ ٱلشَّيْطَـٰنِ ٱلرَّجِيمِ,Dr. Mahmoud Sabahi,,,
20 Quran Study From Behrouz 1020 Sura 3 By M Sabahi Insurance Fear Worry,https://www.youtube.com/watch?v=jlYvG8mSkGs,00:00:37.022,00:00:38.667,Bism Allah Arrahman Arraheem,Dr. Mahmoud Sabahi,,,
20 Quran Study From Behrouz 1020 Sura 3 By M Sabahi Insurance Fear Worry,https://www.youtube.com/watch?v=jlYvG8mSkGs,00:00:42.953,00:00:50.662,"As usual, I ask God to help me and all of us to understand that we are better and better every day.",Dr. Mahmoud Sabahi,,,
20 Quran Study From Behrouz 1020 Sura 3 By M Sabahi Insurance Fear Worry,https://www.youtube.com/watch?v=jlYvG8mSkGs,00:00:53.459,00:00:58.014,"If you don't mind, I would like to start from the beginning of the Surah.",Dr. Mahmoud Sabahi,,,
20 Quran Study From Behrouz 1020 Sura 3 By M Sabahi Insurance Fear Worry,https://www.youtube.com/watch?v=jlYvG8mSkGs,00:00:59.231,00:01:06.890,For the specific reason of Aya 7. Aya 7 that we didn't get a chance to talk too much about it last night.,Dr. Mahmoud Sabahi,,,
20 Quran Study From Behrouz 1020 Sura 3 By M Sabahi Insurance Fear Worry,https://www.youtube.com/watch?v=jlYvG8mSkGs,00:01:08.309,00:01:10.000,Bism Allah Arrahman Arraheem,Dr. Mahmoud Sabahi,,,
20 Quran Study From Behrouz 1020 Sura 3 By M Sabahi Insurance Fear Worry,https://www.youtube.com/watch?v=jlYvG8mSkGs,00:01:11.430,00:01:12.734,[3:1]  A.L.M.*,Dr. Mahmoud Sabahi,,3:1,en
20 Quran Study From Behrouz 1020 Sura 3 By M Sabahi Insurance Fear Worry,https://www.youtube.com/watch?v=jlYvG8mSkGs,00:01:13.126,00:01:18.126,"[3:2]  GOD: there is no god except He; the Living, the Eternal.",Dr. Mahmoud Sabahi,,3:2,en
20 Quran Study From Behrouz 1020 Sura 3 By M Sabahi Insurance Fear Worry,https://www.youtube.com/watch?v=jlYvG8mSkGs,00:01:18.937,00:01:26.471,"[3:3]  He sent down to you this scripture, truthfully, confirming all previous scriptures, and He sent down the Torah and the Gospel",Dr. Mahmoud Sabahi,,3:3,en
20 Quran Study From Behrouz 1020 Sura 3 By M Sabahi Insurance Fear Worry,https://www.youtube.com/watch?v=jlYvG8mSkGs,00:01:27.227,00:01:39.380,"[3:4]  before that, to guide the people. He sent down the statute book. Those who disbelieve in GOD's revelations incur severe retribution. GOD is Almighty, Avenger.",Dr. Mahmoud Sabahi,,3:4,en
20 Quran Study From Behrouz 1020 Sura 3 By M Sabahi Insurance Fear Worry,https://www.youtube.com/watch?v=jlYvG8mSkGs,00:01:41.213,00:01:45.133,"[3:5]  Nothing is hidden from GOD, on earth, or in the heaven.",Dr. Mahmoud Sabahi,,3:5,en
20 Quran Study From Behrouz 1020 Sura 3 By M Sabahi Insurance Fear Worry,https://www.youtube.com/watch?v=jlYvG8mSkGs,00:01:46.198,00:01:52.760,"[3:6]  He shapes you in the wombs as He wills. There is no god except Him; the Almighty, Most Wise.",Dr. Mahmoud Sabahi,,3:6,en
20 Quran Study From Behrouz 1020 Sura 3 By M Sabahi Insurance Fear Worry,https://www.youtube.com/watch?v=jlYvG8mSkGs,00:01:54.179,00:02:14.117,"[3:7]  He revealed to you this scripture, consisting of straightforward verses—which are the essence of the scripture—as well as multiple-meaning verses. Those who harbor doubt in their hearts will pursue the multiple-meaning verses to create confusion, and to seek different meanings...",Dr. Mahmoud Sabahi,,3:7,en
20 Quran Study From Behrouz 1020 Sura 3 By M Sabahi Insurance Fear Worry,https://www.youtube.com/watch?v=jlYvG8mSkGs,00:02:14.117,00:02:27.318,"[3:7]  ...No one knows their true meaning except GOD and those who possess knowledge. They say, ""We believe in this—all of it comes from our Lord."" Only those who possess intelligence will take heed.",Dr. Mahmoud Sabahi,,3:7,en
20 Quran Study From Behrouz 1020 Sura 3 By M Sabahi Insurance Fear Worry,https://www.youtube.com/watch?v=jlYvG8mSkGs,00:02:28.600,00:02:31.033,I'll stop at this point.,Dr. Mahmoud Sabahi,,,
20 Quran Study From Behrouz 1020 Sura 3 By M Sabahi Insurance Fear Worry,https://www.youtube.com/watch?v=jlYvG8mSkGs,00:02:31.793,00:02:42.593,And the first six verses doesn't need much explanation because we have gone through it before.,Dr. Mahmoud Sabahi,,,
20 Quran Study From Behrouz 1020 Sura 3 By M Sabahi Insurance Fear Worry,https://www.youtube.com/watch?v=jlYvG8mSkGs,00:02:45.683,00:02:53.145,The Surah starts similar to Surah second with Alif Laam Meem (A.L.M.).,Dr. Mahmoud Sabahi,,,
20 Quran Study From Behrouz 1020 Sura 3 By M Sabahi Insurance Fear Worry,https://www.youtube.com/watch?v=jlYvG8mSkGs,00:02:53.652,00:03:07.347,"And with the expression ""there is no god except He"" which is the major expression that we always use,",Dr. Mahmoud Sabahi,,,
20 Quran Study From Behrouz 1020 Sura 3 By M Sabahi Insurance Fear Worry,https://www.youtube.com/watch?v=jlYvG8mSkGs,00:03:07.347,00:03:14.561,to make sure that we worship God and He is the god of all of us.,Dr. Mahmoud Sabahi,,,
20 Quran Study From Behrouz 1020 Sura 3 By M Sabahi Insurance Fear Worry,https://www.youtube.com/watch?v=jlYvG8mSkGs,00:03:21.607,00:03:28.560,"In 5, God is saying that there is nothing hidden from Him either on the earth or in the heaven.",Dr. Mahmoud Sabahi,,,
20 Quran Study From Behrouz 1020 Sura 3 By M Sabahi Insurance Fear Worry,https://www.youtube.com/watch?v=jlYvG8mSkGs,00:03:32.865,00:03:43.244,"And then in the 6, God gives us something that we can see, we can experience and understand",Dr. Mahmoud Sabahi,,,
20 Quran Study From Behrouz 1020 Sura 3 By M Sabahi Insurance Fear Worry,https://www.youtube.com/watch?v=jlYvG8mSkGs,00:03:43.244,00:03:47.180,"so that we know, we get a glimpse of the greatness of God.",Dr. Mahmoud Sabahi,,,
20 Quran Study From Behrouz 1020 Sura 3 By M Sabahi Insurance Fear Worry,https://www.youtube.com/watch?v=jlYvG8mSkGs,00:03:47.788,00:03:56.530,"Then in 7, which I'd like to go a little bit into it and maybe discuss it because of",Dr. Mahmoud Sabahi,,,
20 Quran Study From Behrouz 1020 Sura 3 By M Sabahi Insurance Fear Worry,https://www.youtube.com/watch?v=jlYvG8mSkGs,00:03:56.530,00:03:59.592,the importance of it and how it has been used.,Dr. Mahmoud Sabahi,,,
20 Quran Study From Behrouz 1020 Sura 3 By M Sabahi Insurance Fear Worry,https://www.youtube.com/watch?v=jlYvG8mSkGs,00:04:03.596,00:04:13.814,"[3:7]  He revealed to you this scripture, consisting of straightforward verses—which are the essence of the scripture—as well as multiple-meaning verses.",Dr. Mahmoud Sabahi,,3:7,en
20 Quran Study From Behrouz 1020 Sura 3 By M Sabahi Insurance Fear Worry,https://www.youtube.com/watch?v=jlYvG8mSkGs,00:04:14.547,00:04:23.116,"First, what I would like to focus on is straightforward verses.",Dr. Mahmoud Sabahi,,,
20 Quran Study From Behrouz 1020 Sura 3 By M Sabahi Insurance Fear Worry,https://www.youtube.com/watch?v=jlYvG8mSkGs,00:04:23.927,00:04:32.910,The reason I'm bringing this out is that this verse and these specific words are the topic,Dr. Mahmoud Sabahi,,,
20 Quran Study From Behrouz 1020 Sura 3 By M Sabahi Insurance Fear Worry,https://www.youtube.com/watch?v=jlYvG8mSkGs,00:04:32.910,00:04:39.151,of a lot of discussions among the Muslim scholars all over the Muslim world.,Dr. Mahmoud Sabahi,,,
20 Quran Study From Behrouz 1020 Sura 3 By M Sabahi Insurance Fear Worry,https://www.youtube.com/watch?v=jlYvG8mSkGs,00:04:40.000,00:04:43.259,Straightforward verses are the ones which are straightforward.,Dr. Mahmoud Sabahi,,,
20 Quran Study From Behrouz 1020 Sura 3 By M Sabahi Insurance Fear Worry,https://www.youtube.com/watch?v=jlYvG8mSkGs,00:04:43.259,00:04:51.310,"The Arabic word is Muhkamat (مُّحْكَمَـٰتٌ), which there is nothing, no question about it.",Dr. Mahmoud Sabahi,,,
20 Quran Study From Behrouz 1020 Sura 3 By M Sabahi Insurance Fear Worry,https://www.youtube.com/watch?v=jlYvG8mSkGs,00:04:51.310,00:04:58.550,You have to do the Salat. You have to pay the charity and things in that nature that,Dr. Mahmoud Sabahi,,,
20 Quran Study From Behrouz 1020 Sura 3 By M Sabahi Insurance Fear Worry,https://www.youtube.com/watch?v=jlYvG8mSkGs,00:04:58.550,00:05:01.905,we saw it all through Surah number 2,Dr. Mahmoud Sabahi,,,
20 Quran Study From Behrouz 1020 Sura 3 By M Sabahi Insurance Fear Worry,https://www.youtube.com/watch?v=jlYvG8mSkGs,00:05:01.905,00:05:08.272,"which all of them were explained clearly, exactly that we know all about.",Dr. Mahmoud Sabahi,,,
20 Quran Study From Behrouz 1020 Sura 3 By M Sabahi Insurance Fear Worry,https://www.youtube.com/watch?v=jlYvG8mSkGs,00:05:09.032,00:05:20.000,"Then, God goes on saying ""these straightforward verses are the essence of the scripture.""",Dr. Mahmoud Sabahi,,,
20 Quran Study From Behrouz 1020 Sura 3 By M Sabahi Insurance Fear Worry,https://www.youtube.com/watch?v=jlYvG8mSkGs,00:05:20.456,00:05:33.973,"The essence of the scripture, I tried to read about it and this is something that we can discuss a little bit.",Dr. Mahmoud Sabahi,,,
20 Quran Study From Behrouz 1020 Sura 3 By M Sabahi Insurance Fear Worry,https://www.youtube.com/watch?v=jlYvG8mSkGs,00:05:35.677,00:05:44.292,"...is, what it is in English, the essence of the scripture, I don't know how strong it is to an English speaking person.",Dr. Mahmoud Sabahi,,,
20 Quran Study From Behrouz 1020 Sura 3 By M Sabahi Insurance Fear Worry,https://www.youtube.com/watch?v=jlYvG8mSkGs,00:05:44.540,00:05:51.527,"But in Arabic it says Ummul Kitab (أُمُّ ٱلْكِتَـٰبِ), which the literal meaning I think is the mother of all the books.",Dr. Mahmoud Sabahi,,,
20 Quran Study From Behrouz 1020 Sura 3 By M Sabahi Insurance Fear Worry,https://www.youtube.com/watch?v=jlYvG8mSkGs,00:05:51.527,00:05:53.878,Can we say that?,Dr. Mahmoud Sabahi,,,
20 Quran Study From Behrouz 1020 Sura 3 By M Sabahi Insurance Fear Worry,https://www.youtube.com/watch?v=jlYvG8mSkGs,00:05:55.196,00:06:01.852,"And then, we go to the multiple-meaning verses, which in Arabic they say Mutishabihat (مُتَشَـٰبِهَـٰتٌۭ).",Dr. Mahmoud Sabahi,,,
20 Quran Study From Behrouz 1020 Sura 3 By M Sabahi Insurance Fear Worry,https://www.youtube.com/watch?v=jlYvG8mSkGs,00:06:03.069,00:06:10.488,These are verses that you can get confused or you can do the interpretation that you want to.,Dr. Mahmoud Sabahi,,,
20 Quran Study From Behrouz 1020 Sura 3 By M Sabahi Insurance Fear Worry,https://www.youtube.com/watch?v=jlYvG8mSkGs,00:06:13.098,00:06:19.095,"And then, God explains that those who harbor doubts in their hearts will pursue the multiple-meaning",Dr. Mahmoud Sabahi,,,
