Video Title,Link,Start Time,End Time,Text,Speaker,SplitFromRow,VerseRefs,VerseLang
21 Quran Study From Behrouz 1121 Sura 9;52 By Rashad The Hypocrites Apology To Parivash Sura 56;75 B,https://www.youtube.com/watch?v=wdA8HlLLe3U,00:00:05.154,00:00:08.023,"The messenger: In God the believers shall trust. In other words, if you're a believer,",Dr. Khalifa,,,
21 Quran Study From Behrouz 1121 Sura 9;52 By Rashad The Hypocrites Apology To Parivash Sura 56;75 B,https://www.youtube.com/watch?v=wdA8HlLLe3U,00:00:08.023,00:00:13.649,you must trust that God will take care of you. God guarantees it for you.,Dr. Khalifa,,,
21 Quran Study From Behrouz 1121 Sura 9;52 By Rashad The Hypocrites Apology To Parivash Sura 56;75 B,https://www.youtube.com/watch?v=wdA8HlLLe3U,00:00:13.649,00:00:20.344,"And if something appears to be bad, you must know that there's a good reason for it.",Dr. Khalifa,,,
21 Quran Study From Behrouz 1121 Sura 9;52 By Rashad The Hypocrites Apology To Parivash Sura 56;75 B,https://www.youtube.com/watch?v=wdA8HlLLe3U,00:00:21.923,00:00:31.484,"[9:52] Say, ""you can only expect for us one of two good things in war (victory",Dr. Khalifa,,9:52,en
21 Quran Study From Behrouz 1121 Sura 9;52 By Rashad The Hypocrites Apology To Parivash Sura 56;75 B,https://www.youtube.com/watch?v=wdA8HlLLe3U,00:00:31.484,00:00:37.380,"or martyrdom) while we expect for you condemnation from GOD and retribution from Him,",Dr. Khalifa,,,
21 Quran Study From Behrouz 1121 Sura 9;52 By Rashad The Hypocrites Apology To Parivash Sura 56;75 B,https://www.youtube.com/watch?v=wdA8HlLLe3U,00:00:37.380,00:00:44.407,"at our hands... or at our hands. Therefore, wait, and we will wait along with you.”",Dr. Khalifa,,,
21 Quran Study From Behrouz 1121 Sura 9;52 By Rashad The Hypocrites Apology To Parivash Sura 56;75 B,https://www.youtube.com/watch?v=wdA8HlLLe3U,00:00:44.407,00:00:52.779,"[9:53] Say, “Spend, willingly or unwillingly. Nothing will be accepted from you, for you are evil people.”",Dr. Khalifa,,9:53,en
21 Quran Study From Behrouz 1121 Sura 9;52 By Rashad The Hypocrites Apology To Parivash Sura 56;75 B,https://www.youtube.com/watch?v=wdA8HlLLe3U,00:00:52.779,00:00:57.706,Rejectors of God's messenger observe the Salat prayers.,Dr. Khalifa,,,
21 Quran Study From Behrouz 1121 Sura 9;52 By Rashad The Hypocrites Apology To Parivash Sura 56;75 B,https://www.youtube.com/watch?v=wdA8HlLLe3U,00:00:57.706,00:01:14.565,"[9:54] What prevented the acceptance of their spending is that they disbelieved in GOD and His messenger, and when they observed the Contact Prayers (Salat), they observed them lazily, and when they gave to charity, they did so grudgingly.",Dr. Khalifa,,9:54,en
21 Quran Study From Behrouz 1121 Sura 9;52 By Rashad The Hypocrites Apology To Parivash Sura 56;75 B,https://www.youtube.com/watch?v=wdA8HlLLe3U,00:01:14.925,00:01:21.030,"This is an important verse. You should remember it, 9:54. Remember it. When the people tell you that ""we",Dr. Khalifa,,,
