Video Title,Link,Start Time,End Time,Text,Speaker,SplitFromRow,VerseRefs,VerseLang
23 Quran Study From Behrouz 1323 Sura 51 By Douglas New Era Believers Are Protected From Accidents &,https://www.youtube.com/watch?v=33ZgjUWYZ_8,00:00:01.878,00:00:03.878,أعوذ بِٱللَّهِ مِنَ ٱلشَّيْطَـٰنِ ٱلرَّجِيمِ,Dr. Khalifa,,,
23 Quran Study From Behrouz 1323 Sura 51 By Douglas New Era Believers Are Protected From Accidents &,https://www.youtube.com/watch?v=33ZgjUWYZ_8,00:00:03.878,00:00:12.535,"We seek refuge in God from Satan, who was the basic cause for us being here in this world.",Dr. Khalifa,,,
23 Quran Study From Behrouz 1323 Sura 51 By Douglas New Era Believers Are Protected From Accidents &,https://www.youtube.com/watch?v=33ZgjUWYZ_8,00:00:13.753,00:00:21.955,"And may it back... And may God make it backfire on Satan, give us happiness in this world and forever,",Dr. Khalifa,,,
23 Quran Study From Behrouz 1323 Sura 51 By Douglas New Era Believers Are Protected From Accidents &,https://www.youtube.com/watch?v=33ZgjUWYZ_8,00:00:21.955,00:00:23.898,through believing in God alone.,Dr. Khalifa,,,
23 Quran Study From Behrouz 1323 Sura 51 By Douglas New Era Believers Are Protected From Accidents &,https://www.youtube.com/watch?v=33ZgjUWYZ_8,00:00:24.890,00:00:26.303,Bism Allah Arrahman Arraheem,Dr. Khalifa,,,
23 Quran Study From Behrouz 1323 Sura 51 By Douglas New Era Believers Are Protected From Accidents &,https://www.youtube.com/watch?v=33ZgjUWYZ_8,00:00:26.303,00:00:28.719,"In the name of God, Most Gracious, Most Merciful.",Dr. Khalifa,,,
23 Quran Study From Behrouz 1323 Sura 51 By Douglas New Era Believers Are Protected From Accidents &,https://www.youtube.com/watch?v=33ZgjUWYZ_8,00:00:32.982,00:00:39.420,"We're gonna start with Surah 51, page 366.",Dr. Khalifa,,,
23 Quran Study From Behrouz 1323 Sura 51 By Douglas New Era Believers Are Protected From Accidents &,https://www.youtube.com/watch?v=33ZgjUWYZ_8,00:00:40.808,00:00:45.137,"And our teacher tonight, I forgot his name, I don't know if you remember your... what's your name sir?",Dr. Khalifa,,,
23 Quran Study From Behrouz 1323 Sura 51 By Douglas New Era Believers Are Protected From Accidents &,https://www.youtube.com/watch?v=33ZgjUWYZ_8,00:00:45.980,00:00:47.534,I think he forget his name.,A woman,23-1,,
23 Quran Study From Behrouz 1323 Sura 51 By Douglas New Era Believers Are Protected From Accidents &,https://www.youtube.com/watch?v=33ZgjUWYZ_8,00:00:45.980,00:00:47.534,Rashid.,Douglas,23-1,,
