Video Title,Link,Start Time,End Time,Text,Speaker,SplitFromRow,VerseRefs,VerseLang
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:00:00.000,00:00:08.400,Robert: [58:3]  ...shall expiate by freeing a slave before they resume intercourse. This is to admonish you. God is Cognizant of everything you do.,Robert,,58:3,en
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:00:09.713,00:00:26.281,"[58:4]  If you cannot find a slave to free, then you shall fast two consecutive months before resuming intercourse. And those unable to fast shall feed sixty poor persons. This is for you to believe in God and His messenger. These are God's laws, and the rejecters have deserved painful retribution.",Robert,,58:4,en
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:00:27.486,00:00:37.590,"[58:5]  Those who oppose God and His messenger are doomed like those before them who were doomed. We have revealed clear revelations, and the disbelievers therein have deserved painful retribution.",Robert,,58:5,en
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:00:38.452,00:00:48.127,"[58:6]  The day will come when God resurrects them, then informs them of everything they had done. God has recorded it while they forgot. God witnesses all things.",Robert,,58:6,en
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:00:50.000,00:01:10.771,"[58:7]  Do you not realize that God knows everything in the heavens and the earth? No three people can meet in secrecy without Him being the fourth, nor five without Him being the sixth, nor less than this, nor more, without Him being there. Then, on the Day of Resurrection, He will inform them of everything they did. God is fully aware of all things.",Robert,,58:7,en
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:01:12.695,00:01:31.198,"[58:8]  Those who are prohibited from conspiracy, then go back to it, conspiring sinfully, maliciously, and in defiance of the messenger. When they come to you, they greet you not with God's greetings, and say to themselves, let us see if God will punish us for what we say. Their only destiny is Hell wherein they burn; what a miserable destiny.",Robert,,58:8,en
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:01:33.079,00:01:46.831,"[58:9]  O you who believe, if you have to confer secretly, you shall not confer to commit sin, transgression, and disobedience to the messenger. You may confer only to work righteousness and piety. Beware of God, for you will be gathered before Him.",Robert,,58:9,en
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:01:47.376,00:01:48.714,"All right, we'll stop there.",Robert,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:01:50.583,00:01:52.039,"All right, verse one.",Robert,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:01:52.999,00:01:56.902,[58:1] God has heard the woman who debated with you about her husband and complained to God...,Robert,,58:1,en
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:01:57.558,00:02:01.412,[58:2] Those among you who estranged their wives as if they were their mothers are doing wrong...,Robert,,58:2,en
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:02:03.028,00:02:05.724,"Obviously, this is in the Quran for a reason.",Robert,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:02:06.027,00:02:07.017,God...,Robert,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:02:08.704,00:02:14.493,"As the footnote says ""a common statement by Arabian husbands who wanted to punish their wives was",Robert,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:02:14.493,00:02:17.573,"""you are forbidden to me in intercourse as my mother.""",Robert,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:02:17.927,00:02:28.102,"Ok. That obviously, it obviously applied to that point in time in history where this was a common thing, to where it needed to be said.",Robert,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:02:28.658,00:02:32.420,"But as we know, the Quran is for every day, and it applies at all times.",Robert,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:02:32.622,00:02:36.384,"So, what these verses are saying, we should obviously take to heart.",Robert,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:02:39.515,00:02:40.454,Ok.,Robert,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:02:44.667,00:02:53.360,"[58:3]  Those who estranged their wives in this manner, then reconcile, shall expiate by freeing a slave before they resume intercourse. This is to admonish you.",Robert,,58:3,en
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:02:54.310,00:03:01.870,"There again, obviously, we don't have slaves or things like this today.",Robert,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:03:02.577,00:03:12.449,But the point is well taken about the relationship that should exist between a husband and a wife and how,Robert,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:03:12.449,00:03:19.190,"how regardless of the circumstances, how a person should treat his wife.",Robert,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:03:23.028,00:03:27.331,"Okay, [58:4] If you cannot find a slave, then you shall fast two consecutive months before resuming intercourse.",Robert,,58:4,en
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:03:29.745,00:03:39.156,"Like this is just straightforwardness here, telling you or telling people this applies to,",Robert,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:03:39.156,00:03:42.483,what they need to do to receive reconciliation.,Robert,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:03:45.715,00:03:54.998,"Ok. [58:5]  Those who oppose God and His Messenger are doomed like those before them who were doomed. We have revealed clear revelations, and the disbelievers therein have deserved painful retribution.",Robert,,58:5,en
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:03:56.486,00:03:59.653,This verse is just tremendous.,Robert,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:03:59.653,00:04:05.427,"When God says ""We have revealed clear revelations, and the disbelievers therein have deserved painful retribution.""",Robert,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:04:05.427,00:04:07.468,"When He says ""clear"", He means ""clear.""",Robert,,,
25 Quran Study From Behrouz 1525 Sura 58 By Robert,https://www.youtube.com/watch?v=Qr_e-6xqbD4,00:04:07.670,00:04:15.147,"The Quran come... the Quran is straightforward, and it says what...you know, what it says is what it means to you.",Robert,,,
