Video Title,Link,Start Time,End Time,Text,Speaker,SplitFromRow,VerseRefs,VerseLang,HasArabic,Description,TOC Time,TOC Title
26 Quran Study From Behrouz 1626 Sura 67 By Gatut Hamid Argues With Rashad,https://www.youtube.com/watch?v=CGfev9VS4Mw,00:00:00.140,00:00:02.324,Gatut: (We seek) refuge in God from the rejected devil.,Gatut Adisoma,,,,false,"Gatut Adisoma leads a study session on Sura 67, Al-Mulk, focusing on the nature of God's sovereignty, the purpose of human existence, and the flawless design of the universe. He explains that God grants kingship to believers, who are liberated from the worldly anxieties associated with celebrity and material wealth. Adisoma discusses the creation of seven universes, identifying the innermost as a prison for Satan, and highlights the Quranic warnings regarding Hell, where disbelievers will eventually confess their denial of God's revelations. Dr. Rashad Khalifa interjects to emphasize the precision of God's system, citing the predictable movements of celestial bodies and the moon's synchronized rotation. The session transitions into a contentious debate between Hamid, Dr. Khalifa, and other attendees regarding the extent of God's daily interference in human affairs. Hamid argues that humans possess individual agency and that God does not intervene in mundane choices, a view Dr. Khalifa and other students challenge by asserting that God controls every aspect of existence, including human speech and actions. The discussion concludes with a recitation of Al-Fatiha for community members and a preview of the next session.",,
26 Quran Study From Behrouz 1626 Sura 67 By Gatut Hamid Argues With Rashad,https://www.youtube.com/watch?v=CGfev9VS4Mw,00:00:02.324,00:00:03.334,Bism Allah Arrahman Arraheem,Gatut Adisoma,,,,false,,,
26 Quran Study From Behrouz 1626 Sura 67 By Gatut Hamid Argues With Rashad,https://www.youtube.com/watch?v=CGfev9VS4Mw,00:00:03.334,00:00:06.514,"In the name of God, Most Gracious, Most Merciful.",Gatut Adisoma,,,,false,,,
26 Quran Study From Behrouz 1626 Sura 67 By Gatut Hamid Argues With Rashad,https://www.youtube.com/watch?v=CGfev9VS4Mw,00:00:07.350,00:00:12.290,"We are in Surah 67, Kingship (Al-Mulk).",Gatut Adisoma,,,,false,,00:00:07.350,Sura 67 Kingship Overview
26 Quran Study From Behrouz 1626 Sura 67 By Gatut Hamid Argues With Rashad,https://www.youtube.com/watch?v=CGfev9VS4Mw,00:00:15.028,00:00:21.196,"[67:1]  Most exalted is the One in whose hands is all kingship, and He is Omnipotent.",Gatut Adisoma,,67:1,en,false,,,
26 Quran Study From Behrouz 1626 Sura 67 By Gatut Hamid Argues With Rashad,https://www.youtube.com/watch?v=CGfev9VS4Mw,00:00:23.702,00:00:25.353,"Well, I have to stop here.",Gatut Adisoma,,,,false,,,
26 Quran Study From Behrouz 1626 Sura 67 By Gatut Hamid Argues With Rashad,https://www.youtube.com/watch?v=CGfev9VS4Mw,00:00:26.188,00:00:32.732,The verse says very clearly that in God is all the Kingship.,Gatut Adisoma,,,,false,,00:00:26.188,God as Sole Authority
26 Quran Study From Behrouz 1626 Sura 67 By Gatut Hamid Argues With Rashad,https://www.youtube.com/watch?v=CGfev9VS4Mw,00:00:33.660,00:00:41.425,"So, Kingship means that He is the sole and the only authority in this whole universe.",Gatut Adisoma,,,,false,,,
26 Quran Study From Behrouz 1626 Sura 67 By Gatut Hamid Argues With Rashad,https://www.youtube.com/watch?v=CGfev9VS4Mw,00:00:41.796,00:00:44.625,And He is also Omnipotent according to this verse.,Gatut Adisoma,,,,false,,,
26 Quran Study From Behrouz 1626 Sura 67 By Gatut Hamid Argues With Rashad,https://www.youtube.com/watch?v=CGfev9VS4Mw,00:00:45.321,00:00:53.244,"We also learn from the Quran that God grants Kingship to whomever He wills, and He grants it to the believers.",Gatut Adisoma,,,,false,,00:00:45.321,Kingship Granted to Believers
