Video Title,Link,Start Time,End Time,Text,Speaker
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:00:00.480,00:00:02.420,"Dr. Khalifa: 
أعوذ بِٱللَّهِ مِنَ ٱلشَّيْطَـٰنِ ٱلرَّجِيمِ",Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:00:03.328,00:00:04.880,Bism Allah Arrahman Arraheem,Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:00:05.848,00:00:10.210,"Every page of the Quran says ""Worship only the Omnipotent One.""",Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:00:11.842,00:00:17.368,[14:19]  Do you not realize that GOD has created the heavens and the earth for a specific purpose?...,Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:00:17.671,00:00:20.151,"Batool, stop this noise there, Batool.",Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:00:21.481,00:00:26.504,A child: It's only Rachel. Rachel is only crying.,A child
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:00:26.504,00:00:27.460,Dr. Khalifa: There we go.,Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:00:28.763,00:00:30.000,She knows what she wants.,Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:00:30.420,00:00:32.348,"""When I sit in Mama's lap, that's it.""",Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:00:34.465,00:00:35.880,أعوذ بِٱللَّهِ مِنَ ٱلشَّيْطَـٰنِ ٱلرَّجِيمِ,Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:00:35.880,00:00:37.311,Bism Allah Arrahman Arraheem,Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:00:37.311,00:00:39.658,"Verse 19 of Surah 14 says,",Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:00:39.658,00:00:48.792,"[14:19]  Do you not realize that GOD has created the heavens and the earth for a specific purpose? If He wills, He can remove you, and substitute a new creation in your place.",Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:00:49.820,00:00:51.880,[14:20]  This is not too difficult for GOD.,Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:00:53.501,00:01:12.940,"[14:21]  When they all stood before GOD,* the followers said to the leaders, ""We used to follow you. Can you spare us even a little bit of GOD's retribution?"" They said, ""Had GOD guided us, we would have guided you. Now it is too late, whether we grieve or resort to patience, there is no exit for us.""",Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:01:13.440,00:01:19.183,This is in the past tense to emphasize that this is actually what happened on the Day of Judgment.,Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:01:20.759,00:01:22.182,As witnessed by God.,Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:01:22.801,00:01:24.368,The Day of Judgment is not here yet.,Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:01:25.577,00:01:27.528,But these are things... It's...,Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:01:27.528,00:01:31.614,The Bible and the Quran speak in the past tense to indicate that this is a prophecy,Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:01:31.614,00:01:33.507,that is sure to come to pass.,Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:01:34.898,00:01:40.465,A man: (unintelligible),A man
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:01:40.762,00:01:43.495,Dr. Khalifa: (14:20) وَمَا ذَٰلِكَ عَلَى ٱللَّهِ بِعَزِيزٍۢ,Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:01:43.946,00:01:45.883,Dr. Khalifa: (14:20) وَمَا ذَٰلِكَ عَلَى ٱللَّهِ بِعَزِيزٍۢ,Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:01:45.883,00:01:48.319,A man: It sounds like it's (unintelligible).,A man
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:01:48.319,00:01:50.863,Dr. Khalifa: No. It's not difficult at all.,Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:01:51.485,00:01:52.727,"Oh, I see.",Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:01:53.763,00:01:56.039,A man: Because it looks easy for God.,A man
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:01:57.241,00:02:01.827,"Dr. Khalifa: No, this is, this is not difficult for God to do.",Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:02:07.993,00:02:08.993,"22,",Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:02:10.263,00:02:26.492,"[14:22]  And the devil said, after the judgment had been issued, ""GOD has promised you the truthful promise, and I promised you, but I broke my promise. I had no power over you;",Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:02:26.492,00:02:46.063,"All I did was invite you, and you accepted my invitation. Therefore, do not blame me, and blame yourselves. My complaining cannot help you, nor can your complaining help me. I have disbelieved in your idolizing me. Only the transgressors have incurred a painful retribution.""",Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:02:46.789,00:02:53.000,"So, here is Satan finally telling his constituents ""I knew you were stupid to worship me, to follow me.""",Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:02:54.605,00:03:03.682,"So, now the people who follow him now, he points at some of them ""you stupid idiots. I tricked you. You follow me?""",Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:03:05.133,00:03:06.546,"23,",Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:03:07.151,00:03:19.622,"[14:23]  As for those who believed and led a righteous life, they were admitted into gardens with flowing streams. They abide therein forever, in accordance with the will of their Lord. Their greeting therein is: ""Peace.""",Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:03:22.162,00:03:32.848,"[14:24]  Do you not see that GOD has cited the example of the good word as a good tree whose root is firmly fixed, and its branch is high in the sky?",Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:03:33.271,00:03:35.568,"So, the good word, the truth, lasts.",Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:03:36.233,00:03:37.561,It has basis.,Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:03:38.287,00:03:39.376,It has roots.,Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:03:40.887,00:03:42.179,"And 25,",Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:03:42.179,00:03:52.401,"[14:25]  It produces its crop every season, as designed by its Lord. GOD thus cites the examples for the people, that they may take heed.",Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:03:53.006,00:03:59.488,[14:26]  The example of the bad word is that of a bad tree chopped at the soil level; it does not stand.,Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:03:59.758,00:04:04.870,"So, the bad word, the falsehood, you just blow in it and it falls down.",Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:04:06.926,00:04:13.253,"[14:27]  GOD strengthens those who believe with the proven word, in this life and in the Hereafter. ...",Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:04:14.072,00:04:16.090,And what we have is the proven word.,Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:04:20.323,00:04:24.849,[14:27]  ...And GOD sends the transgressors astray. GOD does what He wills.,Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:04:26.883,00:04:30.000,"They remove their families from God's protection. Number 28,",Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:04:30.615,00:04:37.297,"[14:28]  Have you noted those who responded to GOD's blessings by disbelieving, and thus brought disaster upon their own families?",Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:04:37.720,00:04:46.713,We talked earlier this afternoon about the souls being assigned to certain homes.,Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:04:47.680,00:04:53.818,"So, if the people refuse to uphold God's commandments, God will assign evil souls to their houses.",Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:04:55.829,00:05:02.220,"A woman: How does this apply to the belief  where one
parent is believing and the other is disbelieving?",A woman
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:05:03.550,00:05:05.248,A woman: (unintelligible).,A woman
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:05:06.814,00:05:12.050,"Dr. Khalifa: Amazingly, it works both ways. The believer will get his or her way.",Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:05:13.622,00:05:16.038,But a lot of times the situation... Pardon?,Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:05:16.038,00:05:17.328,A woman: (unintelligible).,A woman
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:05:18.537,00:05:19.958,"Dr. Khalifa: Usually, yes.",Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:05:22.740,00:05:24.454,It's hard to think because...,Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:05:27.356,00:05:29.479,"You see, the believers get their way.",Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:05:30.507,00:05:33.279,And I'm thinking of my own parents.,Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:05:34.065,00:05:38.034,"Where my mother was a believer, my father was not,",Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:05:38.034,00:05:40.426,a heavy duty idol worshiper.,Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:05:43.631,00:05:45.328,"A man: A believer, like, what you mean?",A man
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:05:45.328,00:05:50.443,"Dr. Khalifa: But you see, my mother was not actively preaching,
not continuously.",Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:05:50.443,00:05:53.043,She was not as educated as she wished to be.,Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:05:53.587,00:06:00.405,"But she was just telling us always ""God alone, God alone, the saints and the prophets are dead.""",Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:06:00.405,00:06:02.756,"""You must trust in God alone, nobody else.""",Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:06:03.421,00:06:08.080,"And she kind of gave up because we all ganged up on her, with my father.",Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:06:09.047,00:06:11.030,"So in other words, we didn't follow her.",Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:06:11.514,00:06:15.429,"So, we ended up half the kids are believers and half are disbelievers.",Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:06:16.094,00:06:19.099,I should put it this way. Half are believers.,Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:06:19.099,00:06:24.750,"50% are believers, 10% disbeliever, and the rest are wishy-washy.",Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:06:27.714,00:06:29.468,"Sounds like we had a hundred kids, right?",Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:06:29.468,00:06:30.407,We were only six.,Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:06:32.029,00:06:33.195,But that's a very good proportion.,Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:06:33.195,00:06:42.732,"Three believers out of the six, and two nice ones made a firm stand, and one disbeliever.",Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:06:43.457,00:06:45.127,"Oh, I'm sorry. That's not right.",Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:06:45.490,00:06:51.648,"A man: If both parents are believers, and true believers, is that a guarantee that the children will be believers?
Dr. Khalifa: No.",A man
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:06:53.583,00:06:58.989,"Dr. Khalifa: Those are examples...
A man: And two disbelievers, two parents are disbelievers, they can have a believing child?",Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:06:59.400,00:07:04.169,Dr. Khalifa: Noah had one son that was disbeliever. We have examples in the Quran of all kinds of relatives.,Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:07:04.620,00:07:07.896,Because the word guarantee is just too strong.,Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:07:09.276,00:07:10.820,"Generally, yes.",Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:07:11.908,00:07:15.923,"And in this new era, the believers will get their way.",Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:07:16.466,00:07:25.851,"This is a very...this is a, this is a very difficult era to believe, because of the TV, the movies, the atmosphere, the society.",Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:07:26.609,00:07:31.496,"It's just more, it's more difficult to believe, but at the same time it is easier to believe.",Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:07:33.129,00:07:34.554,You can understand that.,Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:07:34.554,00:07:36.169,There are too many distractions.,Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:07:38.345,00:07:45.000,"So in this new era, where the miracle is mental and everything, just God's system that",Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:07:45.000,00:07:47.932,things will go the way of the believers.,Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:07:50.290,00:07:56.493,"So IN SHAA ALLAH, Roxana's kids, all of them will be believers. They are already, Mā Shā Allāh.",Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:08:02.661,00:08:03.775,Where were we?,Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:08:06.496,00:08:10.065,"Yeah, we talked about... they remove their families from God's protection.",Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:08:11.335,00:08:19.403,"There are also examples, for example, Ibrahim was God's favorite person.",Dr. Khalifa
27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,https://www.youtube.com/watch?v=NPb1hfwEpRo,00:08:19.826,00:08:26.002,"But his father, his parents, were... I don't know about his mother, but at least his father was a disbeliever,",Dr. Khalifa
