Video Title,Link,Start Time,End Time,Text,Speaker,SplitFromRow
28 Quran Study From Parivash 128 Sura 45;33 Parivash's Home 19 Math,https://www.youtube.com/watch?v=2wJituk57Ho,00:00:00.556,00:00:03.704,Dr. Khalifa: أعوذ بِٱللَّهِ مِنَ ٱلشَّيْطَـٰنِ ٱلرَّجِيمِ Bism Allah Arrahman Arraheem,Dr. Khalifa,
28 Quran Study From Parivash 128 Sura 45;33 Parivash's Home 19 Math,https://www.youtube.com/watch?v=2wJituk57Ho,00:00:06.847,00:00:12.830,"[45:33]  The evils of their works will become obvious to them, and the very things they mocked will come back and haunt them.",Dr. Khalifa,
28 Quran Study From Parivash 128 Sura 45;33 Parivash's Home 19 Math,https://www.youtube.com/watch?v=2wJituk57Ho,00:00:13.693,00:00:23.266,"[45:34]  It will be proclaimed: ""Today we forget you, just as you forgot the meeting of this day. Your abode is the hellfire, and you will have no helpers.",Dr. Khalifa,
28 Quran Study From Parivash 128 Sura 45;33 Parivash's Home 19 Math,https://www.youtube.com/watch?v=2wJituk57Ho,00:00:24.913,00:00:37.391,"[45:35]  ""This is because you mocked and ridiculed GOD's revelations, and were preoccupied with the first life."" Consequently, they will never exit therefrom, nor will they be excused.",Dr. Khalifa,
28 Quran Study From Parivash 128 Sura 45;33 Parivash's Home 19 Math,https://www.youtube.com/watch?v=2wJituk57Ho,00:00:38.389,00:00:42.435,"[45:36]  To GOD belongs all praise; Lord of the heavens, Lord of the earth, Lord of the universe.",Dr. Khalifa,
28 Quran Study From Parivash 128 Sura 45;33 Parivash's Home 19 Math,https://www.youtube.com/watch?v=2wJituk57Ho,00:00:43.283,00:00:48.776,"[45:37]  To Him belongs all supremacy in the heavens and the earth. He is the Almighty, Most Wise.",Dr. Khalifa,
28 Quran Study From Parivash 128 Sura 45;33 Parivash's Home 19 Math,https://www.youtube.com/watch?v=2wJituk57Ho,00:00:50.000,00:00:56.740,"In the name of God, Most Gracious, Most Merciful. [46:1] H. M. [46:2] The revelation of this scripture is from GOD, the Almighty, the Wise.",Dr. Khalifa,
28 Quran Study From Parivash 128 Sura 45;33 Parivash's Home 19 Math,https://www.youtube.com/watch?v=2wJituk57Ho,00:00:57.139,00:01:07.771,"[46:3]  We did not create the heavens and the earth, and everything between them except for a specific purpose, and for a finite interim. Those who disbelieve are totally oblivious to the warnings.",Dr. Khalifa,
28 Quran Study From Parivash 128 Sura 45;33 Parivash's Home 19 Math,https://www.youtube.com/watch?v=2wJituk57Ho,00:01:08.669,00:01:24.040,"[46:4]  Say, ""Consider the idols you have set up beside GOD. Show me what on earth did they create. Do they own part of the heavens? Show me any other scripture or any piece of knowledge that supports your idolatry, if you are truthful.""",Dr. Khalifa,
28 Quran Study From Parivash 128 Sura 45;33 Parivash's Home 19 Math,https://www.youtube.com/watch?v=2wJituk57Ho,00:01:25.437,00:01:27.138,The Idols Totally Unaware,Dr. Khalifa,
28 Quran Study From Parivash 128 Sura 45;33 Parivash's Home 19 Math,https://www.youtube.com/watch?v=2wJituk57Ho,00:01:27.837,00:01:38.020,"[46:5]  Who is farther astray than those who idolize beside GOD idols that can never respond to them until the Day of Resurrection, and are totally unaware of their worship?",Dr. Khalifa,
28 Quran Study From Parivash 128 Sura 45;33 Parivash's Home 19 Math,https://www.youtube.com/watch?v=2wJituk57Ho,00:01:41.413,00:01:44.161,This is what most Sunnis and Shias do.,Dr. Khalifa,
28 Quran Study From Parivash 128 Sura 45;33 Parivash's Home 19 Math,https://www.youtube.com/watch?v=2wJituk57Ho,00:01:44.860,00:01:46.062,"The next page,",Dr. Khalifa,
28 Quran Study From Parivash 128 Sura 45;33 Parivash's Home 19 Math,https://www.youtube.com/watch?v=2wJituk57Ho,00:01:46.062,00:01:48.062,The Idols Disown Their Worshipers*,Dr. Khalifa,
28 Quran Study From Parivash 128 Sura 45;33 Parivash's Home 19 Math,https://www.youtube.com/watch?v=2wJituk57Ho,00:01:48.810,00:01:56.049,"[46:6]  And when the people are summoned (on the Day of Judgment), their idols will become their enemies, and will denounce their idolatry.*",Dr. Khalifa,
28 Quran Study From Parivash 128 Sura 45;33 Parivash's Home 19 Math,https://www.youtube.com/watch?v=2wJituk57Ho,00:01:57.496,00:02:05.084,"[46:7]  When our revelations were recited to them, clearly, those who disbelieved said of the truth that came to them, ""This is obviously magic!""",Dr. Khalifa,
28 Quran Study From Parivash 128 Sura 45;33 Parivash's Home 19 Math,https://www.youtube.com/watch?v=2wJituk57Ho,00:02:05.832,00:02:08.331,"So, we're talking about idol worshipers who idolize people.",Dr. Khalifa,
28 Quran Study From Parivash 128 Sura 45;33 Parivash's Home 19 Math,https://www.youtube.com/watch?v=2wJituk57Ho,00:02:09.593,00:02:11.246,"Because we're told in verse 6,",Dr. Khalifa,
28 Quran Study From Parivash 128 Sura 45;33 Parivash's Home 19 Math,https://www.youtube.com/watch?v=2wJituk57Ho,00:02:11.495,00:02:18.035,"[46:6]  ...when the people are summoned (on the Day of Judgment), their idols will become their enemies, and will denounce their idolatry.*",Dr. Khalifa,
28 Quran Study From Parivash 128 Sura 45;33 Parivash's Home 19 Math,https://www.youtube.com/watch?v=2wJituk57Ho,00:02:19.460,00:02:25.366,"So, Ali will have to denounce all the Shias, and Muhammad denounces all the Muslims.",Dr. Khalifa,
28 Quran Study From Parivash 128 Sura 45;33 Parivash's Home 19 Math,https://www.youtube.com/watch?v=2wJituk57Ho,00:02:26.666,00:02:28.708,"Dr. Khalifa: In fact, this is documented in the Quran.",Dr. Khalifa,
28 Quran Study From Parivash 128 Sura 45;33 Parivash's Home 19 Math,https://www.youtube.com/watch?v=2wJituk57Ho,00:02:29.007,00:02:30.259,A man: There's (unintelligible) Muslims.,A man,
28 Quran Study From Parivash 128 Sura 45;33 Parivash's Home 19 Math,https://www.youtube.com/watch?v=2wJituk57Ho,00:02:30.858,00:02:31.760,Dr. Khalifa: Hmm?,Dr. Khalifa,
