Video Title,Link,Start Time,End Time,Text,Speaker,SplitFromRow
30 Quran Study From Parivash 330 Sura 28 & Sura 57 Insurance With GOD Sura 45;33 Rashad Was Told To,https://www.youtube.com/watch?v=q1snri6J2w4,00:00:01.640,00:00:05.031,Dr. Khalifa: أعوذ بِٱللَّهِ مِنَ ٱلشَّيْطَـٰنِ ٱلرَّجِيمِ Bism Allah Arrahman Arraheem,Dr. Khalifa,
30 Quran Study From Parivash 330 Sura 28 & Sura 57 Insurance With GOD Sura 45;33 Rashad Was Told To,https://www.youtube.com/watch?v=q1snri6J2w4,00:00:06.670,00:00:14.498,"[28:6]  And to establish them on earth, and to give Pharaoh, Hāmān, and their troops a taste of the suffering they have inflicted upon others.",Dr. Khalifa,
30 Quran Study From Parivash 330 Sura 28 & Sura 57 Insurance With GOD Sura 45;33 Rashad Was Told To,https://www.youtube.com/watch?v=q1snri6J2w4,00:00:15.668,00:00:21.364,This verse has to do with God supporting the oppressed.,Dr. Khalifa,
30 Quran Study From Parivash 330 Sura 28 & Sura 57 Insurance With GOD Sura 45;33 Rashad Was Told To,https://www.youtube.com/watch?v=q1snri6J2w4,00:00:25.553,00:00:34.951,"This is a divine law that we see in verse 5, just before that, that God helps the oppressed.",Dr. Khalifa,
30 Quran Study From Parivash 330 Sura 28 & Sura 57 Insurance With GOD Sura 45;33 Rashad Was Told To,https://www.youtube.com/watch?v=q1snri6J2w4,00:00:36.951,00:00:44.536,"[28:5]  We willed to make it up to those who were oppressed on earth, and to turn them into dignified people, and make them the inheritors.",Dr. Khalifa,
30 Quran Study From Parivash 330 Sura 28 & Sura 57 Insurance With GOD Sura 45;33 Rashad Was Told To,https://www.youtube.com/watch?v=q1snri6J2w4,00:00:47.086,00:00:54.307,"[28:6]  And to establish them on earth, and to give Pharaoh, Hāmān, and their troops a taste of the suffering they have inflicted upon others.",Dr. Khalifa,
30 Quran Study From Parivash 330 Sura 28 & Sura 57 Insurance With GOD Sura 45;33 Rashad Was Told To,https://www.youtube.com/watch?v=q1snri6J2w4,00:00:54.584,00:00:57.552,They were enslaving the children of Israel.,Dr. Khalifa,
30 Quran Study From Parivash 330 Sura 28 & Sura 57 Insurance With GOD Sura 45;33 Rashad Was Told To,https://www.youtube.com/watch?v=q1snri6J2w4,00:00:59.591,00:01:07.454,"Now, you remember Joseph. Joseph was picked up from the well, taken to Egypt.",Dr. Khalifa,
30 Quran Study From Parivash 330 Sura 28 & Sura 57 Insurance With GOD Sura 45;33 Rashad Was Told To,https://www.youtube.com/watch?v=q1snri6J2w4,00:01:07.795,00:01:13.998,"Eventually, he became the treasurer, and he was the man in charge of all the food for the whole world",Dr. Khalifa,
30 Quran Study From Parivash 330 Sura 28 & Sura 57 Insurance With GOD Sura 45;33 Rashad Was Told To,https://www.youtube.com/watch?v=q1snri6J2w4,00:01:13.998,00:01:21.128,"actually, because the whole world was in the Middle East, excluding China, that area, but",Dr. Khalifa,
30 Quran Study From Parivash 330 Sura 28 & Sura 57 Insurance With GOD Sura 45;33 Rashad Was Told To,https://www.youtube.com/watch?v=q1snri6J2w4,00:01:21.128,00:01:23.607,that was the most active area in the world.,Dr. Khalifa,
30 Quran Study From Parivash 330 Sura 28 & Sura 57 Insurance With GOD Sura 45;33 Rashad Was Told To,https://www.youtube.com/watch?v=q1snri6J2w4,00:01:24.363,00:01:30.893,"And people were coming to him from everywhere, including his own family, as you remember.",Dr. Khalifa,
30 Quran Study From Parivash 330 Sura 28 & Sura 57 Insurance With GOD Sura 45;33 Rashad Was Told To,https://www.youtube.com/watch?v=q1snri6J2w4,00:01:31.804,00:01:41.115,"And then he played that trick, where they put the king's cup in his brother's goods,",Dr. Khalifa,
30 Quran Study From Parivash 330 Sura 28 & Sura 57 Insurance With GOD Sura 45;33 Rashad Was Told To,https://www.youtube.com/watch?v=q1snri6J2w4,00:01:41.115,00:01:50.102,"kept his small brother, and then finally he told them who he was and asked them to bring his family to Egypt.",Dr. Khalifa,
30 Quran Study From Parivash 330 Sura 28 & Sura 57 Insurance With GOD Sura 45;33 Rashad Was Told To,https://www.youtube.com/watch?v=q1snri6J2w4,00:01:50.564,00:01:52.226,That was in Joseph's time.,Dr. Khalifa,
