Video Title,Link,Start Time,End Time,Text,Speaker,SplitFromRow
32 Quran Study From Parivash 532 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28 8,https://www.youtube.com/watch?v=jpTj9DAzZO4,00:00:02.231,00:00:02.746,Dr. Khalifa: Sovereigns.,Dr. Khalifa,
32 Quran Study From Parivash 532 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28 8,https://www.youtube.com/watch?v=jpTj9DAzZO4,00:00:03.046,00:00:03.546,A woman: Sovereigns.,A woman,
32 Quran Study From Parivash 532 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28 8,https://www.youtube.com/watch?v=jpTj9DAzZO4,00:00:03.546,00:00:04.495,Dr. Khalifa: Means kings and queens.,Dr. Khalifa,
32 Quran Study From Parivash 532 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28 8,https://www.youtube.com/watch?v=jpTj9DAzZO4,00:00:05.000,00:00:05.500,A woman: Right.,A woman,
32 Quran Study From Parivash 532 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28 8,https://www.youtube.com/watch?v=jpTj9DAzZO4,00:00:05.500,00:00:07.088,"Dr. Khalifa: Just one word for it, instead of two words.",Dr. Khalifa,
32 Quran Study From Parivash 532 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28 8,https://www.youtube.com/watch?v=jpTj9DAzZO4,00:00:07.388,00:00:07.888,A woman: Right.,A woman,
32 Quran Study From Parivash 532 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28 8,https://www.youtube.com/watch?v=jpTj9DAzZO4,00:00:08.422,00:00:29.124,"[24:55]  ... as He did for those before them, and will establish for them the religion He has chosen for them, and will substitute peace and security for them in place of fear. All this because they worship Me alone without setting up any idols beside Me. Those ...",A woman,
32 Quran Study From Parivash 532 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28 8,https://www.youtube.com/watch?v=jpTj9DAzZO4,00:00:29.124,00:00:29.893,Dr. Khalifa: Does this answer your question?,Dr. Khalifa,
32 Quran Study From Parivash 532 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28 8,https://www.youtube.com/watch?v=jpTj9DAzZO4,00:00:32.089,00:00:32.819,Hmm?,Dr. Khalifa,32-1
32 Quran Study From Parivash 532 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28 8,https://www.youtube.com/watch?v=jpTj9DAzZO4,00:00:32.089,00:00:32.819,Pardon?,A woman,32-1
32 Quran Study From Parivash 532 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28 8,https://www.youtube.com/watch?v=jpTj9DAzZO4,00:00:32.957,00:00:34.566,Does this answer your question?,Dr. Khalifa,32-2
32 Quran Study From Parivash 532 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28 8,https://www.youtube.com/watch?v=jpTj9DAzZO4,00:00:32.957,00:00:34.566,Yes.,A woman,32-2
32 Quran Study From Parivash 532 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28 8,https://www.youtube.com/watch?v=jpTj9DAzZO4,00:00:35.999,00:00:38.895,Dr. Khalifa: [24:55]  ... substitute peace and security for them in place of fear. ...,Dr. Khalifa,
32 Quran Study From Parivash 532 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28 8,https://www.youtube.com/watch?v=jpTj9DAzZO4,00:00:40.410,00:00:41.603,Dr. Khalifa: Everything will be alright.,Dr. Khalifa,
32 Quran Study From Parivash 532 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28 8,https://www.youtube.com/watch?v=jpTj9DAzZO4,00:00:41.888,00:00:47.574,"A woman: What about Surah 22 verse 15, which says ""Happiness Now, and Forever""?",A woman,
32 Quran Study From Parivash 532 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28 8,https://www.youtube.com/watch?v=jpTj9DAzZO4,00:00:48.083,00:00:51.366,We let go everything and just depend on God alone.,A woman,
32 Quran Study From Parivash 532 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28 8,https://www.youtube.com/watch?v=jpTj9DAzZO4,00:00:51.715,00:00:54.677,"And it doesn't matter what happens, it doesn't bother you.",A woman,
32 Quran Study From Parivash 532 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28 8,https://www.youtube.com/watch?v=jpTj9DAzZO4,00:00:54.677,00:00:55.177,Dr. Khalifa: Yes.,Dr. Khalifa,
32 Quran Study From Parivash 532 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28 8,https://www.youtube.com/watch?v=jpTj9DAzZO4,00:00:55.177,00:00:57.177,A woman: (unintelligible),A woman,
32 Quran Study From Parivash 532 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28 8,https://www.youtube.com/watch?v=jpTj9DAzZO4,00:00:58.395,00:01:01.033,"Unless you wanna follow some other translation, then you hang yourself.",Dr. Khalifa,
32 Quran Study From Parivash 532 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28 8,https://www.youtube.com/watch?v=jpTj9DAzZO4,00:01:01.033,00:01:01.533,A woman: Yep.,A woman,
32 Quran Study From Parivash 532 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28 8,https://www.youtube.com/watch?v=jpTj9DAzZO4,00:01:11.922,00:01:12.576,Dr. Khalifa: It's true.,Dr. Khalifa,
32 Quran Study From Parivash 532 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28 8,https://www.youtube.com/watch?v=jpTj9DAzZO4,00:01:13.940,00:01:14.730,Dr. Khalifa: They hang themselves.,Dr. Khalifa,
32 Quran Study From Parivash 532 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28 8,https://www.youtube.com/watch?v=jpTj9DAzZO4,00:01:18.866,00:01:24.069,Dr. Khalifa: 22:15 is the verse where translated unanimously in all the other translations as,Dr. Khalifa,
32 Quran Study From Parivash 532 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28 8,https://www.youtube.com/watch?v=jpTj9DAzZO4,00:01:24.069,00:01:27.701,"""if you don't believe that God can help you in this world and forever, hang yourself.""",Dr. Khalifa,
32 Quran Study From Parivash 532 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28 8,https://www.youtube.com/watch?v=jpTj9DAzZO4,00:01:30.298,00:01:30.798,Dr. Khalifa: Really?,Dr. Khalifa,
32 Quran Study From Parivash 532 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28 8,https://www.youtube.com/watch?v=jpTj9DAzZO4,00:01:30.947,00:01:31.947,A woman: Yes. Yes.,A woman,
32 Quran Study From Parivash 532 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28 8,https://www.youtube.com/watch?v=jpTj9DAzZO4,00:01:32.040,00:01:32.601,A woman: What?!,A woman,
32 Quran Study From Parivash 532 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28 8,https://www.youtube.com/watch?v=jpTj9DAzZO4,00:01:33.270,00:01:34.292,Dr. Khalifa: I thought you knew that.,Dr. Khalifa,
32 Quran Study From Parivash 532 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28 8,https://www.youtube.com/watch?v=jpTj9DAzZO4,00:01:36.579,00:01:38.299,"Dr. Khalifa: Ok, so you have to read it for us then.",Dr. Khalifa,
32 Quran Study From Parivash 532 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28 8,https://www.youtube.com/watch?v=jpTj9DAzZO4,00:01:38.923,00:01:40.415,A woman: What?! How?!,A woman,
32 Quran Study From Parivash 532 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28 8,https://www.youtube.com/watch?v=jpTj9DAzZO4,00:01:40.415,00:01:41.736,"A woman: Thank God, I never saw that.",A woman,
32 Quran Study From Parivash 532 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28 8,https://www.youtube.com/watch?v=jpTj9DAzZO4,00:01:42.502,00:01:43.109,Dr. Khalifa: Really?,Dr. Khalifa,
32 Quran Study From Parivash 532 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28 8,https://www.youtube.com/watch?v=jpTj9DAzZO4,00:01:43.694,00:01:44.194,Dr. Khalifa: Oh.,Dr. Khalifa,
32 Quran Study From Parivash 532 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28 8,https://www.youtube.com/watch?v=jpTj9DAzZO4,00:01:44.194,00:01:45.316,A woman: I never really hung (unintelligible),A woman,
32 Quran Study From Parivash 532 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28 8,https://www.youtube.com/watch?v=jpTj9DAzZO4,00:01:47.316,00:01:52.087,A woman: (unintelligible),A woman,
32 Quran Study From Parivash 532 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28 8,https://www.youtube.com/watch?v=jpTj9DAzZO4,00:01:52.087,00:01:57.505,Edip: There are several different interpretations on this. All of them funny from each other.,Edip,
32 Quran Study From Parivash 532 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28 8,https://www.youtube.com/watch?v=jpTj9DAzZO4,00:01:57.505,00:01:58.212,Dr. Khalifa: Yes.,Dr. Khalifa,
32 Quran Study From Parivash 532 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28 8,https://www.youtube.com/watch?v=jpTj9DAzZO4,00:01:58.212,00:02:05.000,"The other one says ""let him go to sky and open a hole from the sky and look at this (unintelligible)",Edip,
32 Quran Study From Parivash 532 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28 8,https://www.youtube.com/watch?v=jpTj9DAzZO4,00:02:05.370,00:02:06.654,Dr. Khalifa: It must be Ibn Kathir.,Dr. Khalifa,
32 Quran Study From Parivash 532 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28 8,https://www.youtube.com/watch?v=jpTj9DAzZO4,00:02:06.885,00:02:08.192,"Edip: No, this is Maududi",Edip,
32 Quran Study From Parivash 532 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28 8,https://www.youtube.com/watch?v=jpTj9DAzZO4,00:02:08.192,00:02:09.868,"Maududi, yes.",Dr. Khalifa,32-3
32 Quran Study From Parivash 532 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28 8,https://www.youtube.com/watch?v=jpTj9DAzZO4,00:02:08.192,00:02:09.868,from Pakistan.,Edip,32-3
32 Quran Study From Parivash 532 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28 8,https://www.youtube.com/watch?v=jpTj9DAzZO4,00:02:09.868,00:02:12.630,"Dr. Khalifa: Well, This is a contemporary mufassir (interpreter).",Dr. Khalifa,
