Video Title,Link,Start Time,End Time,Text,Speaker,SplitFromRow,VerseRefs,VerseLang,HasArabic,Description,TOC Time,TOC Title
34 Quran Study From Parivash 734 Sura 33 GOD Is Physical Innovations Praying & Prostrating After Sal,https://www.youtube.com/watch?v=dH2WDuFNJyI,00:00:00.240,00:00:09.697,"Innovations creep up on us, and after one generation or two generations, there will be parts.",Dr. Khalifa,,,,false,"Dr. Rashad Khalifa leads a study circle discussion focused on Sura 33 of the Quran, emphasizing the necessity of maintaining a strictly numerical and Quranic approach to prayer and worship. He warns against the introduction of innovations, such as performing additional prostrations after the final salutation, which he argues disrupts the numerical structure of Salat. The discussion transitions into an analysis of Sura 33:1-7, where Dr. Khalifa addresses the prophet Muhammad's role as an example for believers and refutes accusations of idol worship directed at his followers. He clarifies that the covenant mentioned in 33:7 is the same one detailed in 3:81, involving all prophets, and asserts that Muhammad was a participant in this pledge to support the Messenger of the Covenant. The session includes an extensive dialogue regarding the physical nature of God, with Dr. Khalifa utilizing astronomical concepts to illustrate the vastness of the seven universes and God's physical presence. He rejects the notion that God is merely a spirit, arguing instead that God is the most physical of all entities, and discusses the state of the soul after death, distinguishing between the experiences of believers and disbelievers. Participants engage in a debate about the nature of God's physical manifestation and the paradoxes of creation, while Dr. Khalifa insists that all religious understanding must be derived solely from the Quran.",00:00:00.240,Avoiding Innovations in Prayer
34 Quran Study From Parivash 734 Sura 33 GOD Is Physical Innovations Praying & Prostrating After Sal,https://www.youtube.com/watch?v=dH2WDuFNJyI,00:00:09.697,00:00:11.740,Parts will be added to the prayer.,Dr. Khalifa,,,,false,,,
34 Quran Study From Parivash 734 Sura 33 GOD Is Physical Innovations Praying & Prostrating After Sal,https://www.youtube.com/watch?v=dH2WDuFNJyI,00:00:12.350,00:00:17.412,"When you're by yourself, wonderful, make Tasbih, and Zikr, and Sujoods, and anything you want to do.",Dr. Khalifa,,,,false,,,
34 Quran Study From Parivash 734 Sura 33 GOD Is Physical Innovations Praying & Prostrating After Sal,https://www.youtube.com/watch?v=dH2WDuFNJyI,00:00:18.496,00:00:28.817,"But when we're a group, like, you saw that I really go to unusual lengths to... immediately, I say ""Al-Salaamu ‘Alaykum"" and say ""congratulations.""",Dr. Khalifa,,,,false,,,
34 Quran Study From Parivash 734 Sura 33 GOD Is Physical Innovations Praying & Prostrating After Sal,https://www.youtube.com/watch?v=dH2WDuFNJyI,00:00:29.167,00:00:35.697,"When I'm by myself, I make Du'a and Tasbih and extra Sujoods or whatever I want to do, whatever I feel like.",Dr. Khalifa,,,,false,,,
34 Quran Study From Parivash 734 Sura 33 GOD Is Physical Innovations Praying & Prostrating After Sal,https://www.youtube.com/watch?v=dH2WDuFNJyI,00:00:36.168,00:00:38.543,And it is not a set thing.,Dr. Khalifa,,,,false,,,
34 Quran Study From Parivash 734 Sura 33 GOD Is Physical Innovations Praying & Prostrating After Sal,https://www.youtube.com/watch?v=dH2WDuFNJyI,00:00:41.186,00:00:42.741,"No, you don't count, no.",Dr. Khalifa,,,,false,,,
34 Quran Study From Parivash 734 Sura 33 GOD Is Physical Innovations Praying & Prostrating After Sal,https://www.youtube.com/watch?v=dH2WDuFNJyI,00:00:42.741,00:00:46.315,"You make Tasbih, it doesn't count. That will distract you.",Dr. Khalifa,,,,false,,,
34 Quran Study From Parivash 734 Sura 33 GOD Is Physical Innovations Praying & Prostrating After Sal,https://www.youtube.com/watch?v=dH2WDuFNJyI,00:00:47.541,00:00:54.889,But I don't know if it's an Iranian habit to make a Sujood after the Salam or what. Do you always do that? Everybody does that?,Dr. Khalifa,,,,false,,,
34 Quran Study From Parivash 734 Sura 33 GOD Is Physical Innovations Praying & Prostrating After Sal,https://www.youtube.com/watch?v=dH2WDuFNJyI,00:00:55.889,00:00:56.889,Almost.,Dr. Khalifa,34-1,,,false,,,
34 Quran Study From Parivash 734 Sura 33 GOD Is Physical Innovations Praying & Prostrating After Sal,https://www.youtube.com/watch?v=dH2WDuFNJyI,00:00:55.889,00:00:56.889,Yes.,A woman,34-1,,,false,,,
34 Quran Study From Parivash 734 Sura 33 GOD Is Physical Innovations Praying & Prostrating After Sal,https://www.youtube.com/watch?v=dH2WDuFNJyI,00:01:01.283,00:01:06.945,"Dr. Khalifa: After, after you say ""Al-Salaamu ‘Alaykum, Al-Salaamu ‘Alaykum"", or after you finish the Salam, everybody makes Sujud?",Dr. Khalifa,,,,false,,,
34 Quran Study From Parivash 734 Sura 33 GOD Is Physical Innovations Praying & Prostrating After Sal,https://www.youtube.com/watch?v=dH2WDuFNJyI,00:01:06.945,00:01:09.433,"See, it became part of the Salat in Iran.",Dr. Khalifa,,,,false,,,
34 Quran Study From Parivash 734 Sura 33 GOD Is Physical Innovations Praying & Prostrating After Sal,https://www.youtube.com/watch?v=dH2WDuFNJyI,00:01:10.674,00:01:14.412,"And this, they may bring it to us.",Dr. Khalifa,,,,false,,,
34 Quran Study From Parivash 734 Sura 33 GOD Is Physical Innovations Praying & Prostrating After Sal,https://www.youtube.com/watch?v=dH2WDuFNJyI,00:01:14.656,00:01:21.424,"This will cause the number of Sujuds to be numerically unbalanced, numerically wrong.",Dr. Khalifa,,,,false,,00:01:14.656,Numerical Balance in Salat
34 Quran Study From Parivash 734 Sura 33 GOD Is Physical Innovations Praying & Prostrating After Sal,https://www.youtube.com/watch?v=dH2WDuFNJyI,00:01:22.401,00:01:27.111,"Not that you can't do it by yourself. When you're by yourself, you do do it and you feel like falling prostrate, do it.",Dr. Khalifa,,,,false,,,
34 Quran Study From Parivash 734 Sura 33 GOD Is Physical Innovations Praying & Prostrating After Sal,https://www.youtube.com/watch?v=dH2WDuFNJyI,00:01:27.111,00:01:33.671,"But it becomes part and parcel of the prayer, and then, you don't have four Sujuds.",Dr. Khalifa,,,,false,,,
34 Quran Study From Parivash 734 Sura 33 GOD Is Physical Innovations Praying & Prostrating After Sal,https://www.youtube.com/watch?v=dH2WDuFNJyI,00:01:33.671,00:01:35.247,"In the morning, we did four Sujuds.",Dr. Khalifa,,,,false,,,
34 Quran Study From Parivash 734 Sura 33 GOD Is Physical Innovations Praying & Prostrating After Sal,https://www.youtube.com/watch?v=dH2WDuFNJyI,00:01:37.332,00:01:45.000,"Because God is so great, if you are in Sujud from birth to death, that is not sufficient to really express our devotion to God.",Dr. Khalifa,,,,false,,,
34 Quran Study From Parivash 734 Sura 33 GOD Is Physical Innovations Praying & Prostrating After Sal,https://www.youtube.com/watch?v=dH2WDuFNJyI,00:01:45.497,00:01:47.811,"Therefore, it is a numerical structure.",Dr. Khalifa,,,,false,,,
34 Quran Study From Parivash 734 Sura 33 GOD Is Physical Innovations Praying & Prostrating After Sal,https://www.youtube.com/watch?v=dH2WDuFNJyI,00:01:48.120,00:01:57.848,"It's a symbolic thing. So, two more Sujuds will not do anything as far as expressing our servitude to God.",Dr. Khalifa,,,,false,,,
34 Quran Study From Parivash 734 Sura 33 GOD Is Physical Innovations Praying & Prostrating After Sal,https://www.youtube.com/watch?v=dH2WDuFNJyI,00:01:59.231,00:02:04.471,"So, everything is numerical in the prayer, the Ruku's, the Sujuds, letters, words.",Dr. Khalifa,,,,false,,,
34 Quran Study From Parivash 734 Sura 33 GOD Is Physical Innovations Praying & Prostrating After Sal,https://www.youtube.com/watch?v=dH2WDuFNJyI,00:02:06.573,00:02:12.499,"Let's, when we are in public, let us just stick to the prayer. Otherwise, before you know it, it will be parts added to the Salat.",Dr. Khalifa,,,,false,,,
34 Quran Study From Parivash 734 Sura 33 GOD Is Physical Innovations Praying & Prostrating After Sal,https://www.youtube.com/watch?v=dH2WDuFNJyI,00:02:17.661,00:02:24.701,"And believe me, I resist making prayers and things, Du'a, just because of that point, when we are in public.",Dr. Khalifa,,,,false,,,
34 Quran Study From Parivash 734 Sura 33 GOD Is Physical Innovations Praying & Prostrating After Sal,https://www.youtube.com/watch?v=dH2WDuFNJyI,00:02:26.410,00:02:33.720,"If I make prayers, it will take only a short time and then everybody after Salam will go and make prayers and so on.",Dr. Khalifa,,,,false,,,
34 Quran Study From Parivash 734 Sura 33 GOD Is Physical Innovations Praying & Prostrating After Sal,https://www.youtube.com/watch?v=dH2WDuFNJyI,00:02:33.720,00:02:36.697,"And then, it will become part and parcel at that day.",Dr. Khalifa,,,,false,,,
34 Quran Study From Parivash 734 Sura 33 GOD Is Physical Innovations Praying & Prostrating After Sal,https://www.youtube.com/watch?v=dH2WDuFNJyI,00:02:37.704,00:02:39.009,Page 418.,Dr. Khalifa,,,,false,,00:02:37.704,Sura 33:1 and Ego
34 Quran Study From Parivash 734 Sura 33 GOD Is Physical Innovations Praying & Prostrating After Sal,https://www.youtube.com/watch?v=dH2WDuFNJyI,00:02:39.497,00:02:41.619,"In the name of God, Most Gracious, Most Merciful",Dr. Khalifa,,,,false,,,
34 Quran Study From Parivash 734 Sura 33 GOD Is Physical Innovations Praying & Prostrating After Sal,https://www.youtube.com/watch?v=dH2WDuFNJyI,00:02:41.619,00:02:47.896,"[33:1] O you prophet, observe GOD and do not obey the disbelievers and hypocrites. GOD is Omniscient, Most Wise.",Dr. Khalifa,,33:1,en,false,,,
34 Quran Study From Parivash 734 Sura 33 GOD Is Physical Innovations Praying & Prostrating After Sal,https://www.youtube.com/watch?v=dH2WDuFNJyI,00:02:47.896,00:02:49.541,I'm gonna stop right here.,Dr. Khalifa,,,,false,,,
34 Quran Study From Parivash 734 Sura 33 GOD Is Physical Innovations Praying & Prostrating After Sal,https://www.youtube.com/watch?v=dH2WDuFNJyI,00:02:50.392,00:02:52.391,This is to the prophet Muhammad.,Dr. Khalifa,,,,false,,,
34 Quran Study From Parivash 734 Sura 33 GOD Is Physical Innovations Praying & Prostrating After Sal,https://www.youtube.com/watch?v=dH2WDuFNJyI,00:02:52.757,00:02:54.257,He was the last prophet.,Dr. Khalifa,,,,false,,,
34 Quran Study From Parivash 734 Sura 33 GOD Is Physical Innovations Praying & Prostrating After Sal,https://www.youtube.com/watch?v=dH2WDuFNJyI,00:02:54.928,00:03:03.163,And God uses him as an example for the rest of us.,Dr. Khalifa,,,,false,,,
34 Quran Study From Parivash 734 Sura 33 GOD Is Physical Innovations Praying & Prostrating After Sal,https://www.youtube.com/watch?v=dH2WDuFNJyI,00:03:03.163,00:03:06.978,"Observe God, (33:1) ٱتَّقِ ٱللَّهَ Be righteous, be conscious of God.",Dr. Khalifa,,33:1,ar,true,,,
