Video Title,Link,Start Time,End Time,Text,Speaker
35 Quran Study From Parivash 835 Sura 30;25 Miracle Coming Out Of Biggest Brewery Intercession Alleg,https://www.youtube.com/watch?v=GOZ5pXt-0pU,00:00:00.739,00:00:03.418,"Dr. Khalifa:
أعوذ بِٱللَّهِ مِنَ ٱلشَّيْطَـٰنِ ٱلرَّجِيمِ
Bism Allah Arrahman Arraheem",Dr. Khalifa
35 Quran Study From Parivash 835 Sura 30;25 Miracle Coming Out Of Biggest Brewery Intercession Alleg,https://www.youtube.com/watch?v=GOZ5pXt-0pU,00:00:08.359,00:00:17.319,"[30:25]  ... the heaven and the earth are standing at His disposal. Finally, He calls you out of the earth, one call, whereupon you immediately rise.",Dr. Khalifa
35 Quran Study From Parivash 835 Sura 30;25 Miracle Coming Out Of Biggest Brewery Intercession Alleg,https://www.youtube.com/watch?v=GOZ5pXt-0pU,00:00:18.760,00:00:24.434,[30:26]  To Him belongs everyone in the heaven and the earth; all are subservient to Him.,Dr. Khalifa
35 Quran Study From Parivash 835 Sura 30;25 Miracle Coming Out Of Biggest Brewery Intercession Alleg,https://www.youtube.com/watch?v=GOZ5pXt-0pU,00:00:24.859,00:00:39.187,"[30:27]  And He is the One who initiates the creation, then repeats it; this is the easiest thing for Him. And to Him belongs the most sublime similitude, in the heavens and the earth, and He is the Almighty, Most Wise.",Dr. Khalifa
35 Quran Study From Parivash 835 Sura 30;25 Miracle Coming Out Of Biggest Brewery Intercession Alleg,https://www.youtube.com/watch?v=GOZ5pXt-0pU,00:00:40.791,00:00:42.340,Absurdity of Idolatry,Dr. Khalifa
35 Quran Study From Parivash 835 Sura 30;25 Miracle Coming Out Of Biggest Brewery Intercession Alleg,https://www.youtube.com/watch?v=GOZ5pXt-0pU,00:00:43.266,00:01:01.616,"[30:28]  He cites for you herein an example from among yourselves: Do you ever elevate your servants or subordinates to the level where they rival you, and to the point that you pay them as much allegiance as is being paid to you? We thus explain the revelations for the people who understand.",Dr. Khalifa
35 Quran Study From Parivash 835 Sura 30;25 Miracle Coming Out Of Biggest Brewery Intercession Alleg,https://www.youtube.com/watch?v=GOZ5pXt-0pU,00:01:02.523,00:01:13.365,"[30:29]  Indeed, the transgressors have followed their own opinions, without knowledge. Thus, who can guide those who have been sent astray by GOD? No one can ever help them.",Dr. Khalifa
35 Quran Study From Parivash 835 Sura 30;25 Miracle Coming Out Of Biggest Brewery Intercession Alleg,https://www.youtube.com/watch?v=GOZ5pXt-0pU,00:01:14.429,00:01:16.319,Monotheism is Natural Instinct*,Dr. Khalifa
35 Quran Study From Parivash 835 Sura 30;25 Miracle Coming Out Of Biggest Brewery Intercession Alleg,https://www.youtube.com/watch?v=GOZ5pXt-0pU,00:01:17.122,00:01:32.689,"[30:30]  Therefore, you shall devote yourself to the religion of strict monotheism. Such is the natural instinct placed into the people by GOD. Such creation of GOD will never change. This is the perfect religion, but most people do not know.",Dr. Khalifa
35 Quran Study From Parivash 835 Sura 30;25 Miracle Coming Out Of Biggest Brewery Intercession Alleg,https://www.youtube.com/watch?v=GOZ5pXt-0pU,00:01:33.060,00:01:39.670,"[30:31]  You shall submit to Him, reverence Him, observe the Contact Prayers (Salat), and do not be among the idol worshipers.",Dr. Khalifa
35 Quran Study From Parivash 835 Sura 30;25 Miracle Coming Out Of Biggest Brewery Intercession Alleg,https://www.youtube.com/watch?v=GOZ5pXt-0pU,00:01:40.164,00:01:46.634,[30:32]  Do not be among those who divide their religion into sects; each party rejoicing with what they have.,Dr. Khalifa
35 Quran Study From Parivash 835 Sura 30;25 Miracle Coming Out Of Biggest Brewery Intercession Alleg,https://www.youtube.com/watch?v=GOZ5pXt-0pU,00:01:47.969,00:02:02.771,"The footnote 30:30 says, Recognizing God ALONE as our Lord and Master is a natural instinct. We are born into this world with such an instinct. As shown in 7:172 and Appendix 7.",Dr. Khalifa
