Video Title,Link,Start Time,End Time,Text,Speaker,SplitFromRow
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:00:01.180,00:00:12.457,Dr. Khalifa: [10:68]  ... Be He glorified. He is the Most Rich. To Him belongs everything in the heavens and everything on earth. You have no proof to support such an utterance. Do you say about GOD what you do not know?,Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:00:12.764,00:00:17.782,"So obviously in this verse, God is angry with the statement that ""God has begotten a son"",",Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:00:17.782,00:00:20.241,and this is in reference to Jesus.,Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:00:21.106,00:00:24.833,Because Jesus himself didn't say that he is the only son of God.,Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:00:24.833,00:00:27.623,"Jesus said ""all the righteous are children of God.""",Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:00:28.431,00:00:32.777,"And there's a famous verse that says ""blessed are the peacemakers for they shall be children of God."" (Matthew 5:9)",Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:00:33.092,00:00:34.721,"In fact, he said ""sons of God.""",Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:00:35.833,00:00:41.500,"So, all the righteous are sons of God or children of God and all the unrighteous are children of Satan.",Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:00:42.321,00:00:46.048,"And this is throughout the Gospels, all the four Gospels show that.",Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:00:48.889,00:00:51.365,"And this is why, [10:68] ... Do you say about GOD what you do not know?",Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:00:51.652,00:00:59.114,"Now, If we... now that we know the Greatness of God, we can see the blasphemy of saying that ""God has begotten his son.""",Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:00:59.553,00:01:06.450,It's like saying you have given birth to a virus or a bacteria. (unintelligible),Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:01:06.450,00:01:09.356,"You know, it's so ridiculous. It's not even that. It's...",Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:01:09.356,00:01:12.218,This is just to bring it closer to our mind.,Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:01:13.135,00:01:14.314,"Number 69 says,",Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:01:14.314,00:01:17.611,"[10:69]  Say: ""Surely, those who fabricate lies about GOD will never succeed.""",Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:01:18.513,00:01:22.885,"In the Quran, God is very angry with the statement that ""He has begotten a son.""",Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:01:23.565,00:01:30.000,"God says ""the mountains are about to shatter upon hearing this statement that 'God has begotten a son.'""",Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:01:30.000,00:01:38.159,"But ""all the righteous being children of God"" is a more, it's not even an appropriate statement, but it is more correct, it's more acceptable.",Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:01:39.342,00:01:47.358,"[10:70]  They get their share in this world, then to us is their ultimate return, then we commit them to severe retribution for their disbelieving.",Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:01:48.642,00:01:53.311,"Ok. Then, we get to 71, and with the subtitle ""Noah.""",Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:01:54.546,00:02:16.494,"[10:71]  Recite for them the history of Noah. He said to his people, ""O my people, if you find my position and my reminding you of GOD's revelations too much for you, then I put my trust in GOD, and I exhort you to do the following. You should get together with your leaders, agree on a final decision among yourselves, then let me know it without delay.",Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:02:16.916,00:02:22.029,"So, 71 is telling us that everyone who advocates God faces these difficulties.",Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:02:22.832,00:02:25.526,"And God is giving us... why is God telling us about Noah? He said,",Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:02:25.526,00:02:33.702,"[10:71]  Recite for them the history of Noah. He said to his people, ""O my people, if you find my position and my reminding you of GOD's revelations too much for you, ...",Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:02:34.407,00:02:36.636,"So, this tells us it was too much for them.",Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:02:37.378,00:02:39.801,"Dr. Khalifa: They called him ""crazy."" They persecuted him.",Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:02:39.801,00:02:40.566,A woman: Mā Shā Allāh,A woman,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:02:40.937,00:02:48.061,"All he was doing... In fact, the Quran says that Noah was inviting the people to be forgiven by God.",Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:02:48.477,00:02:49.486,That's all he was doing.,Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:02:49.486,00:02:54.187,"""I'm asking you, so, God will forgive you and to be redeemed by God.""",Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:02:54.187,00:02:57.354,"""So, why are you persecuting me? Why are you against me?""",Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:02:57.632,00:03:01.291,"They considered him an enemy, just for doing that.",Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:03:01.723,00:03:02.897,A woman: Same thing system.,A woman,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:03:02.897,00:03:06.934,"Dr. Khalifa: So, it happens all the time with all the people who...",Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:03:06.934,00:03:10.391,"Anyone who stands for God, yes, we are the same human beings.",Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:03:10.391,00:03:15.706,Noah had a head and two eyes and a nose and two ears. He had the same brain.,Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:03:16.219,00:03:19.308,And the people around him had the same brains like the humans around us.,Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:03:19.617,00:03:21.697,"Same, we're all the same people.",Dr. Khalifa,
