Video Title,Link,Start Time,End Time,Text,Speaker,SplitFromRow
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:00:00.000,00:00:08.416,Adding two verses to the Quran happened relatively after a few years after the prophet's death.,Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:00:10.000,00:00:19.111,"And therefore, the corruption of Islam happened only a few years after the prophet's death. I'd say about, about 38 years.",Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:00:21.349,00:00:27.141,"These two verses were added during the reign of the Khalifa Uthman, the third Khalifa.",Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:00:27.606,00:00:31.696,"And the addition of the two verses resulted in the assassination of Uthman,",Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:00:31.696,00:00:39.750,"the installation of Ali as the fourth Khalifa, the assassination of Ali, and 50 years of war",Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:00:39.750,00:00:46.076,"that ended up with the massacre of the prophet's family, except for the women and the children.",Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:00:46.076,00:00:48.112,All this resulted from the two verses.,Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:00:48.112,00:00:54.893,"And from that time on until today, the Muslims were no longer Muslims.",Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:00:56.444,00:01:03.901,The Muslims in Egypt or Iran or Turkey or Pakistan or India are not following the Quran.,Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:01:05.194,00:01:13.693,"There is not a single mosque in the Muslim world, so-called Muslim world, that upholds",Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:01:13.693,00:01:21.750,"the commandment in Surah 72, verse 18, that says ""the mosque belongs to God, do not mention other names with God.""",Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:01:23.430,00:01:26.224,"Therefore, those people did not deserve the Quran.",Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:01:27.827,00:01:30.754,And this went on for the last 1400 years.,Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:01:32.460,00:01:38.520,"Now, there are people who uphold the Quran, the whole Quran, nothing but the Quran.",Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:01:38.520,00:01:48.283,"And there are mosques sprouting now where only the name of God is commemorated in the Azan, in the Prayer.",Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:01:49.404,00:01:52.154,And these people deserve the true Quran.,Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:01:53.343,00:02:00.478,And as I can tell you right now that the storm that is going to rise up because of the printing of this new Quran,Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:02:00.478,00:02:06.017,will be by people who do not practice or uphold the Quran.,Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:02:07.930,00:02:14.310,"But the people who uphold the Quran, the whole Quran, and nothing but the Quran, the people who worship God alone, will be very happy with this new printing.",Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:02:14.310,00:02:17.899,And these are the people who deserve the true Quran.,Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:02:19.191,00:02:23.198,"So, the Quran never had falsehood in it.",Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:02:24.690,00:02:30.952,"The true believers had the true Quran, and the false believers had a false Quran. You can do anything.",Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:02:31.245,00:02:37.703,"We have Qurans here that are printed wrong, and things are added to it, and the Surahs rearranged,",Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:02:37.703,00:02:44.049,but this does not negate the fact that God protected every single letter in the Quran.,Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:02:44.049,00:02:46.230,We have every single letter.,Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:02:46.799,00:02:48.358,We didn't lose a single letter.,Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:02:49.599,00:02:55.660,"So, God's promise is fulfilled, that He has perfectly preserved the Quran.",Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:02:56.694,00:02:59.073,"Now we go back to Kathy, unless you have any questions.",Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:03:01.555,00:03:10.513,"Kathy: Ok. And God mentioned too that only the believers, believers are able to touch the Quran.",Catherine,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:03:11.030,00:03:13.547,"Kathy: And you said that, you know, people...",Catherine,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:03:14.700,00:03:20.449,"In the last year or so, we're all aware of a lot of information that came to us, and it was very exciting.",Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:03:20.449,00:03:22.708,It explains so many things in the Quran.,Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:03:23.398,00:03:31.017,"And I can remember with sorrow a few people that came in, maybe even traveling from distant places.",Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:03:31.500,00:03:34.959,"But because they argued, some people from Europe even.",Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:03:35.786,00:03:41.081,"They just argued, and they were anxious to voice opinions and so on, and they missed the whole thing.",Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:03:42.306,00:03:44.008,And I felt sorry for that.,Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:03:44.008,00:03:54.564,"It's inefficiency in, in receiving the information that all of us, God wants us to know.",Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:03:55.340,00:04:00.965,"So, this is information, God is graciously sending it to all of us, and we're all sharing in it.",Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:04:00.965,00:04:08.988,"So, we just have to comply with certain etiquettes in order to benefit from this information.",Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:04:12.366,00:04:18.470,"So, unfortunately, this is... the people who need this the most are not here.",Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:04:21.418,00:04:27.217,"Ok. But, you know, this is why we're studying the Quran, so we can understand the wisdom, appreciate the wisdom of the Quran.",Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:04:30.000,00:04:31.793,"Dr. Khalifa: So, let us finish this program first.",Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:04:33.654,00:04:34.620,A man: We just...,A man,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:04:34.620,00:04:35.855,Dr. Khalifa: This is continuously happening.,Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:04:36.527,00:04:38.623,A man: It's a question of me taking control of myself.,A man,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:04:38.623,00:04:39.623,Dr. Khalifa: Exactly.,Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:04:41.433,00:04:42.654,Dr. Khalifa: Exactly.,Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:04:42.654,00:04:45.380,Dr. Khalifa: You can give up the control to your companion.,Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:04:45.380,00:04:46.900,"A woman: Yeah, that is (unintelligible).",A woman,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:04:46.900,00:04:47.900,Dr. Khalifa: Yes.,Dr. Khalifa,
38 Quran Study From Parivash 1138 Certainty 11 29 1989,https://www.youtube.com/watch?v=OElDY5TJ2ZE,00:04:49.089,00:04:50.828,Or you can take control of yourself.,Dr. Khalifa,
