Video Title,Link,Start Time,End Time,Text,Speaker
39 Quran Study From Parivash 1239 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28,https://www.youtube.com/watch?v=9YlP1msrWIM,00:00:01.672,00:00:08.666,"Dr. Khalifa: Now this is, I mean, Satan cannot say that
these people are, are mine.",Dr. Khalifa
39 Quran Study From Parivash 1239 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28,https://www.youtube.com/watch?v=9YlP1msrWIM,00:00:08.666,00:00:09.975,He cannot say that.,Dr. Khalifa
39 Quran Study From Parivash 1239 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28,https://www.youtube.com/watch?v=9YlP1msrWIM,00:00:09.975,00:00:12.005,"When they say,",Dr. Khalifa
39 Quran Study From Parivash 1239 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28,https://www.youtube.com/watch?v=9YlP1msrWIM,00:00:12.005,00:00:21.236,"[60:4]  ... ""We disown you and the idols you worship beside GOD. We denounce you, and you will see nothing from us except animosity and hatred until you believe in GOD ALONE.""* ...",Dr. Khalifa
39 Quran Study From Parivash 1239 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28,https://www.youtube.com/watch?v=9YlP1msrWIM,00:00:24.689,00:00:27.730,"And then, we're given the example of Abraham and his father.",Dr. Khalifa
39 Quran Study From Parivash 1239 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28,https://www.youtube.com/watch?v=9YlP1msrWIM,00:00:29.275,00:00:43.700,"[60:4]  ... However, a mistake was committed by Abraham when he said to his father, ""I will pray for your forgiveness,** but I possess no power to protect you from GOD."" ""Our Lord, we trust in You; we submit to You; to You is the final destiny.",Dr. Khalifa
39 Quran Study From Parivash 1239 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28,https://www.youtube.com/watch?v=9YlP1msrWIM,00:00:46.845,00:00:53.657,"[60:5]  ""Our Lord, let us not be oppressed by those who disbelieved, and forgive us. You are the Almighty, Most Wise.""",Dr. Khalifa
39 Quran Study From Parivash 1239 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28,https://www.youtube.com/watch?v=9YlP1msrWIM,00:01:04.658,00:01:12.137,"So, I think we learn from this page that we just, our stand must be firm, and it reminds us that we are here.",Dr. Khalifa
39 Quran Study From Parivash 1239 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28,https://www.youtube.com/watch?v=9YlP1msrWIM,00:01:12.759,00:01:23.111,"All this trouble is because we rebelled, we did not make a firm stand on the side of God when the Great Feud happened.",Dr. Khalifa
39 Quran Study From Parivash 1239 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28,https://www.youtube.com/watch?v=9YlP1msrWIM,00:01:27.161,00:01:32.967,"The jinns, for example, made a firm stand with Satan, and we, we didn't.",Dr. Khalifa
39 Quran Study From Parivash 1239 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28,https://www.youtube.com/watch?v=9YlP1msrWIM,00:01:33.956,00:01:38.019,"We said ""maybe, maybe, Satan can make it and be a god.""",Dr. Khalifa
39 Quran Study From Parivash 1239 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28,https://www.youtube.com/watch?v=9YlP1msrWIM,00:01:38.637,00:01:40.611,We did not make a firm stand with God.,Dr. Khalifa
39 Quran Study From Parivash 1239 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28,https://www.youtube.com/watch?v=9YlP1msrWIM,00:01:41.476,00:01:49.500,"So, this is our time to make up for it, and to denounce that wishy-washy stand that we had in the past.",Dr. Khalifa
39 Quran Study From Parivash 1239 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28,https://www.youtube.com/watch?v=9YlP1msrWIM,00:01:55.186,00:01:56.648,"Ok, verse 6.",Dr. Khalifa
39 Quran Study From Parivash 1239 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28,https://www.youtube.com/watch?v=9YlP1msrWIM,00:02:00.293,00:02:10.073,"[60:6]  A good example has been set by them for those who seek GOD and the Last Day. As for those who turn away, GOD is in no need (of them), Most Praiseworthy.",Dr. Khalifa
39 Quran Study From Parivash 1239 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28,https://www.youtube.com/watch?v=9YlP1msrWIM,00:02:10.567,00:02:14.504,[60:7]  GOD may change the animosity between you and them into love. ...,Dr. Khalifa
39 Quran Study From Parivash 1239 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28,https://www.youtube.com/watch?v=9YlP1msrWIM,00:02:16.358,00:02:23.949,"You see, what I mean when I said make your firm, your stand known orally, publicly, and tell them",Dr. Khalifa
39 Quran Study From Parivash 1239 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28,https://www.youtube.com/watch?v=9YlP1msrWIM,00:02:23.949,00:02:30.000,"""it's ok, you can study and examine the evidence until God guides you.",Dr. Khalifa
39 Quran Study From Parivash 1239 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28,https://www.youtube.com/watch?v=9YlP1msrWIM,00:02:30.605,00:02:32.280,But make it known.,Dr. Khalifa
39 Quran Study From Parivash 1239 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28,https://www.youtube.com/watch?v=9YlP1msrWIM,00:02:37.410,00:02:40.840,"[60:7]  ... GOD is Omnipotent. GOD is Forgiver, Most Merciful.",Dr. Khalifa
39 Quran Study From Parivash 1239 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28,https://www.youtube.com/watch?v=9YlP1msrWIM,00:02:42.076,00:02:45.791,And these relationships are regulated by the next two verses.,Dr. Khalifa
39 Quran Study From Parivash 1239 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28,https://www.youtube.com/watch?v=9YlP1msrWIM,00:02:46.409,00:02:50.709,It tells you exactly how to behave towards whom.,Dr. Khalifa
39 Quran Study From Parivash 1239 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28,https://www.youtube.com/watch?v=9YlP1msrWIM,00:02:51.636,00:02:52.637,"Number 8 says,",Dr. Khalifa
39 Quran Study From Parivash 1239 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28,https://www.youtube.com/watch?v=9YlP1msrWIM,00:02:52.637,00:03:08.048,"[60:8]  GOD does not enjoin you from befriending those who do not fight you because of religion, and do not evict you from your homes. You may befriend them and be equitable towards them. GOD loves the equitable.",Dr. Khalifa
39 Quran Study From Parivash 1239 Sura 60 & Sura 61 Rich Believer Certainty Insurance 114 Min 12 28,https://www.youtube.com/watch?v=9YlP1msrWIM,00:03:08.604,00:03:13.246,"So, these are not considered the enemies of God if they are not actively opposing you.",Dr. Khalifa
