Video Title,Link,Start Time,End Time,Text,Speaker
40 Quran Study From Parivash 1340 Sura 3;59 12 29 1989,https://www.youtube.com/watch?v=9tNeF2RTA9A,00:00:02.645,00:00:09.082,"Dr. Khalifa: ...Quran that deals with the sad faces and 
how the sad faces are in the Hereafter.",Dr. Khalifa
40 Quran Study From Parivash 1340 Sura 3;59 12 29 1989,https://www.youtube.com/watch?v=9tNeF2RTA9A,00:00:09.082,00:00:14.770,"And he really did fantastic research and he compiled a 
beautiful list of all the verses in the Quran,",Dr. Khalifa
40 Quran Study From Parivash 1340 Sura 3;59 12 29 1989,https://www.youtube.com/watch?v=9tNeF2RTA9A,00:00:14.770,00:00:24.207,"covered the subject completely. Then, when he stood 
up for the, for the Khutba, this on, for the Prayer,",Dr. Khalifa
40 Quran Study From Parivash 1340 Sura 3;59 12 29 1989,https://www.youtube.com/watch?v=9tNeF2RTA9A,00:00:24.207,00:00:28.407,"and he looked at all the most important people on earth in front 
of him, he forgot everything.",Dr. Khalifa
40 Quran Study From Parivash 1340 Sura 3;59 12 29 1989,https://www.youtube.com/watch?v=9tNeF2RTA9A,00:00:28.407,00:00:36.415,"Dr. Khalifa: So, he didn't tell you anything about it. The list was sitting right 
there, and I saw it, but he was in no condition to be reminded of it.",Dr. Khalifa
40 Quran Study From Parivash 1340 Sura 3;59 12 29 1989,https://www.youtube.com/watch?v=9tNeF2RTA9A,00:00:37.521,00:00:43.752,A man: (unintelligible),A man
40 Quran Study From Parivash 1340 Sura 3;59 12 29 1989,https://www.youtube.com/watch?v=9tNeF2RTA9A,00:00:44.012,00:00:46.909,"Dr. Khalifa: I just want you to know that 
he did very good research on the subject.",Dr. Khalifa
40 Quran Study From Parivash 1340 Sura 3;59 12 29 1989,https://www.youtube.com/watch?v=9tNeF2RTA9A,00:00:47.535,00:00:56.426,"And one of those days, we're gonna have him, we're gonna have him deliver it, when he gets enough courage.",Dr. Khalifa
40 Quran Study From Parivash 1340 Sura 3;59 12 29 1989,https://www.youtube.com/watch?v=9tNeF2RTA9A,00:00:57.146,00:01:03.449,"The third item, I would like to apologize for the mess up 
in the arrangement because of the big crowd, Alhamdu Lillah.",Dr. Khalifa
40 Quran Study From Parivash 1340 Sura 3;59 12 29 1989,https://www.youtube.com/watch?v=9tNeF2RTA9A,00:01:03.449,00:01:05.726,"The sleeping section now 
is divided in two.",Dr. Khalifa
40 Quran Study From Parivash 1340 Sura 3;59 12 29 1989,https://www.youtube.com/watch?v=9tNeF2RTA9A,00:01:06.063,00:01:12.331,"John is on this side, and Dan and Francisco are on the other side. So, I don't know, this may cause havoc.",Dr. Khalifa
40 Quran Study From Parivash 1340 Sura 3;59 12 29 1989,https://www.youtube.com/watch?v=9tNeF2RTA9A,00:01:14.013,00:01:19.666,"Because it is contagious. So, if I fall asleep, it's because 
John is on this side.",Dr. Khalifa
40 Quran Study From Parivash 1340 Sura 3;59 12 29 1989,https://www.youtube.com/watch?v=9tNeF2RTA9A,00:01:22.022,00:01:25.606,"Dr. Khalifa: Where is Jason? Is he here today? No? I mean, he is missing his mom.",Dr. Khalifa
40 Quran Study From Parivash 1340 Sura 3;59 12 29 1989,https://www.youtube.com/watch?v=9tNeF2RTA9A,00:01:25.606,00:01:26.500,A woman: (unintelligible),A woman
40 Quran Study From Parivash 1340 Sura 3;59 12 29 1989,https://www.youtube.com/watch?v=9tNeF2RTA9A,00:01:26.885,00:01:30.511,"Dr. Khalifa: I know, he belongs in the sleeping section. So, I looked, I didn't see him.",Dr. Khalifa
40 Quran Study From Parivash 1340 Sura 3;59 12 29 1989,https://www.youtube.com/watch?v=9tNeF2RTA9A,00:01:36.954,00:01:43.480,"Dr. Khalifa: Our teacher tonight is Catherine. And we are in Sura,
Catherine: 3",Dr. Khalifa
40 Quran Study From Parivash 1340 Sura 3;59 12 29 1989,https://www.youtube.com/watch?v=9tNeF2RTA9A,00:01:43.480,00:01:44.470,Dr. Khalifa: 3 verse...,Dr. Khalifa
40 Quran Study From Parivash 1340 Sura 3;59 12 29 1989,https://www.youtube.com/watch?v=9tNeF2RTA9A,00:01:44.470,00:01:45.701,Catherine: Page 57.,Catherine
40 Quran Study From Parivash 1340 Sura 3;59 12 29 1989,https://www.youtube.com/watch?v=9tNeF2RTA9A,00:01:45.701,00:01:47.461,Dr. Khalifa: Page 57.,Dr. Khalifa
40 Quran Study From Parivash 1340 Sura 3;59 12 29 1989,https://www.youtube.com/watch?v=9tNeF2RTA9A,00:01:47.461,00:01:50.000,"Dr. Khalifa: That's very good.
A woman: (unintelligible). 
Catherine: Verse 59.",Dr. Khalifa
40 Quran Study From Parivash 1340 Sura 3;59 12 29 1989,https://www.youtube.com/watch?v=9tNeF2RTA9A,00:01:52.741,00:01:54.741,"Dr. Khalifa: Actually, start, yes, 
ok.",Dr. Khalifa
40 Quran Study From Parivash 1340 Sura 3;59 12 29 1989,https://www.youtube.com/watch?v=9tNeF2RTA9A,00:01:54.741,00:01:56.510,"Catherine: At 59?
Dr. Khalifa: Yes.",Catherine
40 Quran Study From Parivash 1340 Sura 3;59 12 29 1989,https://www.youtube.com/watch?v=9tNeF2RTA9A,00:02:02.712,00:02:04.039,"Dr. Khalifa: Take it away, Catherine.",Dr. Khalifa
40 Quran Study From Parivash 1340 Sura 3;59 12 29 1989,https://www.youtube.com/watch?v=9tNeF2RTA9A,00:02:04.059,00:02:12.509,"Catherine: [3:59]  The example of Jesus, as far as GOD is concerned, is the same as that of Adam; He created him from dust, then said to him, ""Be,"" and he was.",Catherine
40 Quran Study From Parivash 1340 Sura 3;59 12 29 1989,https://www.youtube.com/watch?v=9tNeF2RTA9A,00:02:12.990,00:02:16.481,[3:60]  This is the truth from your Lord; do not harbor any doubt about it.,Catherine
40 Quran Study From Parivash 1340 Sura 3;59 12 29 1989,https://www.youtube.com/watch?v=9tNeF2RTA9A,00:02:16.914,00:02:29.781,"[3:61]  If anyone argues with you after this knowledge has come to you, then say, ""Let us summon our children and your children, our women and your women, ourselves and yourselves, then let us invoke GOD's curse upon the liars.""",Catherine
40 Quran Study From Parivash 1340 Sura 3;59 12 29 1989,https://www.youtube.com/watch?v=9tNeF2RTA9A,00:02:32.068,00:02:40.489,"[3:62]  This narration is the absolute truth. Absolutely, there is no other god besides GOD. Absolutely, GOD is the Almighty, the Most Wise.",Catherine
40 Quran Study From Parivash 1340 Sura 3;59 12 29 1989,https://www.youtube.com/watch?v=9tNeF2RTA9A,00:02:41.018,00:02:45.534,"[3:63]  If they dispute these facts, then GOD is fully aware of the evildoers.",Catherine
40 Quran Study From Parivash 1340 Sura 3;59 12 29 1989,https://www.youtube.com/watch?v=9tNeF2RTA9A,00:02:48.467,00:02:52.684,"Someone commented last week that we 
didn't plan to be talking about Jesus' birth and",Catherine
40 Quran Study From Parivash 1340 Sura 3;59 12 29 1989,https://www.youtube.com/watch?v=9tNeF2RTA9A,00:02:52.684,00:02:59.575,"the circumstances surrounding that at this time of 
year. But God planned it that way. And I, for one,",Catherine
