Video Title,Link,Start Time,End Time,Text,Speaker,SplitFromRow,VerseRefs,VerseLang,HasArabic
43 Quran Study From Roxana 243 Third International Conference Tucson Rashad's Speech Sura 17;39 Insu,https://www.youtube.com/watch?v=KceHeCtRxcw,00:00:00.000,00:00:03.583,Dr. Khalifa: (unintelligible),Dr. Khalifa,,,,false
43 Quran Study From Roxana 243 Third International Conference Tucson Rashad's Speech Sura 17;39 Insu,https://www.youtube.com/watch?v=KceHeCtRxcw,00:00:05.879,00:00:14.439,"They idolize the messenger, Jesus. This is why he disowns them in Matthew 7:23.",Dr. Khalifa,,,,false
43 Quran Study From Roxana 243 Third International Conference Tucson Rashad's Speech Sura 17;39 Insu,https://www.youtube.com/watch?v=KceHeCtRxcw,00:00:15.000,00:00:23.154,"They will go to him on the Day of Judgment and say ""Lord, Lord, did we not prophesy in your name? Did we not perform miracles in your name?""",Dr. Khalifa,,,,false
43 Quran Study From Roxana 243 Third International Conference Tucson Rashad's Speech Sura 17;39 Insu,https://www.youtube.com/watch?v=KceHeCtRxcw,00:00:23.154,00:00:26.426,"And he will say ""out of my sight, I don't know you, get out of here.""",Dr. Khalifa,,,,false
43 Quran Study From Roxana 243 Third International Conference Tucson Rashad's Speech Sura 17;39 Insu,https://www.youtube.com/watch?v=KceHeCtRxcw,00:00:26.795,00:00:28.958,This is what Jesus will tell the Christians.,Dr. Khalifa,,,,false
43 Quran Study From Roxana 243 Third International Conference Tucson Rashad's Speech Sura 17;39 Insu,https://www.youtube.com/watch?v=KceHeCtRxcw,00:00:29.613,00:00:37.272,And God looked down on the planet Earth and He saw you and me committing idolatry in our Contact Prayer.,Dr. Khalifa,,,,false
43 Quran Study From Roxana 243 Third International Conference Tucson Rashad's Speech Sura 17;39 Insu,https://www.youtube.com/watch?v=KceHeCtRxcw,00:00:38.100,00:00:43.514,"As we're making Salat Prayer, we will say, ""Muhammad, Ale (family of) Muhammad, Ibrahim, Ale (family of) Ibrahim.""",Dr. Khalifa,,,,false
43 Quran Study From Roxana 243 Third International Conference Tucson Rashad's Speech Sura 17;39 Insu,https://www.youtube.com/watch?v=KceHeCtRxcw,00:00:45.000,00:00:50.026,"When God tells us in the Quran, very clearly, a commandment in 72:18, وَأَنَّ الْمَسَاجِدَ",Dr. Khalifa,,,,true
43 Quran Study From Roxana 243 Third International Conference Tucson Rashad's Speech Sura 17;39 Insu,https://www.youtube.com/watch?v=KceHeCtRxcw,00:00:50.388,00:00:53.717,(72:18) وَأَنَّ ٱلْمَسَـٰجِدَ لِلَّهِ فَلَا تَدْعُوا۟ مَعَ ٱللَّهِ أَحَدًۭا,Dr. Khalifa,,72:18,ar,true
43 Quran Study From Roxana 243 Third International Conference Tucson Rashad's Speech Sura 17;39 Insu,https://www.youtube.com/watch?v=KceHeCtRxcw,00:00:53.717,00:01:00.000,"The mosque, the places of worship, the acts of worship belong to God. Do not mention anyone else.",Dr. Khalifa,,,,false
43 Quran Study From Roxana 243 Third International Conference Tucson Rashad's Speech Sura 17;39 Insu,https://www.youtube.com/watch?v=KceHeCtRxcw,00:01:00.000,00:01:01.275,لَا تَدْعُوا۟ مَعَ ٱللَّهِ أَحَدًۭا,Dr. Khalifa,,,,true
43 Quran Study From Roxana 243 Third International Conference Tucson Rashad's Speech Sura 17;39 Insu,https://www.youtube.com/watch?v=KceHeCtRxcw,00:01:01.275,00:01:03.094,No one with God.,Dr. Khalifa,,,,false
43 Quran Study From Roxana 243 Third International Conference Tucson Rashad's Speech Sura 17;39 Insu,https://www.youtube.com/watch?v=KceHeCtRxcw,00:01:03.637,00:01:07.696,"Certainly, Muhammad is someone and Ibrahim is someone.",Dr. Khalifa,,,,false
43 Quran Study From Roxana 243 Third International Conference Tucson Rashad's Speech Sura 17;39 Insu,https://www.youtube.com/watch?v=KceHeCtRxcw,00:01:08.412,00:01:12.270,And you and I were doing this for many years.,Dr. Khalifa,,,,false
43 Quran Study From Roxana 243 Third International Conference Tucson Rashad's Speech Sura 17;39 Insu,https://www.youtube.com/watch?v=KceHeCtRxcw,00:01:16.739,00:01:22.442,God looked down on the planet Earth and He saw the Muslims not doing the Zakat charity.,Dr. Khalifa,,,,false
43 Quran Study From Roxana 243 Third International Conference Tucson Rashad's Speech Sura 17;39 Insu,https://www.youtube.com/watch?v=KceHeCtRxcw,00:01:23.892,00:01:28.610,"They're all, they are doing it wrong. We were doing it wrong. You and I were doing it wrong.",Dr. Khalifa,,,,false
43 Quran Study From Roxana 243 Third International Conference Tucson Rashad's Speech Sura 17;39 Insu,https://www.youtube.com/watch?v=KceHeCtRxcw,00:01:30.243,00:01:37.460,"God told us in a very clear message that you must give out the charity, the Zakat, the day of harvest.",Dr. Khalifa,,,,false
43 Quran Study From Roxana 243 Third International Conference Tucson Rashad's Speech Sura 17;39 Insu,https://www.youtube.com/watch?v=KceHeCtRxcw,00:01:37.460,00:01:41.360,"The day you harvest, Surah 6, verse 141.",Dr. Khalifa,,,,false
43 Quran Study From Roxana 243 Third International Conference Tucson Rashad's Speech Sura 17;39 Insu,https://www.youtube.com/watch?v=KceHeCtRxcw,00:01:42.158,00:01:46.219,"And what were we doing? We were giving the Zakat once a year,",Dr. Khalifa,,,,false
