Video Title,Link,Start Time,End Time,Text,Speaker,SplitFromRow
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:00:02.080,00:00:03.330,Dr. Khalifa: [64:1]  ... and He is Omnipotent.,Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:00:04.795,00:00:06.730,This is a heavy verse right there.,Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:00:07.960,00:00:15.000,[64:1]  Glorifying GOD is everything in the heavens and everything on earth. ...,Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:00:15.352,00:00:19.606,"And this includes things, includes the bodies of the disbelievers.",Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:00:20.895,00:00:23.947,Because the disbeliever does not control his heartbeats.,Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:00:24.709,00:00:30.570,There's a specific number of heartbeats and the disbeliever does not control that. God controls that.,Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:00:31.097,00:00:33.212,"So, the human body is glorifying God.",Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:00:33.212,00:00:39.882,"Every atom in your body, every atom in this carpet and this wall is glorifying God.",Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:00:40.585,00:00:47.033,They follow... we have chemists and physicists here and they know that every atom in the wall or the floor,Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:00:47.033,00:00:54.321,"or the ceiling, inside this light, they're all, every atom has a nucleus and a certain number of electrons",Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:00:54.321,00:00:58.012,and they're continuously moving in a specific way.,Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:00:58.832,00:01:04.002,"It's just, it's a micro... microcosm of the cosmos.",Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:01:06.873,00:01:12.118,"[64:1]  Glorifying GOD is everything in the heavens and everything on earth. To Him belongs all kingship, ...",Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:01:14.242,00:01:16.430,God is the One who hires you or fires you.,Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:01:17.250,00:01:23.806,"God is the One who determines how many dollars you get, not anybody else. God decides the provisions.",Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:01:26.923,00:01:33.781,"Somebody was telling me today that they wanted, they were getting another child and somebody asked ""can you afford it?""",Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:01:34.371,00:01:35.829,That's the wrong question.,Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:01:36.299,00:01:39.783,"The question is not ""can you afford it?"" The question is ""can God afford it?""",Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:01:40.071,00:01:42.728,Because God is the One who brings the people into this world.,Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:01:43.020,00:01:44.414,God is the One who provides for them.,Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:01:45.821,00:01:50.761,"When a child is born, God provides for that child, not you.",Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:01:54.979,00:02:00.000,"[64:1]  ... To Him belongs all kingship, and to Him belongs all praise. He is Omnipotent.",Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:02:01.912,00:02:08.870,"And God, these are all important attributes of God that we must know.",Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:02:08.870,00:02:14.651,"""Omnipotent"" means he backs up His guarantee and He guarantees you perfect happiness",Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:02:14.651,00:02:19.619,"if you are in His domain, if you follow, if you do your part, carrying out the commandments,",Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:02:19.619,00:02:20.864,God will do His part.,Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:02:20.864,00:02:25.267,"Perfect happiness, success in everything you do. Guaranteed.",Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:02:25.916,00:02:32.630,God's guarantee or warranty is much better than General Motors' guarantee or warranty.,Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:02:33.626,00:02:40.118,"When you have a warranty from Lee Iacocca, you have confidence in it because he backs up his warranty.",Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:02:41.353,00:02:46.837,"Seven years or 7,000 miles and you take this piece of paper and you're happy with it.",Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:02:47.130,00:02:51.581,"Well, God is Omnipotent and He guarantees your happiness.",Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:02:54.334,00:02:55.170,It's true.,Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:02:56.225,00:02:58.638,God is giving you a warranty in this Quran.,Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:02:59.458,00:03:02.074,"And He says ""if you do your part, I will do My part.""",Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:03:02.483,00:03:05.053,"This is in Surah 2 at the beginning, as you know. It says,",Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:03:05.053,00:03:07.053,(2:40) أَوْفُوا۟ بِعَهْدِىٓ أُوفِ بِعَهْدِكُمْ,Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:03:07.338,00:03:09.224,"""do your part, I'll do My part.""",Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:03:09.693,00:03:11.045,And our part is nothing.,Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:03:12.509,00:03:17.083,"What is it? Five Prayers a day, Fasting the month of Ramadan, the things that are good for us. This is our part.",Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:03:18.509,00:03:26.604,"It's like God is saying ""come, I wanna, you're gonna be happy and I'm gonna give you all the money you want and all the health you want, on condition that you do your part.""",Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:03:26.956,00:03:31.169,"A lot of people say ""no, I don't wanna be happy and healthy. I wanna be miserable.""",Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:03:31.989,00:03:35.102,You don't wanna... Yes.,Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:03:37.387,00:03:41.672,"Now, God's part is overwhelming. It's great.",Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:03:44.015,00:03:45.253,Verse number two.,Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:03:45.253,00:03:48.893,"So, the word Omnipotent backs up this guarantee.",Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:03:49.830,00:03:55.052,The guarantee is outright in the Quran 23 times in the Quran. God guarantees you perfect health.,Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:03:56.224,00:04:03.321,"For example, in Surah 10, verse 62. I'd like to go back to this because a lot of people can't envision.",Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:04:04.024,00:04:09.422,They can't envision that. But God controls every atom in their bodies and can decide how much health they have.,Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:04:10.184,00:04:16.812,"When God tells you ""I'll give you perfect health, when you do your part"",",Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:04:16.812,00:04:18.812,"God, the Omnipotent, means that.",Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:04:20.452,00:04:23.624,"We have to share the new Quran, Greg, with somebody.",Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:04:27.373,00:04:29.373,This is the importance of Omnipotence.,Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:04:31.373,00:04:34.955,"Okay, in Surah 10, verse 62, God says,",Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:04:34.955,00:04:37.717,"[10:62]  Absolutely, GOD's allies ...",Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:04:37.717,00:04:39.717,or God's people,Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:04:39.717,00:04:42.303,"have nothing to fear, nothing to worry about.",Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:04:43.065,00:04:45.065,(10:62) لَا خَوْفٌ عَلَيْهِمْ وَلَا هُمْ يَحْزَنُونَ,Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:04:45.065,00:04:47.475,"And then, it gives you the description of these people.",Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:04:48.237,00:04:50.706,"It says ""those who believe and lead a righteous life.""",Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:04:51.350,00:04:53.877,Those who believe in God and they lead a righteous life.,Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:04:53.877,00:05:00.000,"They're nice people, they're honest, truthful, and their god... God is their god.",Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:05:00.820,00:05:02.234,God is always in their mind.,Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:05:02.720,00:05:04.677,"Everything they do, everything they say.",Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:05:05.556,00:05:07.263,[10:63]  ... those who believe and lead a righteous life.,Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:05:08.493,00:05:10.493,"[10:64]  For them is happiness in this world, ...",Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:05:10.853,00:05:15.000,"I'm quoting now, quoting those verses. Verse 62 of Surah 10.",Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:05:15.554,00:05:18.333,"For them is happiness in this world, and this is God speaking.",Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:05:19.446,00:05:20.626,[10:64]  ... and in the Hereafter. ...,Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:05:21.266,00:05:26.190,"So, this warranty or guarantee from God is repeated 23 times in the Quran.",Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:05:30.349,00:05:41.283,"Now, as you know, Satan tricks the other people who deviate from the Quran and they have other sources like Hadith and Sunnah. God knows what.",Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:05:41.583,00:05:43.741,All kinds of sources besides the Quran.,Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:05:44.151,00:05:47.344,Their number one Hadith goes like this.,Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:05:48.047,00:05:51.992,"""The most righteous among you is the most miserable."" This is a very famous Hadith.",Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:05:52.887,00:05:55.583,Because Satan knows that he cannot give them happiness.,Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:05:57.341,00:06:02.976,"And actually, the Hadith goes on and says ""the most miserable are the prophets, and then the saints, and then the believers.""",Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:06:02.976,00:06:03.900,That's right.,Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:06:04.465,00:06:08.445,"So, and this is an authentic Bukhari Hadith,",Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:06:08.445,00:06:10.530,and goes directly against the Quran.,Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:06:10.530,00:06:12.138,"The Quran says otherwise. It says,",Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:06:12.138,00:06:15.627,"""Those who believe and lead a righteous life are guaranteed happiness.""",Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:06:19.202,00:06:24.182,"I'm gonna go back a little bit again and talk about the title of the Surah, Mutual Blaming.",Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:06:25.412,00:06:28.305,Mutual blaming is one of the names of the Day of Judgment.,Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:06:28.891,00:06:30.344,It's called the Day of Resurrection.,Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:06:30.755,00:06:32.205,It's called the Day of Judgment.,Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:06:32.867,00:06:34.614,It's called the Day of Reckoning.,Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:06:35.557,00:06:37.349,It's called the Day of Mutual Blaming.,Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:06:37.627,00:06:41.039,Because this is the day when a lot of people will be blaming each other.,Dr. Khalifa,
44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,https://www.youtube.com/watch?v=k-8tDovGWsM,00:06:41.857,00:06:44.378,"""You're the one who told me this."" ""No, you're the one who told me this.""",Dr. Khalifa,
