Video Title,Link,Start Time,End Time,Text,Speaker,SplitFromRow
45 Quran Study From Roxana 445 Sura 40 By Rashad Firoz's Home Deja Vu Believers Usually 95 Yrs Old F,https://www.youtube.com/watch?v=MBNuPXwnXew,00:00:02.730,00:00:05.157,"Dr. Khalifa: We're holding the telephone of Sam. Oh, there she is.",Dr. Khalifa,
45 Quran Study From Roxana 445 Sura 40 By Rashad Firoz's Home Deja Vu Believers Usually 95 Yrs Old F,https://www.youtube.com/watch?v=MBNuPXwnXew,00:00:08.446,00:00:11.523,"Surah 40, we're in Surah 40, verse 4, 6, 7.",Dr. Khalifa,
45 Quran Study From Roxana 445 Sura 40 By Rashad Firoz's Home Deja Vu Believers Usually 95 Yrs Old F,https://www.youtube.com/watch?v=MBNuPXwnXew,00:00:12.312,00:00:14.079,أعوذ بِٱللَّهِ مِنَ ٱلشَّيْطَـٰنِ ٱلرَّجِيمِ,Dr. Khalifa,
45 Quran Study From Roxana 445 Sura 40 By Rashad Firoz's Home Deja Vu Believers Usually 95 Yrs Old F,https://www.youtube.com/watch?v=MBNuPXwnXew,00:00:14.079,00:00:15.510,Bism Allah Arrahman Arraheem,Dr. Khalifa,
45 Quran Study From Roxana 445 Sura 40 By Rashad Firoz's Home Deja Vu Believers Usually 95 Yrs Old F,https://www.youtube.com/watch?v=MBNuPXwnXew,00:00:15.510,00:00:18.029,"In the name of God, Most Gracious, Most Merciful",Dr. Khalifa,
45 Quran Study From Roxana 445 Sura 40 By Rashad Firoz's Home Deja Vu Believers Usually 95 Yrs Old F,https://www.youtube.com/watch?v=MBNuPXwnXew,00:00:20.518,00:00:23.021,The first verse is Ha Meem. [40:1] H. M.*,Dr. Khalifa,
45 Quran Study From Roxana 445 Sura 40 By Rashad Firoz's Home Deja Vu Believers Usually 95 Yrs Old F,https://www.youtube.com/watch?v=MBNuPXwnXew,00:00:26.178,00:00:27.691,Let's look at the footnote.,Dr. Khalifa,
45 Quran Study From Roxana 445 Sura 40 By Rashad Firoz's Home Deja Vu Believers Usually 95 Yrs Old F,https://www.youtube.com/watch?v=MBNuPXwnXew,00:00:32.913,00:00:33.848,"The footnote says,",Dr. Khalifa,
45 Quran Study From Roxana 445 Sura 40 By Rashad Firoz's Home Deja Vu Believers Usually 95 Yrs Old F,https://www.youtube.com/watch?v=MBNuPXwnXew,00:00:33.848,00:00:37.123,"*40:1 The initials ""Hā Mîm"" occur in Surahs 40-46. ...",Dr. Khalifa,
45 Quran Study From Roxana 445 Sura 40 By Rashad Firoz's Home Deja Vu Believers Usually 95 Yrs Old F,https://www.youtube.com/watch?v=MBNuPXwnXew,00:00:37.123,00:00:38.030,7 Surahs.,Dr. Khalifa,
45 Quran Study From Roxana 445 Sura 40 By Rashad Firoz's Home Deja Vu Believers Usually 95 Yrs Old F,https://www.youtube.com/watch?v=MBNuPXwnXew,00:00:38.576,00:00:45.677,"*40:1 ...The total frequency of occurrence of the letters ""Hā"" and ""Mîm"" in the seven surahs is 2147, or 19x113.",Dr. Khalifa,
45 Quran Study From Roxana 445 Sura 40 By Rashad Firoz's Home Deja Vu Believers Usually 95 Yrs Old F,https://www.youtube.com/watch?v=MBNuPXwnXew,00:00:49.764,00:00:51.796,These are very straightforward letters.,Dr. Khalifa,
45 Quran Study From Roxana 445 Sura 40 By Rashad Firoz's Home Deja Vu Believers Usually 95 Yrs Old F,https://www.youtube.com/watch?v=MBNuPXwnXew,00:00:53.011,00:00:59.610,"And this is why the people who do not like the miracle of the Quran, you know, the number 19, they never touch these Ha Meem.",Dr. Khalifa,
45 Quran Study From Roxana 445 Sura 40 By Rashad Firoz's Home Deja Vu Believers Usually 95 Yrs Old F,https://www.youtube.com/watch?v=MBNuPXwnXew,00:01:00.000,00:01:04.691,"They always work on letters that they cannot understand, like Alef and Ya.",Dr. Khalifa,
45 Quran Study From Roxana 445 Sura 40 By Rashad Firoz's Home Deja Vu Believers Usually 95 Yrs Old F,https://www.youtube.com/watch?v=MBNuPXwnXew,00:01:05.031,00:01:11.279,"(unintelligible) It's a little bit difficult for them. It has to be one versed in Arabic to be able to, to count them correctly.",Dr. Khalifa,
45 Quran Study From Roxana 445 Sura 40 By Rashad Firoz's Home Deja Vu Believers Usually 95 Yrs Old F,https://www.youtube.com/watch?v=MBNuPXwnXew,00:01:11.875,00:01:14.636,"So, they take advantage of this,",Dr. Khalifa,
45 Quran Study From Roxana 445 Sura 40 By Rashad Firoz's Home Deja Vu Believers Usually 95 Yrs Old F,https://www.youtube.com/watch?v=MBNuPXwnXew,00:01:14.636,00:01:17.409,"are those who have seen the miracle, (unintelligible)",Dr. Khalifa,
45 Quran Study From Roxana 445 Sura 40 By Rashad Firoz's Home Deja Vu Believers Usually 95 Yrs Old F,https://www.youtube.com/watch?v=MBNuPXwnXew,00:01:17.409,00:01:20.274,"And I always tell them ""you have to count Ha Meem, for example.""",Dr. Khalifa,
45 Quran Study From Roxana 445 Sura 40 By Rashad Firoz's Home Deja Vu Believers Usually 95 Yrs Old F,https://www.youtube.com/watch?v=MBNuPXwnXew,00:01:20.961,00:01:25.676,"There are many, many other examples that can be used, 'Ayn Seen Qaf, (unintellgible)",Dr. Khalifa,
45 Quran Study From Roxana 445 Sura 40 By Rashad Firoz's Home Deja Vu Believers Usually 95 Yrs Old F,https://www.youtube.com/watch?v=MBNuPXwnXew,00:01:25.676,00:01:27.433,[19:1]  K. H. Y. 'A. S.* (Kāf Hā Yā 'Ayn Sād),Dr. Khalifa,
45 Quran Study From Roxana 445 Sura 40 By Rashad Firoz's Home Deja Vu Believers Usually 95 Yrs Old F,https://www.youtube.com/watch?v=MBNuPXwnXew,00:01:27.433,00:01:31.056,These are several letters in Surah 19. And they are multiples of 19.,Dr. Khalifa,
45 Quran Study From Roxana 445 Sura 40 By Rashad Firoz's Home Deja Vu Believers Usually 95 Yrs Old F,https://www.youtube.com/watch?v=MBNuPXwnXew,00:01:33.168,00:01:40.353,"Dr. Khalifa: So, Ha Meem, you count them in the 7 Surahs. And the total is 2147 (unintelligible) a multiple of 19.",Dr. Khalifa,
45 Quran Study From Roxana 445 Sura 40 By Rashad Firoz's Home Deja Vu Believers Usually 95 Yrs Old F,https://www.youtube.com/watch?v=MBNuPXwnXew,00:01:42.175,00:01:46.603,A man: (unintelligible),A man,
45 Quran Study From Roxana 445 Sura 40 By Rashad Firoz's Home Deja Vu Believers Usually 95 Yrs Old F,https://www.youtube.com/watch?v=MBNuPXwnXew,00:01:46.603,00:01:47.753,Dr. Khalifa: The 7 Surahs.,Dr. Khalifa,
45 Quran Study From Roxana 445 Sura 40 By Rashad Firoz's Home Deja Vu Believers Usually 95 Yrs Old F,https://www.youtube.com/watch?v=MBNuPXwnXew,00:01:47.753,00:01:49.449,A man: (unintelligible),A man,
45 Quran Study From Roxana 445 Sura 40 By Rashad Firoz's Home Deja Vu Believers Usually 95 Yrs Old F,https://www.youtube.com/watch?v=MBNuPXwnXew,00:01:49.449,00:01:51.449,Dr. Khalifa: There are 7 consecutive Surahs.,Dr. Khalifa,
45 Quran Study From Roxana 445 Sura 40 By Rashad Firoz's Home Deja Vu Believers Usually 95 Yrs Old F,https://www.youtube.com/watch?v=MBNuPXwnXew,00:01:51.960,00:01:54.376,"So, this makes it even more difficult, you know.",Dr. Khalifa,
45 Quran Study From Roxana 445 Sura 40 By Rashad Firoz's Home Deja Vu Believers Usually 95 Yrs Old F,https://www.youtube.com/watch?v=MBNuPXwnXew,00:01:54.376,00:02:02.968,"If a person is designing a book like this, with the number 19 as a common denominator,",Dr. Khalifa,
45 Quran Study From Roxana 445 Sura 40 By Rashad Firoz's Home Deja Vu Believers Usually 95 Yrs Old F,https://www.youtube.com/watch?v=MBNuPXwnXew,00:02:02.968,00:02:07.761,"you know, it makes it more difficult.",Dr. Khalifa,
45 Quran Study From Roxana 445 Sura 40 By Rashad Firoz's Home Deja Vu Believers Usually 95 Yrs Old F,https://www.youtube.com/watch?v=MBNuPXwnXew,00:02:09.429,00:02:16.343,"Okay, so the first verse, Ha Meem, is proof of that this is the message of God to us. Number 2,",Dr. Khalifa,
45 Quran Study From Roxana 445 Sura 40 By Rashad Firoz's Home Deja Vu Believers Usually 95 Yrs Old F,https://www.youtube.com/watch?v=MBNuPXwnXew,00:02:16.343,00:02:18.768,"[40:2]  This revelation of the scripture is from GOD, ...",Dr. Khalifa,
45 Quran Study From Roxana 445 Sura 40 By Rashad Firoz's Home Deja Vu Believers Usually 95 Yrs Old F,https://www.youtube.com/watch?v=MBNuPXwnXew,00:02:18.768,00:02:20.116,This is the meaning of Ha Meem.,Dr. Khalifa,
45 Quran Study From Roxana 445 Sura 40 By Rashad Firoz's Home Deja Vu Believers Usually 95 Yrs Old F,https://www.youtube.com/watch?v=MBNuPXwnXew,00:02:21.595,00:02:26.240,"Ha Meem proves that this revelation is from God, not from a human being.",Dr. Khalifa,
45 Quran Study From Roxana 445 Sura 40 By Rashad Firoz's Home Deja Vu Believers Usually 95 Yrs Old F,https://www.youtube.com/watch?v=MBNuPXwnXew,00:02:26.240,00:02:27.834,"[40:2]  ... the Almighty, the Omniscient.",Dr. Khalifa,
45 Quran Study From Roxana 445 Sura 40 By Rashad Firoz's Home Deja Vu Believers Usually 95 Yrs Old F,https://www.youtube.com/watch?v=MBNuPXwnXew,00:02:29.048,00:02:41.492,"[40:3]  Forgiver of sins, acceptor of repentance, strict in enforcing retribution, and possessor of all power. There is no other god beside Him. To Him is the ultimate destiny.",Dr. Khalifa,
45 Quran Study From Roxana 445 Sura 40 By Rashad Firoz's Home Deja Vu Believers Usually 95 Yrs Old F,https://www.youtube.com/watch?v=MBNuPXwnXew,00:02:43.010,00:02:48.046,(unintelligible),A woman,45-1
45 Quran Study From Roxana 445 Sura 40 By Rashad Firoz's Home Deja Vu Believers Usually 95 Yrs Old F,https://www.youtube.com/watch?v=MBNuPXwnXew,00:02:43.010,00:02:48.046,(unintelligible),Dr. Khalifa,45-1
45 Quran Study From Roxana 445 Sura 40 By Rashad Firoz's Home Deja Vu Believers Usually 95 Yrs Old F,https://www.youtube.com/watch?v=MBNuPXwnXew,00:02:43.010,00:02:48.046,Yeah. (unintelligible),A woman,45-1
45 Quran Study From Roxana 445 Sura 40 By Rashad Firoz's Home Deja Vu Believers Usually 95 Yrs Old F,https://www.youtube.com/watch?v=MBNuPXwnXew,00:02:48.046,00:02:51.382,(unintelligible),Dr. Khalifa,45-2
45 Quran Study From Roxana 445 Sura 40 By Rashad Firoz's Home Deja Vu Believers Usually 95 Yrs Old F,https://www.youtube.com/watch?v=MBNuPXwnXew,00:02:48.046,00:02:51.382,(unintelligible),A woman,45-2
45 Quran Study From Roxana 445 Sura 40 By Rashad Firoz's Home Deja Vu Believers Usually 95 Yrs Old F,https://www.youtube.com/watch?v=MBNuPXwnXew,00:02:57.090,00:02:58.665,"Dr. Khalifa: Number 4 says,",Dr. Khalifa,
45 Quran Study From Roxana 445 Sura 40 By Rashad Firoz's Home Deja Vu Believers Usually 95 Yrs Old F,https://www.youtube.com/watch?v=MBNuPXwnXew,00:02:58.665,00:03:02.912,[40:4]  None argues against GOD's revelations except those who disbelieve. ...,Dr. Khalifa,
45 Quran Study From Roxana 445 Sura 40 By Rashad Firoz's Home Deja Vu Believers Usually 95 Yrs Old F,https://www.youtube.com/watch?v=MBNuPXwnXew,00:03:04.309,00:03:05.884,Dr. Khalifa: Who's making noise over there?,Dr. Khalifa,
45 Quran Study From Roxana 445 Sura 40 By Rashad Firoz's Home Deja Vu Believers Usually 95 Yrs Old F,https://www.youtube.com/watch?v=MBNuPXwnXew,00:03:05.884,00:03:07.398,A woman: (unintelligible),A woman,
45 Quran Study From Roxana 445 Sura 40 By Rashad Firoz's Home Deja Vu Believers Usually 95 Yrs Old F,https://www.youtube.com/watch?v=MBNuPXwnXew,00:03:08.187,00:03:09.337,Dr. Khalifa: (unintelligible),Dr. Khalifa,
45 Quran Study From Roxana 445 Sura 40 By Rashad Firoz's Home Deja Vu Believers Usually 95 Yrs Old F,https://www.youtube.com/watch?v=MBNuPXwnXew,00:03:10.794,00:03:14.008,[40:4]  ... Do not be impressed by their apparent success.,Dr. Khalifa,
45 Quran Study From Roxana 445 Sura 40 By Rashad Firoz's Home Deja Vu Believers Usually 95 Yrs Old F,https://www.youtube.com/watch?v=MBNuPXwnXew,00:03:14.008,00:03:15.644,"Now, this is very important.",Dr. Khalifa,
45 Quran Study From Roxana 445 Sura 40 By Rashad Firoz's Home Deja Vu Believers Usually 95 Yrs Old F,https://www.youtube.com/watch?v=MBNuPXwnXew,00:03:16.069,00:03:17.523,Number four.,Dr. Khalifa,
45 Quran Study From Roxana 445 Sura 40 By Rashad Firoz's Home Deja Vu Believers Usually 95 Yrs Old F,https://www.youtube.com/watch?v=MBNuPXwnXew,00:03:17.523,00:03:21.770,[40:4]  None argues against GOD's revelations except those who disbelieve. ...,Dr. Khalifa,
45 Quran Study From Roxana 445 Sura 40 By Rashad Firoz's Home Deja Vu Believers Usually 95 Yrs Old F,https://www.youtube.com/watch?v=MBNuPXwnXew,00:03:22.074,00:03:27.778,People who believe in God will accept the miracle of Quran (unintelligible) very happily because it confirms,Dr. Khalifa,
45 Quran Study From Roxana 445 Sura 40 By Rashad Firoz's Home Deja Vu Believers Usually 95 Yrs Old F,https://www.youtube.com/watch?v=MBNuPXwnXew,00:03:27.778,00:03:31.175,that the book they believe in is indeed a Divine Scripture.,Dr. Khalifa,
