Video Title,Link,Start Time,End Time,Text,Speaker,SplitFromRow,VerseRefs,VerseLang,HasArabic
47 Quran Study From Roxana 647 Introduction To Blue Quran Sura 1 & Beginning Of Sura 2,https://www.youtube.com/watch?v=H7gWUeJB-_4,00:00:09.685,00:00:13.396,"Dr. Khalifa: It's the rich guy, everything 57, look at the discount.",Dr. Khalifa,,,,false
47 Quran Study From Roxana 647 Introduction To Blue Quran Sura 1 & Beginning Of Sura 2,https://www.youtube.com/watch?v=H7gWUeJB-_4,00:00:14.129,00:00:19.122,A woman: (unintelligible),A woman,,,,false
47 Quran Study From Roxana 647 Introduction To Blue Quran Sura 1 & Beginning Of Sura 2,https://www.youtube.com/watch?v=H7gWUeJB-_4,00:00:21.521,00:00:31.735,"Dr. Khalifa: Theme of the book, it's amazing how growing up in so-called Muslim countries, they, they breed fanaticism into you,",Dr. Khalifa,,,,false
47 Quran Study From Roxana 647 Introduction To Blue Quran Sura 1 & Beginning Of Sura 2,https://www.youtube.com/watch?v=H7gWUeJB-_4,00:00:31.735,00:00:37.757,"and I'm gonna use Edip again as an example. Edip is a very enlightened Muslim, very very...",Dr. Khalifa,,,,false
47 Quran Study From Roxana 647 Introduction To Blue Quran Sura 1 & Beginning Of Sura 2,https://www.youtube.com/watch?v=H7gWUeJB-_4,00:00:37.757,00:00:45.779,"He was definitely guided by Allah Subhanahu Wa Ta'ala, and only two weeks ago, only two weeks ago, he came to me and made a confession.",Dr. Khalifa,,,,false
47 Quran Study From Roxana 647 Introduction To Blue Quran Sura 1 & Beginning Of Sura 2,https://www.youtube.com/watch?v=H7gWUeJB-_4,00:00:46.695,00:00:56.266,"He said ""I used to think until this morning that no Jew or Christian can make it to Heaven."" This is how we were, we were taught.",Dr. Khalifa,,,,false
47 Quran Study From Roxana 647 Introduction To Blue Quran Sura 1 & Beginning Of Sura 2,https://www.youtube.com/watch?v=H7gWUeJB-_4,00:00:56.560,00:01:02.660,"""But now, Alhamdu Lillah, I believe, I am now convinced of this verse in the Quran, that",Dr. Khalifa,,,,false
47 Quran Study From Roxana 647 Introduction To Blue Quran Sura 1 & Beginning Of Sura 2,https://www.youtube.com/watch?v=H7gWUeJB-_4,00:01:02.660,00:01:09.530,"""there are righteous Christians and righteous Jews and righteous Muslims who are dedicated to God alone.""",Dr. Khalifa,,,,false
47 Quran Study From Roxana 647 Introduction To Blue Quran Sura 1 & Beginning Of Sura 2,https://www.youtube.com/watch?v=H7gWUeJB-_4,00:01:09.964,00:01:16.850,"Of course, there are other verses in the Quran also that confirm this, like 3:113, I think, that says",Dr. Khalifa,,,,false
47 Quran Study From Roxana 647 Introduction To Blue Quran Sura 1 & Beginning Of Sura 2,https://www.youtube.com/watch?v=H7gWUeJB-_4,00:01:16.850,00:01:20.972,"""among Jews and Christians there are those who are righteous and will make it to Heaven.""",Dr. Khalifa,,,,false
47 Quran Study From Roxana 647 Introduction To Blue Quran Sura 1 & Beginning Of Sura 2,https://www.youtube.com/watch?v=H7gWUeJB-_4,00:01:21.949,00:01:24.621,"Okay, that's the theme of the book, and it is very important.",Dr. Khalifa,,,,false
47 Quran Study From Roxana 647 Introduction To Blue Quran Sura 1 & Beginning Of Sura 2,https://www.youtube.com/watch?v=H7gWUeJB-_4,00:01:25.660,00:01:33.891,"We're gonna skip the copyright page, and the other title page.",Dr. Khalifa,,,,false
47 Quran Study From Roxana 647 Introduction To Blue Quran Sura 1 & Beginning Of Sura 2,https://www.youtube.com/watch?v=H7gWUeJB-_4,00:01:35.186,00:01:41.910,"I want to read the acknowledgment, the grateful acknowledgment is made to Lisa Spray for her tireless work",Dr. Khalifa,,,,false
47 Quran Study From Roxana 647 Introduction To Blue Quran Sura 1 & Beginning Of Sura 2,https://www.youtube.com/watch?v=H7gWUeJB-_4,00:01:41.910,00:01:48.357,"in editing and helping in this, the production of this momentous and historical project.",Dr. Khalifa,,,,false
47 Quran Study From Roxana 647 Introduction To Blue Quran Sura 1 & Beginning Of Sura 2,https://www.youtube.com/watch?v=H7gWUeJB-_4,00:01:49.540,00:01:55.096,"And she worked days and nights on this, as you know, and we congratulate her for all the credit she accumulated.",Dr. Khalifa,,,,false
47 Quran Study From Roxana 647 Introduction To Blue Quran Sura 1 & Beginning Of Sura 2,https://www.youtube.com/watch?v=H7gWUeJB-_4,00:01:57.750,00:02:03.670,"Significant editorial assistance was also provided by Edip Yuksel, Lydia Kelly,",Dr. Khalifa,,,,false
