Video Title,Link,Start Time,End Time,Text,Speaker
48 Quran Study 48 Rashad's Speech Parivash's Home Salat Zakat Fazeli A Muhamaden Argues 01 11 1989,https://www.youtube.com/watch?v=NZXuGdG_NzM,00:00:01.511,00:00:03.511,Dr. Khalifa: ... were swept in the crowd.,Dr. Khalifa
48 Quran Study 48 Rashad's Speech Parivash's Home Salat Zakat Fazeli A Muhamaden Argues 01 11 1989,https://www.youtube.com/watch?v=NZXuGdG_NzM,00:00:04.984,00:00:06.554,(unintelligible),Dr. Khalifa
48 Quran Study 48 Rashad's Speech Parivash's Home Salat Zakat Fazeli A Muhamaden Argues 01 11 1989,https://www.youtube.com/watch?v=NZXuGdG_NzM,00:00:06.554,00:00:08.554,75 billion of us.,Dr. Khalifa
48 Quran Study 48 Rashad's Speech Parivash's Home Salat Zakat Fazeli A Muhamaden Argues 01 11 1989,https://www.youtube.com/watch?v=NZXuGdG_NzM,00:00:09.290,00:00:14.113,We did not make a firm stand with God or with Satan.,Dr. Khalifa
48 Quran Study 48 Rashad's Speech Parivash's Home Salat Zakat Fazeli A Muhamaden Argues 01 11 1989,https://www.youtube.com/watch?v=NZXuGdG_NzM,00:00:14.420,00:00:16.420,God sent us to see an invitation.,Dr. Khalifa
48 Quran Study 48 Rashad's Speech Parivash's Home Salat Zakat Fazeli A Muhamaden Argues 01 11 1989,https://www.youtube.com/watch?v=NZXuGdG_NzM,00:00:17.442,00:00:24.652,"Dr. Khalifa: So, God knew that some of us in their heart knew
that only God can be a god.",Dr. Khalifa
48 Quran Study 48 Rashad's Speech Parivash's Home Salat Zakat Fazeli A Muhamaden Argues 01 11 1989,https://www.youtube.com/watch?v=NZXuGdG_NzM,00:00:24.652,00:00:30.661,"For Satan's contention that he could be a god
was not only blasphemous, it was also wrong,",Dr. Khalifa
48 Quran Study 48 Rashad's Speech Parivash's Home Salat Zakat Fazeli A Muhamaden Argues 01 11 1989,https://www.youtube.com/watch?v=NZXuGdG_NzM,00:00:30.661,00:00:37.995,"because it was not possible for anyone else
to function as a god inside a dominion",Dr. Khalifa
48 Quran Study 48 Rashad's Speech Parivash's Home Salat Zakat Fazeli A Muhamaden Argues 01 11 1989,https://www.youtube.com/watch?v=NZXuGdG_NzM,00:00:37.995,00:00:42.770,"and run it perfectly, without disease, without
accidents, without problems.",Dr. Khalifa
48 Quran Study 48 Rashad's Speech Parivash's Home Salat Zakat Fazeli A Muhamaden Argues 01 11 1989,https://www.youtube.com/watch?v=NZXuGdG_NzM,00:00:43.445,00:00:47.692,Nobody can do that. (unintelligible). It was a wrong contention.,Dr. Khalifa
48 Quran Study 48 Rashad's Speech Parivash's Home Salat Zakat Fazeli A Muhamaden Argues 01 11 1989,https://www.youtube.com/watch?v=NZXuGdG_NzM,00:00:50.979,00:00:56.195,"Being swept in the crowd, I'm gonna tell
you about an experiment that some people did.",Dr. Khalifa
48 Quran Study 48 Rashad's Speech Parivash's Home Salat Zakat Fazeli A Muhamaden Argues 01 11 1989,https://www.youtube.com/watch?v=NZXuGdG_NzM,00:00:56.993,00:01:03.016,"In this experiment, I think it was a very
simple experiment.",Dr. Khalifa
48 Quran Study 48 Rashad's Speech Parivash's Home Salat Zakat Fazeli A Muhamaden Argues 01 11 1989,https://www.youtube.com/watch?v=NZXuGdG_NzM,00:01:03.429,00:01:06.071,There's an arrow like this with two heads.,Dr. Khalifa
48 Quran Study 48 Rashad's Speech Parivash's Home Salat Zakat Fazeli A Muhamaden Argues 01 11 1989,https://www.youtube.com/watch?v=NZXuGdG_NzM,00:01:06.071,00:01:10.158,(unintelligible),Dr. Khalifa
48 Quran Study 48 Rashad's Speech Parivash's Home Salat Zakat Fazeli A Muhamaden Argues 01 11 1989,https://www.youtube.com/watch?v=NZXuGdG_NzM,00:01:11.120,00:01:21.120,"And let's take two arrows, one of them has
only one point, and the other has two points like that.",Dr. Khalifa
48 Quran Study 48 Rashad's Speech Parivash's Home Salat Zakat Fazeli A Muhamaden Argues 01 11 1989,https://www.youtube.com/watch?v=NZXuGdG_NzM,00:01:21.616,00:01:25.623,"Now obviously, this one looks like this one,
but this one does not.",Dr. Khalifa
48 Quran Study 48 Rashad's Speech Parivash's Home Salat Zakat Fazeli A Muhamaden Argues 01 11 1989,https://www.youtube.com/watch?v=NZXuGdG_NzM,00:01:26.411,00:01:35.606,"So, the experiment was to get a group of people
that let us agree that this arrow looks like this one.",Dr. Khalifa
48 Quran Study 48 Rashad's Speech Parivash's Home Salat Zakat Fazeli A Muhamaden Argues 01 11 1989,https://www.youtube.com/watch?v=NZXuGdG_NzM,00:01:37.174,00:01:45.581,"And then, one member of the group was absent, and they said ""let us, when he comes in, let's all say that this one looks like this one.",Dr. Khalifa
48 Quran Study 48 Rashad's Speech Parivash's Home Salat Zakat Fazeli A Muhamaden Argues 01 11 1989,https://www.youtube.com/watch?v=NZXuGdG_NzM,00:01:45.581,00:01:48.972,"""And then ask him, which one of these two looks
like this one?""",Dr. Khalifa
48 Quran Study 48 Rashad's Speech Parivash's Home Salat Zakat Fazeli A Muhamaden Argues 01 11 1989,https://www.youtube.com/watch?v=NZXuGdG_NzM,00:01:48.972,00:01:50.702,"So, what happened?",Dr. Khalifa
48 Quran Study 48 Rashad's Speech Parivash's Home Salat Zakat Fazeli A Muhamaden Argues 01 11 1989,https://www.youtube.com/watch?v=NZXuGdG_NzM,00:01:51.643,00:01:58.223,"So, when this fellow came in, they started to ask the question ""which one of the two arrows looks like this one?""",Dr. Khalifa
48 Quran Study 48 Rashad's Speech Parivash's Home Salat Zakat Fazeli A Muhamaden Argues 01 11 1989,https://www.youtube.com/watch?v=NZXuGdG_NzM,00:01:58.963,00:02:05.804,"And the group, one by one, said ""this one looks
like this one. This one here looks like this one.""",Dr. Khalifa
48 Quran Study 48 Rashad's Speech Parivash's Home Salat Zakat Fazeli A Muhamaden Argues 01 11 1989,https://www.youtube.com/watch?v=NZXuGdG_NzM,00:02:06.172,00:02:14.554,"Until they reached the fellow, the projected victim, and they told him, they asked him ""which one of these two looks like this one?""",Dr. Khalifa
48 Quran Study 48 Rashad's Speech Parivash's Home Salat Zakat Fazeli A Muhamaden Argues 01 11 1989,https://www.youtube.com/watch?v=NZXuGdG_NzM,00:02:15.000,00:02:17.391,"And he said ""this one looks like this one.""",Dr. Khalifa
48 Quran Study 48 Rashad's Speech Parivash's Home Salat Zakat Fazeli A Muhamaden Argues 01 11 1989,https://www.youtube.com/watch?v=NZXuGdG_NzM,00:02:18.250,00:02:20.434,"He went along with the, with the crowd.",Dr. Khalifa
48 Quran Study 48 Rashad's Speech Parivash's Home Salat Zakat Fazeli A Muhamaden Argues 01 11 1989,https://www.youtube.com/watch?v=NZXuGdG_NzM,00:02:21.845,00:02:27.466,"Now, you and I are sure that he knew that
this one looked like this one.",Dr. Khalifa
48 Quran Study 48 Rashad's Speech Parivash's Home Salat Zakat Fazeli A Muhamaden Argues 01 11 1989,https://www.youtube.com/watch?v=NZXuGdG_NzM,00:02:28.277,00:02:31.891,"In his heart, he knew that this one looked
like this one.",Dr. Khalifa
48 Quran Study 48 Rashad's Speech Parivash's Home Salat Zakat Fazeli A Muhamaden Argues 01 11 1989,https://www.youtube.com/watch?v=NZXuGdG_NzM,00:02:32.566,00:02:37.715,"But he probably said ""maybe, they know something
I don't know. Maybe, there's a trick here or something.""",Dr. Khalifa
48 Quran Study 48 Rashad's Speech Parivash's Home Salat Zakat Fazeli A Muhamaden Argues 01 11 1989,https://www.youtube.com/watch?v=NZXuGdG_NzM,00:02:37.715,00:02:41.515,"So, he went along with the crowd when he said ""this one looks like this one.""",Dr. Khalifa
48 Quran Study 48 Rashad's Speech Parivash's Home Salat Zakat Fazeli A Muhamaden Argues 01 11 1989,https://www.youtube.com/watch?v=NZXuGdG_NzM,00:02:41.515,00:02:43.155,This is a real-life experiment.,Dr. Khalifa
48 Quran Study 48 Rashad's Speech Parivash's Home Salat Zakat Fazeli A Muhamaden Argues 01 11 1989,https://www.youtube.com/watch?v=NZXuGdG_NzM,00:02:45.000,00:02:51.285,"And this is precisely what happened in that
Great Feud.",Dr. Khalifa
48 Quran Study 48 Rashad's Speech Parivash's Home Salat Zakat Fazeli A Muhamaden Argues 01 11 1989,https://www.youtube.com/watch?v=NZXuGdG_NzM,00:02:52.539,00:03:00.501,"So, the angels suggested that all the creatures
who did not oppose God's Absolute Authority must be thrown out.",Dr. Khalifa
48 Quran Study 48 Rashad's Speech Parivash's Home Salat Zakat Fazeli A Muhamaden Argues 01 11 1989,https://www.youtube.com/watch?v=NZXuGdG_NzM,00:03:03.017,00:03:05.017,And banished from God's Kingdom.,Dr. Khalifa
48 Quran Study 48 Rashad's Speech Parivash's Home Salat Zakat Fazeli A Muhamaden Argues 01 11 1989,https://www.youtube.com/watch?v=NZXuGdG_NzM,00:03:06.239,00:03:11.912,"But because of God's knowledge that this fellow,
in his heart, knew",Dr. Khalifa
48 Quran Study 48 Rashad's Speech Parivash's Home Salat Zakat Fazeli A Muhamaden Argues 01 11 1989,https://www.youtube.com/watch?v=NZXuGdG_NzM,00:03:11.912,00:03:15.385,"which the correct answer is, he went along and was swept in the
crowd,",Dr. Khalifa
48 Quran Study 48 Rashad's Speech Parivash's Home Salat Zakat Fazeli A Muhamaden Argues 01 11 1989,https://www.youtube.com/watch?v=NZXuGdG_NzM,00:03:15.385,00:03:19.349,"some of us human beings were also swept in
the crowd, and we,",Dr. Khalifa
48 Quran Study 48 Rashad's Speech Parivash's Home Salat Zakat Fazeli A Muhamaden Argues 01 11 1989,https://www.youtube.com/watch?v=NZXuGdG_NzM,00:03:19.349,00:03:23.804,"we said ""yeah, maybe, Satan can do it. Let us see a demonstration.""",Dr. Khalifa
48 Quran Study 48 Rashad's Speech Parivash's Home Salat Zakat Fazeli A Muhamaden Argues 01 11 1989,https://www.youtube.com/watch?v=NZXuGdG_NzM,00:03:24.663,00:03:28.565,"So, God wanted to give us a chance. God is Arrahman Arraheem.",Dr. Khalifa
48 Quran Study 48 Rashad's Speech Parivash's Home Salat Zakat Fazeli A Muhamaden Argues 01 11 1989,https://www.youtube.com/watch?v=NZXuGdG_NzM,00:03:28.933,00:03:30.442,He is the Most Merciful.,Dr. Khalifa
48 Quran Study 48 Rashad's Speech Parivash's Home Salat Zakat Fazeli A Muhamaden Argues 01 11 1989,https://www.youtube.com/watch?v=NZXuGdG_NzM,00:03:31.363,00:03:42.446,"And He did not throw us out of His kingdom because of this crime that we committed, which is in fact the original sin.",Dr. Khalifa
48 Quran Study 48 Rashad's Speech Parivash's Home Salat Zakat Fazeli A Muhamaden Argues 01 11 1989,https://www.youtube.com/watch?v=NZXuGdG_NzM,00:03:43.182,00:03:55.553,"He wanted to give us another chance to redeem ourselves, to denounce our crime, and to proclaim God's Absolute Authority and uphold it.",Dr. Khalifa
48 Quran Study 48 Rashad's Speech Parivash's Home Salat Zakat Fazeli A Muhamaden Argues 01 11 1989,https://www.youtube.com/watch?v=NZXuGdG_NzM,00:03:56.105,00:03:58.105,But only God can be a god.,Dr. Khalifa
48 Quran Study 48 Rashad's Speech Parivash's Home Salat Zakat Fazeli A Muhamaden Argues 01 11 1989,https://www.youtube.com/watch?v=NZXuGdG_NzM,00:04:00.000,00:04:11.469,"Okay, this called for, for this second chance, a test was to be done in order for us to go through the same process.",Dr. Khalifa
