Video Title,Link,Start Time,End Time,Text,Speaker,SplitFromRow
49 Quran Study 49 Speech Of Rashad Parivash's Home 19 Math 11 05 1989,https://www.youtube.com/watch?v=FYaZpRU4LZs,00:00:00.080,00:00:08.797,"Behrouz: Now, I would like to, this is an honor for me, to present to you, the God's Messenger of Covenant, Dr. Rashad Khalifa.",Behrouz,
49 Quran Study 49 Speech Of Rashad Parivash's Home 19 Math 11 05 1989,https://www.youtube.com/watch?v=FYaZpRU4LZs,00:00:16.443,00:00:20.000,Dr. Khalifa: I think we're gonna continue with our presentation.,Dr. Khalifa,
49 Quran Study 49 Speech Of Rashad Parivash's Home 19 Math 11 05 1989,https://www.youtube.com/watch?v=FYaZpRU4LZs,00:00:20.287,00:00:23.885,"I'll, I'll, I'm going to start (unintelligible).",Dr. Khalifa,
49 Quran Study 49 Speech Of Rashad Parivash's Home 19 Math 11 05 1989,https://www.youtube.com/watch?v=FYaZpRU4LZs,00:00:26.213,00:00:30.000,"Bism Allah Arrahman Arraheem In the name of God, Most Gracious, Most Merciful.",Dr. Khalifa,
49 Quran Study 49 Speech Of Rashad Parivash's Home 19 Math 11 05 1989,https://www.youtube.com/watch?v=FYaZpRU4LZs,00:00:30.308,00:00:39.172,"This was an excellent brief presentation of the perpetual miracle that God sent to us,",Dr. Khalifa,
49 Quran Study 49 Speech Of Rashad Parivash's Home 19 Math 11 05 1989,https://www.youtube.com/watch?v=FYaZpRU4LZs,00:00:39.172,00:00:45.391,"that is to be witnessed by anybody, in any place, at any time.",Dr. Khalifa,
49 Quran Study 49 Speech Of Rashad Parivash's Home 19 Math 11 05 1989,https://www.youtube.com/watch?v=FYaZpRU4LZs,00:00:46.575,00:00:51.529,"Anybody in Tokyo, Japan can open this and witness the miracle,",Dr. Khalifa,
49 Quran Study 49 Speech Of Rashad Parivash's Home 19 Math 11 05 1989,https://www.youtube.com/watch?v=FYaZpRU4LZs,00:00:51.529,00:00:56.327,"this mathematically, mathematically coded book. This is an original idea.",Dr. Khalifa,
49 Quran Study 49 Speech Of Rashad Parivash's Home 19 Math 11 05 1989,https://www.youtube.com/watch?v=FYaZpRU4LZs,00:00:57.062,00:01:02.670,"And I have to take you back a few years, a few centuries actually,",Dr. Khalifa,
49 Quran Study 49 Speech Of Rashad Parivash's Home 19 Math 11 05 1989,https://www.youtube.com/watch?v=FYaZpRU4LZs,00:01:02.670,00:01:07.534,where the realization came first that God spoke to us in mathematics.,Dr. Khalifa,
