Video Title,Link,Start Time,End Time,Text,Speaker,SplitFromRow,VerseRefs,VerseLang
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:00:00.080,00:00:01.329,A woman: ...7 in the book.,A woman,,,
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:00:01.329,00:00:02.578,Dr. Khalifa: Page 46.,Dr. Khalifa,,,
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:00:02.578,00:00:08.185,A woman: (unintelligible),A woman,,,
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:00:12.063,00:00:14.482,"Surah 92, The Night.",A woman,,,
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:00:14.482,00:00:17.575,"In the name of GOD, Most Gracious, Most Merciful.",A woman,,,
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:00:18.477,00:00:25.167,[92:1] By the night as it covers. [92:2] The day as it reveals. [92:3] And Him who created the male and the female.,A woman,,92:1; 92:2; 92:3,en
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:00:25.468,00:00:27.468,[92:4]  Your works are of various kinds.,A woman,,92:4,en
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:00:28.069,00:00:31.572,[92:5]  As for him who gives to charity and maintains righteousness.,A woman,,92:5,en
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:00:31.572,00:00:33.322,[92:6]  And upholds the scripture.,A woman,,92:6,en
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:00:33.522,00:00:35.522,[92:7]  We will direct him towards happiness.,A woman,,92:7,en
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:00:35.973,00:00:38.223,"[92:8]  But he who is stingy, though he is rich.",A woman,,92:8,en
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:00:38.223,00:00:40.223,[92:9]  And disbelieves in the scripture.,A woman,,92:9,en
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:00:40.223,00:00:42.223,[92:10]  We will direct him towards misery.,A woman,,92:10,en
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:00:42.460,00:00:45.500,[92:11]  His money cannot help him when he falls.,A woman,,92:11,en
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:00:45.951,00:00:47.670,[92:12]  We provide the guidance.,A woman,,92:12,en
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:00:47.670,00:00:50.248,"[92:13]  We control the Hereafter, as well as this life.",A woman,,92:13,en
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:00:50.949,00:00:53.690,[92:14]  I have warned you about the blazing Hellfire.,A woman,,92:14,en
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:00:54.191,00:00:58.538,[92:15] None burns therein except the wicked. [92:16] Who disbelieves and turns away.,A woman,,92:15; 92:16,en
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:00:59.039,00:01:02.769,[92:17] Avoiding it will be the righteous. [92:18] Who gives from his money to charity.,A woman,,92:17; 92:18,en
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:01:02.769,00:01:07.140,"[92:19] Seeking nothing in return. [92:20] Seeking only his Lord, the Most High.",A woman,,92:19; 92:20,en
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:01:07.540,00:01:09.655,[92:21]  He will certainly attain salvation.,A woman,,92:21,en
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:01:13.061,00:01:14.810,Verse 1 and verse 2.,A woman,,,
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:01:14.810,00:01:17.380,[92:1] By the night as it covers. [92:2] The day as it reveals.,A woman,,92:1; 92:2,en
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:01:17.380,00:01:22.359,"There are many, many verses which refer to day, night, forenoon, and dawn.",A woman,,,
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:01:24.162,00:01:28.023,The night is created for our rest and therefore is a benefit.,A woman,,,
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:01:30.000,00:01:40.000,And we can use that as an analogy to this life because we're blocked from being in God's presence while we're in this life.,A woman,,,
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:01:40.382,00:01:43.331,It is a sort of darkness. It is a sort of barrier.,A woman,,,
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:01:43.331,00:01:46.641,We cannot stand God's presence in our present form.,A woman,,,
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:01:47.979,00:01:50.000,[92:2]  The day as it reveals.,A woman,,92:2,en
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:01:51.442,00:01:58.821,Most of the references in Quran about day are about the Day of Resurrection all the way through.,A woman,,,
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:01:59.620,00:02:06.060,And I thought of that as an analogy to life which reveals the truth and things as they are.,A woman,,,
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:02:06.359,00:02:11.179,"And I thought that appropriate too, when we consider the Day of Resurrection, the Day of Judgment,",A woman,,,
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:02:11.179,00:02:13.330,"because that's, in fact, what will happen.",A woman,,,
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:02:13.831,00:02:20.000,We're all familiar with this night and how black it can be without any stars or the moon out.,A woman,,,
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:02:20.541,00:02:25.874,I used to live up on a hill in the middle of the country and there was no electricity from house to house.,A woman,,,
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:02:26.290,00:02:29.240,There's nothing to see except the lightning bugs if you were fortunate.,A woman,,,
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:02:29.641,00:02:31.891,You couldn't see your hand in front of your face.,A woman,,,
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:02:31.891,00:02:32.956,It was that dark.,A woman,,,
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:02:33.658,00:02:34.954,And that's quite a cover.,A woman,,,
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:02:34.954,00:02:41.948,It removes our world from us so that what we remember of the world in the daylight really is an illusion.,A woman,,,
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:02:42.387,00:02:48.636,The night takes everything away and that's what happened to us when we had to come to this life.,A woman,,,
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:02:48.636,00:02:53.642,We had to be away from our real life for the period of time we're here.,A woman,,,
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:02:54.315,00:02:59.794,"And when the sun comes up and things begin to take shape, the first thing that we see is silhouettes usually.",A woman,,,
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:02:59.794,00:03:05.614,"I live across the street from a park now and when the sun rises, the trees don't have any texture or depth of color.",A woman,,,
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:03:05.614,00:03:08.179,They're shapes as the sun begins to come up.,A woman,,,
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:03:08.580,00:03:09.800,And they look flat.,A woman,,,
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:03:09.800,00:03:19.216,"And as the sun rises further, the color appears and then its depth and texture and you see individual leaves moving and all the parts that make up the tree.",A woman,,,
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:03:19.591,00:03:25.978,"And so the day is revelation and the Day of Judgment is a revelation to all of us,",A woman,,,
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:03:25.978,00:03:30.409,even those of us who hope to be safe on the Day of Resurrection.,A woman,,,
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:03:30.759,00:03:34.773,I think we will also see things that we did not see ever in this lifetime.,A woman,,,
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:03:36.773,00:03:42.079,[92:3] And Him who created the male and the female. [92:4] Your works are of various kinds.,A woman,,92:3; 92:4,en
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:03:43.632,00:03:50.691,"Some time ago, I went through Quran and looked for all of the references that God made to the human being,",A woman,,,
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:03:50.691,00:03:54.194,whether it was about creation or about our nature and our characters.,A woman,,,
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:03:54.495,00:04:01.103,"And there are an awful lot, as I was telling Lydia before we started, an awful lot of descriptions of us",A woman,,,
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:04:01.103,00:04:11.569,"that are not real positive. We're hasty, we're unappreciative, contentious, parsimonious,",A woman,,,
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:04:11.569,00:04:14.421,and unappreciative is throughout quite a bit.,A woman,,,
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:04:14.621,00:04:21.780,"And there are rare instances where the verse might finish with the phrase ""except for those who lead a righteous life"" or something similar.",A woman,,,
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:04:22.604,00:04:31.243,"Our works are of various kinds. And for those of us who do things that appear to be Quranic but we are still involved in idol worship,",A woman,,,
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:04:31.243,00:04:36.649,"we know that those works are nullified. And in fact, God designs those works to help others.",A woman,,,
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:04:37.000,00:04:44.610,"We are all in the service of each other but that on the Day of Resurrection, if we are involved in idol worship, they will be as if we had not done them.",A woman,,,
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:04:48.868,00:04:56.779,Verses 5 through 11 describe two types of people.,A woman,,,
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:04:57.681,00:05:01.034,"God alone knows what each of our choice was,",A woman,,,
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:05:01.034,00:05:05.589,what in our hearts we really believe even though we forgot when we came here.,A woman,,,
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:05:06.941,00:05:16.655,"For those of us who chose God alone, God willing all of us, God will give us everything in our life to augment that choice.",A woman,,,
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:05:17.807,00:05:19.807,We know those things as tests.,A woman,,,
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:05:19.807,00:05:23.861,We know them as gifts. We know them as miracles. We each have stories to tell.,A woman,,,
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:05:24.663,00:05:33.676,"And as we recognize them as such, they augment and cement and increase our faith and our knowledge in God's truth and His guarantees.",A woman,,,
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:05:34.528,00:05:42.539,"For those who do not believe, God also provides for them what they need to continue disbelief.",A woman,,,
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:05:43.491,00:05:47.695,It may appear as though they're wondrous things for instance they're very wealthy or people,A woman,,,
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:05:47.695,00:05:53.201,that have great status or people that seem to have a lot of power and can get people,A woman,,,
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:05:53.201,00:05:56.002,"in countries to do things for themselves, for instance.",A woman,,,
50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,https://www.youtube.com/watch?v=N5tt8GfiiYk,00:05:56.453,00:06:00.958,"Those people may consider themselves blessed, but God is merely continuing to test them",A woman,,,
