Video Title,Link,Start Time,End Time,Text,Speaker,SplitFromRow
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:00:01.420,00:00:07.060,"Dr. Khalifa: [39:15]  ... their souls, and their families, on the Day of Resurrection."" Most certainly, this is the worst loss.",Dr. Khalifa,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:00:07.897,00:00:09.064,Dr. Khalifa: Losing the soul...,Dr. Khalifa,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:00:09.064,00:00:10.271,A woman: Losing soul?,A woman,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:00:10.271,00:00:13.248,"Dr. Khalifa: is, is literal.",Dr. Khalifa,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:00:14.614,00:00:17.660,"When we don't Pray, we don't worship God alone, the soul shrinks.",Dr. Khalifa,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:00:19.598,00:00:22.081,"Not only to zero, it goes to negative.",Dr. Khalifa,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:00:25.870,00:00:27.820,It'll just be full of negative charges.,Dr. Khalifa,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:00:30.507,00:00:36.743,"Losing their souls and their families, because a soul that is shrunk is repulsed by everything else.",Dr. Khalifa,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:00:39.754,00:00:46.900,Do you remember those movies about gambling and the Old West and drinking and shooting and killing?,Dr. Khalifa,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:00:47.929,00:00:54.277,"Murders, fighting, shooting and killing are always associated with the places of gambling and, and drinking.",Dr. Khalifa,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:00:54.806,00:00:57.462,"Because the souls are so shrunk, there is so much hate.",Dr. Khalifa,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:01:01.339,00:01:07.189,"Yeah, it's amazing how they show those movies and they have poker hands or something, and they",Dr. Khalifa,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:01:07.189,00:01:12.570,"focus on the faces and there is so much hatred and cheating, and money grabbing,",Dr. Khalifa,
