Video Title,Link,Start Time,End Time,Text,Speaker
52 Quran Study 5⧸8⧸89 by Linda Sura 1 & 2 partial,https://www.youtube.com/watch?v=4vzFRGPYqRQ,00:00:02.232,00:00:03.100,"Kathryn: Come on, guys.",Catherine
52 Quran Study 5⧸8⧸89 by Linda Sura 1 & 2 partial,https://www.youtube.com/watch?v=4vzFRGPYqRQ,00:00:04.100,00:00:04.600,Kathryn: Frank.,Catherine
52 Quran Study 5⧸8⧸89 by Linda Sura 1 & 2 partial,https://www.youtube.com/watch?v=4vzFRGPYqRQ,00:00:06.722,00:00:08.832,Frank: (unintelligible) always (unintelligible),Frank
52 Quran Study 5⧸8⧸89 by Linda Sura 1 & 2 partial,https://www.youtube.com/watch?v=4vzFRGPYqRQ,00:00:09.411,00:00:20.975,A man: The translation (unintelligible),A man
52 Quran Study 5⧸8⧸89 by Linda Sura 1 & 2 partial,https://www.youtube.com/watch?v=4vzFRGPYqRQ,00:00:21.251,00:00:22.836,Kathryn: (unintelligible) Comments?,Catherine
52 Quran Study 5⧸8⧸89 by Linda Sura 1 & 2 partial,https://www.youtube.com/watch?v=4vzFRGPYqRQ,00:00:24.000,00:00:25.614,Dr. Khalifa: Include Al-Fãtehah.,Dr. Khalifa
52 Quran Study 5⧸8⧸89 by Linda Sura 1 & 2 partial,https://www.youtube.com/watch?v=4vzFRGPYqRQ,00:00:26.600,00:00:27.918,"Kathryn: Yeah, I think so.",Catherine
52 Quran Study 5⧸8⧸89 by Linda Sura 1 & 2 partial,https://www.youtube.com/watch?v=4vzFRGPYqRQ,00:00:28.579,00:00:30.579,"Dr. Khalifa: Well, I just knew a few comments about Al-Fãtehah.",Dr. Khalifa
52 Quran Study 5⧸8⧸89 by Linda Sura 1 & 2 partial,https://www.youtube.com/watch?v=4vzFRGPYqRQ,00:00:30.579,00:00:33.256,"I think this is a very, very important tool.",Dr. Khalifa
52 Quran Study 5⧸8⧸89 by Linda Sura 1 & 2 partial,https://www.youtube.com/watch?v=4vzFRGPYqRQ,00:00:34.854,00:00:38.980,This is the key that opens up the contact,Dr. Khalifa
52 Quran Study 5⧸8⧸89 by Linda Sura 1 & 2 partial,https://www.youtube.com/watch?v=4vzFRGPYqRQ,00:00:38.980,00:00:41.253,"to our Creator, every day.",Dr. Khalifa
52 Quran Study 5⧸8⧸89 by Linda Sura 1 & 2 partial,https://www.youtube.com/watch?v=4vzFRGPYqRQ,00:00:42.280,00:00:46.417,"The Arabic sounds are numerically structured,",Dr. Khalifa
52 Quran Study 5⧸8⧸89 by Linda Sura 1 & 2 partial,https://www.youtube.com/watch?v=4vzFRGPYqRQ,00:00:46.417,00:00:48.220,"like, like a telephone number.",Dr. Khalifa
52 Quran Study 5⧸8⧸89 by Linda Sura 1 & 2 partial,https://www.youtube.com/watch?v=4vzFRGPYqRQ,00:00:49.422,00:00:51.277,"You want to call this mosque,",Dr. Khalifa
52 Quran Study 5⧸8⧸89 by Linda Sura 1 & 2 partial,https://www.youtube.com/watch?v=4vzFRGPYqRQ,00:00:51.277,00:00:54.420,you dial 791-3989.,Dr. Khalifa
52 Quran Study 5⧸8⧸89 by Linda Sura 1 & 2 partial,https://www.youtube.com/watch?v=4vzFRGPYqRQ,00:00:55.607,00:00:59.215,"You dial 790-2..., instead of .91....",Dr. Khalifa
52 Quran Study 5⧸8⧸89 by Linda Sura 1 & 2 partial,https://www.youtube.com/watch?v=4vzFRGPYqRQ,00:00:59.215,00:01:00.676,(unintelligible),Dr. Khalifa
52 Quran Study 5⧸8⧸89 by Linda Sura 1 & 2 partial,https://www.youtube.com/watch?v=4vzFRGPYqRQ,00:01:01.138,00:01:11.020,"So, these are numerically structured sounds that are given to us by God Himself to establish contact with Him.",Dr. Khalifa
52 Quran Study 5⧸8⧸89 by Linda Sura 1 & 2 partial,https://www.youtube.com/watch?v=4vzFRGPYqRQ,00:01:11.406,00:01:13.965,There can never be something better than numerical sounds.,Dr. Khalifa
