Video Title,Link,Start Time,End Time,Text,Speaker,Description,TOC Time,TOC Title
53 Quran Study 22 Oct 1982 By Dr  Rashad Khalifa - Original,https://www.youtube.com/watch?v=6-yFshRBpcQ,00:00:00.000,00:00:01.757,Dean Mahmoud: (unintelligible) But not the idea of...,Dean Mahmoud,"An informal discussion precedes the study session, examining the historical decline of Islamic universities following Mongol invasions, the institutional elevation of Hadith and Sunnah over free thought, and the historical rejection of ninety percent of collected Hadiths by early compilers. Attendees draw parallels to Christianity, where church doctrine supplanted original scripture, and discuss modern engineering probability, utilitarian ethics, and corporate consumer culture in America. An anecdote from an MSA study circle highlights a woman's rebuttal that believers should seek guidance directly from God rather than Hadith. Dr. Rashad Khalifa commences the formal class by crediting Dean Mahmoud with discovering a structural correspondence between Suras 1 (Al-Fatihah) and 2 (Al-Baqarah): the three categories mentioned in 1:7—those blessed, those incurring wrath, and the strayers—mirror the righteous, the disbelievers, and the hypocrites defined across the opening verses of Sura 2. Khalifa argues that this precise thematic continuity across thirteen years and hundreds of miles between Mecca and Medina proves the Quran was authored prior to the creation of the heavens and the earth. Dean Mahmoud elaborates on the Arabic linguistic roots of ""Al-Mustaqeem"" (1:6), citing classical lexicographers and Quranic dictionaries to define it as the path of righteousness. He reviews classical commentaries including Al-Manar, Al-Zamakhshari, and Al-Baydawi, proposing a mathematical model wherein hypocrites represent a subset of disbelievers (2:8–19).",,
53 Quran Study 22 Oct 1982 By Dr  Rashad Khalifa - Original,https://www.youtube.com/watch?v=6-yFshRBpcQ,00:00:01.757,00:00:03.321,A woman: Maybe (unintelligible),A woman,,,
53 Quran Study 22 Oct 1982 By Dr  Rashad Khalifa - Original,https://www.youtube.com/watch?v=6-yFshRBpcQ,00:00:03.321,00:00:06.634,"Dean Mahmoud: Just that because they are bad Muslims, you have to throw Islam overboard?",Dean Mahmoud,,,
53 Quran Study 22 Oct 1982 By Dr  Rashad Khalifa - Original,https://www.youtube.com/watch?v=6-yFshRBpcQ,00:00:07.766,00:00:09.766,Dean Mahmoud: Just because there are no (unintelligible),Dean Mahmoud,,,
53 Quran Study 22 Oct 1982 By Dr  Rashad Khalifa - Original,https://www.youtube.com/watch?v=6-yFshRBpcQ,00:00:13.775,00:00:21.543,"A man: But you said with the invasion in a certain period
of history, of the Mongols, all of the universities",A man,,00:00:13.775,Mongol Invasions and Decline of Universities
53 Quran Study 22 Oct 1982 By Dr  Rashad Khalifa - Original,https://www.youtube.com/watch?v=6-yFshRBpcQ,00:00:21.543,00:00:27.881,"died out except for the ones that just taught
the Hadith, the Sunnah, and illegal jurisprudence.",A man,,,
53 Quran Study 22 Oct 1982 By Dr  Rashad Khalifa - Original,https://www.youtube.com/watch?v=6-yFshRBpcQ,00:00:29.738,00:00:33.167,"And that the, the great expansion of knowledge,
the development of algebra,",A man,,,
53 Quran Study 22 Oct 1982 By Dr  Rashad Khalifa - Original,https://www.youtube.com/watch?v=6-yFshRBpcQ,00:00:33.167,00:00:38.367,"the, the flowering of Greek philosophy, all of these things that
happened in the first three centuries of Islam",A man,,,
53 Quran Study 22 Oct 1982 By Dr  Rashad Khalifa - Original,https://www.youtube.com/watch?v=6-yFshRBpcQ,00:00:38.367,00:00:41.883,"were eliminated from the university system,
and free thought and all the other things",A man,,,
53 Quran Study 22 Oct 1982 By Dr  Rashad Khalifa - Original,https://www.youtube.com/watch?v=6-yFshRBpcQ,00:00:41.883,00:00:47.087,"that are necessary for growth in a society
were replaced by repeating these things that were old.",A man,,,
53 Quran Study 22 Oct 1982 By Dr  Rashad Khalifa - Original,https://www.youtube.com/watch?v=6-yFshRBpcQ,00:00:47.449,00:00:51.408,"A man: And they became just encrusted. They
never developed. And it's part of that matter.",A man,,,
53 Quran Study 22 Oct 1982 By Dr  Rashad Khalifa - Original,https://www.youtube.com/watch?v=6-yFshRBpcQ,00:00:51.408,00:00:54.153,"A man: They had to. Then, he, he's arguing against his own argument.",A man,,,
53 Quran Study 22 Oct 1982 By Dr  Rashad Khalifa - Original,https://www.youtube.com/watch?v=6-yFshRBpcQ,00:00:54.153,00:00:56.244,"A man: Yeah, I mean, it's funny, he turns himself around",A man,,,
53 Quran Study 22 Oct 1982 By Dr  Rashad Khalifa - Original,https://www.youtube.com/watch?v=6-yFshRBpcQ,00:00:56.244,00:00:59.342,"A man: on himself at one point, and he never admits
it, he never realizes it.",A man,,,
53 Quran Study 22 Oct 1982 By Dr  Rashad Khalifa - Original,https://www.youtube.com/watch?v=6-yFshRBpcQ,00:00:59.342,00:01:02.791,Dean Mahmoud: What would be different if you take this condition of (unintelligible)?,Dean Mahmoud,,,
53 Quran Study 22 Oct 1982 By Dr  Rashad Khalifa - Original,https://www.youtube.com/watch?v=6-yFshRBpcQ,00:01:02.791,00:01:03.568,Dr. Khalifa: Both are equal.,Dr. Khalifa,,,
53 Quran Study 22 Oct 1982 By Dr  Rashad Khalifa - Original,https://www.youtube.com/watch?v=6-yFshRBpcQ,00:01:03.568,00:01:04.391,Dean Mahmoud: They are the same?,Dean Mahmoud,,,
53 Quran Study 22 Oct 1982 By Dr  Rashad Khalifa - Original,https://www.youtube.com/watch?v=6-yFshRBpcQ,00:01:04.391,00:01:04.987,Dr. Khalifa: Yeah.,Dr. Khalifa,,,
53 Quran Study 22 Oct 1982 By Dr  Rashad Khalifa - Original,https://www.youtube.com/watch?v=6-yFshRBpcQ,00:01:04.987,00:01:07.485,"Dr. Khalifa: I looked up condition in the dictionary and it said conditional.
Dean Mahmoud: Yeah.",Dr. Khalifa,,,
53 Quran Study 22 Oct 1982 By Dr  Rashad Khalifa - Original,https://www.youtube.com/watch?v=6-yFshRBpcQ,00:01:07.485,00:01:08.127,"Dr. Khalifa: (unintelligible)
Dean Mahmoud: Same.",Dr. Khalifa,,,
53 Quran Study 22 Oct 1982 By Dr  Rashad Khalifa - Original,https://www.youtube.com/watch?v=6-yFshRBpcQ,00:01:08.127,00:01:08.627,Dean Mahmoud: Yeah.,Dean Mahmoud,,,
53 Quran Study 22 Oct 1982 By Dr  Rashad Khalifa - Original,https://www.youtube.com/watch?v=6-yFshRBpcQ,00:01:08.627,00:01:10.000,A man: (unintelligible),A man,,,
53 Quran Study 22 Oct 1982 By Dr  Rashad Khalifa - Original,https://www.youtube.com/watch?v=6-yFshRBpcQ,00:01:10.589,00:01:12.499,Dr. Khalifa: But I thought this will attract more attention.,Dr. Khalifa,,,
53 Quran Study 22 Oct 1982 By Dr  Rashad Khalifa - Original,https://www.youtube.com/watch?v=6-yFshRBpcQ,00:01:13.948,00:01:15.812,"A man: Did you see the passage there, I was referring to
Dr. Khalifa: Yeah.",A man,,,
53 Quran Study 22 Oct 1982 By Dr  Rashad Khalifa - Original,https://www.youtube.com/watch?v=6-yFshRBpcQ,00:01:15.812,00:01:17.812,"A man: the authority of the... And then, he gives a number of...",A man,,,
53 Quran Study 22 Oct 1982 By Dr  Rashad Khalifa - Original,https://www.youtube.com/watch?v=6-yFshRBpcQ,00:01:17.812,00:01:21.618,"Dr. Khalifa: They just can't break away from the Sunnah, you know. It's very difficult for them.",Dr. Khalifa,,00:01:17.812,Compilers Rejecting Ninety Percent of Hadith
53 Quran Study 22 Oct 1982 By Dr  Rashad Khalifa - Original,https://www.youtube.com/watch?v=6-yFshRBpcQ,00:01:22.020,00:01:24.891,Dr. Khalifa: But what do you think of this page here that we just read?,Dr. Khalifa,,,
53 Quran Study 22 Oct 1982 By Dr  Rashad Khalifa - Original,https://www.youtube.com/watch?v=6-yFshRBpcQ,00:01:28.966,00:01:31.056,"A man: Well, he says here,",A man,,00:01:28.966,Ninety Percent Rejected as Untrustworthy
