Video Title,Link,Start Time,End Time,Text,Speaker,Description,TOC Time,TOC Title
54 Quran Study 22 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=x-FTCj3EPPI,00:00:00.000,00:00:02.138,Dean Mahmoud: (unintelligible),Dean Mahmoud,"Dean Mahmoud opens the session by distinguishing between disbelievers who never had a path and those who strayed after having a direction. Rashad Khalifa supports this by citing Sura 4:140, noting that hypocrites and disbelievers share the same fate in Hell. Carl highlights a parallel between Sura 2:16 and Sura 22:11-12, describing the consequences of conditional worship. An unnamed participant connects the numbers 17 and 19 to the linguistic blend of Arabic and Hebrew in the Quran. Khalifa analyzes Sura 2:20-23, explaining the allegory of lightning and arguing that the challenge to produce a sura is mathematical rather than literary. He describes Heaven and Hell as allegories in Sura 2:24-26, asserting that God misleads only the wicked who have already rejected Him. Dean Mahmoud links Sura 2:27 to the primordial covenant in Sura 7:172, arguing that breaking this covenant goes against human instinct. Inga reads Sura 2:29-39, prompting a discussion on the seven heavens, the creation of Adam, and the rebellion of Iblis. Khalifa explains that the first purpose of creating Adam was to expose Satan's pride. Dean Mahmoud argues that the names taught to Adam represent God's qualities, which angels cannot fully comprehend, while Khalifa maintains they refer to physical objects. Inga concludes by reading about Adam's redemption and the role of angels in delivering revelations.",00:00:00.000,Choosing Straying Instead of Guidance
54 Quran Study 22 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=x-FTCj3EPPI,00:00:02.549,00:00:07.022,"They are astray in the sense of they're also
deviated.",Dean Mahmoud,,,
54 Quran Study 22 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=x-FTCj3EPPI,00:00:07.341,00:00:09.042,"Dean Mahmoud: I think the word astray can also mean,
Dr. Khalifa: Right.",Dean Mahmoud,,,
54 Quran Study 22 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=x-FTCj3EPPI,00:00:09.042,00:00:13.269,"Dean Mahmoud: they deviated from the right path, when they were there all the time.",Dean Mahmoud,,,
54 Quran Study 22 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=x-FTCj3EPPI,00:00:13.269,00:00:14.543,And 16 say so.,Dean Mahmoud,,,
54 Quran Study 22 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=x-FTCj3EPPI,00:00:16.048,00:00:18.861,They have chosen the straying instead of guidance.,Dean Mahmoud,,,
54 Quran Study 22 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=x-FTCj3EPPI,00:00:19.044,00:00:20.304,The choice is theirs.,Dean Mahmoud,,,
54 Quran Study 22 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=x-FTCj3EPPI,00:00:20.532,00:00:24.048,"Dean Mahmoud: But some people can have been, could be disbelievers from the beginning.",Dean Mahmoud,,,
54 Quran Study 22 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=x-FTCj3EPPI,00:00:24.048,00:00:24.548,Dr. Khalifa: Right.,Dr. Khalifa,,,
54 Quran Study 22 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=x-FTCj3EPPI,00:00:24.548,00:00:25.506,"Dean Mahmoud: So, they were never on the path.",Dean Mahmoud,,,
54 Quran Study 22 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=x-FTCj3EPPI,00:00:25.506,00:00:27.380,"Dr. Khalifa: They never come to the right path.
Dean Mahmoud: Yeah.",Dr. Khalifa,,,
54 Quran Study 22 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=x-FTCj3EPPI,00:00:27.380,00:00:32.721,"Dean Mahmoud: So, as Carl and I were talking the other night,
they had no path in the beginning, they had no direction.",Dean Mahmoud,,,
54 Quran Study 22 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=x-FTCj3EPPI,00:00:33.538,00:00:35.254,But the righteous have a direction.,Dean Mahmoud,,,
54 Quran Study 22 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=x-FTCj3EPPI,00:00:35.254,00:00:41.932,"The strayers once upon a time were given
that sense of direction, but they chose to deviate and so on.",Dean Mahmoud,,,
54 Quran Study 22 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=x-FTCj3EPPI,00:00:42.157,00:00:44.936,"Dean Mahmoud: That's all I want to say. I've taken so much of your time.
A man: (unintelligible)",Dean Mahmoud,,,
54 Quran Study 22 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=x-FTCj3EPPI,00:00:44.936,00:00:45.741,A man: I guess nothing more.,A man,,00:00:44.936,Summarizing the Categories of People
54 Quran Study 22 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=x-FTCj3EPPI,00:00:45.741,00:00:50.000,"Dr. Khalifa: I wanna summarize just, just, I wanna summarize what Dean Mahmoud said",Dr. Khalifa,,,
54 Quran Study 22 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=x-FTCj3EPPI,00:00:50.000,00:00:53.186,and then add a verse from the Quran to confirm.,Dr. Khalifa,,,
54 Quran Study 22 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=x-FTCj3EPPI,00:00:53.600,00:01:00.956,"What Dean Mahmoud is saying is that there are the believers, the righteous and then the disbelievers and the hypocrites.",Dr. Khalifa,,,
54 Quran Study 22 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=x-FTCj3EPPI,00:01:01.595,00:01:05.739,"What he said, he said that the hypocrites are also disbelievers, looks they are.",Dr. Khalifa,,,
54 Quran Study 22 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=x-FTCj3EPPI,00:01:05.739,00:01:08.856,"The hypocrites are disbelievers who will
say that they are believers.",Dr. Khalifa,,,
54 Quran Study 22 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=x-FTCj3EPPI,00:01:09.319,00:01:16.456,"And I think we will found this idea by looking
at page 65 at the bottom.",Dr. Khalifa,,,
54 Quran Study 22 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=x-FTCj3EPPI,00:01:16.730,00:01:18.435,Page 65 at the bottom.,Dr. Khalifa,,00:01:16.730,Hypocrites Gathered with Disbelievers
54 Quran Study 22 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=x-FTCj3EPPI,00:01:19.712,00:01:21.098,That's verse 140.,Dr. Khalifa,,,
54 Quran Study 22 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=x-FTCj3EPPI,00:01:22.010,00:01:23.287,Because God has revealed to,Dr. Khalifa,,,
54 Quran Study 22 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=x-FTCj3EPPI,00:01:23.287,00:01:25.789,[4:140]  ... you in the scripture that: if you hear ...,Dr. Khalifa,,,
54 Quran Study 22 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=x-FTCj3EPPI,00:01:25.789,00:01:27.986,the revelations of God being rejected and,Dr. Khalifa,,,
54 Quran Study 22 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=x-FTCj3EPPI,00:01:27.986,00:01:31.567,"[4:140]  ... and ridiculed, you shall not sit with them, unless they ...",Dr. Khalifa,,,
54 Quran Study 22 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=x-FTCj3EPPI,00:01:31.567,00:01:32.609,change the subject.,Dr. Khalifa,,,
54 Quran Study 22 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=x-FTCj3EPPI,00:01:33.247,00:01:35.749,"[4:140]  ... Otherwise, you will be as guilty as they are. ...",Dr. Khalifa,,,
54 Quran Study 22 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=x-FTCj3EPPI,00:01:36.007,00:01:37.483,"And then, the last part says,",Dr. Khalifa,,,
54 Quran Study 22 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=x-FTCj3EPPI,00:01:39.262,00:01:41.262,[4:140]  ... GOD will gather the hypocrites ...,Dr. Khalifa,,,
54 Quran Study 22 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=x-FTCj3EPPI,00:01:41.262,00:01:43.262,together with the disbelievers in Hell.,Dr. Khalifa,,,
54 Quran Study 22 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=x-FTCj3EPPI,00:01:44.839,00:01:48.590,"So, both the disbelievers and the hypocrites
are together.",Dr. Khalifa,,,
54 Quran Study 22 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=x-FTCj3EPPI,00:01:48.590,00:01:50.271,"Dr. Khalifa: Ok, Carl has ...",Dr. Khalifa,,,
54 Quran Study 22 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=x-FTCj3EPPI,00:01:50.499,00:01:52.088,Carl: Another remark.,Carl,,,
54 Quran Study 22 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=x-FTCj3EPPI,00:01:53.513,00:01:54.878,Carl: Verse 16.,Carl,,00:01:53.513,Parallelism Between Two Suras
54 Quran Study 22 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=x-FTCj3EPPI,00:01:54.878,00:01:57.657,"Now, it's gonna show up a really strong parallelism.",Carl,,,
54 Quran Study 22 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=x-FTCj3EPPI,00:01:57.840,00:01:59.168,"Okay, it says, they are,",Carl,,,
54 Quran Study 22 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=x-FTCj3EPPI,00:01:59.168,00:02:05.045,[2:16] They have chosen the straying instead of guidance and thus their trade never prospers nor are they ever guided.,Carl,,,
54 Quran Study 22 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=x-FTCj3EPPI,00:02:05.045,00:02:09.959,"Carl: And if we go to Sura 22, verse 11 and 12,
that's on page 226.",Carl,,,
54 Quran Study 22 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=x-FTCj3EPPI,00:02:10.963,00:02:12.304,Dean Mahmoud: Sura 22?,Dean Mahmoud,,,
54 Quran Study 22 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=x-FTCj3EPPI,00:02:12.304,00:02:14.897,"Dr. Khalifa: Yes. Page, page 226.",Dr. Khalifa,,,
54 Quran Study 22 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=x-FTCj3EPPI,00:02:14.897,00:02:15.498,Carl: Right.,Carl,,,
54 Quran Study 22 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=x-FTCj3EPPI,00:02:16.410,00:02:17.848,Carl: Okay and there is the...,Carl,,,
54 Quran Study 22 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=x-FTCj3EPPI,00:02:17.848,00:02:18.936,"Dr. Khalifa: Verse, what's the verse number?",Dr. Khalifa,,,
54 Quran Study 22 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=x-FTCj3EPPI,00:02:18.936,00:02:20.206,Carl: 11 and 12.,Carl,,,
54 Quran Study 22 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=x-FTCj3EPPI,00:02:21.771,00:02:35.703,"[22:11]  And there is the one who worships GOD conditionally. If something good happens to him, he is content. But when a tribulation afflicts him, he reverts. Thus, he loses both in this life and the Hereafter. This is the real loss.",Carl,,,
54 Quran Study 22 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=x-FTCj3EPPI,00:02:36.024,00:02:41.820,"[22:12]  He idolizes besides GOD what neither harms
nor benefits him; this is the farthest stray.",Carl,,,
54 Quran Study 22 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=x-FTCj3EPPI,00:02:42.540,00:02:48.022,"Carl: And to me that's expansion on that verse, very strongly so.",Carl,,,
54 Quran Study 22 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=x-FTCj3EPPI,00:02:49.619,00:02:50.433,Dean Mahmoud: (unintelligible),Dean Mahmoud,,,
54 Quran Study 22 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=x-FTCj3EPPI,00:02:51.391,00:02:54.658,"Carl: It's, because it's conditional worshiping.",Carl,,,
54 Quran Study 22 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=x-FTCj3EPPI,00:02:55.069,00:02:58.422,"Carl: That's where they were on the path and then
they left it as a strayer.",Carl,,,
54 Quran Study 22 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=x-FTCj3EPPI,00:02:59.198,00:03:01.828,"Dr. Khalifa: That just shows desperately that he really doesn't
believe.",Dr. Khalifa,,00:02:59.198,The Nature of Conditional Belief
54 Quran Study 22 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=x-FTCj3EPPI,00:03:01.828,00:03:02.512,Carl: Yeah.,Carl,,,
54 Quran Study 22 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=x-FTCj3EPPI,00:03:02.512,00:03:05.359,"Dr. Khalifa: He only believes if something good is
going on with him.",Dr. Khalifa,,,
54 Quran Study 22 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=x-FTCj3EPPI,00:03:05.724,00:03:10.000,"Carl: And it also says here that their trade never prospers in, in 16,
Dr. Khalifa: Right.",Carl,,,
54 Quran Study 22 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=x-FTCj3EPPI,00:03:10.000,00:03:11.158,"Carl: where it says here, they lose",Carl,,,
54 Quran Study 22 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=x-FTCj3EPPI,00:03:11.158,00:03:13.112,[22:11]  ... both in this life and the Hereafter. ...,Carl,,,
54 Quran Study 22 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=x-FTCj3EPPI,00:03:13.112,00:03:15.024,Dr. Khalifa: (unintelligible),Dr. Khalifa,,,
54 Quran Study 22 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=x-FTCj3EPPI,00:03:17.677,00:03:22.769,"A man: When, if we go by that (unintelligible),",A man,,00:03:17.677,Numerical Patterns in the Opening Verse
