Video Title,Link,Start Time,End Time,Text,Speaker,Description,TOC Time,TOC Title
55 Zikr 23 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=GqnPazpDQ-Y,00:00:00.001,00:00:02.238,"Bism Allah Arrahman Arraheem
بِسْمِ اللهِ الرَّحْمٰنِ الرَّحِيْمِ
(In the name of God, Most Gracious, Most Merciful)",,"Rashad Khalifa leads a communal zikr (remembrance) session in Tucson, Arizona, opening with the recitation of Suras 113 (Al-Falaq), 114 (Al-Nas), and 1 (Al-Fatihah) in Arabic along with their English translations. Following an opening supplication asking God to accept the congregation's prayers and devotion, Khalifa directs attendees to close their eyes, concentrate, and visualize their souls journeying across galaxies and seven universes to reach the seventh heaven in order to proclaim God's oneness to the angels. The participants engage in sustained communal repetition of the phrase ""La Elaha Ella Allah"" (There is no god except the One God). Midway through the recording, Khalifa pauses to remind the group to whisper the phrase, maintain focus, and avoid all distractions. The remembrance subsequently transitions into repeated chanting of the divine name ""Allah,"" followed by the attribute ""Qayyum"" (Absolute and Eternal King), extended cycles of ""Subhan Allah"" (God be glorified), and a final closing praise of ""Alhamdu Lillah.""",00:00:00.001,Opening Invocation of God
55 Zikr 23 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=GqnPazpDQ-Y,00:00:02.554,00:00:04.791,"Qul A'uzu Bi Rabbil Falaq
(113:1) قُلْ أَعُوذُ بِرَبِّ ٱلْفَلَقِ
[113:1] Say, ""I seek refuge in the Lord of daybreak.",,,00:00:02.554,Recitation of Sura Al-Falaq
55 Zikr 23 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=GqnPazpDQ-Y,00:00:04.989,00:00:06.989,"Min Sharri Ma Khalaq
(113:2) مِن شَرِّ مَا خَلَقَ
[113:2] ""From the evils among His creations.",,,,
55 Zikr 23 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=GqnPazpDQ-Y,00:00:07.226,00:00:10.373,"Wa Min Sharri Ghasiqin Iza Waqab
(113:3) وَمِن شَرِّ غَاسِقٍ إِذَا وَقَبَ
[113:3] ""From the evils of darkness as it falls.",,,,
55 Zikr 23 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=GqnPazpDQ-Y,00:00:10.650,00:00:13.639,"Wa Min Sharri Naffasati Fil Uqad
(113:4) وَمِن شَرِّ ٱلنَّفَّـٰثَـٰتِ فِى ٱلْعُقَدِ
[113:4] ""From the evils of the troublemakers.",,,,
55 Zikr 23 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=GqnPazpDQ-Y,00:00:13.876,00:00:16.825,"Wa Min Sharri Hasidin Iza Hasad
(113:5) وَمِن شَرِّ حَاسِدٍ إِذَا حَسَدَ
[113:5] ""From the evils of the envious when they envy.""",,,,
55 Zikr 23 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=GqnPazpDQ-Y,00:00:17.300,00:00:20.000,"Bism Allah Arrahman Arraheem
بِسْمِ اللهِ الرَّحْمٰنِ الرَّحِيْمِ
(In the name of God, Most Gracious, Most Merciful)",,,,
55 Zikr 23 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=GqnPazpDQ-Y,00:00:20.277,00:00:22.317,"Qul A'uzu Bi Rabbi Nnas
(114:1) قُلْ أَعُوذُ بِرَبِّ ٱلنَّاسِ
[114:1] Say, ""I seek refuge in the Lord of the people.",,,00:00:20.277,Recitation of Sura Al-Nas
55 Zikr 23 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=GqnPazpDQ-Y,00:00:22.594,00:00:24.159,"Maliki Nnas
(114:2) مَلِكِ ٱلنَّاسِ
[114:2] ""The King of the people.",,,,
55 Zikr 23 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=GqnPazpDQ-Y,00:00:24.396,00:00:25.842,"Ilahi Nnas
(114:3) إِلَـٰهِ ٱلنَّاسِ
[114:3] ""The god of the people.",,,,
55 Zikr 23 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=GqnPazpDQ-Y,00:00:26.119,00:00:28.791,"Min Sharril Waswasil Khannas
(114:4) مِن شَرِّ ٱلْوَسْوَاسِ ٱلْخَنَّاسِ
[114:4] ""From the evils of sneaky whisperers.",,,,
55 Zikr 23 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=GqnPazpDQ-Y,00:00:29.147,00:00:32.294,"Allaziyu Waswasu Fi Suduri Nnas
(114:5) ٱلَّذِى يُوَسْوِسُ فِى صُدُورِ ٱلنَّاسِ
[114:5] ""Who whisper into the chests of the people.",,,,
55 Zikr 23 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=GqnPazpDQ-Y,00:00:32.690,00:00:34.690,"Minal Jinnati Wa Nnas
(114:6) مِنَ ٱلْجِنَّةِ وَٱلنَّاسِ
[114:6] ""Be they of the jinns, or the people.""",,,,
55 Zikr 23 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=GqnPazpDQ-Y,00:00:35.046,00:00:37.758,"Bism Allah Arrahman Arraheem (1:1)
(1:2) بِسْمِ اللهِ الرَّحْمٰنِ الرَّحِيْمِ
[1:1] In the name of GOD, Most Gracious, Most Merciful.",,,00:00:35.046,Recitation of Sura Al-Fatihah
55 Zikr 23 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=GqnPazpDQ-Y,00:00:37.995,00:00:41.063,"Al hamdu Lillahi Rabbil ‘Alameen (1:2)
(1:2) ٱلْحَمْدُ لِلَّهِ رَبِّ ٱلْعَـٰلَمِينَ
[1:2] Praise be to GOD, Lord of the universe.",,,,
55 Zikr 23 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=GqnPazpDQ-Y,00:00:41.300,00:00:43.300,"Arrahman Arraheem (1:3)
(1:3) ٱلرَّحْمَـٰنِ ٱلرَّحِيمِ
[1:3] Most Gracious, Most Merciful.",,,,
55 Zikr 23 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=GqnPazpDQ-Y,00:00:43.696,00:00:45.696,"Maliki Yawm Eddeen (1:4)
(1:4) مَـٰلِكِ يَوْمِ ٱلدِّينِ
[1:4] Master of the Day of Judgment.",,,,
