Video Title,Link,Start Time,End Time,Text,Speaker
56 Friday Sermon 29 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=RJlRdRd-ZfY,00:00:00.970,00:00:05.510,A man: Allahu Akbar. Allahu Akbar,A man
56 Friday Sermon 29 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=RJlRdRd-ZfY,00:00:06.882,00:00:11.016,Ash-hadu Alla Elaha Ella Allah,A man
56 Friday Sermon 29 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=RJlRdRd-ZfY,00:00:11.829,00:00:16.267,Ash-hadu Alla Elaha Ella Allah,A man
56 Friday Sermon 29 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=RJlRdRd-ZfY,00:00:17.537,00:00:22.992,Hayya Alal Salat. Hayya Alal Salat,A man
56 Friday Sermon 29 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=RJlRdRd-ZfY,00:00:23.754,00:00:29.615,Hayya Alal Falah. Hayya Alal Falah,A man
56 Friday Sermon 29 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=RJlRdRd-ZfY,00:00:30.529,00:00:35.526,Allahu Akbar. Allahu Akbar,A man
56 Friday Sermon 29 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=RJlRdRd-ZfY,00:00:36.390,00:00:40.727,La Elaha Ella Allah,A man
56 Friday Sermon 29 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=RJlRdRd-ZfY,00:00:58.457,00:01:03.607,"Dr. Khalifa: Alhamdu Lillah, Wa Ash-hadu Alla Elaha Ella Allah Wahdahu La Shareeka Lah.",Dr. Khalifa
56 Friday Sermon 29 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=RJlRdRd-ZfY,00:01:03.902,00:01:05.957,As you see I have an assistant today.,Dr. Khalifa
56 Friday Sermon 29 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=RJlRdRd-ZfY,00:01:10.396,00:01:15.356,"As you know, I'm working on gathering all the evidence",Dr. Khalifa
56 Friday Sermon 29 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=RJlRdRd-ZfY,00:01:15.356,00:01:26.492,"and the proofs that show that if you go to any source other than Quran, it means you're setting up another god besides God.",Dr. Khalifa
56 Friday Sermon 29 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=RJlRdRd-ZfY,00:01:27.000,00:01:34.136,"And the book is evolving and changing and I keep showing you the slides as, as the book evolves.",Dr. Khalifa
56 Friday Sermon 29 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=RJlRdRd-ZfY,00:01:35.000,00:01:40.254,"And then, I expect to have it printed, IN SHAA ALLAH, in a couple of months,",Dr. Khalifa
56 Friday Sermon 29 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=RJlRdRd-ZfY,00:01:40.254,00:01:44.000,"but if you bear with me some of these slides may be repetitious,",Dr. Khalifa
56 Friday Sermon 29 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=RJlRdRd-ZfY,00:01:44.000,00:01:45.914,as far as you're concerned.,Dr. Khalifa
56 Friday Sermon 29 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=RJlRdRd-ZfY,00:01:45.914,00:01:51.508,But this will help me because I do get comments on correcting this or changing that.,Dr. Khalifa
56 Friday Sermon 29 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=RJlRdRd-ZfY,00:01:51.508,00:01:55.610,"And, IN SHAA ALLAH, this will lead to perfection of the book.",Dr. Khalifa
56 Friday Sermon 29 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=RJlRdRd-ZfY,00:01:56.118,00:02:01.965,"But before we get to the slides, I'm gonna read one verse in Sura 9",Dr. Khalifa
56 Friday Sermon 29 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=RJlRdRd-ZfY,00:02:01.965,00:02:08.051,because a lot of people sometimes are concerned about the feelings of others,Dr. Khalifa
56 Friday Sermon 29 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=RJlRdRd-ZfY,00:02:08.051,00:02:11.305,"like if you meet somebody who believes in Hadith, for example,",Dr. Khalifa
56 Friday Sermon 29 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=RJlRdRd-ZfY,00:02:11.305,00:02:14.000,and you worry that you may hurt their feelings.,Dr. Khalifa
56 Friday Sermon 29 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=RJlRdRd-ZfY,00:02:14.914,00:02:18.762,This verse deals with that,Dr. Khalifa
56 Friday Sermon 29 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=RJlRdRd-ZfY,00:02:18.762,00:02:22.457,"because when it comes to the truth, especially about God,",Dr. Khalifa
56 Friday Sermon 29 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=RJlRdRd-ZfY,00:02:22.457,00:02:28.730,"God wants people to be completely sold on Him without absolutely, without no hesitation whatsoever.",Dr. Khalifa
56 Friday Sermon 29 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=RJlRdRd-ZfY,00:02:30.000,00:02:34.393,"So, the verse is in Sura 9, it's number 120.",Dr. Khalifa
56 Friday Sermon 29 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=RJlRdRd-ZfY,00:02:38.000,00:02:41.000,"And it reads, I'm gonna read it for you.",Dr. Khalifa
56 Friday Sermon 29 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=RJlRdRd-ZfY,00:02:44.559,00:02:54.302,"[9:120]  Neither the dwellers of the city, nor the Nomads, shall seek to stay behind the messenger of GOD (when he mobilizes for war). ...",Dr. Khalifa
56 Friday Sermon 29 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=RJlRdRd-ZfY,00:02:54.302,00:02:59.474,[9:120]  ... Nor should they place their lives ahead of his life. This is because ...,Dr. Khalifa
56 Friday Sermon 29 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=RJlRdRd-ZfY,00:02:59.474,00:03:03.188,"This is, this is really what I wanted to read for you, this part of the verse.",Dr. Khalifa
56 Friday Sermon 29 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=RJlRdRd-ZfY,00:03:04.000,00:03:15.029,"[9:120]  ... no thirst afflicts them or any effort or any hardship in the cause of GOD, nor do they make a single step that discourages the disbelievers ...",Dr. Khalifa
56 Friday Sermon 29 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=RJlRdRd-ZfY,00:03:16.000,00:03:22.455,[9:120]  ... nor do they strike an enemy without having this credited to them as a righteous work. ...,Dr. Khalifa
56 Friday Sermon 29 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=RJlRdRd-ZfY,00:03:23.610,00:03:26.340,[9:120]  ... God never fails to reward the righteous.,Dr. Khalifa
56 Friday Sermon 29 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=RJlRdRd-ZfY,00:03:27.051,00:03:32.441,"Okay, let me put it in plain English. I, I, you can see that I have to improve the translation,",Dr. Khalifa
56 Friday Sermon 29 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=RJlRdRd-ZfY,00:03:32.441,00:03:35.305,"but part of this verse says,",Dr. Khalifa
56 Friday Sermon 29 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=RJlRdRd-ZfY,00:03:35.305,00:03:39.644,they do not do anything that enrages the disbelievers,Dr. Khalifa
56 Friday Sermon 29 Oct 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=RJlRdRd-ZfY,00:03:39.644,00:03:43.000,without having this written to them as a credit.,Dr. Khalifa
