Video Title,Link,Start Time,End Time,Text,Speaker,Description,TOC Time,TOC Title
57 Quran Study 05 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=vFWMZvAfqkw,00:00:00.431,00:00:02.876,"Dean Mahmoud: You're talking now of 76, right?",Dean Mahmoud,"Dean Mahmoud and Dr. Rashad Khalifa examine Sura 2:75–82, focusing on the concealment and distortion of scripture by sectarian groups and the claim that Hell is temporary. Dr. Khalifa critiques the Ahmadiyya movement's translation choices regarding the eternity of Hell, while Dean Mahmoud notes that mainstream Muslim doctrines of prophetic intercession mirror the Jewish claims condemned in the Quran. The conversation expands to Quranic references to the slaying of prophets and messengers, citing 3:183, Leviticus 9, and Sigmund Freud's thesis in Moses and Monotheism. Dr. Khalifa reflects on Satan's strategy of pushing believers either to disrespect messengers or to idolize them as divine. The study circle reviews the narrative of the yellow heifer in 2:67–73 and the purpose of physical miracles, which Dr. Khalifa explains were discontinued according to Sura 17 because historical signs failed to produce lasting faith. The participants debate the fulfillment of the two periods of corruption prophesied in Sura 17 in relation to the modern state of Israel and Middle Eastern conflicts, discussing the 1948, 1967, and 1973 wars. The gathering concludes with recitation of Al-Fatiha and casual conversation addressing prayer etiquette, dental health, and cultivating Egyptian greens.",00:00:00.431,Concealment of Scripture in Sura Two
57 Quran Study 05 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=vFWMZvAfqkw,00:00:02.876,00:00:03.518,Dr. Khalifa: Yes.,Dr. Khalifa,,,
57 Quran Study 05 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=vFWMZvAfqkw,00:00:04.667,00:00:07.002,Dean Mahmoud: It seems to be very clear,Dean Mahmoud,,,
57 Quran Study 05 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=vFWMZvAfqkw,00:00:07.002,00:00:09.114,"that when, when these,",Dean Mahmoud,,,
57 Quran Study 05 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=vFWMZvAfqkw,00:00:10.585,00:00:13.560,"when they're by themselves, these enemies of Islam, right,",Dean Mahmoud,,,
57 Quran Study 05 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=vFWMZvAfqkw,00:00:13.560,00:00:17.655,"They say to each other, do you tell them of God's revelations to you",Dean Mahmoud,,,
57 Quran Study 05 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=vFWMZvAfqkw,00:00:17.655,00:00:20.380,Dean Mahmoud: and thus provide them with support for the argument?,Dean Mahmoud,,,
57 Quran Study 05 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=vFWMZvAfqkw,00:00:20.380,00:00:20.935,Dr. Khalifa: Right.,Dr. Khalifa,,,
57 Quran Study 05 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=vFWMZvAfqkw,00:00:20.935,00:00:24.000,"Dean Mahmoud: In other words, they are withholding information.",Dean Mahmoud,,,
57 Quran Study 05 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=vFWMZvAfqkw,00:00:24.000,00:00:25.119,Dr. Khalifa: Right. Exactly.,Dr. Khalifa,,,
57 Quran Study 05 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=vFWMZvAfqkw,00:00:25.119,00:00:26.080,Dean Mahmoud: And this would be...,Dean Mahmoud,,,
57 Quran Study 05 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=vFWMZvAfqkw,00:00:26.080,00:00:29.060,"Oh, just a moment, I have it right here.",Dean Mahmoud,,,
