Video Title,Link,Start Time,End Time,Text,Speaker,Description,TOC Time,TOC Title
58 Friday Sermon 12 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=rjuCvRFSHLo,00:00:01.136,00:00:06.623,A man: Allahu Akbar. Allahu Akbar,A man,"Dr. Rashad Khalifa delivers a sermon on the spiritual dangers of being unaware of God, citing Sura 7:179, 10:7, and 16:106 to argue that heedlessness leads to Hell. Dean Mahmoud contributes historical context regarding Jewish tribes in Medina who selectively obeyed Mosaic law by ransoming captives while simultaneously killing one another, drawing a parallel to modern Muslim nations like Iraq, Iran, Morocco, and the Polisario Front who pray but still wage war. Dr. Khalifa references Sura 15 to condemn those who divide the Quran to suit their desires. The study circle reads Sura 2:88-101, with Latifa reading verses 92-96 and Inga reading verses 97-101. Dr. Khalifa argues that Satan successfully deceived Christians into idolizing Jesus and has subtly done the same to Muslims regarding Muhammad through Hadith. Inga raises a question about Gabriel, prompting Dr. Khalifa to explain Gabriel's role in releasing the Quran from Muhammad's heart, asserting that all humans met God before birth but have had this memory obscured by their physical bodies. He shares a personal anecdote about an angel waking him for Fajr prayer with a warning in an Egyptian accent, and concludes with a story about a friend praising marijuana, which he claims led to a near-fatal gas furnace explosion as a spiritual reprimand.",00:00:01.136,The Call to Prayer
58 Friday Sermon 12 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=rjuCvRFSHLo,00:00:07.136,00:00:11.293,Ash-hadu Alla Elaha Ella Allah,A man,,,
58 Friday Sermon 12 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=rjuCvRFSHLo,00:00:11.623,00:00:16.330,Ash-hadu Alla Elaha Ella Allah,A man,,,
58 Friday Sermon 12 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=rjuCvRFSHLo,00:00:16.696,00:00:21.476,Hayya Alal Salat. Hayya Alal Salat,A man,,,
58 Friday Sermon 12 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=rjuCvRFSHLo,00:00:22.282,00:00:27.513,Hayya Alal Falah. Hayya Alal Falah,A man,,,
58 Friday Sermon 12 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=rjuCvRFSHLo,00:00:27.806,00:00:33.000,Allahu Akbar. Allahu Akbar,A man,,,
58 Friday Sermon 12 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=rjuCvRFSHLo,00:00:33.733,00:00:38.147,A man: La Elaha Ella Allah,A man,,,
58 Friday Sermon 12 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=rjuCvRFSHLo,00:00:42.220,00:00:47.004,"Dr. Khalifa: Alhamdu Lillah, Wa Ash-hadu Alla Elaha Ella Allah Wahdahu La Shareeka Lah.",Dr. Khalifa,,00:00:42.220,Pledge to Finish on Time
58 Friday Sermon 12 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=rjuCvRFSHLo,00:00:48.000,00:00:52.000,"Last week and the week before, we went overtime",Dr. Khalifa,,,
58 Friday Sermon 12 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=rjuCvRFSHLo,00:00:52.000,00:00:55.403,and some of the brothers and sisters were have to catch classes at one o'clock,Dr. Khalifa,,,
58 Friday Sermon 12 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=rjuCvRFSHLo,00:00:55.403,00:00:57.000,"were a little late, they had to leave.",Dr. Khalifa,,,
58 Friday Sermon 12 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=rjuCvRFSHLo,00:00:57.440,00:01:03.000,"But, so, I pledge to finish by quarter of one, IN SHAA ALLAH.",Dr. Khalifa,,,
58 Friday Sermon 12 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=rjuCvRFSHLo,00:01:03.000,00:01:05.293,"However, I'm already five minutes late.",Dr. Khalifa,,,
58 Friday Sermon 12 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=rjuCvRFSHLo,00:01:05.659,00:01:07.450,I cheated myself out of five minutes.,Dr. Khalifa,,,
58 Friday Sermon 12 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=rjuCvRFSHLo,00:01:07.450,00:01:11.864,"So, I will try to compress everything in the next half hour.",Dr. Khalifa,,,
58 Friday Sermon 12 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=rjuCvRFSHLo,00:01:13.403,00:01:18.000,The problem with most people is unawareness of God,Dr. Khalifa,,00:01:13.403,Unawareness and Underestimating God's Greatness
58 Friday Sermon 12 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=rjuCvRFSHLo,00:01:18.000,00:01:21.000,or underestimating the greatness of God.,Dr. Khalifa,,,
58 Friday Sermon 12 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=rjuCvRFSHLo,00:01:21.000,00:01:26.000,"So, the subject today was the awareness.",Dr. Khalifa,,,
58 Friday Sermon 12 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=rjuCvRFSHLo,00:01:26.000,00:01:28.000,"We look at the people in the streets,",Dr. Khalifa,,,
58 Friday Sermon 12 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=rjuCvRFSHLo,00:01:28.000,00:01:30.000,see how they are going about their lives,Dr. Khalifa,,,
58 Friday Sermon 12 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=rjuCvRFSHLo,00:01:30.000,00:01:32.000,unaware of their Creator.,Dr. Khalifa,,,
58 Friday Sermon 12 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=rjuCvRFSHLo,00:01:32.000,00:01:35.000,"So, we're gonna look at a few verses",Dr. Khalifa,,,
58 Friday Sermon 12 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=rjuCvRFSHLo,00:01:35.000,00:01:37.634,in here to see the importance of being aware.,Dr. Khalifa,,,
58 Friday Sermon 12 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=rjuCvRFSHLo,00:01:37.634,00:01:40.849,"The first one is in Sura 7, verse 179.",Dr. Khalifa,,,
58 Friday Sermon 12 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=rjuCvRFSHLo,00:01:44.000,00:01:45.739,Page 117.,Dr. Khalifa,,,
58 Friday Sermon 12 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=rjuCvRFSHLo,00:01:49.000,00:01:49.500,"It says,",Dr. Khalifa,,,
58 Friday Sermon 12 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=rjuCvRFSHLo,00:01:49.500,00:01:54.944,[7:179]  We have assigned to Hell multitudes of jinns and humans. They are the ones who have ...,Dr. Khalifa,,,
