Video Title,Link,Start Time,End Time,Text,Speaker,Description,TOC Time,TOC Title
59 Friday Sermon 19 Nov 1982 By Dean Mahmoud,https://www.youtube.com/watch?v=A1dhuhdFtvA,00:00:00.000,00:00:03.013,A man: ... La Elaha Ella Allah,A man,"Dean Mahmoud delivers a Friday sermon expanding on the Quranic account of Adam and Eve in the Garden. Reviewing Suras 20:118, 7:27, 7:22, and 20:121, he interprets their initial covering as a garment of natural obedience stripped away by Satan, prompting them to fashion coverings from leaves before God provided the garment of righteousness (7:26). He contrasts the biblical narrative with Quranic verses and examines differing translations of what was exposed in 7:27, praising Rashad Khalifa's translation of the Arabic term as ""bodies"" rather than ""shame"" or ""shameful parts."" He argues that describing exposure as shame introduces an interpretive moral judgment influenced by the Jewish Bible rather than stating the factual uncovering of what was previously hidden. Contrasting clear injunctions like ablution in 5:6 with allegorical passages meant for reflection, Mahmoud analyzes the Arabic phrasing of Satan's whispering (waswasa) and the linguistic parallelism between 7:20 and 20:120 regarding angels, eternity, and dominion. From these passages he derives five theological conclusions: Adam and Eve were created mortal and destined for earth from the start; Satan deceived them without delivering immortality; they aspired to what they were unprepared for; physical death is not a punitive consequence of disobedience; and their expulsion was an early eviction resembling a flunked semester. He concludes that uncovering their bodies forced an awareness of mortal fragility and a need for God.",,
59 Friday Sermon 19 Nov 1982 By Dean Mahmoud,https://www.youtube.com/watch?v=A1dhuhdFtvA,00:00:04.060,00:00:08.119,Hayya Alal Salat. Hayya Alal Salat,A man,,,
59 Friday Sermon 19 Nov 1982 By Dean Mahmoud,https://www.youtube.com/watch?v=A1dhuhdFtvA,00:00:09.420,00:00:13.944,Hayya Alal Falah. Hayya Alal Falah,A man,,,
59 Friday Sermon 19 Nov 1982 By Dean Mahmoud,https://www.youtube.com/watch?v=A1dhuhdFtvA,00:00:14.800,00:00:18.858,Allahu Akbar. Allahu Akbar,A man,,,
59 Friday Sermon 19 Nov 1982 By Dean Mahmoud,https://www.youtube.com/watch?v=A1dhuhdFtvA,00:00:20.000,00:00:23.697,A man: La Elaha Ella Allah,A man,,,
59 Friday Sermon 19 Nov 1982 By Dean Mahmoud,https://www.youtube.com/watch?v=A1dhuhdFtvA,00:00:30.000,00:00:32.692,Dean Mahmoud: Al-Salãmun ‘Alaykum wa Rahmatullahi wa Barakatuhu,Dean Mahmoud,,00:00:30.000,Opening and Continuing the Adam Discourse
59 Friday Sermon 19 Nov 1982 By Dean Mahmoud,https://www.youtube.com/watch?v=A1dhuhdFtvA,00:00:33.540,00:00:35.066,Bism Allah Arrahman Arraheem,Dean Mahmoud,,,
59 Friday Sermon 19 Nov 1982 By Dean Mahmoud,https://www.youtube.com/watch?v=A1dhuhdFtvA,00:00:36.283,00:00:37.106,"Alhamdu Lillah,",Dean Mahmoud,,,
59 Friday Sermon 19 Nov 1982 By Dean Mahmoud,https://www.youtube.com/watch?v=A1dhuhdFtvA,00:00:37.106,00:00:40.565,(unintelligible),Dean Mahmoud,,,
59 Friday Sermon 19 Nov 1982 By Dean Mahmoud,https://www.youtube.com/watch?v=A1dhuhdFtvA,00:00:40.565,00:00:42.565,Wa Elaha Ella Allah Wahdahu La Shareeka Lah.,Dean Mahmoud,,,
59 Friday Sermon 19 Nov 1982 By Dean Mahmoud,https://www.youtube.com/watch?v=A1dhuhdFtvA,00:00:43.168,00:00:45.707,(unintelligible),Dean Mahmoud,,,
59 Friday Sermon 19 Nov 1982 By Dean Mahmoud,https://www.youtube.com/watch?v=A1dhuhdFtvA,00:00:48.245,00:00:51.704,(33:41) يَٰٓأَيُّهَا ٱلَّذِينَ ءَامَنُوا۟ ٱذْكُرُوا۟ ٱللَّهَ ذِكْرًۭا كَثِيرًۭا.,Dean Mahmoud,,,
59 Friday Sermon 19 Nov 1982 By Dean Mahmoud,https://www.youtube.com/watch?v=A1dhuhdFtvA,00:00:56.614,00:01:07.946,The topic of this Khutba Prayer is a continuation of what we were discussing last time.,Dean Mahmoud,,,
59 Friday Sermon 19 Nov 1982 By Dean Mahmoud,https://www.youtube.com/watch?v=A1dhuhdFtvA,00:01:09.469,00:01:17.250,We're still dealing in the problem of our great great great great great grand parents.,Dean Mahmoud,,,
59 Friday Sermon 19 Nov 1982 By Dean Mahmoud,https://www.youtube.com/watch?v=A1dhuhdFtvA,00:01:21.437,00:01:30.120,"I hope you've not forgotten that last time we discussed, based on explicit Quranic quotations,",Dean Mahmoud,,,
