Video Title,Link,Start Time,End Time,Text,Speaker
61 Friday Sermon 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=NZVf3Y97icc,00:00:01.000,00:00:05.786,A man: Hayya Alal Salat. Hayya Alal Salat,A man
61 Friday Sermon 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=NZVf3Y97icc,00:00:06.558,00:00:12.110,Hayya Alal Falah. Hayya Alal Falah,A man
61 Friday Sermon 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=NZVf3Y97icc,00:00:13.088,00:00:17.868,Allahu Akbar. Allahu Akbar,A man
61 Friday Sermon 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=NZVf3Y97icc,00:00:18.383,00:00:22.288,A man: La Elaha Ella Allah,A man
61 Friday Sermon 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=NZVf3Y97icc,00:00:25.840,00:00:30.434,"Dr. Khalifa: Alhamdu Lillah, Wa Ash-hadu Alla Elaha Ella Allah Wahdahu La Shareeka Lah.",Dr. Khalifa
61 Friday Sermon 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=NZVf3Y97icc,00:00:31.000,00:00:43.463,"My last Khutbas, I have been talking about the greatness of God, and awareness, being aware of God,",Dr. Khalifa
61 Friday Sermon 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=NZVf3Y97icc,00:00:43.463,00:00:47.816,because the people go around unaware of this reality.,Dr. Khalifa
61 Friday Sermon 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=NZVf3Y97icc,00:00:49.000,00:00:52.618,"At the beginning of Sura 24, the verses say,",Dr. Khalifa
61 Friday Sermon 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=NZVf3Y97icc,00:00:52.618,00:00:54.419,[23:1]  Successful are the believers;,Dr. Khalifa
61 Friday Sermon 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=NZVf3Y97icc,00:00:54.728,00:00:57.456,[23:2]  who are reverent in their Prayers (Salat).,Dr. Khalifa
61 Friday Sermon 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=NZVf3Y97icc,00:00:59.309,00:01:03.000,"And success here includes, just one word describes everything,",Dr. Khalifa
