Video Title,Link,Start Time,End Time,Text,Speaker,Description,TOC Time,TOC Title
65 Friday Sermon 03 Dec. 1982 & 10 Dec. 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=AxFWjNWKFno,00:00:00.562,00:00:06.035,A woman: (unintelligible),A woman,"Dr. Rashad Khalifa leads a study circle and Friday meeting in Tucson, Arizona, opening with a discussion on Sura 2:151 and the distinction between Hajj and Umrah pilgrimages. He argues that disbelievers experience physical pain inflicted by angels during death, contrasting this with the peaceful transition granted to believers and martyrs. Addressing modern religious struggle, Khalifa contends that ideological battles have replaced physical warfare. Dean Mahmoud recites Al-Fatihah (1:1–7) before attendees engage in an extended technical debate regarding the spherical geometry of determining the Qibla direction from Tucson to Mecca using compass bearings, great circle routes, and Earth's axis. Following informal birthday greetings, Khalifa announces upcoming Arabic classes and shares hate mail calling him a ""deviated luminary."" Turning to Sura 2:164, he highlights divine design in feline hearing, human dental anatomy, swallowing reflexes, atmospheric wind patterns, and desert seed germination. He presents the precision of planetary orbits and 4-billion-light-year cosmic distances as proofs of God. Explicating Sura 2:165–167, Khalifa asserts that idols and venerated figures—including Jesus and Muhammad—will disown their followers on Judgment Day, rejecting claims of intercession and comparing the Quranic narrative to Matthew 7:23.",00:00:00.562,Uncovering Truth and Repentance
65 Friday Sermon 03 Dec. 1982 & 10 Dec. 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=AxFWjNWKFno,00:00:07.560,00:00:10.000,"I think that's just a reiteration of our,",A woman,,,
65 Friday Sermon 03 Dec. 1982 & 10 Dec. 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=AxFWjNWKFno,00:00:10.000,00:00:14.146,"I mean, it's not a reiteration, (unintelligible)",A woman,,,
65 Friday Sermon 03 Dec. 1982 & 10 Dec. 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=AxFWjNWKFno,00:00:14.146,00:00:18.086,"just reminds me of all those people who are (unintelligible) now,",A woman,,,
65 Friday Sermon 03 Dec. 1982 & 10 Dec. 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=AxFWjNWKFno,00:00:18.086,00:00:20.750,"who have them right in front of them,",A woman,,,
65 Friday Sermon 03 Dec. 1982 & 10 Dec. 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=AxFWjNWKFno,00:00:20.750,00:00:27.142,"A woman: who were saying, ""no, this isn't (unintelligible), you can't interpret it that way,"" or say ""interpret it (unintelligible).""",A woman,,,
65 Friday Sermon 03 Dec. 1982 & 10 Dec. 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=AxFWjNWKFno,00:00:27.500,00:00:29.500,"Dr. Khalifa: Definitely, that's right.
A woman: (unintelligible)",Dr. Khalifa,,,
65 Friday Sermon 03 Dec. 1982 & 10 Dec. 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=AxFWjNWKFno,00:00:30.461,00:00:33.757,"A woman: I mean, if they're deserving this what they (unintelligible)",A woman,,,
65 Friday Sermon 03 Dec. 1982 & 10 Dec. 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=AxFWjNWKFno,00:00:37.353,00:00:41.544,"Dr. Khalifa: Or concealing, or distorting, or making any changes.",Dr. Khalifa,,,
65 Friday Sermon 03 Dec. 1982 & 10 Dec. 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=AxFWjNWKFno,00:00:43.920,00:00:46.209,"A man: What is the Umrah pilgrimage?
A woman: Those who repent and reform.",A man,,,
