Video Title,Link,Start Time,End Time,Text,Speaker,Description,TOC Time,TOC Title
66 Friday Sermon 10 Dec. 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=VD4-XQbvnSs,00:00:01.042,00:00:02.939,A man: ...(Allahu) Akbar.,A man,"Dr. Rashad Khalifa delivers a Friday sermon in Tucson, Arizona, explaining the purpose of human creation and the command to worship God alone as stated in Sura 67:1-2. He shows a slide of Earth from space to emphasize cosmic scale and human insignificance, arguing that venerated figures such as Jesus, Abraham, and Muhammad were temporary earthly residents. Citing Suras 5:75, 21:8, and 25:7, 20, he notes that prophets required food and visited markets, critiquing Hadith regulations regarding ritual purity and hygiene. He references Sura 24:55 to affirm that monotheists receive earthly authority, sharing an account of a woman surviving a gunshot to the head to illustrate God's ultimate sovereignty over life and death. In the second sermon, he discusses letters from a supporter in India who abandoned Hadith, claims Egyptian contractor Uthman Ahmad Uthman published one million copies of his Arabic booklet, and announces post-Zikr Arabic classes. He addresses converts maintaining their birth names rather than adopting Arabic ones, recounting an Iranian girl named Sherry who felt alienated by Arabic names at the mosque, which prompts a debate with attendees over slave names and adoption rules. Following congregational prayer, Dean Mahmoud recites Sura 2:168-176 and critiques extra-Quranic food restrictions, including Hanafi bans on shellfish, Indian cow veneration, Southeast Asian Hadiths against cucumbers, and Chinese ancestor offerings. Khalifa concludes by outlining the four explicit Quranic food prohibitions, dismissing Hadith bans on footwear and soap ingredients, and answering questions on store-bought meat and blood sausages before attendees recite Sura 2:177 and 2:178-179.",,
66 Friday Sermon 10 Dec. 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=VD4-XQbvnSs,00:00:03.304,00:00:14.370,A man: Allahu Akbar. Allahu Akbar. Ash-hadu Alla Elaha Ella Allah.,A man,,00:00:03.304,Call to Prayer and Opening Acclamation
66 Friday Sermon 10 Dec. 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=VD4-XQbvnSs,00:00:14.839,00:00:19.392,Ash-hadu Alla Elaha Ella Allah.,A man,,,
66 Friday Sermon 10 Dec. 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=VD4-XQbvnSs,00:00:20.695,00:00:25.977,Hayya Alal Salat. Hayya Alal Salat.,A man,,,
66 Friday Sermon 10 Dec. 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=VD4-XQbvnSs,00:00:27.332,00:00:32.979,Hayya Alal Falah. Hayya Alal Falah.,A man,,,
66 Friday Sermon 10 Dec. 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=VD4-XQbvnSs,00:00:34.229,00:00:44.149,A man: Allahu Akbar. Allahu Akbar. La Elaha Ella Allah.,A man,,,
66 Friday Sermon 10 Dec. 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=VD4-XQbvnSs,00:00:47.796,00:00:52.818,"Dr. Khalifa: Alhamdu Lillah, Wa Ash-hadu Alla Elaha Ella Allah Wahdahu La Shareeka Lah.",Dr. Khalifa,,00:00:47.796,Purpose of Creation and Human Testing
66 Friday Sermon 10 Dec. 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=VD4-XQbvnSs,00:00:55.739,00:01:00.000,"Gradually, we are realizing that we have only one function in this world.",Dr. Khalifa,,,
66 Friday Sermon 10 Dec. 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=VD4-XQbvnSs,00:01:00.000,00:01:03.277,"We are here, we were created to one purpose.",Dr. Khalifa,,,
66 Friday Sermon 10 Dec. 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=VD4-XQbvnSs,00:01:03.900,00:01:11.087,"And that is to recognize God as the only Master, the only King,",Dr. Khalifa,,,
66 Friday Sermon 10 Dec. 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=VD4-XQbvnSs,00:01:11.087,00:01:15.145,"and to worship Him, serve Him alone, without any partners.",Dr. Khalifa,,,
66 Friday Sermon 10 Dec. 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=VD4-XQbvnSs,00:01:18.080,00:01:25.807,"The first two verses of Sura 67 tell us that the, the whole purpose of creation",Dr. Khalifa,,,
66 Friday Sermon 10 Dec. 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=VD4-XQbvnSs,00:01:25.807,00:01:28.941,is to test the human beings.,Dr. Khalifa,,,
66 Friday Sermon 10 Dec. 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=VD4-XQbvnSs,00:01:30.313,00:01:34.113,"Dr. Khalifa: (unintelligible) look it up. They're very important, 67:1 and 2.",Dr. Khalifa,,,
66 Friday Sermon 10 Dec. 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=VD4-XQbvnSs,00:01:34.842,00:01:36.165,A man: 405.,A man,,,
66 Friday Sermon 10 Dec. 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=VD4-XQbvnSs,00:01:40.301,00:01:44.799,Dr. Khalifa: [67:1]  Most exalted is the One who possesses all kingship. He is Omnipotent.,Dr. Khalifa,,,
66 Friday Sermon 10 Dec. 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=VD4-XQbvnSs,00:01:45.280,00:01:54.810,"[67:2]  He is the One who created death and life in order to test you and distinguish the righteous among you.* He is the Almighty, the Forgiver.",Dr. Khalifa,,,
66 Friday Sermon 10 Dec. 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=VD4-XQbvnSs,00:01:55.860,00:01:58.420,"Because death is a, is a new creation.",Dr. Khalifa,,00:01:55.860,Initial Absence of Death and Satan's Fall
66 Friday Sermon 10 Dec. 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=VD4-XQbvnSs,00:01:58.420,00:01:59.739,"Initially, there was no death.",Dr. Khalifa,,,
66 Friday Sermon 10 Dec. 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=VD4-XQbvnSs,00:01:59.739,00:02:01.098,It was God and the angels.,Dr. Khalifa,,,
66 Friday Sermon 10 Dec. 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=VD4-XQbvnSs,00:02:01.620,00:02:03.307,There was no death.,Dr. Khalifa,,,
66 Friday Sermon 10 Dec. 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=VD4-XQbvnSs,00:02:03.307,00:02:07.307,"And then, one of the angels had rebellious ideas.",Dr. Khalifa,,,
66 Friday Sermon 10 Dec. 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=VD4-XQbvnSs,00:02:07.620,00:02:10.995,"He wanted, Satan wanted to be a partner with God.",Dr. Khalifa,,,
66 Friday Sermon 10 Dec. 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=VD4-XQbvnSs,00:02:11.985,00:02:16.881,"So, God was to show Satan and to show the angels that there are creatures",Dr. Khalifa,,,
66 Friday Sermon 10 Dec. 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=VD4-XQbvnSs,00:02:16.881,00:02:20.891,"who never see God, but will worship God without the need for a partner.",Dr. Khalifa,,,
66 Friday Sermon 10 Dec. 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=VD4-XQbvnSs,00:02:22.037,00:02:27.255,The whole idea of our existence here in this world is that God does not need a partner.,Dr. Khalifa,,,
66 Friday Sermon 10 Dec. 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=VD4-XQbvnSs,00:02:27.255,00:02:29.400,"And we fulfill the purpose of our life,",Dr. Khalifa,,,
66 Friday Sermon 10 Dec. 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=VD4-XQbvnSs,00:02:29.400,00:02:31.817,"if we worship God without a partner,",Dr. Khalifa,,,
66 Friday Sermon 10 Dec. 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=VD4-XQbvnSs,00:02:31.817,00:02:36.400,without idolizing Muhammad or Jesus or Mary or saints or anything or anyone.,Dr. Khalifa,,,
66 Friday Sermon 10 Dec. 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=VD4-XQbvnSs,00:02:37.025,00:02:38.400,This is the whole idea.,Dr. Khalifa,,,
66 Friday Sermon 10 Dec. 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=VD4-XQbvnSs,00:02:38.713,00:02:44.556,And we want to come to a certain knowledge that will stick with us no matter what happens.,Dr. Khalifa,,00:02:38.713,Requirement of Knowledge and God Alone Motto
66 Friday Sermon 10 Dec. 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=VD4-XQbvnSs,00:02:51.748,00:02:55.227,Under any circumstances we will have that knowledge that God is the Only Master.,Dr. Khalifa,,,
66 Friday Sermon 10 Dec. 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=VD4-XQbvnSs,00:02:56.400,00:02:58.817,Our motto is God alone.,Dr. Khalifa,,,
66 Friday Sermon 10 Dec. 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=VD4-XQbvnSs,00:02:58.817,00:03:00.400,This is our motto.,Dr. Khalifa,,,
66 Friday Sermon 10 Dec. 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=VD4-XQbvnSs,00:03:00.765,00:03:02.765,And we put it here on this sign.,Dr. Khalifa,,,
66 Friday Sermon 10 Dec. 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=VD4-XQbvnSs,00:03:06.400,00:03:10.817,"We realize that the only salvation is in worshiping God alone,",Dr. Khalifa,,,
66 Friday Sermon 10 Dec. 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=VD4-XQbvnSs,00:03:10.817,00:03:15.817,"that you don't think that anything or anyone can benefit you or harm you,",Dr. Khalifa,,,
66 Friday Sermon 10 Dec. 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=VD4-XQbvnSs,00:03:15.817,00:03:18.400,except in accordance with God's will.,Dr. Khalifa,,,
66 Friday Sermon 10 Dec. 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=VD4-XQbvnSs,00:03:20.000,00:03:22.938,"Can you move, can you move that rock somewhere? (unintelligible)",Dr. Khalifa,,,
66 Friday Sermon 10 Dec. 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=VD4-XQbvnSs,00:03:27.650,00:03:35.400,"What I was doing in the last few Khutbas was to bring to us awareness about the greatness of God,",Dr. Khalifa,,00:03:27.650,Awareness of the Greatness of God
66 Friday Sermon 10 Dec. 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=VD4-XQbvnSs,00:03:35.400,00:03:36.775,how great God is.,Dr. Khalifa,,,
