Video Title,Link,Start Time,End Time,Text,Speaker
68 Friday Sermon 17 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=SOWtLVZvm3Y,00:00:00.587,00:00:04.003,A man: ...La Elaha Ella Allah.,A man
68 Friday Sermon 17 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=SOWtLVZvm3Y,00:00:04.003,00:00:11.364,A man: (unintelligible),A man
68 Friday Sermon 17 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=SOWtLVZvm3Y,00:00:11.364,00:20:37.523,A man: (unintelligible),A man
68 Friday Sermon 17 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=SOWtLVZvm3Y,00:20:37.523,00:20:38.967,Dean Mahmoud: Allah has said,Dean Mahmoud
68 Friday Sermon 17 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=SOWtLVZvm3Y,00:20:38.967,00:21:02.417,Dean Mahmoud: (unintelligible),Dean Mahmoud
68 Friday Sermon 17 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=SOWtLVZvm3Y,00:21:02.417,00:21:03.051,Dean Mahmoud: That is,Dean Mahmoud
68 Friday Sermon 17 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=SOWtLVZvm3Y,00:21:03.051,00:21:04.748,Dean Mahmoud: (unintelligible) of Allah.,Dean Mahmoud
68 Friday Sermon 17 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=SOWtLVZvm3Y,00:21:04.748,00:21:20.910,(unintelligible),Dean Mahmoud
68 Friday Sermon 17 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=SOWtLVZvm3Y,00:21:25.867,00:21:34.948,(unintelligible),Dean Mahmoud
68 Friday Sermon 17 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=SOWtLVZvm3Y,00:21:38.792,00:22:34.099,(unintelligible),Dean Mahmoud
68 Friday Sermon 17 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=SOWtLVZvm3Y,00:22:44.619,00:22:52.635,(unintelligible),Dean Mahmoud
68 Friday Sermon 17 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=SOWtLVZvm3Y,00:22:52.635,00:22:54.207,Dean Mahmoud: of mankind,Dean Mahmoud
68 Friday Sermon 17 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=SOWtLVZvm3Y,00:22:54.207,00:22:58.506,(unintelligible),Dean Mahmoud
68 Friday Sermon 17 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=SOWtLVZvm3Y,00:22:58.506,00:22:59.747,Dean Mahmoud: to realize,Dean Mahmoud
68 Friday Sermon 17 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=SOWtLVZvm3Y,00:22:59.747,00:23:01.747,(unintelligible),Dean Mahmoud
68 Friday Sermon 17 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=SOWtLVZvm3Y,00:23:03.747,00:23:38.775,(unintelligible),Dean Mahmoud
68 Friday Sermon 17 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=SOWtLVZvm3Y,00:23:38.775,00:23:41.736,the exercise of this power,Dean Mahmoud
68 Friday Sermon 17 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=SOWtLVZvm3Y,00:23:41.736,00:23:48.743,(unintelligible),Dean Mahmoud
68 Friday Sermon 17 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=SOWtLVZvm3Y,00:23:48.743,00:23:50.237,or the source,Dean Mahmoud
68 Friday Sermon 17 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=SOWtLVZvm3Y,00:23:50.237,00:24:02.099,(unintelligible),Dean Mahmoud
68 Friday Sermon 17 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=SOWtLVZvm3Y,00:24:02.099,00:24:03.340,Allah says,Dean Mahmoud
68 Friday Sermon 17 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=SOWtLVZvm3Y,00:24:03.340,00:24:19.046,(unintelligible),Dean Mahmoud
68 Friday Sermon 17 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=SOWtLVZvm3Y,00:24:19.046,00:24:20.389,Allah says,Dean Mahmoud
68 Friday Sermon 17 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=SOWtLVZvm3Y,00:24:20.389,00:24:22.945,(unintelligible),Dean Mahmoud
68 Friday Sermon 17 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=SOWtLVZvm3Y,00:24:25.828,00:24:38.955,Now (unintelligible),Dean Mahmoud
68 Friday Sermon 17 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=SOWtLVZvm3Y,00:24:40.472,00:24:42.725,(unintelligible),Dean Mahmoud
68 Friday Sermon 17 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=SOWtLVZvm3Y,00:24:42.725,00:24:43.815,The answer is clear.,Dean Mahmoud
