Video Title,Link,Start Time,End Time,Text,Speaker,Description,TOC Time,TOC Title
69 Friday Sermon 17 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=ZoJv66rG2Q0,00:00:06.348,00:00:10.334,"Dr. Khalifa: Fasting, reinforce and (unintelligible)",Dr. Khalifa,"Dr. Rashad Khalifa leads a study on the Quranic verses regarding fasting in Sura 2, beginning with verses 183 to 187. He argues that fasting was originally decreed through Abraham and initially prohibited sexual intercourse for the entire month of Ramadan, a rule later relaxed in verse 187. He challenges the traditional belief that the Quran was revealed over 23 years, asserting instead that the entire text was placed into Muhammad's heart on the Night of Power, citing Suras 44, 53, and 97, while Gabriel merely supervised its gradual release. Dean Mahmoud and an unnamed man raise questions about how companions distinguished revelation from ordinary speech, prompting Khalifa to reject traditional accounts of Muhammad fainting or experiencing epileptic symptoms. He references the spelling of Becca with a ""B"" in Sura 3:96 as proof of divine preservation, arguing the mathematical structure would collapse with an ""M."" Khalifa also critiques Abul A'la Maududi's theory on the Quranic initials, noting they only appear in 29 chapters. Discussing the physical demands of fasting and the Fajr prayer, he explains that the Earth's tilted axis and shifting seasons are designed to test the believers' commitment. He compares the body to a wild horse that must be tamed by the soul, quoting the General Electric motto to emphasize spiritual progress. He concludes with an anecdote about a car accident in Tripoli, Libya, which disproved his own theory that God takes three to six months to answer prayers.",,
69 Friday Sermon 17 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=ZoJv66rG2Q0,00:00:12.356,00:00:14.056,"A'uzu Billahi Mina Shaytani Rajim
(أعوذ بِٱللَّهِ مِنَ ٱلشَّيْطَـٰنِ ٱلرَّجِيمِ)",Dr. Khalifa,,,
69 Friday Sermon 17 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=ZoJv66rG2Q0,00:00:14.056,00:00:15.524,Bism Allah Arrahman Arraheem,Dr. Khalifa,,,
69 Friday Sermon 17 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=ZoJv66rG2Q0,00:00:16.198,00:00:24.969,"[2:183]  O you who believe, fasting is decreed for you, as it was decreed for those before you, that you may attain salvation.",Dr. Khalifa,,00:00:16.198,Fasting Decreed for Previous Generations
69 Friday Sermon 17 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=ZoJv66rG2Q0,00:00:25.960,00:00:28.255,"So, fasting was decreed before.",Dr. Khalifa,,,
69 Friday Sermon 17 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=ZoJv66rG2Q0,00:00:30.754,00:00:32.969,"It was originally, read the footnote.",Dr. Khalifa,,,
69 Friday Sermon 17 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=ZoJv66rG2Q0,00:00:34.278,00:00:34.778,"It says,",Dr. Khalifa,,00:00:34.278,The Original Abrahamic Fasting Injunctions
69 Friday Sermon 17 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=ZoJv66rG2Q0,00:00:34.778,00:00:50.000,"Footnote:
*2:183-187 Like religious practices in Islam, fasting was decreed through Abraham (22:78, Appendices 9 & 15). The injunction prohibiting intercourse throughout the month of fasting is revised here to allow intercourse during the nights of fasting.",Dr. Khalifa,,,
69 Friday Sermon 17 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=ZoJv66rG2Q0,00:00:51.000,00:00:56.436,"So, when fasting was decreed first to Abraham,",Dr. Khalifa,,,
69 Friday Sermon 17 Dec. 1982 By Dr. Rashad Khalifa,https://www.youtube.com/watch?v=ZoJv66rG2Q0,00:00:56.436,00:01:05.357,there was no intercourse throughout the whole month of Ramadan.,Dr. Khalifa,,,
